source_headword	SV	example_SV
abandon	överge	De övergav planen igår.
absolute	absolut	Vi behöver absolut ärlighet här.
acceptable	acceptabel	Hans svar var acceptabelt.
accompany	följa med	Hennes bror följde henne hem.
accurate	noggrann	Rapporten verkar noggrann.
accuse	anklaga	De anklagade honom för att ljuga.
acknowledge	erkänna	Erkänn misstaget, tack.
acquire	förvärva	Hon förvärvade snabbt nya färdigheter.
actual	faktisk	Den faktiska kostnaden var lägre.
adapt	anpassa sig	Vi anpassade oss till förändringen.
additional	ytterligare	Ytterligare hjälp kom idag.
administration	en administration	Administrationen ändrade policyn.
adopt	anta	De antog en ny metod.
advance	ett framsteg	Vi gjorde ett litet framsteg.
affair	en affär	Affären skadade allmänhetens förtroende.
afterwards	efteråt	Efteråt kände sig alla lugnare.
agency	en byrå	Byrån anställde tre översättare.
agenda	en dagordning	Säkerhet står på dagordningen.
aggressive	aggressiv	Hans ton lät aggressiv.
aid	hjälp	Medicinsk hjälp kom snabbt.
aircraft	ett flygplan	Flygplanet landade säkert.
alter	ändra	Ändra inte avtalet.
anger	ilska	Hans ilska överraskade alla.
angle	en vinkel	Prova en annan kameravinkel.
anniversary	en årsdag	Deras årsdag är imorgon.
annual	årlig	Det årliga mötet börjar på måndag.
anxious	orolig	Hon kände sig orolig inför operationen.
apparent	tydlig	Hans besvikelse var tydlig.
apparently	tydligen	Tydligen är tåget försenat.
appeal	ett överklagande	Beslutet kan leda till ett överklagande.
approach	en metod	Hennes metod löste problemet.
appropriate	lämplig	Välj ett lämpligt svar.
approval	ett godkännande	Projektet behöver godkännande.
approve	godkänna	Styrelsen godkände budgeten.
arise	uppstå	Problem kan uppstå senare.
armed	beväpnad	Beväpnade vakter stod utanför.
arms	vapen	De lade ner sina vapen.
artificial	konstgjord	Blommorna såg konstgjorda ut.
artistic	konstnärlig	Han har konstnärlig talang.
ashamed	skämd	Senare kände han sig skämd.
aspect	en aspekt	Överväg varje aspekt noggrant.
assess	bedöma	Vi måste bedöma skadan.
assessment	en bedömning	Bedömningen tog två timmar.
associate	förknippa	Folk förknippar rök med fara.
associated	förknippad	Stress är förknippad med sjukdom.
association	en förening	Föreningen stöder unga konstnärer.
assume	anta	Jag antar att du håller med.
attempt	ett försök	Hans första försök misslyckades.
bacteria	bakterier	Bakterier kan spridas snabbt.
barrier	en barriär	Språket var en barriär.
basically	i grunden	I grunden behöver vi mer tid.
bear (deal with)	stå ut med	Jag står inte ut med oväsendet.
beg	be	Beg om hjälp, tack.
being	en varelse	Varje varelse behöver vatten.
bent	böjd	Metallstången var böjd.
bet	slå vad	Jag slår vad om att han vet.
beyond	bortom	Byn ligger bortom floden.
bitter	bitter	Medicinen smakade bittert.
blame	skylla på	Skyll inte på föraren.
blind	blind	Han blev blind som ung.
bond	ett band	Förtroende skapar ett starkt band.
breast	ett bröst	Hon kände smärta i bröstet.
brief	kort	Håll svaret kort.
broad	bred	Floden är bred här.
broadcast	sända	Talet sändes live.
budget	en budget	Budgeten är mycket stram.
bullet	en kula	Kulan träffade väggen.
bunch	en knippa	Hon bar en knippa nycklar.
bush	en buske	Fågeln gömde sig i busken.
cable	en kabel	Kabeln är skadad.
calculate	beräkna	Beräkna den totala kostnaden.
cancel	avboka	De avbokade mötet.
cancer	cancer	Cancerbehandling kan vara svår.
capable	kapabel	Hon är kapabel nog.
capacity	en kapacitet	Salen nådde sin kapacitet.
capture	fånga	Fotot fångade stämningen.
