source_headword	UZ	example_UZ
crawl	emaklash	Chaqaloq gilam ustida emaklashni boshladi.
creator	yaratuvchi	Yaratuvchi hammaga qo'llab-quvvatlagani uchun minnatdorchilik bildirdi.
credibility	ishonchlilik	Guvoh so'roq paytida ishonchliligini yo'qotdi.
credible	ishonchli	Hisobot ishonchli dalillarni taqdim etdi.
creep	sudralish	Tuman vodiy bo'ylab sekin tarqala boshladi.
critique	taqriz	Professor batafsil taqriz berdi.
crown	toj	Qirolicha kumush toj kiygan edi.
crude	dag'al	Chizma dag'al, ammo tushunarli edi.
crush	majag'lash	Og'ir toshlar quvurni majag'lashi mumkin.
crystal	billur	Billur tonggi yorug'likni aks ettirdi.
cult	kult	Kult o'z a'zolarini ajratib qo'ydi.
cultivate	yetishtirish	Dehqonlar bu hududda sholi yetishtirishadi.
curiosity	qiziquvchanlik	Qiziquvchanlik uni ilm-fanga olib kirdi.
custody	vasiylik	Bola otasining vasiyligida qoldi.
cutting	qirqma	Gazeta u haqida qirqma chop etdi.
cynical	kinoyali	Uning kinoyali gapi jamoani xafa qildi.
dam	to'g'on	To'g'on daryo suvini to'shab turadi.
damaging	zararli	Zararli maqola kampaniyaga ziyon yetkazdi.
dawn	tong	Biz qishloqni tongda tark etdik.
debris	vayronalar	Bo'ron vayronalari yo'lni to'sib qo'ydi.
debut	debyut	Uning debyuti milliy e'tiborni tortdi.
decision-making	qaror qabul qilish	Yaxshi qaror qabul qilish aniq ma'lumotni talab qiladi.
decisive	qat'iy	Uning qat'iy harakati keyingi zararning oldini oldi.
declaration	deklaratsiya	Vazir rasmiy deklaratsiyani o'qib eshittirdi.
dedicated	fidoiy	Fidoiy hamshira tuni bilan ishladi.
dedication	fidoiylik	Uning fidoiyligi yosh o'yinchilarni ilhomlantirdi.
deed	ish	Jasoratli ish ikki hayotni saqlab qoldi.
deem	hisoblash	Sud shartnomani haqiqiy emas deb hisoblashi mumkin.
default	standart	Hozircha standart sozlamadan foydalaning.
defect	nuqson	Inspektorlar jiddiy nuqsonni aniqladilar.
defensive	himoyaviy	Uning himoyaviy ohangi hammani ajablantirdi.
deficiency	yetishmovchilik	Temir yetishmovchiligi sog'likka ta'sir qilishi mumkin.
deficit	kamomad	Byudjet kamomadi amaldorlarni tashvishga soldi.
defy	bo'ysunmaslik	Namoyishchilar taqiqqa bo'ysunmaslikni tanladilar.
delegate	delegat	Har bir delegat ovoz berish kartasini oldi.
delegation	delegatsiya	Delegatsiya tushdan oldin yetib keldi.
delicate	nozik	Nozik oyna osongina sindi.
demon	iblis	Hikoyada qadimiy iblis tasvirlangan.
denial	rad etish	Uning rad etishi qurbonlarni g'azablantirdi.
denounce	qoralash	Rahbarlar maktablardagi zo'ravonlikni qoralashmoqda.
dense	qalin	Qalin o'rmon quyosh nurini to'sib qo'ydi.
density	zichlik	Shahar markazida aholi zichligi yuqori.
dependence	qaramlik	Mamlakatning neftga bo'lgan qaramligi pasaydi.
depict	tasvirlash	Devoriy surat qishloq hayotini tasvirlaydi.
deploy	joylashtirish	Armiya qo'shimcha xodimlarni joylashtiradi.
deployment	joylashtirish	Qo'shinlarni joylashtirish dushanba kuni boshlandi.
deprive	mahrum qilish	Uyqusizlik talabalarni e'tibordan mahrum qilishi mumkin.
deputy	o'rinbosar	O'rinbosar shartnomani imzoladi.
descend	tushish	Yo'l keskin tusha boshladi.
descent	pasayish	Samolyot pasayishni boshladi.
designate	belgilash	Shahar yangi bog'ni belgilaydi.
desirable	maqsadga muvofiq	Sinfxonalar uchun yaxshi yoritish maqsadga muvofiqdir.
desktop	ish stoli	Fayl mening ish stolimda.
destructive	vayron qiluvchi	Bo'ron vayron qiluvchi kuchga ega edi.
detain	ushlab turish	Politsiya gumonlanuvchilarni tunda ushlab turishi mumkin.
detection	aniqlash	Erta aniqlash saratonni davolashni yaxshilaydi.
detention	hibs	Talabalar hibsga olish sharoitlariga qarshi norozilik bildirishdi.
deteriorate	yomonlashish	Uning sog'lig'i yomonlasha boshladi.
devastate	vayron qilish	Zilzila qirg'oq shaharlarini vayron qilishi mumkin.
devil	shayton	Bola jilmayib turgan shaytonning rasmini chizdi.
devise	ishlab chiqish	Muhandislar xavfsizroq transport tizimlarini ishlab chiqadilar.
diagnose	tashxis qo'yish	Shifokorlar qon testlari yordamida kasallikka tashxis qo'yishadi.
diagnosis	tashxis	Tashxis uning alomatlarini tushuntirdi.
dictate	belgilab berish	Shartnoma to'lov shartlarini belgilab beradi.
dictator	diktator	Diktator ommaviy axborot vositalarini nazorat qildi.
differentiate	farqlash	Siz haqiqatni fikrdan farqlay olasizmi?
dignity	qadr-qimmat	Ish joyida har kim qadr-qimmatga loyiqdir.
dilemma	dilemma	Menejer jiddiy dilemmaga duch keldi.
dimension	jihat	Muammoning siyosiy jihati ham bor.
