source_headword	KN	example_KN
rock (music)	ರಾಕ್ ಸಂಗೀತ	ನನಗೆ ರಾಕ್ ಸಂಗೀತ ಇಷ್ಟ.
role	ಪಾತ್ರ	ಅವಳ ಪಾತ್ರ ಮಹತ್ವದ್ದಾಗಿದೆ.
roof	ಮೇಲ್ಚಾವಣಿ	ಮೇಲ್ಚಾವಣಿಗೆ ದುರಸ್ತಿ ಬೇಕು.
round	ಗುಂಡಾದ	ಮೇಜು ಗುಂಡಾಗಿದೆ.
route	ಮಾರ್ಗ	ಈ ಮಾರ್ಗ ಚಿಕ್ಕದು.
rubbish	ಕಸ	ಕಸವನ್ನು ಹೊರಗೆ ಇಡು.
rude	ಅಸಭ್ಯ	ಆ ಟಿಪ್ಪಣಿ ಅಸಭ್ಯವಾಗಿತ್ತು.
runner	ಓಟಗಾರ	ಓಟಗಾರ ದಣಿದಂತೆ ಕಾಣುತ್ತಾನೆ.
running	ಓಡುವುದು	ಓಡುವುದು ನನ್ನನ್ನು ಆರೋಗ್ಯವಾಗಿರಿಸುತ್ತದೆ.
sadly	ದುಃಖದಿಂದ	ದುಃಖದಿಂದ, ನಾವು ರೈಲನ್ನು ತಪ್ಪಿಸಿಕೊಂಡೆವು.
safe	ಸುರಕ್ಷಿತ	ಈ ರಸ್ತೆ ಸುರಕ್ಷಿತವಾಗಿ ಅನಿಸುತ್ತದೆ.
sail	ಹಡಗಿನಲ್ಲಿ ಸಾಗು	ನಾವು ಶನಿವಾರ ಹಡಗಿನಲ್ಲಿ ಸಾಗುತ್ತೇವೆ.
sailing	ನೌಕಾಯಾನ	ನೌಕಾಯಾನ ಇಲ್ಲಿ ಜನಪ್ರಿಯವಾಗಿದೆ.
salary	ಸಂಬಳ	ಅವನ ಸಂಬಳ ಈಗ ಹೆಚ್ಚು.
sale	ಮಾರಾಟ	ಮಾರಾಟ ನಾಳೆ ಆರಂಭವಾಗುತ್ತದೆ.
sauce	ಸಾಸ್	ಅಕ್ಕಿಗೆ ಸಾಸ್ ಸೇರಿಸಿ.
save	ಉಳಿಸು	ನಿನ್ನ ಕೆಲಸವನ್ನು ಈಗ ಉಳಿಸು.
scared	ಭಯಗೊಂಡ	ಮಗು ಭಯಗೊಂಡಂತೆ ಅನಿಸುತ್ತದೆ.
scary	ಭಯಾನಕ	ಈ ಕಥೆ ಭಯಾನಕವಾಗಿದೆ.
scene	ದೃಶ್ಯ	ಕೊನೆಯ ದೃಶ್ಯ ಹಾಸ್ಯಾಸ್ಪದವಾಗಿತ್ತು.
schedule	ವೇಳಾಪಟ್ಟಿ	ಇಂದಿನ ವೇಳಾಪಟ್ಟಿಯನ್ನು ನೋಡಿ.
score	ಅಂಕ	ಅಂಕ ಎಷ್ಟು?
screen	ತೆರೆ	ತೆರೆಯನ್ನು ಎಚ್ಚರಿಕೆಯಿಂದ ಸ್ವಚ್ಛಗೊಳಿಸು.
search	ಹುಡುಕು	ಚಿತ್ರಗಳಿಗಾಗಿ ವೆಬ್‌ನಲ್ಲಿ ಹುಡುಕು.
season	ಋತು	ಬೇಸಿಗೆ ಬ್ಯುಸಿ ಋತು.
seat	ಆಸನ	ದಯವಿಟ್ಟು ಈ ಆಸನ ತೆಗೆದುಕೊಳ್ಳಿ.
second1 (next after the first)	ಎರಡನೇ	ಇದು ಎರಡನೇ ಪ್ರಶ್ನೆ.
secondly	ಎರಡನೆಯದಾಗಿ	ಎರಡನೆಯದಾಗಿ, ನಿನ್ನ ಉತ್ತರ ಪರಿಶೀಲಿಸು.
secret	ರಹಸ್ಯ	ಈ ರಹಸ್ಯವನ್ನು ಸುರಕ್ಷಿತವಾಗಿ ಇಡು.
secretary	ಕಾರ್ಯದರ್ಶಿ	ಕಾರ್ಯದರ್ಶಿ ಇಂದು ಕರೆ ಮಾಡಿದರು.
seem	ಕಾಣು	ನೀನು ದಣಿದಂತೆ ಕಾಣುತ್ತೀಯ.
sense	ಅರ್ಥ	ಈ ಯೋಜನೆಗೆ ಅರ್ಥ ಇದೆ.
separate	ಪ್ರತ್ಯೇಕ	ಕಾಗದಗಳನ್ನು ಪ್ರತ್ಯೇಕವಾಗಿ ಇಡು.
series	ಸರಣಿ	ಈ ಸರಣಿ ಜನಪ್ರಿಯವಾಗಿದೆ.
serious	ಗಂಭೀರ	ಈ ಸಮಸ್ಯೆ ಗಂಭೀರವಾಗಿದೆ.
