simplified	HI	example_HI	BN	example_BN	TL	example_TL
吧	सुझाव कण; है न?	चलो चलें।	প্রস্তাবসূচক কণা; তাই তো?	চলো যাই।	pananda ng mungkahi; di ba?	Tara na.
白	सफ़ेद	यह कपड़ा सफ़ेद है।	সাদা	এই পোশাকটি সাদা।	puti	Puti ang kasuotang ito.
百	सौ	यह फ़ोन सौ युआन का है।	একশো	এই ফোনটির দাম একশো ইউয়ান।	isang daan	Isang daang yuan ang teleponong ito.
帮助	मदद करना; मदद	कृपया मेरी मदद कीजिए।	সাহায্য করা; সাহায্য	অনুগ্রহ করে আমাকে সাহায্য করুন।	tumulong; tulong	Pakitulungan mo ako.
报纸	अख़बार	पापा अख़बार पढ़ते हैं।	খবরের কাগজ	বাবা খবরের কাগজ পড়েন।	diyaryo	Nagbabasa ng diyaryo si Tatay.
比	से; तुलना करना	आज कल से ज़्यादा गरम है।	থেকে; তুলনা করা	আজ গতকালের চেয়ে বেশি গরম।	kaysa; ikumpara	Mas mainit ngayon kaysa kahapon.
别	मत; दूसरा	मत जाओ।	না; অন্য	যেও না।	huwag; iba	Huwag kang umalis.
长	लंबा; लंबी; लंबे	यह रास्ता लंबा है।	লম্বা	এই রাস্তা লম্বা।	mahaba	Mahaba ang kalsadang ito.
唱歌	गाना गाना	मेरी छोटी बहन को गाना पसंद है।	গান গাওয়া	আমার ছোট বোন গান গাইতে ভালোবাসে।	kumanta	Mahilig kumanta ang nakababata kong kapatid na babae.
出	बाहर जाना; बाहर आना	वह बाहर गया।	বের হওয়া; বাইরে আসা	সে বাইরে গেছে।	lumabas	Lumabas siya.
穿	पहनना	मैं सफ़ेद कपड़े पहनता हूँ।	পরা	আমি সাদা জামাকাপড় পরি।	magsuot	Nagsusuot ako ng puting damit.
船	नाव; जहाज़	नाव पानी पर है।	নৌকা; জাহাজ	নৌকাটি পানির ওপর আছে।	bangka; barko	Nasa tubig ang bangka.
次	बार; अवसर	मैं एक बार बीजिंग गया हूँ।	বার; সুযোগ	আমি একবার বেইজিংয়ে গেছি।	beses; pagkakataon	Isang beses na akong nakapunta sa Beijing.
从	से	मैं घर से स्कूल जाता हूँ।	থেকে	আমি বাড়ি থেকে স্কুলে যাই।	mula	Galing ako sa bahay papunta sa paaralan.
错	गलत; गलती	तुम गलत हो।	ভুল	তুমি ভুল করছ।	mali; pagkakamali	Mali ka.
打篮球	बास्केटबॉल खेलना	मेरा बड़ा भाई बास्केटबॉल खेलता है।	বাস্কেটবল খেলা	আমার বড় ভাই বাস্কেটবল খেলে।	maglaro ng basketbol	Naglalaro ng basketbol ang kuya ko.
大家	सब लोग	सब लोग आ गए हैं।	সবাই	সবাই এসেছে।	lahat	Dumating na ang lahat.
但是	लेकिन; पर	मैं व्यस्त हूँ, लेकिन बहुत खुश हूँ।	কিন্তু; তবে	আমি ব্যস্ত, কিন্তু খুব খুশি।	pero; subalit	Abala ako, pero masayang-masaya.
到	पहुँचना	मैं स्कूल पहुँच गया हूँ।	পৌঁছানো	আমি স্কুলে পৌঁছে গেছি।	dumating; makarating	Nakarating na ako sa paaralan.
得	मात्रा-परिणाम पूरक कण	वह तेज़ दौड़ता है।	মাত্রাসূচক পরিপূরক কণা	সে দ্রুত দৌড়ায়।	pananda ng antas	Mabilis siyang tumatakbo.
等	इंतज़ार करना	मैं तुम्हारा इंतज़ार कर रहा हूँ।	অপেক্ষা করা	আমি তোমার জন্য অপেক্ষা করছি।	maghintay	Hinihintay kita.
弟弟	छोटा भाई	मेरा छोटा भाई घर पर है।	ছোট ভাই	আমার ছোট ভাই বাড়িতে আছে।	nakababatang kapatid na lalaki	Nasa bahay ang nakababata kong kapatid na lalaki.
第一	पहला; पहली; पहले	वह पहला है।	প্রথম	সে প্রথম।	una	Siya ang una.
懂	समझना	अब मैं समझ गया हूँ।	বোঝা	এখন আমি বুঝেছি।	umintindi; maunawaan	Naiintindihan ko na ngayon.
对	सही; की ओर	तुमने जो कहा वह सही है।	ঠিক; দিকে	তুমি যা বলেছ তা ঠিক।	tama; patungo sa	Tama ang sinabi mo.
房间	कमरा	यह कमरा बड़ा है।	ঘর; কক্ষ	এই ঘরটি বড়।	kuwarto	Malaki ang kuwartong ito.
非常	बहुत; अत्यंत	आज बहुत ठंड है।	খুব; অত্যন্ত	আজ খুব ঠান্ডা।	napaka; lubhang	Napakamalamig ngayon.
服务员	वेटर; सेवक	वेटर रेस्तराँ में है।	ওয়েটার; সেবাকর্মী	ওয়েটারটি রেস্তোরাঁয় আছে।	tagapagsilbi	Nasa restawran ang tagapagsilbi.
高	ऊँचा; लंबा	वह लंबा है।	উঁচু; লম্বা	সে লম্বা।	mataas; matangkad	Matangkad siya.
告诉	बताना	कृपया मुझे बताइए।	বলা; জানানো	অনুগ্রহ করে আমাকে বলুন।	sabihin; ipaalam	Pakisabi sa akin.
哥哥	बड़ा भाई	मेरा बड़ा भाई काम कर रहा है।	বড় ভাই	আমার বড় ভাই কাজ করছে।	kuya; nakatatandang kapatid na lalaki	Nagtatrabaho ang kuya ko.
给	देना; को	मैं तुम्हें एक किताब देता हूँ।	দেওয়া; কাউকে	আমি তোমাকে একটি বই দিচ্ছি।	magbigay; para kay	Binibigyan kita ng libro.
公共汽车	बस	मैं बस से काम पर जाता हूँ।	বাস	আমি বাসে করে কাজে যাই।	bus	Sumasakay ako ng bus papunta sa trabaho.
公斤	किलोग्राम	मैं एक किलोग्राम सेब खरीदता हूँ।	কিলোগ্রাম	আমি এক কিলোগ্রাম আপেল কিনি।	kilogramo	Bumibili ako ng isang kilo ng mansanas.
公司	कंपनी	मैं एक कंपनी में काम करता हूँ।	কোম্পানি	আমি একটি কোম্পানিতে কাজ করি।	kumpanya	Nagtatrabaho ako sa isang kumpanya.
贵	महँगा; महँगी; महँगे	यह घड़ी महँगी है।	দামী	এই হাতঘড়িটি দামী।	mahal	Mahal ang relo na ito.
过	अनुभव कण	मैं चीन गया हूँ।	অভিজ্ঞতাসূচক কণা	আমি চীনে গেছি।	pananda ng karanasan	Nakapunta na ako sa Tsina.
还	अभी भी; भी	वह अभी भी स्कूल में है।	এখনও; এছাড়াও	সে এখনও স্কুলে আছে।	pa; din	Nasa paaralan pa siya.
孩子	बच्चा	यह बच्चा बहुत खुश है।	শিশু; বাচ্চা	এই শিশুটি খুব খুশি।	bata	Masayang-masaya ang batang ito.
好吃	स्वादिष्ट	यह व्यंजन स्वादिष्ट है।	সুস্বাদু	এই খাবারটি সুস্বাদু।	masarap	Masarap ang ulam na ito.
号	नंबर; तारीख	आज आठ तारीख है।	নম্বর; তারিখ	আজ আট তারিখ।	numero; petsa	Ngayon ang ikawalo.
黑	काला; काली; काले	यह बिल्ली काली है।	কালো	এই বিড়ালটি কালো।	itim	Itim ang pusang ito.
红	लाल	मुझे लाल सेब पसंद हैं।	লাল	আমার লাল আপেল ভালো লাগে।	pula	Gusto ko ang pulang mansanas.
欢迎	स्वागत करना; स्वागत है	बीजिंग में आपका स्वागत है।	স্বাগত জানানো; স্বাগতম	বেইজিংয়ে স্বাগতম।	bumati; maligayang pagdating	Maligayang pagdating sa Beijing.
回答	उत्तर देना	कृपया इस प्रश्न का उत्तर दीजिए।	উত্তর দেওয়া	অনুগ্রহ করে এই প্রশ্নের উত্তর দিন।	sumagot	Pakisagot ang tanong na ito.
机场	हवाई अड्डा	हवाई अड्डा यहाँ से दूर है।	বিমানবন্দর	বিমানবন্দরটি এখান থেকে দূরে।	paliparan	Malayo rito ang paliparan.
鸡蛋	अंडा	मैं अंडे खाता हूँ।	ডিম	আমি ডিম খাই।	itlog	Kumakain ako ng itlog.
件	कपड़ों और वस्तुओं के लिए माप शब्द	मैंने एक कपड़ा खरीदा।	জামাকাপড় ও জিনিসের পরিমাপক শব্দ	আমি একটি পোশাক কিনেছি।	panukat para sa damit at bagay	Bumili ako ng isang kasuotan.
教室	कक्षा-कक्ष	विद्यार्थी कक्षा-कक्ष में हैं।	শ্রেণিকক্ষ	শিক্ষার্থীরা শ্রেণিকক্ষে আছে।	silid-aralan	Nasa silid-aralan ang mga estudyante.
姐姐	बड़ी बहन	मेरी बड़ी बहन डॉक्टर है।	বড় বোন	আমার বড় বোন ডাক্তার।	ate; nakatatandang kapatid na babae	Doktor ang ate ko.
介绍	परिचय कराना	मैं अपने दोस्त का परिचय कराता हूँ।	পরিচয় করানো	আমি আমার বন্ধুর পরিচয় করিয়ে দিচ্ছি।	ipakilala	Ipinakikilala ko ang kaibigan ko.
进	अंदर आना	कृपया अंदर आइए।	ঢোকা; প্রবেশ করা	অনুগ্রহ করে ভেতরে আসুন।	pumasok	Pumasok po kayo.
近	पास; नज़दीक	स्कूल घर के पास है।	কাছে	স্কুলটি বাড়ির কাছে।	malapit	Malapit sa bahay ang paaralan.
就	तो; अभी	मैं अभी जाता हूँ।	তাহলে; এখনই	আমি এখনই যাব।	na; agad	Aalis na ako ngayon.
觉得	सोचना; महसूस करना	मुझे लगता है कि यह व्यंजन स्वादिष्ट है।	মনে হওয়া; অনুভব করা	আমার মনে হয় এই খাবারটি সুস্বাদু।	akala; pakiramdam	Sa tingin ko, masarap ang ulam na ito.
咖啡	कॉफ़ी	मैं कॉफ़ी पीता हूँ।	কফি	আমি কফি পান করি।	kape	Umiinom ako ng kape.
开始	शुरू करना; शुरुआत	परीक्षा शुरू हो गई है।	শুরু করা; শুরু	পরীক্ষা শুরু হয়েছে।	magsimula; simula	Nagsimula na ang pagsusulit.
考试	परीक्षा	कल परीक्षा है।	পরীক্ষা	আগামীকাল পরীক্ষা আছে।	pagsusulit	May pagsusulit bukas.
可能	शायद; संभव	वह घर पर हो सकता है।	হয়তো; সম্ভব	সে হয়তো বাড়িতে আছে।	maaari; siguro	Maaaring nasa bahay siya.
可以	सकना; अनुमति होना	क्या मैं जा सकता हूँ?	পারা; অনুমতি হওয়া	আমি কি যেতে পারি?	maaari; puwede	Maaari ba akong umalis?
课	कक्षा; पाठ	आज चीनी की कक्षा है।	ক্লাস; পাঠ	আজ চীনা ভাষার ক্লাস আছে।	klase; aralin	May klase sa Tsino ngayon.
快	तेज़; जल्द	वह तेज़ चलता है।	দ্রুত; শিগগির	সে দ্রুত হাঁটে।	mabilis; malapit na	Mabilis siyang maglakad.
快乐	खुश	जन्मदिन मुबारक हो।	খুশি; আনন্দিত	শুভ জন্মদিন।	masaya	Maligayang kaarawan.
累	थका हुआ; थकी हुई	मैं थका हुआ हूँ।	ক্লান্ত	আমি ক্লান্ত।	pagod	Pagod ako.
离	से दूर; से	स्कूल घर से दूर नहीं है।	থেকে দূরে; থেকে	স্কুলটি বাড়ি থেকে দূরে নয়।	malayo sa; mula sa	Hindi malayo sa bahay ang paaralan.
两	दो	मेरे दो बच्चे हैं।	দুই	আমার দুই সন্তান আছে।	dalawa	May dalawa akong anak.
路	रास्ता; सड़क	यह रास्ता लंबा है।	রাস্তা; পথ	এই রাস্তা লম্বা।	daan; kalsada	Mahaba ang kalsadang ito.
旅游	यात्रा करना; यात्रा	मैं चीन की यात्रा करना चाहता हूँ।	ভ্রমণ করা; ভ্রমণ	আমি চীনে ভ্রমণ করতে চাই।	maglakbay; paglalakbay	Gusto kong maglakbay sa Tsina.
卖	बेचना	इस दुकान में सेब बिकते हैं।	বিক্রি করা	এই দোকানে আপেল বিক্রি হয়।	magbenta	Nagbebenta ng mansanas ang tindahang ito.
慢	धीमा; धीमी	कृपया थोड़ा धीरे चलिए।	ধীর; আস্তে	অনুগ্রহ করে একটু আস্তে।	mabagal	Pakibagalan nang kaunti.
忙	व्यस्त	आज मैं व्यस्त हूँ।	ব্যস্ত	আজ আমি ব্যস্ত।	abala	Abala ako ngayon.
每	हर; प्रत्येक	मैं हर दिन चीनी पढ़ता हूँ।	প্রতি; প্রত্যেক	আমি প্রতিদিন চীনা ভাষা পড়ি।	bawat	Nag-aaral ako ng Tsino araw-araw.
妹妹	छोटी बहन	मेरी छोटी बहन टीवी देख रही है।	ছোট বোন	আমার ছোট বোন টিভি দেখছে।	nakababatang kapatid na babae	Nanonood ng TV ang nakababata kong kapatid na babae.
门	दरवाज़ा; फाटक	दरवाज़ा खुल गया।	দরজা; ফটক	দরজাটি খুলেছে।	pinto; tarangkahan	Bumukas ang pinto.
男人	आदमी; पुरुष	यह आदमी शिक्षक है।	পুরুষ; লোক	এই লোকটি শিক্ষক।	lalaki	Guro ang lalaking ito.
您	आप	नमस्ते।	আপনি	নমস্কার।	kayo; magalang na ikaw	Magandang araw po.
牛奶	दूध	मैं दूध पीता हूँ।	দুধ	আমি দুধ পান করি।	gatas	Umiinom ako ng gatas.
女人	औरत; महिला	वह महिला डॉक्टर है।	নারী; মহিলা	ওই মহিলা ডাক্তার।	babae	Doktor ang babaeng iyon.
旁边	बगल में; पास	स्कूल के बगल में एक दुकान है।	পাশে	স্কুলের পাশে একটি দোকান আছে।	katabi; sa tabi	Nasa tabi ng paaralan ang tindahan.
跑步	दौड़ना	मैं सुबह दौड़ता हूँ।	দৌড়ানো	আমি সকালে দৌড়াই।	tumakbo; mag-jogging	Tumatakbo ako sa umaga.
便宜	सस्ता; सस्ती	यह सेब सस्ता है।	সস্তা	এই আপেলটি সস্তা।	mura	Mura ang mansanas na ito.
票	टिकट	मैं टिकट खरीदता हूँ।	টিকিট	আমি টিকিট কিনি।	tiket	Bumibili ako ng tiket.
妻子	पत्नी	मेरी पत्नी शिक्षिका है।	স্ত্রী	আমার স্ত্রী শিক্ষিকা।	asawa; maybahay	Guro ang asawa ko.
