simplified	FR	example_FR
挨	endurer; subir	Il a enduré toute la nuit et a finalement attendu l'aube.
癌症	cancer	Détecter le cancer tôt est très important.
暧昧	ambigu; vague	Sa réponse était très ambiguë.
爱不释手	ne pas pouvoir s'en séparer	Elle aimait tellement ce livre qu'elle ne pouvait presque pas le lâcher.
爱戴	aimer et respecter	Ce professeur est profondément aimé et respecté par les élèves.
安宁	paisible; tranquille	Les nuits ici sont très paisibles.
安详	serein	L'expression de la personne âgée était très sereine.
安置	reloger; installer	Le gouvernement a relogé les personnes touchées par la catastrophe.
按摩	massage	J'ai réservé un massage.
暗示	suggérer; faire allusion	Elle m'a fait comprendre que je ne devais plus poser de questions.
案件	affaire judiciaire; dossier	La police enquête sur cette affaire.
案例	cas; exemple	Ce cas est très représentatif.
昂贵	cher; coûteux	Cet équipement est très cher.
凹凸	inégal; bosselé	La surface de cette route est inégale.
熬	endurer; mijoter	Il a tenu trois jours difficiles avant de terminer le rapport.
奥秘	mystère profond	Le scientifique veut percer ce mystère.
巴不得	avoir hâte de	J'ai hâte de partir tout de suite.
巴结	flatter; chercher à s'attirer les faveurs	Il ne veut pas flatter les dirigeants.
扒	s'accrocher à; creuser	L'enfant s'accrochait à la porte et regardait dehors.
疤	cicatrice	Il a une cicatrice sur le bras.
拔苗助长	brûler les étapes; nuire par excès d'empressement	Forcer un enfant à étudier ainsi ne fait que brûler les étapes.
把关	contrôler; vérifier	Ce contrat doit être vérifié par un avocat.
把手	poignée	La poignée de la porte est cassée.
罢工	grève; faire grève	Les ouvriers ont décidé de faire grève demain.
霸道	autoritaire; tyrannique	Il parle de façon trop autoritaire.
掰	casser avec les mains	Elle a cassé le pain en deux.
摆脱	se débarrasser de; échapper à	Il s'est enfin débarrassé de sa mauvaise habitude.
拜访	rendre visite à	Nous irons rendre visite au professeur ce week-end.
拜年	présenter les voeux du Nouvel An	Pendant la fête du Printemps, nous rendons visite à nos grands-parents pour leur présenter nos voeux.
拜托	confier; demander un service	Je compte sur toi pour cette affaire.
败坏	ruiner; nuire à	Ce genre de comportement nuira à la réputation de l'entreprise.
斑	tache; marque	Il y a une tache noire sur le chat.
颁布	promulguer; publier	Les nouvelles règles seront publiées la semaine prochaine.
颁发	remettre; délivrer	L'école a remis des certificats aux élèves remarquables.
版本	version; édition	Ce logiciel a une nouvelle version.
伴侣	compagnon; partenaire	Elle considère son chien comme son compagnon.
伴随	accompagner; aller de pair	Le succès s'accompagne souvent de pression.
半途而废	abandonner à mi-chemin	On ne peut pas abandonner à mi-chemin quand on fait de la recherche.
扮演	jouer le rôle de	Il joue un médecin dans le film.
榜样	modèle	Les parents sont des modèles pour les enfants.
绑架	kidnapper; enlever	La police a empêché une affaire d'enlèvement.
磅	livre	Cette boîte pèse vingt livres.
包庇	couvrir; protéger un coupable	Personne ne peut couvrir un crime.
包袱	fardeau; baluchon	Après avoir déposé son fardeau, il s'est senti beaucoup plus détendu.
包围	entourer; encercler	Les journalistes ont entouré l'acteur.
包装	emballage	L'emballage de ce cadeau est très joli.
保管	garder; conserver	Ces documents sont gardés par moi.
保密	garder confidentiel	Le contenu de la réunion doit rester confidentiel.
保姆	nounou; aide ménagère	Ils ont engagé une nounou.
保守	conservateur; garder	Ses idées sont plutôt conservatrices.
保卫	défendre; protéger	Les soldats défendent la frontière.
保养	entretenir	Cette voiture nécessite un entretien régulier.
保障	garantir; protéger	La loi protège les droits des citoyens.
保重	prendre soin de soi	Prends bien soin de toi quand tu es loin de chez toi.
饱和	saturation	Ce marché est déjà proche de la saturation.
饱经沧桑	avoir traversé beaucoup d'épreuves	Cette personne âgée a traversé beaucoup d'épreuves et de changements.
报酬	rémunération; récompense	Il a reçu une rémunération raisonnable.
报仇	se venger	Il ne veut pas se venger, il veut seulement repartir à zéro.
报答	remercier; rendre	Je te rendrai ton aide par mes actes.
报复	vengeance; se venger	La vengeance ne fera qu'aggraver le conflit.
报警	appeler la police; donner l'alerte	Après avoir découvert un incendie, il faut appeler la police immédiatement.
报销	se faire rembourser	Les frais de déplacement peuvent être remboursés.
抱负	ambition; aspiration	Il a de grandes ambitions depuis l'enfance.
暴力	violence	Nous nous opposons à toute forme de violence.
暴露	exposer; révéler	Ce problème est peu à peu apparu au grand jour.
曝光	exposition; rendre public	Après la publication de cette photo, elle a attiré l'attention.
爆发	éclater; entrer en éruption	Le volcan est soudainement entré en éruption.
爆炸	explosion; exploser	Une explosion s'est produite dans le laboratoire.
卑鄙	méprisable; ignoble	Cette méthode ignoble met les gens en colère.
悲哀	triste; chagriné	Après avoir entendu la nouvelle, il s'est senti très triste.
悲惨	tragique; misérable	C'était une période tragique de l'histoire.
北极	Arctique; pôle Nord	Les scientifiques mènent des recherches dans l'Arctique.
备份	sauvegarde	Veuillez d'abord sauvegarder les fichiers importants.
备忘录	mémo; aide-mémoire	Elle a noté les points clés dans le mémo.
背叛	trahir	Il ne pouvait pas accepter la trahison de son ami.
背诵	réciter	Les élèves récitent le texte.
被动	passif	Nous ne pouvons pas être trop passifs dans la négociation.
被告	accusé; défendeur	L'accusé a nié toutes les accusations.
贝壳	coquillage	L'enfant a ramassé des coquillages au bord de la mer.
奔波	courir partout; se démener	Il court partout pour son travail.
奔驰	filer; rouler à vive allure	La voiture filait sur l'autoroute.
本能	instinct	Protéger ses enfants est l'instinct des parents.
本钱	capital; fonds	Faire des affaires nécessite du capital.
本人	moi-même; la personne elle-même	Moi-même, je suis prêt à assumer la responsabilité.
本身	en soi; lui-même	Ce plan en lui-même n'a pas de problème.
本事	capacité; compétence	Il est très capable.
笨拙	maladroit	Ses mouvements sont un peu maladroits.
崩溃	s'effondrer; planter	Le système a soudainement planté.
甭	ne pas avoir besoin de	Tu n'as pas besoin de t'inquiéter pour cette affaire.
蹦	bondir; sauter	Le petit chien bondissait dans l'herbe.
迸发	jaillir; éclater	Les applaudissements ont jailli de la foule.
逼迫	forcer; contraindre	Ils l'ont forcé à signer le contrat.
鼻涕	morve; nez qui coule	L'enfant a un rhume et le nez qui coule sans arrêt.
比方	exemple; par exemple	Par exemple, nous pouvons d'abord essayer pendant un mois.
比喻	métaphore; analogie	Cette métaphore est très parlante.
比重	proportion	La proportion du secteur des services devient de plus en plus élevée.
鄙视	mépriser	Ne méprise pas les efforts des autres.
弊病	problème; défaut	Ce système présente pas mal de défauts.
弊端	inconvénient; défaut	Le nouveau plan a résolu les défauts de l'ancien système.
臂	bras	Son bras droit a été blessé.
闭塞	isolé; fermé	Autrefois, les transports dans ce village de montagne étaient très isolés.
编织	tricoter; tisser	Grand-mère tricote un pull.
边疆	région frontalière; frontière	De nombreux soldats gardent les frontières du pays.
边界	frontière; limite	Les deux pays ont redéfini la frontière.
边境	frontière; zone frontalière	Les zones frontalières ont renforcé les contrôles de sécurité.
边缘	bord; marge	La tasse est posée au bord de la table.
鞭策	stimuler; encourager	Les paroles du professeur m'ont toujours stimulé.
扁	plat	Cette boîte est large et plate.
贬低	dénigrer; rabaisser	Ne rabaisse pas à la légère les efforts des autres.
贬义	sens péjoratif	Ce mot a ici une connotation négative.
便利	pratique; commode	Le métro rend les déplacements plus pratiques.
便条	mot; billet	Il a laissé un mot sur la table.
便于	facile à; pratique pour	Cette conception est pratique pour les personnes âgées.
变故	événement imprévu; malheur	Un malheur inattendu est soudain arrivé dans la famille.
变迁	changements; évolution	Les changements de la ville l'ont beaucoup ému.
变质	se détériorer; tourner	Le lait tourne s'il reste trop longtemps.
辨认	reconnaître; identifier	La police lui a demandé d'identifier la personne sur la photo.
辩护	défendre	L'avocat a défendu l'accusé.
辩解	se justifier; expliquer	Il a essayé de justifier son erreur.
辩证	dialectique	Nous devons regarder ce problème de façon dialectique.
辫子	tresse	La petite fille porte deux tresses.
遍布	se trouver partout	Cette plante se trouve dans tout le pays.
标本	spécimen	Des spécimens d'animaux sont exposés au musée.
标记	marque; signe	Veuillez faire des marques à côté des passages importants.
标题	titre	Le titre de cet article est très attirant.
表决	voter; vote	Les représentants voteront sur la proposition.
表态	déclarer sa position	Il n'a pas encore déclaré publiquement sa position.
表彰	honorer; féliciter	L'entreprise a félicité les employés remarquables.
憋	retenir; étouffer	Il a retenu son rire et n'a rien dit.
别墅	villa	Ils ont acheté une villa en banlieue.
别致	original; distinctif	La décoration de ce café est très originale.
别扭	gênant; maladroit	Cette phrase sonne un peu bizarre.
濒临	être au bord de	Cette espèce est au bord de l'extinction.
冰雹	grêle	Il est tombé une forte grêle hier après-midi.
丙	troisième; groupe C	Le match du groupe C commence l'après-midi.
并非	ne pas être vraiment	Les choses ne sont pas comme tu l'imagines.
并列	à égalité; côte à côte	Ces deux projets sont à égalité à la première place.
剥削	exploiter; exploitation	Une grave exploitation existait dans l'ancienne société.
拨	composer; pousser	Veuillez composer ce numéro de téléphone.
播种	semer	Les agriculteurs commencent à semer au printemps.
波浪	vague	De grandes vagues se sont levées sur la mer.
波涛	flots; grandes vagues	Le bateau avançait dans les flots.
伯母	tante	Je vais rendre visite à ma tante ce week-end.
博大精深	vaste et profond	La culture chinoise est vaste et profonde.
博览会	exposition; foire internationale	L'exposition internationale a attiré de nombreuses entreprises.
搏斗	se battre; lutter	La police s'est battue avec le malfaiteur.
薄弱	faible	Ses bases en grammaire sont relativement faibles.
不顾	sans tenir compte de	Il s'est précipité à l'intérieur sans tenir compte du danger.
不愧	mériter vraiment d'être	Il mérite vraiment d'être appelé un expert expérimenté.
不料	contre toute attente	Contre toute attente, la réunion a soudain été annulée.
不像话	scandaleux; déraisonnable	C'est scandaleux de traiter les invités ainsi.
不屑一顾	traiter avec mépris	Il a traité ces rumeurs avec mépris.
哺乳	allaiter	La mère allaite le bébé.
捕捉	capturer; saisir	Le photographe a capturé un moment merveilleux.
补偿	compenser	L'entreprise compensera ta perte.
补救	remédier	Nous avons encore le temps d'y remédier.
补贴	subvention; allocation	Le gouvernement verse des subventions aux familles à faible revenu.
不得已	n'avoir pas d'autre choix	Il n'a quitté sa ville natale que parce qu'il n'avait pas le choix.
不妨	autant; il n'y a pas de mal à	Tu peux tout aussi bien écouter d'abord son explication.
不敢当	ne pas mériter un tel compliment	Vous me flattez trop, je ne mérite vraiment pas ces éloges.
不禁	ne pas pouvoir s'empêcher de	En entendant cette nouvelle, il n'a pas pu s'empêcher de rire.
不堪	insupportable; ne pas supporter	Le bruit ici est insupportable.
不可思议	incroyable; inimaginable	Ce résultat est vraiment incroyable.
不免	inévitable; ne pas pouvoir éviter	Pour sa première fois sur scène, il était inévitablement un peu nerveux.
不时	de temps en temps; fréquemment	Il levait la tête de temps en temps pour regarder l'horloge.
