simplified	ES-419	example_ES-419
挨	soportar; aguantar	Aguantó toda la noche y por fin esperó hasta el amanecer.
癌症	cáncer	Detectar el cáncer a tiempo es muy importante.
暧昧	ambiguo; poco claro	Su respuesta fue muy ambigua.
爱不释手	no poder soltar algo; encantar	El libro le gustó tanto que casi no podía soltarlo.
爱戴	querer y respetar	Este profesor es muy querido y respetado por los alumnos.
安宁	paz; tranquilidad	Las noches aquí son muy tranquilas.
安详	sereno	La expresión del anciano era muy serena.
安置	reubicar; instalar	El Gobierno reubicó a las personas afectadas por el desastre.
按摩	masaje; dar un masaje	He reservado un masaje.
暗示	insinuar; sugerir	Ella insinuó que debía dejar de preguntar.
案件	caso	La policía está investigando este caso.
案例	caso; ejemplo	Este caso es muy representativo.
昂贵	caro; costoso	Este equipo es muy caro.
凹凸	irregular; con relieves	La superficie de esta carretera es irregular.
熬	aguantar; soportar	Trabajó durante tres días duros antes de terminar el informe.
奥秘	misterio; secreto	El científico quiere descubrir este misterio.
巴不得	desear con impaciencia	Tengo muchísimas ganas de salir de inmediato.
巴结	adular; hacer la pelota	Él no quiere adular a los jefes.
扒	agarrarse; rasgar; pelar	El niño se agarró a la puerta y miró hacia fuera.
疤	cicatriz	Tiene una cicatriz en el brazo.
拔苗助长	forzar las cosas y estropearlas	Forzar así a un niño a estudiar solo estropea las cosas por prisa.
把关	supervisar; revisar	Este contrato necesita que un abogado lo revise.
把手	tirador; manilla	El tirador de la puerta está roto.
罢工	huelga; hacer huelga	Los trabajadores decidieron hacer huelga mañana.
霸道	dominante; autoritario	Él habla de una manera muy autoritaria.
掰	partir con las manos	Ella partió el pan en dos mitades.
摆脱	librarse de; deshacerse de	Por fin se libró de ese mal hábito.
拜访	visitar	Visitaremos al profesor este fin de semana.
拜年	felicitar el Año Nuevo	Durante la Fiesta de la Primavera visitamos a los abuelos para felicitarlos.
拜托	pedir un favor; confiar algo	Cuento contigo para este asunto.
败坏	arruinar; dañar	Este tipo de conducta dañará la reputación de la empresa.
斑	mancha; mota	El gato tiene una mancha negra.
颁布	promulgar; publicar	Las nuevas normas se promulgarán la próxima semana.
颁发	otorgar; emitir	La escuela otorgó certificados a los alumnos destacados.
版本	versión; edición	Este software tiene una nueva versión.
伴侣	compañero; pareja	Ella trata al perro como su compañero.
伴随	acompañar	El éxito suele venir acompañado de presión.
半途而废	abandonar a mitad de camino	No puedes abandonar una investigación a mitad de camino.
扮演	interpretar; desempeñar un papel	Él interpreta a un médico en la película.
榜样	modelo; ejemplo	Los padres son modelos para los hijos.
绑架	secuestro; secuestrar	La policía impidió un caso de secuestro.
磅	libra; pesar	Esta caja pesa veinte libras.
包庇	encubrir; proteger	Nadie debe encubrir un delito.
包袱	carga; bulto	Después de soltar esa carga, se sintió mucho más relajado.
包围	rodear; cercar	Los periodistas rodearon al actor.
包装	envase; empaquetar	El envoltorio de este regalo es muy bonito.
保管	custodiar; guardar	Yo guardo estos documentos.
保密	mantener en secreto; confidencial	El contenido de la reunión debe mantenerse en secreto.
保姆	niñera; empleada doméstica	Ellos contrataron a una niñera.
保守	conservador	Sus ideas son bastante conservadoras.
保卫	defender; proteger	Los soldados defienden la frontera.
保养	mantener; conservar	Este auto necesita mantenimiento regular.
保障	garantizar; proteger	La ley protege los derechos de los ciudadanos.
保重	cuidarse	Cuídate mucho mientras estés fuera.
饱和	saturado	Este mercado ya está casi saturado.
饱经沧桑	haber vivido muchas vicisitudes	Este anciano ha vivido muchas dificultades y cambios.
报酬	remuneración; recompensa	Recibió una remuneración razonable.
报仇	vengarse; tomar venganza	No quiere vengarse; solo quiere empezar de nuevo.
报答	corresponder; retribuir	Corresponderé a tu ayuda con mis acciones.
报复	represalia; vengarse	La venganza solo profundizará el conflicto.
报警	avisar a la policía; dar la alarma	Después de descubrir un incendio, debes llamar a la policía de inmediato.
报销	reembolsar; presentar gastos	Los gastos de viaje pueden reembolsarse.
抱负	aspiración; ambición	Desde pequeño tiene grandes ambiciones.
暴力	violencia	Nos oponemos a la violencia en cualquier forma.
暴露	exponer; revelar	Este problema fue saliendo a la luz poco a poco.
曝光	exponer; hacer público	Después de que esta foto se hiciera pública, atrajo atención.
爆发	estallar; entrar en erupción	El volcán entró en erupción de repente.
爆炸	explosión; explotar	Ocurrió una explosión en el laboratorio.
卑鄙	despreciable; vil	Este método despreciable enfada a la gente.
悲哀	triste; apenado	Después de oír la noticia, se sintió muy triste.
悲惨	trágico; miserable	Aquel fue un período trágico de la historia.
北极	Ártico; Polo Norte	Los científicos están investigando en el Ártico.
备份	copia de seguridad	Primero haz una copia de seguridad de los archivos importantes.
备忘录	memo; memorándum	Ella escribió los puntos clave en el memo.
背叛	traicionar	Él no pudo aceptar la traición de su amigo.
背诵	recitar de memoria	Los estudiantes están recitando el texto.
被动	pasivo	No podemos ser demasiado pasivos en la negociación.
被告	acusado; demandado	El acusado negó todos los cargos.
贝壳	concha	El niño recogió conchas junto al mar.
奔波	andar de un lado a otro	Él anda de un lado a otro por el trabajo.
奔驰	correr velozmente; ir a toda velocidad	El auto iba a toda velocidad por la autopista.
本能	instinto	Proteger a los hijos es instinto de los padres.
本钱	capital; recursos	Hacer negocios requiere capital.
本人	yo mismo; la persona en cuestión	Yo mismo estoy dispuesto a asumir la responsabilidad.
本身	en sí mismo	El plan en sí no tiene problema.
