hsk_key	source_word	simplified	TR	example_TR	SW	example_SW	AZ	example_AZ	UZ	example_UZ
503:爱人	爱人	爱人	eş; sevilen kişi	Eşim bugün fazla mesai yapıyor.	mwenzi wa ndoa; mpendwa	Mwenzi wangu wa ndoa anafanya kazi ya ziada leo.	həyat yoldaşı; sevilən insan	Həyat yoldaşım bu gün əlavə iş vaxtı işləyir.	turmush o‘rtoq; sevimli inson	Turmush o‘rtog‘im bugun qo‘shimcha vaqt ishlayapti.
508:班级	班级	班级	sınıf; sınıf grubu	Sınıfımızda otuz öğrenci var.	darasa; kundi la darasa	Darasani kwetu kuna wanafunzi thelathini.	sinif; sinif qrupu	Sinifimizdə otuz şagird var.	sinf; sinf guruhi	Sinfimizda o‘ttiz nafar o‘quvchi bor.
509:搬家	搬家	搬家	ev taşımak	Bu hafta sonu ev taşıyoruz.	kuhama nyumba	Tunahama nyumba wikendi hii.	ev köçmək	Bu həftəsonu ev köçürük.	uy ko‘chirmoq	Bu dam olish kunlari uy ko‘chiryapmiz.
510:办	办	办	yapmak; halletmek	Bugün öğleden sonra banka kartı çıkarmak için bankaya gideceğim.	kushughulikia; kufanya	Leo alasiri nitaenda benki kutengeneza kadi ya benki.	etmək; həll etmək	Bu gün günortadan sonra bank kartı düzəltmək üçün banka gedəcəyəm.	bajarmoq; rasmiylashtirmoq	Bugun tushdan keyin bank kartasi rasmiylashtirish uchun bankka boraman.
513:半天	半天	半天	yarım gün; uzun süre	O gelmeden önce uzun süre bekledim.	nusu siku; muda mrefu	Nilisubiri muda mrefu kabla hajaja.	yarım gün; uzun müddət	O gələnə qədər uzun müddət gözlədim.	yarim kun; uzoq vaqt	U kelguncha uzoq vaqt kutdim.
517:北	北	北	kuzey	Okulun kuzeyinde bir park var.	kaskazini	Kuna bustani upande wa kaskazini wa shule.	şimal	Məktəbin şimalında bir park var.	shimol	Maktabning shimolida bir bog‘ bor.
520:笔记	笔记	笔记	notlar	Derste dikkatle not alır.	maandishi ya kumbukumbu	Anachukua maandishi kwa makini darasani.	qeydlər	O, dərsdə diqqətlə qeydlər aparır.	qaydlar	U darsda diqqat bilan qaydlar yozadi.
526:变	变	变	değişmek	Hava soğudu.	kubadilika	Hali ya hewa imekuwa baridi.	dəyişmək	Hava soyuyub.	o‘zgarmoq	Havo sovuq bo‘lib qoldi.
528:变成	变成	变成	haline gelmek	Yağmur kara dönüştü.	kugeuka kuwa	Mvua iligeuka kuwa theluji.	çevrilmək	Yağış qara çevrildi.	aylanmoq	Yomg‘ir qorga aylandi.
531:别的	别的	别的	başka	Başka sorularınız var mı?	nyingine	Je, una maswali mengine?	başqa	Başqa suallarınız var?	boshqa	Boshqa savollaringiz bormi?
533:宾馆	宾馆	宾馆	otel	Havaalanına yakın bir otelde kalıyoruz.	hoteli	Tunakaa katika hoteli karibu na uwanja wa ndege.	mehmanxana; otel	Aeroporta yaxın bir oteldə qalırıq.	mehmonxona	Aeroport yaqinidagi mehmonxonada turibmiz.
534:冰	冰	冰	buz	Bardakta buz var.	barafu	Kikombeni kuna barafu.	buz	Fincanda buz var.	muz	Piyolada muz bor.
537:病人	病人	病人	hasta	Doktor bir hastayı muayene ediyor.	mgonjwa	Daktari anamwona mgonjwa.	xəstə	Həkim bir xəstəyə baxır.	bemor	Shifokor bir bemorni ko‘ryapti.
538:不但	不但	不但	sadece değil	O sadece Çince değil, İngilizce de konuşabilir.	si tu	Anaweza kuzungumza si Kichina tu bali pia Kiingereza.	təkcə deyil	O, təkcə çin dilində deyil, ingiliscə də danışa bilir.	nafaqat	U nafaqat xitoycha, balki inglizcha ham gapira oladi.
539:不见	不见	不见	görünmemek; uzun zamandır görmemek	Uzun zamandır görüşmedik. Son zamanlarda nasılsın?	kutoonekana; kutoonana kwa muda mrefu	Hatujaonana kwa muda mrefu. Hivi karibuni ukoje?	görünməmək; çoxdan görməmək	Çoxdandır görüşmürük. Son vaxtlar necəsən?	ko‘rinmaslik; anchadan beri ko‘rmaslik	Anchadan beri ko‘rishmadik. Oxirgi paytlarda qalaysan?
540:不用	不用	不用	gerek yok; kullanmamak	Beni beklemen gerekmiyor.	si lazima; kutotumia	Huhitaji kunisubiri.	lazım deyil; istifadə etməmək	Məni gözləməyinə ehtiyac yoxdur.	kerak emas; ishlatmaslik	Meni kutishing shart emas.
541:不同	不同	不同	farklı	Farklı fikirlerimiz var.	tofauti	Tuna mawazo tofauti.	fərqli	Bizim fərqli fikirlərimiz var.	turli; farqli	Bizda turli fikrlar bor.
542:不久	不久	不久	kısa süre sonra	Kısa süre sonra Şanghay'a taşındı.	si muda mrefu baadaye	Si muda mrefu baadaye alihamia Shanghai.	çox keçmədən	Çox keçmədən o, Şanxaya köçdü.	ko‘p o‘tmay	Ko‘p o‘tmay u Shanxayga ko‘chdi.
543:不行	不行	不行	olmaz; mümkün değil	Bugün olmaz. Dersim var.	haiwezekani; haifai	Leo haiwezekani. Nina darasa.	olmaz; mümkün deyil	Bu gün olmaz. Dərsim var.	bo‘lmaydi; mumkin emas	Bugun bo‘lmaydi. Darsim bor.
544:才1	才1	才	ancak; ancak o zaman	O ancak saat onda eve vardı.	ndipo; mpaka	Alifika nyumbani saa nne usiku tu.	yalnız onda; ancaq	O, yalnız saat onda evə gəldi.	faqat shunda; faqat	U faqat soat o‘nda uyga keldi.
548:草地	草地	草地	çimenlik	Çocuklar çimenlikte oynuyor.	nyasi; uwanja wa nyasi	Watoto wanacheza kwenye nyasi.	otluq; çəmənlik	Uşaqlar çəmənlikdə oynayırlar.	maysazor	Bolalar maysazorda o‘ynayapti.
550:查	查	查	kontrol etmek; bakmak	Bilet fiyatını kontrol etmek istiyorum.	kukagua; kutafuta	Nataka kuangalia bei ya tiketi.	yoxlamaq; axtarmaq	Bilet qiymətini yoxlamaq istəyirəm.	tekshirmoq; qidirmoq	Chipta narxini tekshirmoqchiman.
554:常	常	常	sık sık	O sık sık o kitapçıya gider.	mara kwa mara	Yeye huenda mara kwa mara kwenye duka hilo la vitabu.	tez-tez	O, tez-tez o kitab mağazasına gedir.	tez-tez	U tez-tez o‘sha kitob do‘koniga boradi.
555:常见	常见	常见	yaygın; sık görülen	Bu yaygın bir sorudur.	ya kawaida; inayoonekana mara nyingi	Hili ni swali la kawaida.	adi; tez-tez rast gəlinən	Bu, adi bir sualdır.	odatiy; tez uchraydigan	Bu odatiy savol.
556:常用	常用	常用	yaygın kullanılan	Telefon yaygın kullanılan bir araçtır.	inayotumiwa mara kwa mara	Simu ni kifaa kinachotumiwa mara kwa mara.	tez-tez istifadə olunan	Telefon tez-tez istifadə olunan bir alətdir.	ko‘p ishlatiladigan	Telefon ko‘p ishlatiladigan vositadir.
557:常常	常常	常常	sık sık	Akşamları sık sık okurum.	mara nyingi	Mimi husoma mara nyingi jioni.	tez-tez	Mən axşamlar tez-tez oxuyuram.	tez-tez	Men kechqurun tez-tez o‘qiyman.
