source_headword	LV	example_LV
crawl	rāpot	Zīdainis sāka rāpot pa paklāju.
creator	radītājs	Radītājs pateicās visiem par atbalstu.
credibility	uzticamība	Liecinieks pratināšanas laikā zaudēja uzticamību.
credible	uzticams	Ziņojumā bija sniegti uzticami pierādījumi.
creep	lavīties	Migla sāka lavīties caur ieleju.
critique	kritika	Profesors sniedza detalizētu kritiku.
crown	kronis	Karaliene valkāja sudraba kroni.
crude	primitīvs	Zīmējums bija primitīvs, bet skaidrs.
crush	saspiest	Smagi akmeņi var sadragāt cauruli.
crystal	kristāls	Kristāls atspoguļoja rīta gaismu.
cult	kults	Kults izolēja savus biedrus.
cultivate	audzēt	Lauksaimnieki šajā reģionā audzē rīsus.
curiosity	zinātkāre	Zinātkāre viņu pievērsa zinātnei.
custody	aizbildniecība	Bērns palika tēva aizbildniecībā.
cutting	izgriezums	Laikraksts publicēja izgriezumu par viņu.
cynical	cinisks	Viņa ciniskā piezīme sarūgtināja komandu.
dam	dambis	Dambis aiztur upes ūdeni.
damaging	kaitīgs	Postošais raksts kaitēja kampaņai.
dawn	rītausma	Mēs atstājām ciematu rītausmā.
debris	gruveši	Vētras gruveši bloķēja ceļu.
debut	debija	Viņas debija piesaistīja valsts uzmanību.
decision-making	lēmumu pieņemšana	Laba lēmumu pieņemšana prasa skaidru informāciju.
decisive	izlēmīgs	Viņas izlēmīgā rīcība novērsa turpmākus bojājumus.
declaration	deklarācija	Ministrs nolasīja formālu deklarāciju.
dedicated	nodevies	Nodevusies medmāsa strādāja pa nakti.
dedication	atdeve	Viņa atdeve iedvesmoja jaunākos spēlētājus.
deed	rīcība	Drosmīga rīcība izglāba divas dzīvības.
deem	uzskatīt	Tiesa var uzskatīt līgumu par spēkā neesošu.
default	noklusējums	Pagaidām izmantojiet noklusējuma iestatījumu.
defect	defekts	Inspektori atrada nopietnu defektu.
defensive	aizstāvības	Viņa aizstāvības tonis visus pārsteidza.
deficiency	trūkums	Dzelzs trūkums var ietekmēt veselību.
deficit	deficīts	Budžeta deficīts satrauca amatpersonas.
defy	nepakļauties	Protestētāji izvēlējās nepakļauties aizliegumam.
delegate	delegāts	Katrs delegāts saņēma balsošanas karti.
delegation	delegācija	Delegācija ieradās pirms pusdienlaika.
delicate	trausls	Trauslais stikls viegli saplīsa.
demon	dēmons	Stāsts apraksta senu dēmonu.
denial	noliegums	Viņa noliegums sadusmoja upurus.
denounce	nosodīt	Līderi nosoda vardarbību skolās.
dense	biezs	Biezais mežs bloķēja saules gaismu.
density	blīvums	Iedzīvotāju blīvums pilsētas centrā ir augsts.
dependence	atkarība	Valsts atkarība no naftas samazinājās.
depict	attēlot	Sienas gleznojums attēlo ciema dzīvi.
deploy	izvietot	Armija izvietos papildu personālu.
deployment	izvietošana	Karaspēka izvietošana sākās pirmdien.
deprive	liegt	Miega trūkums var liegt studentiem spēju koncentrēties.
deputy	vietnieks	Vietnieks parakstīja vienošanos.
