simplified	NO	example_NO
哎	hei; oi	Hei, hva gjør du her?
唉	sukk; å	Å, jeg er sen igjen.
爱护	ta vare på; verne om	Vi bør ta vare på miljøet.
爱惜	sette pris på; være varsom med	Vær varsom med din egen tid.
爱心	omtanke; medfølelse	Hun er veldig omsorgsfull.
安慰	trøste	Vennen min trøstet meg.
安装	installere	Arbeideren installerer klimaanlegget.
岸	en strand; en elvebredd	Båten nærmer seg langsomt bredden.
暗	mørk	Det er veldig mørkt i rommet.
熬夜	være oppe sent	Å være oppe sent er dårlig for helsen.
把握	sikkerhet; grep	Jeg er ikke sikker på at jeg kan gjøre dette godt.
摆	sette; ordne	Sett stolene pent på plass.
办理	håndtere; ordne	Jeg går til banken for å ordne noen saker.
傍晚	om kvelden; i skumringen	Vi går en tur om kvelden.
包裹	en pakke	Jeg fikk en pakke.
包含	inneholde	Prisen inkluderer frokost.
包括	inkludere	Gebyret inkluderer lunsj.
薄	tynn	Denne boken er tynn.
保持	beholde; holde	Vennligst hold det stille.
保存	lagre; bevare	Lagre denne filen.
保留	reservere; beholde	Reserver en plass for meg.
保险	en forsikring	Jeg kjøpte reiseforsikring.
宝贝	en skatt; kjære	Dette er skatten min.
宝贵	verdifull	Tid er veldig verdifull.
报到	registrere seg; melde seg	Nye studenter kommer til skolen for å registrere seg i dag.
报道	rapportere; en rapport	Nyhetene rapporterte om denne saken.
报告	en rapport; rapportere	Han holder en rapport.
报社	en avisredaksjon	Hun arbeider i en avisredaksjon.
抱怨	klage	Han klager alltid over at det er for mye arbeid.
悲观	pessimistisk	Ikke vær for pessimistisk.
背	ryggen	Han sitter med ryggen mot døren.
背景	en bakgrunn	Fortell kort om bakgrunnen din.
被子	en dyne	Dynen er veldig varm.
本科	bachelorutdanning; grunnutdanning	Han er bachelorstudent.
本领	en ferdighet	Han lærte en ny ferdighet.
本质	en kjerne; natur	Kjernen i problemet er veldig enkel.
彼此	hverandre	Vi bør respektere hverandre.
比例	et forhold; en proporsjon	Forholdet mellom menn og kvinner er omtrent likt.
必然	uunngåelig	Hardt arbeid gir uunngåelig resultater.
必要	nødvendig	Det er ingen grunn til å bekymre seg.
毕竟	tross alt	Tross alt er han fortsatt et barn.
避免	unngå	Unngå å komme for sent.
编辑	redigere; en redaktør	Han har ansvar for å redigere denne artikkelen.
鞭炮	smellere	Under vårfestivalen tenner noen smellere.
便	da; bekvem	Etter maten gikk han til timen.
辩论	en debatt; debattere	De debatterer dette spørsmålet.
标点	tegnsetting	Vær oppmerksom på tegnsettingen.
标志	et tegn; et symbol	Rødt lys er et tegn på å stoppe.
表达	uttrykke	Han uttrykte sitt eget syn.
表面	en overflate	Overflaten på bordet er veldig ren.
表明	vise; gjøre klart	Resultatet viser at han har rett.
表情	et ansiktsuttrykk	Ansiktsuttrykket hennes er veldig alvorlig.
表现	prestere; opptre	Han presterte veldig bra i dag.
冰激凌	en iskrem	Barn liker å spise iskrem.
病毒	et virus	Dette viruset sprer seg veldig raskt.
播放	spille av; sende	Spill av denne sangen.
玻璃	glass; et glass	Glasset knuste.
博物馆	et museum	Vi skal på museum denne helgen.
脖子	en hals	Jeg har litt vondt i halsen.
不断	stadig; uavbrutt	Prisene fortsetter å stige.
不见得	ikke nødvendigvis	Dette er ikke nødvendigvis en dårlig ting.
不耐烦	utålmodig	Etter å ha ventet lenge ble han litt utålmodig.
不要紧	det gjør ingenting; ikke alvorlig	Det er greit, det gjør ingenting.
补充	legge til; supplere	Jeg vil legge til ett synspunkt.
不安	urolig	Etter å ha hørt nyheten følte hun seg urolig.
不得了	veldig alvorlig	Denne saken er virkelig alvorlig.
不然	ellers	Gå raskt, ellers kommer du for sent.
不如	det er bedre å	Det er bedre å gå enn å kjøre.
不足	utilstrekkelig	Det er ikke nok vann her.
布	et stoff	Dette stoffet er veldig mykt.
步骤	et trinn	Følg trinnene når du gjør det.
部门	en avdeling	Jeg arbeider i salgsavdelingen.
财产	eiendom	Dette huset er hans eiendom.
彩虹	en regnbue	En regnbue kom frem etter regnet.
踩	tråkke på	Ikke tråkk på gresset.
采访	intervjue	Reporteren intervjuer legen.
采取	ta i bruk; vedta	Vi tok i bruk en ny metode.
参考	se i; bruke som referanse	Se i denne boken som referanse.
参与	delta	Han deltar aktivt i aktiviteter.
惭愧	skamme seg	Jeg skammer meg over min egen feil.
操场	en idrettsplass	Studentene løper på idrettsplassen.
操心	bekymre seg	Ikke bekymre deg for meg.
册	et bind; en bok	Jeg kjøpte ett bind av en bok.
测验	en prøve	Det er en liten prøve i morgen.
曾经	en gang; tidligere	Jeg har tidligere bodd i Beijing.
叉子	en gaffel	Jeg spiser salat med gaffel.
差距	en forskjell; et gap	Det er et gap mellom by og land.
插	sette inn; stikke	Sett blomstene i vasen.
拆	rive; demontere	Arbeiderne river det gamle huset.
产品	et produkt	Dette produktet har veldig god kvalitet.
产生	oppstå; skape	Dette spørsmålet fikk en ny virkning.
常识	sunn fornuft; allmennkunnskap	Dette er grunnleggende sunn fornuft.
长途	langdistanse	En lang reise er slitsom.
抄	kopiere; skrive av	Ikke skriv av andres lekser.
超级	super-; enorm	Dette er et supermarked.
朝	et dynasti	Tang-dynastiet er veldig kjent.
潮湿	fuktig	Sommeren i sør er veldig fuktig.
吵	bråkete	Det er veldig bråkete ute.
吵架	krangle	De kranglet igjen.
炒	steke; wokke	Mamma steker mat.
车库	en garasje	Bilen står i garasjen.
车厢	en vogn	Denne togvognen er veldig stille.
彻底	grundig; helt	Han forstod det helt.
沉默	stillhet; være stille	Han var stille hele tiden.
趁	mens	La oss gå mens det ennå ikke er mørkt.
称	veie; kalle	Vei denne pakken.
称呼	tiltale; kalle	Jeg vet ikke hvordan jeg skal tiltale ham.
称赞	rose	Læreren roste fremgangen hans.
成分	en ingrediens; sammensetning	Ingrediensene i denne medisinen er enkle.
成果	et resultat	Dette prosjektet ga resultater.
成就	en prestasjon	Han har mange prestasjoner i karrieren.
成立	grunnlegges; etableres	Selskapet ble grunnlagt i fjor.
成人	en voksen	Voksenbilletter er dyrere enn barnebilletter.
成熟	moden	Eplene er allerede modne.
成语	et idiom	Dette idiomet brukes ofte.
成长	vokse opp	Barnet vokser langsomt opp.
承担	ta ansvar; påta seg	Han er villig til å ta ansvar.
承认	innrømme	Han innrømmet at han tok feil.
承受	tåle; bære	Jeg tåler ikke så stort press.
程度	et nivå; grad	Kinesisknivået hans er høyt.
程序	en prosedyre; rekkefølge	Håndter det i henhold til prosedyren.
诚恳	oppriktig	Holdningen hans er veldig oppriktig.
吃亏	tape på noe; bli lurt	Se nøye før du kjøper noe, så du ikke blir lurt.
持续	fortsette; vare	Regnet varte i tre dager.
池塘	en dam	Det er mye fisk i dammen.
迟早	før eller senere	Du kommer til å forstå før eller senere.
尺子	en linjal	Mål det med en linjal.
翅膀	en vinge	Fuglens vinge er skadet.
充电器	en lader	Laderen min er ødelagt.
充分	tilstrekkelig; full	Vi gjorde tilstrekkelige forberedelser.
充满	være full av	Rommet var fullt av latter.
冲	skylle	Skyll koppen med vann.
重复	gjenta	Ikke gjenta den samme feilen.
宠物	et kjæledyr	Hun har en hund som kjæledyr.
抽屉	en skuff	Nøkkelen ligger i skuffen.
抽象	abstrakt	Dette begrepet er for abstrakt.
丑	stygg	Dette bildet er litt stygt.
臭	stinke; illeluktende	Søppelet lukter vondt.
出版	gi ut	Denne boken ble utgitt i fjor.
出口	en utgang; eksport	Utgangen er foran.
出色	fremragende	Prestasjonen hennes er fremragende.
出示	vise frem	Vis passet ditt.
出席	være til stede	Han kommer til å være til stede på møtet.
初级	grunnleggende; nybegynner-	Jeg studerer kinesisk i nybegynnerklassen.
除非	med mindre	Med mindre det regner, går vi på fjelltur i morgen.
除夕	nyttårsaften	På nyttårsaften spiser hele familien vår sammen.
处理	håndtere	Jeg skal håndtere dette problemet.
传播	spre	Denne nyheten spredte seg veldig raskt.
传染	smitte	Forkjølelse smitter lett.
传说	en legende	Dette er en gammel legende.
传统	en tradisjon; tradisjonell	Kinesisk nyttår er en tradisjonell kinesisk høytid.
窗帘	gardiner	Trekk gardinene fra.
闯	rase; kjøre på	Han kjørte på rødt ved et uhell.
创造	skape	Folk skapte nye verktøy.
吹	blåse	Det blåser kraftig.
词汇	et ordforråd; et ord	Dette ordet brukes ofte.
辞职	si opp	Han bestemte seg for å si opp.
此外	dessuten	Dessuten har jeg et spørsmål til.
刺激	spennende; stimulere	Dette spillet er veldig spennende.
次要	sekundær	Dette problemet er sekundært.
匆忙	i hast	Han dro hjemmefra i hast.
从此	fra da av	Fra da av trente han hver dag.
从而	dermed	Han studerte hardt og besto dermed eksamen.
从前	før; tidligere	Før var det ingen T-bane her.
从事	arbeide med	Hun arbeider med utdanning.
粗糙	grov	Dette papirarket er veldig grovt.
促进	fremme	Trening kan fremme helsen.
促使	få til; drive frem	Denne saken fikk ham til å endre planen.
醋	eddik	Det ble tilsatt eddik i retten.
催	skynde på	Mamma skyndte på meg så jeg skulle komme meg ut.
存在	eksistere	Dette problemet eksisterer fortsatt.
措施	et tiltak	Skolen iverksatte sikkerhetstiltak.
答应	love; gå med på	Han gikk med på å hjelpe meg.
达到	nå	Karakterene hans nådde standarden.
打工	jobbe deltid	Han jobber deltid på en restaurant i sommerferien.
打交道	ha med å gjøre	Jeg har ofte med kunder å gjøre.
打喷嚏	nyse	Han er forkjølet og nyser hele tiden.
打听	spørre om	Jeg vil spørre om togbilletter.
大方	generøs	Hun er veldig generøs med penger.
大厦	en stor bygning	Den store bygningen er veldig høy.
大象	en elefant	Barna ser på elefanter i dyrehagen.
大型	storskala	Det skal bygges et stort kjøpesenter her.
呆	bli; oppholde seg	Han blir hjemme og leser.
代表	representere	Denne blomsten representerer vennskap.
代替	erstatte; i stedet for	I dag deltar jeg på møtet i hans sted.
待遇	arbeidsvilkår; behandling	Dette selskapet har gode arbeidsvilkår.
贷款	et lån	De søkte om boliglån.
单纯	enkel; uskyldig	Tanken hennes er veldig enkel.
单调	ensformig	Dette arbeidet er litt ensformig.
单独	alene	Jeg vil snakke med deg alene.
单位	en enhet; arbeidsplass	Han arbeider i en offentlig institusjon.
单元	en enhet; et kapittel	Vi studerer kapittel tre i dag.
担任	ha rollen som	Hun har rollen som ansvarlig for denne aktiviteten.
耽误	forsinke; kaste bort	Ikke kast bort alles tid.
胆小鬼	en feiging	Ikke kall ham en feiging.
淡	svak; mild	Denne suppen er litt smakløs.
当地	lokal	Lokalbefolkningen liker dette markedet.
当心	være forsiktig	Veien er glatt, så vær forsiktig.
挡	blokkere	Denne bilen blokkerer inngangen.
倒霉	ha uflaks	I dag har jeg virkelig uflaks; jeg mistet mobilen.
导演	en regissør	Denne regissøren er veldig kjent.
