simplified	FR	example_FR	DE	example_DE
爱情	l'amour; l'amour romantique	C'est une histoire d'amour touchante.	die Liebe; die romantische Liebe	Das ist eine bewegende Liebesgeschichte.
安排	organiser; le programme	Quels sont tes projets pour ce week-end ?	planen; die Planung	Was hast du für dieses Wochenende geplant?
安全	sûr; la sécurité	Faites attention à votre sécurité, s'il vous plaît.	sicher; die Sicherheit	Bitte achten Sie auf Ihre Sicherheit.
按时	à l'heure; ponctuellement	J'ai terminé la tâche à l'heure.	pünktlich; rechtzeitig	Ich habe die Aufgabe pünktlich erledigt.
按照	selon; conformément à	Ce plan est très bon, suis-le.	nach; gemäß	Dieser Plan ist sehr gut, mach es einfach danach.
百分之	pour cent	Quatre-vingts pour cent de la tâche sont terminés.	Prozent	Achtzig Prozent der Aufgabe sind erledigt.
棒	super; formidable	Ton écriture est vraiment superbe !	toll; großartig	Deine Handschrift ist wirklich toll!
包子	le baozi; le petit pain farci vapeur	Les baozi de ce restaurant sont très bons.	der Baozi; das gedämpfte gefüllte Brötchen	Die Baozi in diesem Restaurant schmecken sehr gut.
保护	protéger	Les gens devraient protéger l'environnement.	schützen	Die Menschen sollten die Umwelt schützen.
保证	garantir; la garantie	Je te promets que je ne serai plus en retard.	garantieren; das Versprechen	Ich verspreche, dass ich nicht wieder zu spät komme.
报名	s'inscrire; l'inscription	Quels documents faut-il pour l'inscription ?	sich anmelden; die Anmeldung	Welche Unterlagen braucht man für die Anmeldung?
抱	tenir dans les bras; prendre dans les bras	Il a pris l'enfant dans ses bras.	halten; umarmen	Er nahm das Kind auf den Arm.
抱歉	désolé; s'excuser	Je suis vraiment désolé de vous avoir fait attendre si longtemps.	entschuldigt; sich entschuldigen	Es tut mir sehr leid, dass Sie so lange warten mussten.
倍	la fois; le double	Le nombre d'étudiants étrangers dans notre école a doublé par rapport à l'année dernière.	das Mal; doppelt	Die Zahl der internationalen Studierenden an unserer Schule hat sich im Vergleich zum letzten Jahr verdoppelt.
