simplified	KK	example_KK
哎	әй	Әй, сен қалай келдің?
唉	қап	Қап, мен тағы кешіктім.
爱护	қорғау	Біз қоршаған ортаны қорғауымыз керек.
爱惜	қадірлеу	Өз уақытыңды қадірле.
爱心	мейірім	Ол өте мейірімді.
安慰	жұбату	Досым мені жұбатты.
安装	орнату	Жұмысшы кондиционерді орнатып жатыр.
岸	жаға	Қайық жағаға баяу жақындады.
暗	қараңғы	Бөлме іші өте қараңғы.
熬夜	түн ұйқысын қию	Түн ұйқысын қию денсаулыққа зиян.
把握	сенімділік	Бұл істі жақсы істей алатыныма сенімді емеспін.
摆	реттеп қою	Орындықтарды реттеп қойыңыз.
办理	рәсімдеу	Мен банкке іс рәсімдеуге барамын.
傍晚	кешқұрым	Кешқұрым біз серуенге шығамыз.
包裹	сәлемдеме	Мен бір сәлемдеме алдым.
包含	қамту	Бағаға таңғы ас қамтылған.
包括	қоса қамту	Төлемге түскі ас қоса қамтылған.
薄	жұқа	Бұл кітап өте жұқа.
保持	сақтау	Тыныштықты сақтаңыз.
保存	сақтап қою	Бұл құжатты сақтап қойыңыз.
保留	сақтап қою	Маған бір орын сақтап қойыңыз.
保险	сақтандыру	Мен жол жүру сақтандыруын сатып алдым.
宝贝	қазына	Бұл менің қазынам.
宝贵	қымбат	Уақыт өте қымбат.
报到	тіркелу	Жаңа оқушылар бүгін мектепке тіркелуге келді.
报道	хабарлау	Жаңалықтар бұл оқиғаны хабарлады.
报告	баяндама	Ол баяндама жасап жатыр.
报社	газет редакциясы	Ол газет редакциясында жұмыс істейді.
抱怨	шағымдану	Ол жұмыстың көптігіне үнемі шағымданады.
悲观	пессимистік	Тым пессимистік болма.
背	арқа	Ол есікке арқасын беріп отыр.
背景	орта	Өзіңнің ортаңды қысқаша таныстыр.
被子	көрпе	Көрпе өте жылы.
本科	бакалавриат	Ол бакалавриат студенті.
本领	қабілет	Ол жаңа қабілет үйренді.
本质	мән	Мәселенің мәні өте қарапайым.
彼此	бір-бірін	Біз бір-бірімізді құрметтеуіміз керек.
比例	арақатынас	Ерлер мен әйелдердің арақатынасы шамалас.
必然	міндетті түрде	Еңбек міндетті түрде нәтиже береді.
必要	қажет	Уайымдаудың қажеті жоқ.
毕竟	ақыр соңында	Ақыр соңында, ол әлі бала.
避免	аулақ болу	Кешігуден аулақ болыңыз.
编辑	редакциялау	Ол бұл мақаланы редакциялауға жауапты.
鞭炮	петарда	Көктем мерекесінде кей адамдар петарда атады.
便	сосын	Ол тамақтанып болған соң сабаққа кетті.
辩论	пікірталас	Олар бұл мәселе бойынша пікірталасып жатыр.
标点	тыныс белгісі	Тыныс белгілеріне назар аударыңыз.
标志	белгі	Қызыл шам тоқтау белгісі.
表达	білдіру	Ол өз көзқарасын білдірді.
表面	беткі жағы	Үстелдің беткі жағы өте таза.
表明	көрсету	Нәтиже оның дұрыс екенін көрсетті.
表情	бет әлпеті	Оның бет әлпеті өте байсалды.
表现	көрсету	Ол бүгін өзін жақсы көрсетті.
冰激凌	балмұздақ	Балалар балмұздақ жегенді жақсы көреді.
病毒	ауру қоздырғыш	Мұндай ауру қоздырғыш өте тез таралады.
播放	қосу	Осы әнді қосыңыз.
玻璃	шыны	Шыны стақан сынды.
博物馆	мұражай	Біз демалыс күні мұражайға барамыз.
脖子	мойын	Менің мойным сәл ауырып тұр.
不断	үздіксіз	Баға үздіксіз өсіп жатыр.
不见得	міндетті емес	Бұл міндетті түрде жаман нәрсе емес.
不耐烦	шыдамсыз	Ұзақ күткен соң ол сәл шыдамсызданды.
不要紧	оқасы жоқ	Ештеңе етпейді, оқасы жоқ.
补充	толықтыру	Мен бір пікір толықтырғым келеді.
不安	мазасыз	Бұл хабарды естіген соң ол мазасызданды.
不得了	өте ауыр	Бұл іс өте ауыр.
不然	әйтпесе	Тезірек жүр, әйтпесе кешігесің.
不如	одан да	Көлікке отырғаннан гөрі одан да жаяу жүрген жақсы.
不足	жеткіліксіз	Мұнда су жеткіліксіз.
布	мата	Бұл мата өте жұмсақ.
步骤	қадам	Қадамдар бойынша орындаңыз.
部门	бөлім	Мен сату бөлімінде жұмыс істеймін.
财产	мүлік	Бұл үй оның мүлкі.
彩虹	кемпірқосақ	Жаңбырдан кейін кемпірқосақ шықты.
踩	басу	Шөпті баспаңыз.
采访	сұхбат алу	Тілші дәрігерден сұхбат алып жатыр.
采取	қолдану	Біз жаңа әдіс қолдандық.
参考	сілтеме алу	Бұл кітапқа сілтеме алыңыз.
参与	қатысу	Ол іс-шараларға белсенді қатысады.
惭愧	ұялу	Мен өз қателігім үшін ұялдым.
操场	алаң	Оқушылар алаңда жүгіріп жүр.
操心	уайымдау	Мен үшін уайымдама.
册	том	Мен бір том кітап сатып алдым.
测验	шағын сынақ	Ертең шағын сынақ болады.
曾经	бір кезде	Мен бір кезде Бейжіңде тұрғанмын.
叉子	шанышқы	Мен салатты шанышқымен жеймін.
差距	айырмашылық	Қала мен ауыл арасында айырмашылық бар.
插	салу	Гүлдерді құмыраға салыңыз.
拆	бұзу	Жұмысшылар ескі үйді бұзып жатыр.
产品	өнім	Бұл өнімнің сапасы өте жақсы.
产生	туғызу	Бұл мәселе жаңа әсер туғызды.
常识	жалпы білім	Бұл негізгі жалпы білім.
长途	алыс жол	Алыс жол шаршатады.
抄	көшіріп жазу	Басқаның үй тапсырмасын көшіріп жазба.
超级	алып	Бұл алып базар.
朝	әулет	Таң әулеті өте әйгілі.
潮湿	ылғалды	Оңтүстіктің жазы өте ылғалды.
吵	шу	Сыртта өте шу.
吵架	ұрысу	Олар тағы ұрысты.
炒	қуыру	Анам көкөніс қуырып жатыр.
车库	гараж	Көлік гаражда тұр.
车厢	вагон	Бұл вагон өте тыныш.
彻底	толық	Ол толық түсінді.
沉默	үнсіздік	Ол үнемі үнсіз отырды.
趁	пайдаланып	Қараңғы түспей тұрғанда жүрейік.
称	өлшеу	Мына сәлемдемені өлшеп беріңіз.
称呼	атау	Оны қалай атау керегін білмеймін.
称赞	мақтау	Мұғалім оның ілгерілеуін мақтады.
成分	құрамы	Бұл дәрінің құрамы қарапайым.
成果	нәтиже	Бұл жоба нәтиже берді.
成就	жетістік	Оның мансабында көп жетістік бар.
成立	құрылу	Компания өткен жылы құрылды.
成人	ересек	Ересектер билеті балалар билетінен қымбат.
成熟	піскен	Алмалар әлдеқашан піскен.
成语	тұрақты тіркес	Бұл тұрақты тіркес жиі қолданылады.
成长	өсу	Бала біртіндеп өсіп келеді.
承担	мойнына алу	Ол жауапкершілікті мойнына алуға дайын.
承认	мойындау	Ол өзінің қателескенін мойындады.
承受	көтеру	Мен мұндай үлкен қысымды көтере алмаймын.
程度	деңгей	Оның қытай тілі деңгейі жоғары.
程序	рәсім	Рәсім бойынша орындаңыз.
诚恳	шыншыл	Оның көзқарасы өте шыншыл.
吃亏	ұтылып қалу	Зат сатып аларда анық қарап ал, ұтылып қалма.
持续	жалғасу	Жаңбыр үш күн жалғасты.
池塘	тоған	Тоғанда көп балық бар.
迟早	ерте ме кеш пе	Сен ерте ме кеш пе түсінесің.
尺子	сызғыш	Сызғышпен өлшеп беріңіз.
翅膀	қанат	Құстың қанаты жараланған.
充电器	қуаттағыш	Менің қуаттағышым бұзылды.
充分	жеткілікті	Біз жеткілікті дайындық жасадық.
充满	толы	Бөлме күлкіге толы болды.
冲	шаю	Стақанды сумен шайып жіберіңіз.
重复	қайталау	Сол қателікті қайталамаңыз.
宠物	үй жануары	Ол бір үй итін асырайды.
抽屉	тартпа	Кілт тартпаның ішінде.
抽象	дерексіз	Бұл ұғым тым дерексіз.
丑	сүйкімсіз	Бұл сурет сәл сүйкімсіз.
臭	сасық	Қоқыс өте сасық.
出版	жариялану	Бұл кітап өткен жылы жарияланды.
出口	шығу	Шығу жолы алда.
出色	үздік	Оның өнері өте үздік.
出示	көрсету	Паспортыңызды көрсетіңіз.
出席	қатысу	Ол жиналысқа қатысады.
初级	бастауыш деңгей	Мен қытай тілін бастауыш деңгей сыныбында оқимын.
除非	егер ғана	Егер жаңбыр жаумаса ғана, ертең тауға шығамыз.
除夕	Жаңа жыл қарсаңы	Жаңа жыл қарсаңында бүкіл отбасымыз бірге тамақтанады.
处理	шешу	Мен бұл мәселені шешемін.
传播	таралу	Бұл хабар өте тез таралды.
传染	жұғу	Суық тию оңай жұғады.
传说	аңыз	Бұл көне аңыз.
传统	дәстүр	Көктем мерекесі Қытайдың дәстүрлі мерекесі.
窗帘	перде	Пердені ашыңыз.
闯	өтіп кету	Ол абайсызда қызыл шамнан өтіп кетті.
创造	жасау	Адамдар жаңа құралдар жасады.
吹	соғу	Жел қатты соғып тұр.
词汇	сөздік қор	Бұл сөздік бірлік жиі қолданылады.
辞职	жұмыстан шығу	Ол жұмыстан шығуға шешім қабылдады.
此外	бұған қоса	Бұған қоса, менде тағы бір сұрақ бар.
刺激	қызықты	Бұл ойын өте қызықты.
次要	екінші дәрежелі	Бұл мәселе екінші дәрежелі.
匆忙	асығыс	Ол үйден асығыс шықты.
从此	содан бері	Содан бері ол күн сайын жаттығады.
从而	соның арқасында	Ол тырысып оқыды, соның арқасында емтиханнан өтті.
从前	бұрын	Бұрын мұнда метро жоқ еді.
从事	айналысу	Ол білім беру ісімен айналысады.
粗糙	кедір-бұдыр	Бұл қағаз өте кедір-бұдыр.
促进	ілгерілету	Жаттығу денсаулықты ілгерілетеді.
促使	итермелеу	Бұл іс оны жоспарын өзгертуге итермеледі.
醋	сірке суы	Тағамға сірке суы қосылды.
催	асықтыру	Анам мені тезірек шығуға асықтырды.
存在	бар болу	Бұл мәселе әлі де бар.
措施	шара	Мектеп қауіпсіздік шараларын қабылдады.
答应	келісу	Ол маған көмектесуге келісті.
达到	жету	Оның нәтижесі стандартқа жетті.
打工	қосымша жұмыс істеу	Ол жазғы демалыста мейрамханада қосымша жұмыс істейді.
打交道	іс жүргізу	Мен клиенттермен жиі іс жүргіземін.
打喷嚏	түшкіру	Ол суық тиіп, үнемі түшкіреді.
打听	сұрастыру	Мен пойыз билеті туралы сұрастырғым келеді.
大方	жомарт	Ол ақша жұмсауға өте жомарт.
大厦	биік ғимарат	Ана биік ғимарат өте зәулім.
大象	піл	Балалар хайуанаттар бағында піл көріп жүр.
大型	ірі	Мұнда ірі сауда орталығы салынады.
呆	қалу	Ол үйде қалып кітап оқиды.
代表	білдіру	Бұл гүл достықты білдіреді.
代替	орнына	Бүгін мен оның орнына жиналысқа қатысамын.
待遇	жағдай	Бұл компаниядағы жағдай жақсы.
贷款	несие	Олар тұрғын үй несиесіне өтініш берді.
单纯	қарапайым	Оның ойы өте қарапайым.
