source_headword	AZ	example_AZ
toss	atmaq	O, açarları stolun üstünə atdı.
total	təşkil etmək	Təmir gözləniləndən çox təşkil etdi.
toxic	zəhərli	Zəhərli tüstü hər kəsi çölə çıxmağa məcbur etdi.
trademark	ticarət markası	Loqo şirkətin ticarət markası oldu.
trail	cığır	Cığır meşənin içindən keçirdi.
trailer	treyler	Treyler filmin sonunu göstərdi.
transaction	əməliyyat	Əməliyyat bank çıxarışımda göründü.
transcript	transkript	Tələbə rəsmi transkript tələb etdi.
transformation	çevrilmə	Şəhər böyük bir dönüşüm yaşadı.
transit	tranzit	Bağlama daşınma zamanı zədələndi.
transmission	ötürülmə	Məlumatın ötürülməsi təhlükəsiz idi.
transparency	şəffaflıq	Hesabat daha çox şəffaflığa çağırdı.
transparent	şəffaf	Proses hər kəs üçün şəffaf olmalıdır.
trauma	travma	Qəza dərin travma buraxdı.
treaty	müqavilə	Ölkələr sülh müqaviləsi imzaladılar.
tremendous	nəhəng	Komanda böyük irəliləyiş əldə etdi.
tribal	qəbilə	Muzey qəbilə incəsənətini nümayiş etdirdi.
tribunal	tribunal	Tribunal bütün həftə sübutları dinlədi.
tribute	xatirəsinə həsr	Konsert ona bir ehtiram idi.
trio	trio	Trio festivalda çıxış etdi.
triumph	zəfər	Qələbə şəxsi bir zəfər idi.
trophy	kubok	Kapitan kuboku qürurla qaldırdı.
troubled	problemli	Problemli şirkətin yeni rəhbərliyə ehtiyacı var idi.
trustee	qəyyum	Qəyyum təqaüd fondunu idarə edir.
tuition	təhsil haqqı	Onun təhsil haqqı bu il artdı.
turnout	iştirak	Seçici iştirakı gözləniləndən yüksək oldu.
turnover	kadr axını	Dəyişikliklərdən sonra kadr axını azaldı.
twist	burmaq	O, qapağı buraraq açdı.
undergraduate	bakalavr tələbəsi	Bakalavr tələbəsi tədqiqat layihəsinə qoşuldu.
underlying	əsas	Hesabat əsas səbəbləri izah etdi.
undermine	sarsıtmaq	Qalmaqal ictimai etimadı sarsıtdı.
undoubtedly	şübhəsiz	O, şübhəsiz ki, ən yaxşı namizəddir.
unify	birləşdirmək	Plan komandaları birləşdirməyi hədəfləyir.
unprecedented	görünməmiş	Fırtına görünməmiş zərər vurdu.
unveil	təqdim etmək	Şirkət dizaynı sabah təqdim edəcək.
upcoming	qarşıdan gələn	Qarşıdan gələn seçkilər ictimaiyyətin diqqətini çəkdi.
