source_headword	SI	example_SI
hunt	සොයන්න	ඔවුන් ශරත් කාලයේ හතු සොයති.
hurricane	චණ්ඩ මාරුතය	චණ්ඩ මාරුතය බොහෝ නිවාසවලට හානි කළේය.
hurry	හදිසිය	අද කිසිදු හදිසියක් නැත.
identity	අනන්‍යතාවය	ඇගේ අනන්‍යතාවය රහසක්ව පැවතුණි.
ignore	නොසලකා හැරීම	මෙම අනතුරු ඇඟවීම නොසලකා නොහරින්න.
illegal	නීති විරෝධී	මෙහි වාහන නැවැත්වීම නීති විරෝධීය.
imaginary	කල්පිත	කතාවේ කල්පිත දිවයිනක් ඇත.
immediate	ක්ෂණික	අපට ක්ෂණික පිළිතුරක් අවශ්‍යයි.
immigrant	සංක්‍රමණිකයා	සංක්‍රමණිකයා ඉක්මනින් ඉංග්‍රීසි ඉගෙන ගත්තේය.
impact	බලපෑම	පුවතට දැඩි බලපෑමක් තිබුණි.
import	ආනයනය කරන්න	රට තවත් සහල් ආනයනය කරනු ඇත.
importance	වැදගත්කම	ඇය නින්දේ වැදගත්කම තේරුම් ගත්තාය.
impression	හැඟීම	ඔහුගේ පළමු හැඟීම ධනාත්මක විය.
impressive	ආකර්ෂණීය	කෞතුකාගාරයට ආකර්ෂණීය පිවිසුමක් ඇත.
improvement	දියුණුව	මෙම මාසයේ පැහැදිලි දියුණුවක් තිබුණි.
incredibly	අතිශයින්	පරීක්ෂණය අතිශයින් දුෂ්කර විය.
indeed	ඇත්තෙන්ම	එය ඇත්තෙන්ම අමුතු දවසක් විය.
indicate	පෙන්වා දෙන්න	සංඥාව පිටවීම පෙන්වා දෙයි.
indirect	පරෝක්ෂ	ඇය පරෝක්ෂ පිළිතුරක් දුන්නාය.
indoor	ගෘහස්ථ	හෝටලයට ගෘහස්ථ පිහිනුම් තටාකයක් ඇත.
indoors	ගෘහය තුළ	කුණාටුව අතරතුර අපි ගෘහය තුළ සිටියෙමු.
influence	බලපෑම	ඔහුගේ ගුරුවරයාට දැඩි බලපෑමක් තිබුණි.
ingredient	අමුද්‍රව්‍යය	පිටි ප්‍රධාන අමුද්‍රව්‍යයයි.
injure	තුවාල කරන්න	ඔබේ පිට තුවාල නොකරන්න.
injured	තුවාල ලැබූ	තුවාල ලැබූ ක්‍රීඩකයා පිටියෙන් ඉවත් විය.
innocent	නිර්දෝෂී	දරුවා සම්පූර්ණයෙන්ම නිර්දෝෂී ලෙස පෙනුණි.
intelligence	බුද්ධිය	ඇය පන්තියේදී මහත් බුද්ධියක් පෙන්නුවාය.
intend	අදහස් කරන්න	මම විදේශයේ ඉගෙනීමට අදහස් කරමි.
intention	අරමුණ	ඔහුගේ අරමුණ උදව් කිරීමයි.
invest	ආයෝජනය කරන්න	ඔවුන් අධ්‍යාපනයට මුදල් ආයෝජනය කරති.
