source_headword	BN	example_BN
rock (music)	রক সংগীত	আমি রক সংগীত ভালোবাসি।
role	ভূমিকা	তার ভূমিকা গুরুত্বপূর্ণ।
roof	ছাদ	ছাদটি মেরামত দরকার।
round	গোল	টেবিলটি গোল।
route	পথ	এই পথটি ছোট।
rubbish	আবর্জনা	আবর্জনাটি বাইরে রাখো।
rude	অভদ্র	ওই মন্তব্যটি অভদ্র ছিল।
runner	দৌড়বিদ	দৌড়বিদটি ক্লান্ত দেখাচ্ছে।
running	দৌড়ানো	দৌড়ানো আমাকে সুস্থ রাখে।
sadly	দুঃখজনকভাবে	দুঃখজনকভাবে, আমরা ট্রেনটি মিস করেছি।
safe	নিরাপদ	এই রাস্তাটি নিরাপদ মনে হয়।
sail	পাল তোলা	আমরা শনিবার পাল তুলি।
sailing	পালতোলা	এখানে পালতোলা জনপ্রিয়।
salary	বেতন	তার বেতন এখন বেশি।
sale	ছাড় বিক্রি	ছাড় বিক্রি কাল শুরু হবে।
sauce	সস	ভাতে সস যোগ করো।
save	সংরক্ষণ করা	এখন তোমার কাজ সংরক্ষণ করো।
scared	ভীত	শিশুটি ভীত বোধ করছে।
scary	ভয়ংকর	এই গল্পটি ভয়ংকর।
scene	দৃশ্য	শেষ দৃশ্যটি মজার ছিল।
schedule	সময়সূচি	আজ সময়সূচি পরীক্ষা করো।
score	স্কোর	স্কোর কত?
screen	পর্দা	পর্দাটি সাবধানে পরিষ্কার করো।
search	খোঁজা	ছবির জন্য ওয়েবে খোঁজো।
season	ঋতু	গ্রীষ্ম একটি ব্যস্ত ঋতু।
seat	আসন	দয়া করে এই আসন নাও।
second1 (next after the first)	দ্বিতীয়	দ্বিতীয়ত, তোমার হাত ধুয়ে নাও।
secondly	দ্বিতীয়ত	দ্বিতীয়ত, তোমার উত্তর পরীক্ষা করো।
secret	গোপন কথা	এই গোপন কথাটি নিরাপদে রাখো।
secretary	সচিব	সচিব আজ ফোন করেছিলেন।
seem	মনে হওয়া	তোমাকে ক্লান্ত মনে হচ্ছে।
sense	অর্থ	এই পরিকল্পনার অর্থ আছে।
separate	আলাদা	কাগজগুলো আলাদা রাখো।
series	ধারাবাহিক	এই ধারাবাহিকটি জনপ্রিয়।
serious	গুরুতর	এই সমস্যা গুরুতর।
serve	পরিবেশন করা	তারা দুপুরে খাবার পরিবেশন করে।
service	সেবা	সেবাটি দ্রুত ছিল।
several	কয়েকটি	কয়েকজন ছাত্র আগে এসেছে।
shake	ঝাঁকানো	আগে বোতলটি ঝাঁকাও।
shall modal	করব কি	আমরা কি এখন শুরু করব?
shape	আকার	একটি বর্গ আকার আঁকো।
sheet	চাদর	বিছানায় চাদরটি দাও।
ship	জাহাজ	জাহাজটি আজ চলে গেল।
shoulder	কাঁধ	আমার কাঁধে ব্যথা।
shout	চিৎকার করা	ক্লাসে চিৎকার করো না।
shut	বন্ধ করা	দয়া করে জানালাটি বন্ধ করো।
side	পাশ	এই পাশে বসো।
sign	চিহ্ন	চিহ্নটি সাবধানে পড়ো।
silver	রূপা	রূপা একটি উজ্জ্বল ধাতু।
simple	সহজ	এই অনুশীলনটি সহজ।
since	থেকে	আমি দুপুর থেকে অপেক্ষা করেছি।
singing	গান গাওয়া	গান গাওয়া আমাকে শান্ত করে।
single	একক	আমি একটি একক টিকিট কিনেছি।
sir	স্যার	স্যার, আপনার ব্যাগ প্রস্তুত।
site	সাইট	এই সাইটটি নিরাপদ।
