simplified	SL	example_SL
哎	hej; ej	Hej, kako to, da si prišel?
唉	ah; vzdih	Ah, spet zamujam.
爱护	skrbeti za; varovati	Varovati moramo okolje.
爱惜	ceniti; skrbno uporabljati	Prosim, ceni svoj čas.
爱心	sočutje; skrbnost	Ona je zelo skrbna.
安慰	tolažiti	Prijatelj me je potolažil.
安装	namestiti; montirati	Delavec montira klimatsko napravo.
岸	breg; obala	Ladja se počasi približuje obali.
暗	temen	V sobi je zelo temno.
熬夜	biti pokonci pozno v noč	Pozno bedenje ni dobro za zdravje.
把握	gotovost; obvladati	Nisem prepričan, da lahko to dobro opravim.
摆	razporediti; postaviti	Prosim, lepo razporedi stole.
办理	urediti; opraviti	Grem v banko uredit zadeve.
傍晚	proti večeru	Proti večeru gremo na sprehod.
包裹	paket	Prejel sem paket.
包含	vsebovati; vključevati	Cena vključuje zajtrk.
包括	vključevati	Strošek vključuje kosilo.
薄	tanek	Ta knjiga je zelo tanka.
保持	ohranjati; vzdrževati	Prosim, ohranite tišino.
保存	shraniti	Prosim, shrani to datoteko.
保留	rezervirati; obdržati	Prosim, rezervirajte mi sedež.
保险	zavarovanje	Kupil sem potovalno zavarovanje.
宝贝	zaklad; dragocenost	To je moj zaklad.
宝贵	dragocen	Čas je zelo dragocen.
报到	prijaviti se	Novi učenci se danes pridejo prijavit v šolo.
报道	poročilo; poročati	Novice so poročale o tej zadevi.
报告	poročilo; poročati	Trenutno ima poročilo.
报社	časopisna redakcija	Dela v časopisni redakciji.
抱怨	pritoževati se	Vedno se pritožuje, da ima preveč dela.
悲观	pesimističen	Ne bodi preveč pesimističen.
背	hrbet; obrniti hrbet	Sedi s hrbtom proti vratom.
背景	ozadje; kontekst	Prosim, na kratko predstavi svoje ozadje.
被子	odeja	Odeja je zelo topla.
本科	dodiplomski študij	On je dodiplomski študent.
本领	spretnost; sposobnost	Naučil se je nove spretnosti.
本质	bistvo; narava	Bistvo problema je zelo preprosto.
彼此	drug drugega	Spoštovati bi morali drug drugega.
比例	razmerje; delež	Razmerje med moškimi in ženskami je približno enako.
必然	neizogiben; gotovo	Trud bo neizogibno prinesel rezultat.
必要	potreben; nujen	Ni potrebno skrbeti.
毕竟	navsezadnje	Navsezadnje je še otrok.
避免	izogniti se	Prosim, izogibaj se zamujanju.
编辑	urejati; urednik	On je odgovoren za urejanje tega članka.
鞭炮	petarde	Med praznikom pomladi nekateri prižigajo petarde.
便	potem; nato	Po jedi je šel k pouku.
辩论	razprava; razpravljati	Razpravljajo o tem vprašanju.
标点	ločilo; interpunkcija	Prosim, bodi pozoren na ločila.
标志	znak; simbol	Rdeča luč je znak za ustavitev.
表达	izraziti; sporočiti	Izrazil je svoje mnenje.
表面	površina	Površina mize je zelo čista.
表明	pokazati; jasno izraziti	Rezultat kaže, da ima prav.
