source_headword	SL	example_SL
heal	ozdraviti	Počitek pomaga telesu, da ozdravi.
healthcare	zdravstvo	Stroški zdravstva so se letos povečali.
helmet	čelada	Na kolesu nosi čelado.
hence	zato	Zato smo spremenili urnik.
herb	zelišče	Bazilika je uporabno zelišče.
hidden	skrit	Ključ je bil skrit pod predpražnikom.
highway	avtocesta	Avtocesta je bila po sneženju zaprta.
hilarious	smešen	Film je bil smešen.
hip	bok	Med treningom si je poškodovala bok.
historian	zgodovinar	Zgodovinar je preučeval stara pisma.
homeless	brezdomec	Zavetišče pomaga družinam brezdomcev.
honesty	iskrenost	Iskrenost gradi zaupanje.
hook	kavelj	Obesi plašč na kavelj.
hopefully	upajmo	Upajmo, da vlak kmalu prispe.
hunger	lakota	Lakota lahko vpliva na koncentracijo.
hypothesis	hipoteza	Eksperiment je preveril hipotezo.
icon	ikona	Ikona aplikacije se je danes spremenila.
ID	osebna izkaznica	Pokaži svojo osebno izkaznico na recepciji.
identical	identičen	Dvojčka sta nosila identični jakni.
illusion	iluzija	Ogledalo ustvarja iluzijo.
immigration	priseljevanje	Politika priseljevanja se je lani spremenila.
immune	imun	Cepljenje lahko ljudi naredi imune.
implement	izvajati	Šola bo izvajala politiko.
implication	posledica	Posledica je bila jasna.
incentive	spodbuda	Bonus je delavcem dal spodbudo.
incorporate	vključiti	Vključite več zelenjave v obroke.
incorrect	nepravilen	Odgovor je bil nepravilen.
independence	neodvisnost	Država je praznovala neodvisnost.
index	kazalo	Preveri kazalo za temo.
indication	znak	Nasmeh je bil znak olajšanja.
inevitable	neizogiben	Nekaj zamude je bilo neizogibne.
inevitably	neizogibno	Neizogibno so cene narasle po pomanjkanju.
infer	sklepati	Odgovor lahko sklepamo iz konteksta.
inflation	inflacija	Inflacija je zvišala cene hrane.
info	informacija	Spletno mesto navaja uporabne informacije.
infrastructure	infrastruktura	Nevihta je poškodovala lokalno infrastrukturo.
inhabitant	prebivalec	Vsak prebivalec je dobil čisto vodo.
inherit	podedovati	Ona bo podedovala družinsko hišo.
ink	črnilo	Tiskalnik potrebuje črno črnilo.
innovation	inovacija	Inovacija poganja industrijo naprej.
innovative	inovativen	Podjetje je lansiralo inovativen izdelek.
input	vnos	Vodja je prosil za vnos.
insert	vstaviti	Vstavite kartico v napravo.
inspector	inšpektor	Inšpektor je preveril stavbo.
installation	namestitev	Namestitev je trajala dve uri.
instant	takojšen	Aplikacija je poslala takojšen odgovor.
instantly	takoj	Zaslon se je takoj vklopil.
integrate	integrirati	Programska oprema lahko integrira nova orodja.
intellectual	intelektualen	Razprava je bila intelektualna, a prijazna.
interact	komunicirati	Učenci komunicirajo med skupinskim delom.
interaction	interakcija	Interakcija je bila vljudna.
interpretation	razlaga	Njena razlaga pesmi je bila izvirna.
interval	odmor	Med dejanji je bil kratek odmor.
invade	napasti	Vojska je poskušala napasti otok.
invasion	invazija	Invazija je poškodovala veliko mest.
investor	vlagatelj	Vlagatelj je financiral novo zagonsko podjetje.
isolate	izolirati	Zdravniki izolirajo bolnike z resnimi okužbami.
isolated	izoliran	Vas je bila izolirana zaradi snega.
jail	zapor	Tat je šel v zapor.
jet	reaktivec	Reaktivec je pristal opoldne.
joint	skupen	Najavili so skupen projekt.
journalism	novinarstvo	Novinarstvo zahteva točna dejstva.
jury	porota	Porota je sprejela odločitev.
kit	komplet	Komplet za popravilo vključuje vijake.
ladder	lestev	Lestev je bila naslonjena na zid.
landing	pristanek	Letalo je gladko pristalo.
lane	pas	Ostani na desnem pasu.
lately	zadnje čase	Zadnje čase slabo spim.
leaflet	letak	Letak pojasnjuje storitev.
legend	legenda	Legenda govori o skritem mestu.
lens	objektiv	Previdno očisti objektiv kamere.
lifetime	življenjska doba	Varčeval je denar vse življenje.
lighting	osvetlitev	Dobra osvetlitev izboljša sobo.
likewise	prav tako	Ona se je nasmehnila; on prav tako.
limitation	omejitev	Načrt ima eno omejitev.
literally	dobesedno	Dobesedno je tekla do avtobusa.
literary	književni	Festival slavi književna dela.
litre	liter	Kupi liter mleka.
litter	smeti	Ne metati smeti.
logo	logotip	Logotip se pojavi na vsaki strani.
lottery	loterija	Na loteriji je zadel majhno nagrado.
loyal	zvest	Pes je bil zvest svojemu lastniku.
lyric	besedilo	Besedilo je ponavljalo glavno idejo.
magnificent	veličasten	Palača je bila videti veličastno.
make-up	ličila	Nosila je preprosta ličila.
making	nastajanje	Nastajanje filma je bilo težko.
manufacture	proizvajati	Tovarna bo proizvajala telefone.
manufacturing	proizvodnja	Delovna mesta v proizvodnji so se lokalno povečala.
marathon	maraton	Končala je maraton.
margin	rob	Na rob napiši opombe.
marker	flomaster	Uporabi flomaster za nalepko.
martial	borilni	Preučuje borilne veščine.
mate	prijatelj	Moj stari sošolec je včeraj poklical.
mayor	župan	Župan je odprl knjižnico.
mechanic	mehanik	Mehanik je popravil avtobus.
mechanical	mehanski	Ura ima mehansko napako.
mechanism	mehanizem	Mehanizem ključavnice je preprost.
medal	medalja	Osvojila je zlato medaljo.
medication	zdravilo	Vzemi zdravilo z vodo.
membership	članarina	Članarina v fitnesu je na spletu cenejša.
memorable	nepozaben	Potovanje je bilo nepozabno.
metaphor	metafora	Pesem uporablja močno metaforo.
miner	rudar	Rudar je delal pod zemljo.
miserable	beden	Zaradi dežja je bil piknik beden.
mode	način	Preklopi kamero v nočni način.
modest	skromen	Živijo v skromni hiši.
monster	pošast	Zgodba ima strašno pošast.
monthly	mesečno	Najemnino plačujemo mesečno.
monument	spomenik	Spomenik stoji blizu reke.
moreover	poleg tega	Poleg tega načrt prihrani denar.
mortgage	hipoteka	Zaprosila sta za hipoteko.
mosque	mošeja	Mošeja je blizu tržnice.
motion	gibanje	Senzor zazna gibanje.
motivate	motivirati	Pohvala lahko motivira študente.
motivation	motivacija	Njena motivacija je ostala močna.
moving	ganljiv	Govor je bil ganljiv.
myth	mit	Mit pojasnjuje ime gore.
naked	gol	Dojenček je bil gol po kopanju.
nasty	gaden	Ureznina je bila videti gadna.
navigation	navigacija	Aplikacija izboljša navigacijo.
nearby	bližnji	Bližnja kavarna se odpre zgodaj.
necessity	nuja	Čista voda je nuja.
negotiate	pogajati se	Jutri se bodo pogajali o pogodbi.
negotiation	pogajanje	Pogajanja so trajala celo jutro.
neutral	nevtralen	Sodnik je ostal nevtralen.
newly	na novo	Na novo pobarvana vrata so bila videti svetla.
norm	norma	Delo na daljavo je postalo norma.
notebook	zvezek	Zapiske piši v zvezek.
novelist	pisatelj	Pisateljica je podpisala svojo knjigo.
nowadays	dandanes	Dandanes veliko ljudi dela na spletu.
nursing	zdravstvena nega	Ona študira zdravstveno nego.
nutrition	prehrana	Dobra prehrana podpira zdravje.
obesity	debelost	Debelost povečuje zdravstvene nevarnosti.
observer	opazovalec	Opazovalec je zabeležil rezultate.
obstacle	ovira	Padlo drevo je bilo ovira.
occupation	poklic	Prosim, tukaj napiši svoj poklic.
occupy	zavzeti	Družina bo zavzela stanovanje.
offender	prestopnik	Prestopnik se je opravičil na sodišču.
ongoing	potekajoč	Preiskava še poteka.
openly	odkrito	Ona je odkrito spregovorila o svojih strahovih.
opera	opera	V Milanu smo si ogledali opero.
operator	operater	Operater je povezal klic.
optimistic	optimističen	Glede prihodnosti je optimistična.
orchestra	orkester	Orkester je igral tiho.
organic	ekološki	Kupili so ekološko zelenjavo.
outfit	obleka	Njena obleka je ustrezala priložnosti.
output	rezultat	Rezultat stroja se je povečal.
outstanding	izjemen	Njegov nastop je bil izjemen.
overcome	premagati	Težave premagujejo skupaj.
overnight	čez noč	Paket je prispel čez noč.
overseas	v tujini	Našel je delo v tujini.
ownership	lastništvo	Lastništvo zemlje se je spremenilo.
oxygen	kisik	Rastline proizvajajo kisik.
packet	zavitek	Previdno odpri zavitek.
palm	dlan	Drži kovanec na dlani.
panic	panika	Panika se je razširila med množico.
parade	parada	Parada se je začela opoldne.
parallel	vzporedno	Ceste potekajo vzporedno.
participation	sodelovanje	Sodelovanje v razredu se je izboljšalo.
partnership	partnerstvo	Partnerstvo je pomagalo obema podjetjema.
part-time	s krajšim delovnim časom	Našla je službo s krajšim delovnim časom.
passionate	strasten	On je strasten do glasbe.
password	geslo	Izberi močno geslo.
patience	potrpežljivost	Poučevanje majhnih otrok zahteva potrpežljivost.
pause	zaustaviti	Zdaj zaustavi video.
peer	vrstnik	Pritisk vrstnikov je vplival na njegovo izbiro.
penalty	kazen	Igralec je dobil kazen.
perceive	dojemati	Ljudje nevarnost dojemajo različno.
perception	zaznavanje	Njegovo zaznavanje nevarnosti se je spremenilo.
permanently	trajno	Trgovina se je trajno zaprla.
pill	tableta	Vzemi eno tableto po zajtrku.
pity	škoda	To je škoda.
placement	postavitev	Postavitev kavča je pomembna.
portion	porcija	Postrezi majhno porcijo riža.
potentially	potencialno	Ta sprememba je potencialno koristna.
precede	predhoditi	Temni oblaki pogosto predhodijo dežju.
precious	dragocen	Prstan je dragocen.
precise	natančen	Navodila so bila natančna.
precisely	natančno	Natančno izmeri razdaljo.
predictable	predvidljiv	Konec je bil predvidljiv.
preference	prednost	Dala je prednost čaju.
pride	ponos	Po koncu je čutil ponos.
primarily	predvsem	Tečaj poteka predvsem na spletu.
principal	ravnatelj	Ravnatelj je pozdravil nove učence.
prior	predhoden	Potrebujemo predhodno odobritev.
probability	verjetnost	Verjetnost dežja je velika.
probable	verjeten	Dež je verjeten nocoj.
proceed	nadaljevati	Prosimo, da nadaljujete v naslednjo sobo.
programming	programiranje	Programiranje zahteva vajo.
progressive	napreden	Politika je bila za svoj čas napredna.
prohibit	prepovedati	Pravila prepovedujejo kajenje.
promising	obetaven	Rezultati so videti obetavni.
promotion	napredovanje	Dobila je napredovanje v službi.
prompt	hiter	Hiter odgovor je prihranil čas.
proportion	delež	Velik delež je glasoval za.
protein	beljakovina	Fižol vsebuje beljakovine.
protester	protestnik	Protestnik je držal znak.
psychological	psihološki	Nesreča je povzročila psihološki stres.
publicity	javnost	Dogodek je dobil veliko pozornosti javnosti.
publishing	založništvo	Ona dela v založništvu.
punk	punk	Punk glasba je tam postala popularna.
purely	čisto	Izbira je bila čisto praktična.
pursuit	iskanje	Nadaljeval je iskanje pravice.
puzzle	uganka	Uganka je trajala eno uro.
questionnaire	vprašalnik	Prosimo, izpolnite vprašalnik.
racial	rasen	Poročilo je razpravljalo o rasni neenakosti.
racism	rasizem	Rasizem škoduje skupnostim.
racist	rasističen	Komentar je bil rasističen.
radiation	sevanje	Sevanje lahko poškoduje celice.
rail	ograja	Na stopnicah se drži za ograjo.
random	naključen	Računalnik je izbral naključno številko.
rat	podgana	Podgana je stekla za smetnjake.
rating	ocena	Hotel ima visoko oceno.
reasonably	razumno	Soba je bila razumno čista.
rebuild	obnoviti	Most bodo obnovili.
receiver	sprejemalec	Sprejemalec je ujel žogo.
recession	recesija	Recesija je zmanjšala porabo.
reckon	misliti	Mislim, da vlak zamuja.
recognition	priznanje	Dobil je priznanje za svoje delo.
recovery	okrevanje	Okrevanje je trajalo več tednov.
recruit	zaposliti	Podjetje bo zaposlilo inženirje.
recruitment	zaposlovanje	Zaposlovanje se začne naslednji ponedeljek.
referee	sodnik	Sodnik je ustavil tekmo.
refugee	begunec	Begunec je našel varen dom.
registration	registracija	Registracija se zaključi v petek.
regulate	regulirati	Zakon bo reguliral emisije.
reinforce	okrepiti	Dodatni tramovi okrepijo streho.
relieve	ublažiti	Zdravilo lahko ublaži bolečino.
relieved	olajšan	Po klicu se je počutila olajšano.
remarkable	izjemen	Okrevanje je bilo izjemno.
remarkably	izjemno	Okreval je izjemno hitro.
reporting	poročanje	Točno poročanje je pomembno.
resign	odstopiti	Direktor bo jutri odstopil.
resolution	ločljivost	Zaslon ima visoko ločljivost.
restore	obnoviti	Delavci bodo obnovili staro sliko.
restrict	omejiti	Pravila omejujejo parkiranje.
restriction	omejitev	Omejitev se konča jutri.
retail	maloprodaja	Maloprodaja se je povečala.
retirement	upokojitev	Skrbno je načrtovala svojo upokojitev.
revenue	prihodek	Prihodek od vstopnic je plačal popravila.
revision	ponavljanje	Ponavljanje je pomagalo pred izpitom.
ridiculous	smešen	Cena je bila smešna.
risky	tvegan	Načrt se je zdel tvegan.
rival	tekmec	Naš tekmec je odprl novo trgovino.
rob	oropati	Moški so poskušali oropati banko.
robbery	rop	Rop se je zgodil ponoči.
rocket	raketa	Raketa je uspešno izstreljena.
romance	romanca	Roman vključuje romanco.
rose	vrtnica	Ob ograji je rasla rdeča vrtnica.
roughly	približno	Prišlo je približno dvajset ljudi.
ruin	uničiti	Dež bo morda uničil piknik.
satisfaction	zadovoljstvo	Zadovoljstvo strank se je izboljšalo.
scandal	škandal	Škandal je uničil njegovo kariero.
scare	prestrašiti	Glasen hrup me je prestrašil.
scenario	scenarij	Najslabši scenarij ni verjeten.
scholar	učenjak	Učenjak je preučeval starodavna besedila.
scholarship	štipendija	Dobila je štipendijo.
scratch	praska	Mačka je pustila prasko.
screening	presejanje	Bolnišnica ponuja presejanje za rak.
seeker	iskalec	Iskalec zaposlitve je poslal prošnje.
seminar	seminar	Seminar se začne ob devetih.
settler	naseljenec	Naseljenec je zgradil majhno kmetijo.
severely	hudo	Nevihta je hudo poškodovala ceste.
sexy	seksi	Obleka je veljala za seksi.
shocking	šokanten	Novica je bila šokantna.
shore	obala	Sprehajali smo se ob obali.
shortage	pomanjkanje	Mesto se je soočalo s pomanjkanjem vode.
shortly	kmalu	Avtobus je prispel kmalu po poldnevu.
short-term	kratkoročen	Načrt ima kratkoročne koristi.
sibling	sorojenec	Vsak sorojenec je dobil darilo.
signature	podpis	Prosim, dodajte svoj podpis.
significance	pomen	Odkritje ima velik pomen.
skilled	usposobljen	Usposobljeni delavci so popravili streho.
slogan	slogan	Kampanja je uporabljala preprost slogan.
so-called	tako imenovan	Tako imenovani strokovnjak je delal napake.
somehow	nekako	Nekako so ključi izginili.
sometime	enkrat	Obiščite nas enkrat naslednji teden.
sophisticated	sofisticiran	Programska oprema je sofisticirana.
spare	rezervni	Hranimo rezervni ključ.
specialize	specializirati se	Zdravniki se specializirajo za različna področja.
specify	navesti	Prosimo, navedite čas prihoda.
spectacular	spektakularen	Ognjemet je bil spektakularen.
spectator	gledalec	Vsak gledalec je prejel program.
speculate	špekulirati	Strokovnjaki špekulirajo o vzroku.
speculation	špekulacija	Članek je spodbudil špekulacije.
spice	začimba	Dodaj eno začimbo naenkrat.
spill	politi	Ne polij soka.
spite	kljub	Uspel je kljub težavam.
spoil	pokvariti	Preveč soli lahko pokvari juho.
spokesman	tiskovni predstavnik	Tiskovni predstavnik je odgovarjal na vprašanja.
spokesperson	tiskovni predstavnik	Tiskovni predstavnik je prebral izjavo.
spokeswoman	tiskovna predstavnica	Tiskovna predstavnica je nagovorila novinarje.
sponsorship	sponzorstvo	Ekipa potrebuje sponzorstvo.
sporting	športni	Mesto gosti športne dogodke.
stall	stojnica	Na stojnici prodajajo sadje.
stance	stališče	Minister je spremenil svoje stališče.
starve	stradati	Brez hrane lahko živali stradajo.
steadily	stalno	Podjetje je stalno raslo.
steam	para	Para se je dvigala iz juhe.
stimulate	spodbuditi	Svetle barve lahko spodbudijo zanimanje.
