source_headword	IT	example_IT
absorb	assorbire	L'asciugamano assorbe l'acqua velocemente.
abstract	astratto	La lezione ha discusso idee astratte.
accent	l'accento	Il suo accento è facile da capire.
accidentally	accidentalmente	Ho cancellato accidentalmente il file.
accommodate	sistemare	L'hotel può ospitare famiglie numerose.
accomplish	compiere	Ha raggiunto il suo obiettivo prima di giugno.
accountant	il contabile	Il contabile ha controllato la fattura.
accuracy	l'accuratezza	Il test misura la precisione di lettura.
accurately	accuratamente	La mappa mostra il percorso accuratamente.
acid	l'acido	L'acido ha danneggiato la superficie metallica.
activate	attivare	Premi il pulsante per attivare l'allarme.
addiction	la dipendenza	La sua dipendenza ha influenzato il suo lavoro.
additionally	inoltre	Inoltre, abbiamo bisogno di più sedie.
adequate	adeguato	La stanza ha una luce adeguata.
adequately	adeguatamente	Il rapporto ha spiegato il problema adeguatamente.
adjust	regolare	Regola il sedile prima di guidare.
affordable	accessibile	L'appartamento è economico per gli studenti.
agriculture	l'agricoltura	L'agricoltura sostiene molte famiglie rurali.
AIDS	l'AIDS	I medici curano l'AIDS con la medicina moderna.
alien	l'alieno	Il film mostra un pianeta alieno.
alongside	accanto a	La pista ciclabile corre lungo il fiume.
altogether	del tutto	Complessivamente, il progetto ha richiesto sei settimane.
ambulance	l'ambulanza	L'ambulanza è arrivata in pochi minuti.
amusing	divertente	La storia era divertente e leggera.
analyst	l'analista	L'analista ha esaminato i dati di vendita.
ancestor	l'antenato	Il mio antenato viveva vicino a questo villaggio.
animation	l'animazione	L'animazione ha reso la lezione più chiara.
annually	annualmente	Il festival si tiene annualmente.
anticipate	anticipare	Prevediamo traffico intenso per domani.
anxiety	l'ansia	L'ansia può rendere difficile il sonno.
apology	le scuse	Ha offerto delle scuse sincere.
applicant	il candidato	Il candidato ha inviato un nuovo curriculum.
appropriately	appropriatamente	Si prega di vestirsi appropriatamente per il colloquio.
arrow	la freccia	La freccia indica l'uscita.
artwork	l'opera d'arte	Il museo ha esposto opere d'arte locali.
aside	in disparte	Si è fatta da parte per farlo passare.
asset	il bene	L'esperienza è una risorsa preziosa.
assign	assegnare	L'insegnante ha assegnato i compiti oggi.
assistance	l'assistenza	Si prega di chiedere assistenza al personale.
assumption	la supposizione	Quella supposizione potrebbe essere sbagliata.
assure	assicurare	Ti assicuro che la porta è chiusa a chiave.
astonishing	sorprendente	La vista dalla scogliera era sbalorditiva.
attachment	l'allegato	L'email include un allegato.
auction	l'asta	Il dipinto è stato venduto all'asta.
audio	audio	La registrazione audio si sente chiaramente.
automatic	automatico	La porta ha una serratura automatica.
automatically	automaticamente	Le luci si accendono automaticamente.
awareness	la consapevolezza	La campagna ha aumentato la consapevolezza del pubblico.
awkward	imbarazzante	Il silenzio era imbarazzante.
badge	il distintivo	I visitatori devono indossare un distintivo.
balanced	equilibrato	Una dieta equilibrata include le verdure.
ballet	il balletto	Studia balletto dopo la scuola.
