simplified	TR	example_TR	SW	example_SW	PT-BR	example_PT-BR
爱情	aşk; romantik sevgi	Bu dokunaklı bir aşk hikayesi.	mapenzi; upendo wa kimapenzi	Hii ni hadithi ya mapenzi yenye kugusa moyo.	o amor romântico; o amor	Esta é uma história de amor comovente.
安排	ayarlamak; planlamak	Bu hafta sonu için planlarınız neler?	kupanga; maandalizi	Una mipango gani kwa wikendi hii?	planejar; organizar	Quais são seus planos para este fim de semana?
安全	güvenli; güvenlik	Lütfen dikkatli olun.	salama; usalama	Tafadhali kuwa mwangalifu.	seguro; a segurança	Por favor, tenha cuidado.
按时	zamanında; vaktinde	Görevi zamanında tamamladım.	kwa wakati; kwa muda uliopangwa	Nilikamilisha kazi kwa wakati.	no prazo; na hora certa	Concluí a tarefa no prazo.
按照	-göre; uyarınca	Bu plan çok iyi, ona uyun.	kulingana na; kwa kufuata	Mpango huu ni mzuri sana, ufuate tu.	de acordo com; conforme	Este plano é muito bom, siga-o.
百分之	yüzde	Görevin yüzde sekseni tamamlandı.	asilimia	Asilimia themanini ya kazi imekamilika.	por cento	Oitenta por cento da tarefa foi concluída.
棒	harika; mükemmel	Yazın harika!	bora; nzuri sana	Mwandiko wako ni mzuri sana!	excelente; ótimo	Sua letra está ótima!
包子	buharda pişmiş içli çörek; baozi	Bu restoranın baozileri çok lezzetli.	baozi; maandazi ya mvuke yenye kujazwa	Baozi za mkahawa huu ni tamu sana.	o baozi; o pãozinho recheado cozido no vapor	Os baozi deste restaurante são muito gostosos.
保护	korumak; savunmak	İnsanlar çevreyi korumalı.	kulinda; kuhifadhi	Watu wanapaswa kulinda mazingira.	proteger; preservar	As pessoas devem proteger o meio ambiente.
保证	garanti; garanti etmek; söz vermek	Söz veriyorum, bir daha geç kalmayacağım.	dhamana; kuhakikisha; kuahidi	Naahidi sitachelewa tena.	a garantia; garantir; prometer	Prometo que não vou me atrasar de novo.
报名	kaydolmak; başvurmak	Kayıt için hangi belgeler gerekiyor?	kujiandikisha; kutuma maombi	Ni nyaraka gani zinahitajika kwa ajili ya usajili?	inscrever-se; candidatar-se	Quais documentos são necessários para a inscrição?
抱	kucaklamak; kollarında taşımak	Çocuğu kucağına aldı.	kukumbatia; kubeba mikononi	Alimbeba mtoto mikononi.	abraçar; pegar no colo	Ele pegou a criança no colo.
抱歉	üzgün; özür dilemek	Sizi bu kadar beklettiğim için çok üzgünüm.	samahani; kujuta	Samahani sana kwa kukufanya usubiri muda mrefu hivyo.	desculpa; sentir muito	Sinto muito por ter feito você esperar tanto tempo.
倍	kat; kez	Okulumuzdaki yabancı öğrenci sayısı geçen yıla göre iki katına çıktı.	mara; zaidi kwa kiwango fulani	Idadi ya wanafunzi wa kigeni shuleni kwetu imeongezeka mara mbili ikilinganishwa na mwaka jana.	vez; vezes; o dobro	O número de estudantes estrangeiros na nossa escola dobrou em relação ao ano passado.
本来	başlangıçta; aslında	Gösteriyi izlemeye gidecektim, ama aniden bir işim çıktı.	awali; kwa asili	Nilikuwa naenda kutazama onyesho, lakini jambo fulani likatokea ghafla.	originalmente; a princípio	Eu ia assistir à apresentação, mas surgiu um imprevisto.
笨	aptal; beceriksiz	Aptal değilsin, sadece daha çok çalışman gerekiyor.	mpumbavu; asiye makini	Wewe si mpumbavu, unahitaji tu kujitahidi zaidi.	burro; desajeitado	Você não é burro, só precisa se esforçar mais.
比如	mesela; örneğin	Yüzme ve kitap okuma gibi birçok hobim var.	kwa mfano	Nina hobi nyingi, kama kuogelea na kusoma.	por exemplo	Tenho muitos hobbies, por exemplo nadar e ler.
毕业	mezun olmak; mezuniyet	Bu yıl üçüncü sınıftayım ve gelecek yıl mezun olacağım.	kuhitimu; kumaliza masomo	Mwaka huu niko mwaka wa tatu, nitahitimu mwaka ujao.	formar-se; a formatura	Estou no terceiro ano este ano e me formo no ano que vem.
遍	kez; defa	O meseleyi bir kez daha tekrarladı.	mara; safari moja	Alirudia jambo hilo mara moja tena.	vez; uma vez	Ele repetiu o assunto.
标准	standart; ölçüt	Mandarinin çok standart.	kiwango; kigezo	Matamshi yako ya Putonghua yako kwenye kiwango kizuri sana.	o padrão; o critério	Seu mandarim é muito padrão.
表格	form; tablo	Lütfen forma adınızı yazın.	fomu; jedwali	Tafadhali andika jina lako kwenye fomu.	o formulário; a tabela	Por favor, preencha seu nome no formulário.
表示	ifade etmek; göstermek	Lütfen ona teşekkür edin.	kuonyesha; kueleza	Tafadhali mshukuru.	expressar; mostrar	Por favor, agradeça a ele.
表演	performans; sahnelemek	Hangi gösteriyi sergileyeceksiniz?	kuigiza; onyesho	Mtafanya onyesho gani?	apresentar; a apresentação	Que apresentação vocês vão fazer?
表扬	övmek; takdir etmek	Müdür onu sık sık över.	kusifu; pongezi	Mkuu wa shule humsifu mara nyingi.	elogiar; o elogio	O diretor o elogia com frequência.
饼干	bisküvi; kraker; kurabiye	Kurabiye aldım, biraz yiyelim.	biskuti; kraka	Nimenunua biskuti, tule kidogo.	o biscoito; a bolacha	Comprei biscoitos, vamos comer um pouco.
并且	ayrıca; üstelik	O çok zeki ve çok çalışkan.	na pia; zaidi ya hayo	Yeye ni mwerevu sana na pia mwenye bidii sana.	além disso; e também	Ela é muito inteligente e também trabalha muito.
