source_headword	TE	example_TE
rock (music)	రాక్ సంగీతం	నాకు రాక్ సంగీతం ఇష్టం.
role	పాత్ర	ఆమె పాత్ర ముఖ్యమైనది.
roof	పైకప్పు	పైకప్పుకు మరమ్మత్తు కావాలి.
round	గుండ్రని	బల్ల గుండ్రంగా ఉంది.
route	మార్గం	ఈ మార్గం తక్కువది.
rubbish	చెత్త	చెత్తను బయట పెట్టు.
rude	అసభ్యమైన	ఆ వ్యాఖ్య అసభ్యంగా ఉంది.
runner	పరుగుదారుడు	పరుగుదారుడు అలసిపోయినట్టు కనిపిస్తున్నాడు.
running	పరుగెత్తడం	పరుగెత్తడం నన్ను ఆరోగ్యంగా ఉంచుతుంది.
sadly	విషాదంగా	విషాదంగా, మేము రైలును కోల్పోయాము.
safe	సురక్షితమైన	ఈ వీధి సురక్షితంగా అనిపిస్తుంది.
sail	నౌకలో ప్రయాణించు	మేము శనివారం నౌకలో ప్రయాణిస్తాము.
sailing	నౌకాయానం	నౌకాయానం ఇక్కడ ప్రసిద్ధి చెందింది.
salary	జీతం	అతని జీతం ఇప్పుడు ఎక్కువగా ఉంది.
sale	అమ్మకం	అమ్మకం రేపు మొదలవుతుంది.
sauce	సాస్	అన్నంలో సాస్ కలపండి.
save	సేవ్ చేయు	నీ పనిని ఇప్పుడు సేవ్ చేయు.
scared	భయపడిన	బిడ్డ భయపడినట్టు ఉంది.
scary	భయంకరమైన	ఈ కథ భయంకరంగా ఉంది.
scene	దృశ్యం	చివరి దృశ్యం నవ్వించింది.
schedule	షెడ్యూల్	ఈ రోజు షెడ్యూల్ చూడు.
score	స్కోరు	స్కోరు ఎంత?
screen	తెర	తెరను జాగ్రత్తగా శుభ్రం చేయు.
search	వెతుకు	ఫోటోల కోసం వెబ్‌లో వెతుకు.
season	కాలం	వేసవి బిజీ కాలం.
seat	సీటు	దయచేసి ఈ సీటు తీసుకోండి.
second1 (next after the first)	రెండవది	రెండవది, నీ చేతులు కడుగు.
secondly	రెండవగా	రెండవగా, నీ సమాధానం తనిఖీ చేయు.
secret	రహస్యం	ఈ రహస్యాన్ని సురక్షితంగా ఉంచు.
secretary	కార్యదర్శి	కార్యదర్శి ఈ రోజు ఫోన్ చేసింది.
seem	కనిపించు	నీవు అలసిపోయినట్టు కనిపిస్తున్నావు.
sense	అర్థం	ఈ ప్రణాళికకు అర్థం ఉంది.
separate	వేరుగా	కాగితాలను వేరుగా ఉంచు.
series	ధారావాహిక	ఈ ధారావాహిక ప్రసిద్ధి చెందింది.
serious	తీవ్రమైన	ఈ సమస్య తీవ్రమైనది.
serve	వడ్డించు	వారు మధ్యాహ్నం భోజనం వడ్డిస్తారు.
service	సేవ	సేవ వేగంగా ఉంది.
several	అనేక	అనేక విద్యార్థులు ముందుగానే వచ్చారు.
shake	కదిలించు	మొదట సీసాను కదిలించు.
