source_headword	VI	example_VI
strengthen	củng cố	Chính sách mới sẽ củng cố an toàn trực tuyến.
strictly	nghiêm ngặt	Vé được giới hạn nghiêm ngặt ở mức hai vé mỗi người.
striking	nổi bật	Bức tranh có màu sắc nổi bật.
stroke	nét	Cô ấy đã vẽ một nét ngang qua tờ giấy.
stunning	tuyệt đẹp	Khung cảnh ngọn núi thật tuyệt đẹp.
subsequent	sau đó	Cuộc họp sau đó đã xác nhận ngân sách.
subsequently	sau đó	Con đường đã đóng cửa; sau đó, giao thông di chuyển chậm chạp.
suburb	vùng ngoại ô	Họ sống trong một vùng ngoại ô yên tĩnh.
suffering	sự đau đớn	Thuốc đã làm giảm sự đau đớn của anh ấy.
sufficient	đủ	Đội có đủ thời gian.
sufficiently	đủ	Căn phòng đủ ấm.
super	cực kỳ	Máy tính bảng mới cực kỳ nhanh.
surgeon	bác sĩ phẫu thuật	Bác sĩ phẫu thuật đã sửa chữa đầu gối bị hỏng.
survival	sự sinh tồn	Nước sạch là cần thiết cho sự sinh tồn.
survivor	người sống sót	Người sống sót đã mô tả lại trận lụt.
suspend	đình chỉ	Trường học có thể đình chỉ chuyến đi.
sustainable	bền vững	Trang trại sử dụng các phương pháp bền vững.
swallow	nuốt	Hãy nuốt viên thuốc với nước.
sympathetic	thông cảm	Người quản lý đã thông cảm với vấn đề của cô ấy.
tackle	giải quyết	Chúng ta cần giải quyết vấn đề nhà ở.
tag	nhãn	Chiếc túi có một cái nhãn giá.
tap	vòi nước	Cô ấy đã tắt vòi nước.
technological	thuộc về công nghệ	Sự thay đổi thuộc về công nghệ ảnh hưởng đến mọi nơi làm việc.
teens	thanh thiếu niên	Nhiều thanh thiếu niên sử dụng mạng xã hội hàng ngày.
temple	ngôi đền	Ngôi đền đứng gần bờ sông.
temporarily	tạm thời	Văn phòng tạm thời đóng cửa.
tendency	xu hướng	Anh ấy có xu hướng đến muộn.
tension	sự căng thẳng	Sự căng thẳng gia tăng trong cuộc thảo luận.
terms	điều khoản	Các điều khoản hợp đồng rất rõ ràng.
terribly	cực kỳ	Đứa trẻ cực kỳ buồn bã.
terrify	làm khiếp sợ	Tiếng ồn lớn làm khiếp sợ con chó.
territory	lãnh thổ	Bản đồ cho thấy lãnh thổ mới.
terror	sự kinh hoàng	Sự kinh hoàng lan rộng sau cuộc tấn công.
terrorism	chủ nghĩa khủng bố	Chủ nghĩa khủng bố đe dọa sự an toàn công cộng.
terrorist	kẻ khủng bố	Cảnh sát đã bắt giữ kẻ khủng bố vào ngày hôm qua.
testing	việc kiểm tra	Việc kiểm tra sản phẩm bắt đầu vào thứ Hai.
textbook	sách giáo khoa	Cô ấy đã quên sách giáo khoa sinh học.
theft	vụ trộm	Vụ trộm gia tăng trong khu vực.
therapist	nhà trị liệu	Nhà trị liệu đã giúp anh ấy kiểm soát sự lo lắng.
thesis	luận văn	Luận văn của cô ấy nghiên cứu về việc học trực tuyến.
thorough	kỹ lưỡng	Một đánh giá kỹ lưỡng không tìm thấy lỗi nào.
thoroughly	kỹ lưỡng	Hãy rửa vết thương kỹ lưỡng.
