source_headword	AZ	example_AZ
heal	sağalmaq	İstirahət bədənin sağalmasına kömək edir.
healthcare	səhiyyə	Bu il səhiyyə xərcləri artdı.
helmet	dəbilqə	Velosiped sürərkən dəbilqə taxın.
hence	buna görə də	Buna görə də cədvəli dəyişdirdik.
herb	bitki	Reyhan faydalı bir bitkidir.
hidden	gizli	Açar xalçanın altında gizlədilmişdi.
highway	magistral yol	Qardan sonra magistral yol bağlandı.
hilarious	çox gülməli	Film çox gülməli idi.
hip	omba	O, məşq zamanı ombasını zədələdi.
historian	tarixçi	Tarixçi köhnə məktubları öyrənirdi.
homeless	evsiz	Sığınacaq evsiz ailələrə kömək edir.
honesty	dürüstlük	Dürüstlük etibar yaradır.
hook	asılqan	Paltonu asılqandan asın.
hopefully	ümid edirəm ki	Ümid edirəm ki, qatar tezliklə gələcək.
hunger	aclıq	Aclıq konsentrasiyaya təsir edə bilər.
hypothesis	fərziyyə	Təcrübə fərziyyəni sınaqdan keçirdi.
icon	ikon	Bu gün tətbiq ikonu dəyişdi.
ID	şəxsiyyət vəsiqəsi	Qeydiyyat şöbəsində şəxsiyyət vəsiqənizi göstərin.
identical	eyni	Əkizlər eyni gödəkçə geyinmişdilər.
illusion	illüziya	Güzgü illüziya yaradır.
immigration	immiqrasiya	İmmiqrasiya siyasəti keçən il dəyişdi.
immune	immunitetli	Peyvənd insanları immunitetli edə bilər.
implement	tətbiq etmək	Məktəb qaydanı tətbiq edəcək.
implication	gizli məna	Gizli məna aydın idi.
incentive	stimul	Bonus işçilərə stimul verdi.
incorporate	daxil etmək	Yeməklərə daha çox tərəvəz daxil edin.
incorrect	səhv	Cavab səhv idi.
independence	müstəqillik	Ölkə müstəqilliyi qeyd etdi.
index	indeks	Mövzu üçün indeksə baxın.
indication	əlamət	Təbəssüm rahatlığın bir əlaməti idi.
inevitable	qaçılmaz	Bəzi gecikmələr qaçılmaz idi.
inevitably	qaçınılmaz olaraq	Qıtlıqdan sonra qiymətlər qaçınılmaz olaraq artdı.
infer	nəticə çıxarmaq	Mətndən cavabı nəticə çıxara bilərik.
inflation	inflyasiya	İnflyasiya ərzaq qiymətlərini artırdı.
info	məlumat	Veb saytda faydalı məlumatlar var.
infrastructure	infrastruktur	Fırtına yerli infrastruktura zərər vurdu.
inhabitant	sakin	Hər bir sakin təmiz su aldı.
inherit	miras almaq	O, ailə evini miras alacaq.
ink	mürəkkəb	Printerə qara mürəkkəb lazımdır.
innovation	innovasiya	Yenilik sənayeni irəli aparır.
innovative	innovativ	Şirkət innovativ bir məhsul buraxdı.
input	rəy	Menecer rəy soruşdu.
insert	daxil etmək	Kartı maşına daxil edin.
inspector	müfəttiş	Müfəttiş binanı yoxladı.
installation	quraşdırma	Quraşdırma iki saat çəkdi.
instant	ani	Tətbiq ani cavab göndərdi.
instantly	dərhal	Ekran dərhal açıldı.
integrate	inteqrasiya etmək	Proqram təminatı yeni alətləri inteqrasiya edə bilər.
intellectual	intellektual	Debat intellektual, lakin səmimi idi.
interact	qarşılıqlı əlaqədə olmaq	Tələbələr qrup işi zamanı qarşılıqlı əlaqədə olurlar.
interaction	qarşılıqlı əlaqə	Qarşılıqlı əlaqə nəzakətli idi.
interpretation	şərh	Onun şeiri şərhi orijinal idi.
interval	fasilə	Aktlar arasında qısa bir fasilə var idi.
invade	işğal etmək	Ordu adanı işğal etməyə çalışdı.
invasion	işğal	İşğal bir çox şəhərlərə zərər vurdu.
investor	investor	İnvestor yeni startapı maliyyələşdirdi.
isolate	təcrid etmək	Həkimlər ciddi infeksiyaları olan xəstələri təcrid edirlər.
isolated	təcrid olunmuş	Kənd qarla təcrid olunmuşdu.
jail	həbsxana	Oğru həbsxanaya getdi.
jet	reaktiv təyyarə	Təyyarə günorta yerə endi.
joint	müştərək	Onlar birgə layihə elan etdilər.
journalism	jurnalistika	Jurnalistika dəqiq faktlar tələb edir.
jury	münsiflər heyəti	Münsiflər heyəti qərara gəldi.
kit	dəst	Təmir dəstinə vintlər daxildir.
ladder	nərdivan	Nərdivan divara söykənmişdi.
landing	eniş	Təyyarə rəvan eniş etdi.
lane	zolaq	Sağ zolaqda qalın.
lately	son vaxtlar	Son vaxtlar pis yatıram.
leaflet	vərəqə	Vərəqə xidməti izah edir.
legend	əfsanə	Əfsanə gizli bir şəhərdən bəhs edir.
lens	obyektiv	Kamera obyektivini diqqətlə təmizləyin.
lifetime	ömür boyu	O, ömür boyu pul yığdı.
lighting	işıqlandırma	Yaxşı işıqlandırma otağı yaxşılaşdırır.
likewise	həmçinin	O, gülümsədi; o da belə etdi.
limitation	məhdudiyyət	Planın bir məhdudiyyəti var.
literally	hərfi mənada	O, hərfi mənada avtobusa qaçdı.
literary	ədəbi	Festival ədəbi əsərləri şərəfləndirir.
litre	litr	Bir litr süd al.
litter	zibil	Zibil atmayın.
logo	loqo	Loqo hər səhifədə görünür.
lottery	lotereya	O, kiçik bir lotereya mükafatı qazandı.
loyal	sadiq	İt sahibinə sadiq idi.
lyric	mahnı sözləri	Mahnı sözləri əsas ideyanı təkrarladı.
magnificent	möhtəşəm	Saray möhtəşəm görünürdü.
make-up	makiyaj	O, sadə makiyaj etmişdi.
making	çəkiliş	Filmin çəkilişi çətin idi.
manufacture	istehsal etmək	Fabrik telefonlar istehsal edəcək.
manufacturing	istehsal	Yerli səviyyədə istehsalat işləri artdı.
marathon	marafon	O, marafonu bitirdi.
margin	kənar	Qeydləri kənara yazın.
marker	marker	Etiket üçün marker istifadə edin.
martial	döyüş	O, döyüş sənətlərini öyrənir.
mate	yoldaş	Dünən köhnə məktəb yoldaşım zəng etdi.
mayor	mer	Mer kitabxananı açdı.
mechanic	mexanik	Mexanik avtobusu təmir etdi.
mechanical	mexaniki	Saatın mexaniki qüsuru var.
mechanism	mexanizm	Qıfıl mexanizmi sadədir.
medal	medal	O, qızıl medal qazandı.
medication	dərman	Dərmanı su ilə için.
membership	üzvlük	İdman zalına üzvlük onlayn daha ucuzdur.
memorable	yaddaqalan	Səfər yaddaqalan idi.
metaphor	metafora	Şeirdə güclü metafora istifadə olunur.
miner	mədənçi	Mədənçi yeraltında işləyirdi.
miserable	bərbad	Yağış pikniki bərbad etdi.
mode	rejim	Kameranı gecə rejiminə keçirin.
modest	təvazökar	Onlar təvazökar bir evdə yaşayırlar.
monster	canavar	Hekayədə qorxunc canavar var.
monthly	aylıq	Biz kirayəni aylıq ödəyirik.
monument	abidə	Abidə çayın yaxınlığında yerləşir.
