simplified	MS	example_MS
哎	eh; hei	Eh, bagaimana kamu datang ke sini?
唉	aih; keluhan	Aih, saya lewat lagi.
爱护	menjaga; memelihara	Kita patut menjaga alam sekitar.
爱惜	menghargai; menyayangi	Sila hargai masa sendiri.
爱心	kasih sayang; belas kasih	Dia sangat penyayang.
安慰	menenangkan; menghibur	Kawan saya menenangkan saya.
安装	memasang	Pekerja sedang memasang pendingin hawa.
岸	tebing; pantai	Bot perlahan-lahan menghampiri tebing.
暗	gelap; suram	Bilik itu sangat gelap.
熬夜	berjaga malam	Berjaga malam tidak baik untuk kesihatan.
把握	keyakinan; menguasai	Saya tidak yakin dapat melakukannya dengan baik.
摆	menyusun; meletakkan	Sila susun kerusi dengan kemas.
办理	mengurus; memproses	Saya akan pergi ke bank untuk mengurus urusan.
傍晚	petang; senja	Kami akan berjalan-jalan pada waktu petang.
包裹	bungkusan	Saya menerima satu bungkusan.
包含	mengandungi; termasuk	Harga itu termasuk sarapan.
包括	termasuk	Yuran itu termasuk makan tengah hari.
薄	nipis	Buku ini sangat nipis.
保持	mengekalkan; menjaga	Sila kekalkan keadaan senyap.
保存	menyimpan	Sila simpan fail ini.
保留	menempah; mengekalkan	Tolong tempahkan satu tempat duduk untuk saya.
保险	insurans	Saya membeli insurans perjalanan.
宝贝	harta kesayangan; sayang	Ini harta kesayangan saya.
宝贵	berharga	Masa sangat berharga.
报到	mendaftar; melapor diri	Pelajar baharu datang ke sekolah untuk mendaftar hari ini.
报道	laporan; melaporkan	Berita melaporkan perkara ini.
报告	laporan; membentangkan	Dia sedang membentangkan laporan.
报社	pejabat akhbar	Dia bekerja di pejabat akhbar.
抱怨	mengeluh	Dia selalu mengeluh bahawa kerja terlalu banyak.
悲观	pesimis	Jangan terlalu pesimis.
背	belakang badan	Dia duduk membelakangi pintu.
背景	latar belakang	Sila perkenalkan latar belakang anda secara ringkas.
被子	selimut	Selimut itu sangat hangat.
本科	prasiswazah	Dia ialah pelajar prasiswazah.
本领	kemahiran; kebolehan	Dia mempelajari satu kemahiran baharu.
本质	inti; sifat asas	Inti masalah ini sangat mudah.
彼此	satu sama lain	Kita patut menghormati satu sama lain.
比例	nisbah; kadar	Nisbah lelaki dan wanita lebih kurang sama.
必然	tidak dapat dielakkan; pasti	Usaha pasti membawa hasil.
必要	perlu; keperluan	Tidak perlu risau.
毕竟	lagipun	Lagipun, dia masih seorang kanak-kanak.
避免	mengelakkan	Sila elakkan lewat.
编辑	menyunting; editor	Dia bertanggungjawab menyunting artikel ini.
鞭炮	mercun	Semasa Tahun Baharu Cina, ada orang menyalakan mercun.
便	mudah; lalu	Selepas makan, dia pergi ke kelas.
辩论	berdebat	Mereka sedang berdebat tentang soalan ini.
标点	tanda baca	Sila beri perhatian kepada tanda baca.
标志	tanda; simbol	Lampu merah ialah tanda berhenti.
表达	menyatakan; mengungkapkan	Dia menyatakan pandangannya sendiri.
表面	permukaan	Permukaan meja sangat bersih.
表明	menunjukkan; menyatakan	Keputusan menunjukkan bahawa dia betul.
表情	ekspresi muka	Ekspresi mukanya sangat serius.
表现	prestasi; menunjukkan	Prestasinya hari ini sangat baik.
冰激凌	ais krim	Kanak-kanak suka makan ais krim.
病毒	virus	Virus jenis ini merebak dengan sangat cepat.
播放	memainkan; menyiarkan	Sila mainkan lagu ini.
玻璃	kaca	Gelas kaca itu pecah.
博物馆	muzium	Kami akan pergi ke muzium hujung minggu ini.
脖子	leher	Leher saya sakit sedikit.
不断	berterusan	Harga terus naik.
不见得	belum tentu	Ini belum tentu perkara buruk.
不耐烦	tidak sabar	Setelah menunggu lama, dia menjadi sedikit tidak sabar.
不要紧	tidak mengapa	Tidak mengapa; perkara itu tidak penting.
补充	menambah; melengkapkan	Saya ingin menambah satu pendapat.
不安	gelisah	Setelah mendengar berita ini, dia berasa gelisah.
不得了	serius; teruk	Perkara ini benar-benar serius.
不然	jika tidak	Cepat pergi, jika tidak kamu akan lewat.
不如	lebih baik	Daripada menaiki kenderaan, lebih baik berjalan kaki.
不足	tidak mencukupi	Air di sini tidak mencukupi.
布	kain	Kain ini sangat lembut.
步骤	langkah	Sila lakukan mengikut langkah-langkah.
部门	jabatan	Saya bekerja di jabatan jualan.
财产	harta	Rumah ini ialah hartanya.
彩虹	pelangi	Selepas hujan, pelangi muncul.
踩	memijak	Jangan pijak rumput.
采访	menemu ramah	Wartawan sedang menemu ramah doktor.
采取	mengambil; menggunakan	Kami menggunakan kaedah baharu.
参考	merujuk	Sila rujuk buku ini.
参与	menyertai	Dia aktif menyertai aktiviti.
