hsk_key	source_word	simplified	ML	example_ML	KK	example_KK
3606:白白	白白	白白	വൃഥാ; ഫലമില്ലാതെ	അവൻ ഒരു മണിക്കൂർ വൃഥാ കാത്തിരുന്നു.	босқа; зая	Ол бір сағат босқа күтті.
3607:白领	白领	白领	ഓഫീസ് ജീവനക്കാരൻ; വൈറ്റ് കോളർ തൊഴിലാളി	ഈ നഗരത്തിൽ യുവ ഓഫീസ് ജീവനക്കാർ വളരെ കൂടുതലാണ്.	кеңсе қызметкері; ақ жағалы қызметкер	Бұл қалада жас кеңсе қызметкерлері көп.
3609:摆放	摆放	摆放	വെക്കുക; ക്രമമായി നിരത്തുക	ദയവായി രേഖകൾ മേശപ്പുറത്ത് ക്രമമായി വെക്കൂ.	қою; реттеп орналастыру	Құжаттарды үстелге реттеп қойыңыз.
3610:百分点	百分点	百分点	ശതമാന പോയിന്റ്	തൊഴിലില്ലായ്മ നിരക്ക് രണ്ട് ശതമാന പോയിന്റ് കുറഞ്ഞു.	пайыздық тармақ	Жұмыссыздық деңгейі екі пайыздық тармаққа төмендеді.
3611:百货	百货	百货	ഡിപ്പാർട്ട്മെന്റ് സ്റ്റോർ സാധനങ്ങൾ; പൊതുവ്യാപാര സാധനങ്ങൾ	ഈ ഡിപ്പാർട്ട്മെന്റ് സ്റ്റോറിൽ വാരാന്ത്യങ്ങളിൽ വളരെ തിരക്കാണ്.	әмбебап дүкен тауарлары; жалпы тауарлар	Бұл әмбебап дүкенде демалыс күндері адам көп болады.
3613:败	败	败	തോൽക്കുക; പരാജയപ്പെടുക	ഞങ്ങളുടെ ടീം ഒടുവിൽ ഒരു പോയിന്റിന് തോറ്റു.	жеңілу; ұтылу	Біздің команда соңында бір ұпай айырмасымен жеңілді.
3616:版	版	版	പതിപ്പ്; വേർഷൻ	ഈ പുസ്തകത്തിന്റെ പുതിയ പതിപ്പ് പുറത്തിറങ്ങി.	басылым; нұсқа	Бұл кітаптың жаңа басылымы шықты.
3621:棒球	棒球	棒球	ബേസ്ബോൾ	കുട്ടികൾ പാർക്കിൽ ബേസ്ബോൾ കളിക്കുന്നു.	бейсбол	Балалар саябақта бейсбол ойнап жүр.
3623:保健	保健	保健	ആരോഗ്യപരിപാലനം; ആരോഗ്യസംരക്ഷണം	പ്രായമായവർ ആരോഗ്യപരിപാലനത്തിന് കൂടുതൽ പ്രാധാന്യം നൽകുന്നു.	денсаулық сақтау; денсаулық күтімі	Қарт адамдар денсаулық күтіміне көбірек мән береді.
3624:保暖	保暖	保暖	ചൂട് നിലനിർത്തുക	ശീതകാലത്ത് പുറത്തുപോകുമ്പോൾ ചൂട് നിലനിർത്താൻ ശ്രദ്ധിക്കണം.	жылы ұстау; жылы киіну	Қыста сыртқа шыққанда жылы киінуді ұмытпаңыз.
