simplified	PL	example_PL	NL	example_NL	SV	example_SV	NO	example_NO	DA	example_DA	FI	example_FI
白天	dzień; w ciągu dnia	W ciągu dnia uczę się w szkole.	de dag; overdag	Overdag studeer ik op school.	dagtid; under dagen	På dagtid studerar jag i skolan.	dagtid; om dagen	Om dagen lærer jeg på skolen.	dagtid; om dagen	Om dagen studerer jeg i skolen.	päivä; päivällä	Päivällä opiskelen koulussa.
边	strona; krawędź	Książka leży obok stołu.	de kant; de rand	Het boek ligt naast de tafel.	sida; kant	Boken ligger bredvid bordet.	side; kant	Boken ligger ved siden av bordet.	side; kant	Bogen ligger ved siden af bordet.	puoli; reuna	Kirja on pöydän vieressä.
病	choroba; być chorym	On jest chory.	ziekte; ziek zijn	Hij is ziek.	sjukdom; vara sjuk	Han är sjuk.	sykdom; være syk	Han er syk.	sygdom; at være syg	Han er syg.	sairaus; olla sairas	Hän on sairas.
不要	nie; nie chcieć	Nie pij za dużo kawy.	niet; niet willen	Drink niet te veel koffie.	inte; inte vilja	Drick inte för mycket kaffe.	ikke; ikke ville	Ikke drikk for mye kaffe.	ikke; ikke ville	Drik ikke for meget kaffe.	älä; ei haluta	Älä juo liikaa kahvia.
唱	śpiewać	Moja młodsza siostra lubi śpiewać chińskie piosenki.	zingen	Mijn jongere zus zingt graag Chinese liedjes.	sjunga	Min lillasyster tycker om att sjunga kinesiska sånger.	synge	Lillesøsteren min liker å synge kinesiske sanger.	synge	Min lillesøster kan lide at synge kinesiske sange.	laulaa	Pikkusiskoni tykkää laulaa kiinalaisia lauluja.
车	samochód; pojazd	Przy drzwiach stoi samochód.	de auto; het voertuig	Er staat een auto bij de deur.	bil; fordon	Det står en bil vid dörren.	bil; kjøretøy	Det står en bil ved døren.	bil; køretøj	Der står en bil ved døren.	auto; ajoneuvo	Ovella on auto.
大学	uniwersytet	Starszy brat studiuje na uniwersytecie.	de universiteit	Mijn oudere broer studeert aan de universiteit.	universitet	Min äldre bror studerar på universitetet.	universitet	Storebroren min studerer på universitetet.	universitet	Min storebror studerer på universitetet.	yliopisto	Vanhempi veljeni opiskelee yliopistossa.
大学生	student uniwersytetu	Ona jest studentką.	de universiteitsstudent	Zij is universiteitsstudent.	universitetsstudent	Hon är universitetsstudent.	universitetsstudent	Hun er universitetsstudent.	universitetsstuderende	Hun er universitetsstuderende.	yliopisto-opiskelija	Hän on yliopisto-opiskelija.
第	przedrostek liczebnika porządkowego	To jest pierwsza lekcja.	voorvoegsel voor rangtelwoorden	Dit is les één.	ordningsprefix	Det här är lektion ett.	prefiks for ordenstall	Dette er leksjon én.	præfiks for ordenstal	Dette er første lektion.	järjestysluvun etuliite	Tämä on ensimmäinen oppitunti.
店	sklep	Ten sklep jest mały.	de winkel	Deze winkel is klein.	butik	Den här butiken är liten.	butikk	Denne butikken er liten.	butik	Denne butik er lille.	kauppa	Tämä kauppa on pieni.
电话	telefon; rozmowa telefoniczna	Jaki jest twój numer telefonu?	de telefoon; het telefoongesprek	Wat is je telefoonnummer?	telefon; telefonsamtal	Vad är ditt telefonnummer?	telefon; telefonsamtale	Hva er telefonnummeret ditt?	telefon; telefonopkald	Hvad er dit telefonnummer?	puhelin; puhelu	Mikä on puhelinnumerosi?
电影院	kino	Kino jest obok szkoły.	de bioscoop	De bioscoop is naast de school.	biograf	Biografen ligger bredvid skolan.	kino	Kinoen ligger ved siden av skolen.	biograf	Biografen ligger ved siden af skolen.	elokuvateatteri	Elokuvateatteri on koulun vieressä.
读书	czytać; uczyć się	Dziecko czyta w pokoju.	lezen; studeren	Het kind leest in de kamer.	läsa; studera	Barnet läser i rummet.	lese; studere	Barnet leser på rommet.	læse; studere	Barnet læser på værelset.	lukea; opiskella	Lapsi lukee huoneessa.
饭	posiłek; ugotowany ryż	Jem posiłek.	de maaltijd; gekookte rijst	Ik ben aan het eten.	måltid; kokt ris	Jag äter en måltid.	måltid; kokt ris	Jeg spiser et måltid.	måltid; kogt ris	Jeg spiser et måltid.	ateria; keitetty riisi	Olen syömässä.
饭店	restauracja; hotel	Ta restauracja jest bardzo znana.	het restaurant; het hotel	Dit restaurant is erg bekend.	restaurang; hotell	Den här restaurangen är mycket känd.	restaurant; hotell	Denne restauranten er veldig kjent.	spisested; hotel	Denne restaurant er meget kendt.	ravintola; hotelli	Tämä ravintola on hyvin tunnettu.
歌	piosenka	Ta piosenka brzmi ładnie.	het lied	Dit lied klinkt mooi.	sång	Den här sången låter fin.	sang	Denne sangen høres fin ut.	sang	Denne sang lyder godt.	laulu	Tämä laulu kuulostaa hyvältä.
国	kraj; państwo	Chiny to duży kraj.	het land; de natie	China is een groot land.	land; nation	Kina är ett stort land.	land; nasjon	Kina er et stort land.	land; nation	Kina er et stort land.	maa; valtio	Kiina on suuri maa.
还	nadal; też	Nadal chcę napić się herbaty.	nog; ook	Ik wil nog thee drinken.	fortfarande; också	Jag vill fortfarande dricka te.	fortsatt; også	Jeg vil fortsatt drikke te.	stadig; også	Jeg vil stadig gerne drikke te.	vielä; myös	Haluan vielä juoda teetä.
汉字	chiński znak	Ten chiński znak nie jest trudny.	het Chinese karakter	Dit Chinese karakter is niet moeilijk.	kinesiskt tecken	Det här kinesiska tecknet är inte svårt.	kinesisk tegn	Dette kinesiske tegnet er ikke vanskelig.	kinesisk tegn	Dette kinesiske tegn er ikke svært.	kiinalainen merkki	Tämä kiinalainen merkki ei ole vaikea.
好看	ładny; miły dla oka	To zdjęcie wygląda ładnie.	mooi; prettig om naar te kijken	Deze foto ziet er mooi uit.	snygg; fin att se på	Det här fotot ser fint ut.	pen; fin å se på	Dette bildet ser fint ut.	flot; pæn at se på	Dette billede ser flot ud.	hyvännäköinen; kaunis katsella	Tämä kuva näyttää kauniilta.
好听	przyjemny dla ucha	Ta piosenka brzmi ładnie.	mooi om te horen	Dit lied klinkt mooi.	behaglig att höra	Den här sången låter fin.	fin å høre på	Denne sangen høres fin ut.	behagelig at høre	Denne sang lyder godt.	miellyttävä kuulla	Tämä laulu kuulostaa hyvältä.
