source_headword	ZH	example_ZH
abandon	放弃	他们昨天放弃了计划。
absolute	绝对的	这里需要绝对诚实。
acceptable	可接受的	他的回答是可接受的。
accompany	陪同	她哥哥陪她回家。
accurate	准确的	这份报告似乎很准确。
accuse	指控	他们指控他说谎。
acknowledge	承认	请承认这个错误。
acquire	获得	她很快获得了新技能。
actual	实际的	实际费用更低。
adapt	适应	我们适应了变化。
additional	额外的	今天来了额外的帮助。
administration	管理部门	管理部门改变了政策。
adopt	采用	他们采用了新方法。
advance	进展	我们取得了小进展。
affair	事件	这件事损害了公众信任。
afterwards	之后	之后，大家都平静下来。
agency	机构	该机构雇了三名译员。
agenda	议程	安全问题在议程上。
aggressive	有攻击性的	他的语气听起来有攻击性。
aid	援助	医疗援助很快到达。
aircraft	飞机	飞机安全降落。
alter	改变	不要改变协议。
anger	愤怒	他的愤怒让所有人吃惊。
angle	角度	试试另一个拍摄角度。
anniversary	周年纪念日	他们的纪念日是明天。
annual	年度的	年度会议星期一开始。
anxious	焦虑的	手术前她感到焦虑。
apparent	明显的	他的失望很明显。
apparently	显然	显然，火车晚点了。
appeal	上诉	这个决定可能面临上诉。
approach	方法	她的方法解决了问题。
appropriate	合适的	选择一个合适的回答。
approval	批准	这个项目需要批准。
approve	批准	董事会批准了预算。
arise	出现	问题可能稍后出现。
armed	武装的	武装警卫站在外面。
arms	武器	他们放下了武器。
artificial	人造的	这些花看起来是人造的。
artistic	艺术的	她有艺术天赋。
ashamed	羞愧的	后来他感到羞愧。
aspect	方面	仔细考虑每个方面。
assess	评估	我们必须评估损失。
assessment	评估	评估用了两个小时。
associate	联系	人们把烟和危险联系起来。
associated	相关的	压力与疾病有关。
association	协会	该协会支持年轻艺术家。
assume	假设	我假设你同意。
attempt	尝试	他的第一次尝试失败了。
bacteria	细菌	细菌会迅速传播。
barrier	障碍	语言是一个障碍。
basically	基本上	基本上，我们需要更多时间。
bear (deal with)	忍受	我无法忍受这种噪音。
beg	恳求	请恳求别人帮助。
being	生物	每个生物都需要水。
bent	弯曲的	金属杆弯了。
bet	打赌	我打赌他知道。
beyond	在……之外	村庄在河的另一边。
bitter	苦的	药尝起来很苦。
blame	责怪	不要责怪司机。
blind	失明的	他年轻时失明了。
bond	纽带	信任建立牢固的纽带。
breast	乳房	她感到乳房疼痛。
brief	简短的	请让回答简短。
broad	宽阔的	这里的河很宽。
broadcast	播出	演讲进行了现场直播。
budget	预算	预算非常紧张。
