source_headword	TR	example_TR
absorb	emmek	Havlu suyu hızla emer.
abstract	soyut	Ders soyut fikirleri tartıştı.
accent	aksan	Onun aksanını anlamak kolaydır.
accidentally	yanlışlıkla	Dosyayı yanlışlıkla sildim.
accommodate	uyum sağlamak	Otel büyük aileleri barındırabilir.
accomplish	başarmak	Hedefine hazirandan önce ulaştı.
accountant	muhasebeci	Muhasebeci faturayı kontrol etti.
accuracy	doğruluk	Test okuma doğruluğunu ölçer.
accurately	doğru bir şekilde	Harita rotayı doğru bir şekilde gösteriyor.
acid	asit	Asit metal yüzeye zarar verdi.
activate	etkinleştirmek	Alarmı etkinleştirmek için düğmeye basın.
addiction	bağımlılık	Bağımlılığı işini etkiledi.
additionally	ek olarak	Ayrıca, daha fazla sandalyeye ihtiyacımız var.
adequate	yeterli	Odada yeterli ışık var.
adequately	yeterli derecede	Rapor sorunu yeterince açıkladı.
adjust	ayarlamak	Sürüşten önce koltuğu ayarlayın.
affordable	uygun fiyatlı	Daire öğrenciler için uygun fiyatlı.
agriculture	tarım	Tarım birçok kırsal aileyi destekler.
AIDS	AIDS	Doktorlar AIDS'i modern tıpla tedavi ediyor.
alien	uzaylı	Film uzaylı bir gezegeni gösteriyor.
alongside	yanında	Bisiklet yolu nehrin yanında uzanıyor.
altogether	tamamen	Proje toplamda altı hafta sürdü.
ambulance	ambulans	Ambulans dakikalar içinde geldi.
amusing	eğlenceli	Hikaye eğlenceli ve hafifti.
analyst	analist	Analist satış verilerini inceledi.
ancestor	ata	Atam bu köyün yakınında yaşadı.
animation	animasyon	Animasyon dersi daha net hale getirdi.
annually	yıllık olarak	Festival her yıl düzenlenmektedir.
anticipate	öngörmek	Yarın yoğun trafik öngörüyoruz.
anxiety	endişe	Kaygı uykuyu zorlaştırabilir.
apology	özür	İçten bir özür diledi.
applicant	başvuru sahibi	Başvuru sahibi yeni bir özgeçmiş gönderdi.
appropriately	uygun şekilde	Lütfen mülakat için uygun şekilde giyinin.
arrow	ok	Ok çıkışı gösteriyor.
artwork	sanat eseri	Müze yerel sanat eserlerini sergiledi.
aside	bir kenara	Geçmesine izin vermek için bir kenara çekildi.
asset	varlık	Deneyim değerli bir varlıktır.
assign	atamak	Öğretmen bugün ev ödevi verdi.
assistance	yardım	Lütfen personelden yardım isteyin.
assumption	varsayım	Bu varsayım yanlış olabilir.
assure	garanti etmek	Kapının kilitli olduğunu temin ederim.
astonishing	şaşırtıcı	Uçurumdan manzara şaşırtıcıydı.
attachment	eklenti	E-posta bir eklenti içeriyor.
auction	müzayede	Tablo açık artırmada satıldı.
audio	işitsel	Ses kaydı net geliyor.
automatic	otomatik	Kapının otomatik bir kilidi var.
automatically	otomatik olarak	Işıklar otomatik olarak açılır.
awareness	farkındalık	Kampanya halkın farkındalığını artırdı.
awkward	tuhaf	Sessizlik tuhaf hissettirdi.
badge	rozet	Ziyaretçiler rozet takmalıdır.
balanced	dengeli	Dengeli bir diyet sebzeleri içerir.
ballet	bale	Okuldan sonra bale öğreniyor.
balloon	balon	Balon masanın üzerinde süzüldü.
barely	zar zor	Anonsu zar zor duydu.
bargain	kelepir	O ceket tam bir kelepirdi.
basement	bodrum	Kutular bodrumda.
basket	sepet	Elmaları sepete koydu.
bat	sopa	Yarasa mağaradan dışarı uçtu.
beneficial	faydalı	Düzenli egzersiz sağlık için faydalıdır.
beside	yanında	Lamba kanepenin yanında duruyor.
besides	ayrıca	Matematikten başka kimya da çalışıyor.
bias	önyargı	Makale açık bir önyargı gösteriyordu.
bid	teklif	Şirket daha yüksek bir teklif verdi.
biological	biyolojik	Biyolojik test sonucu doğruladı.
blanket	battaniye	Çocuk battaniyenin altında uyudu.
blow	darbe	Güçlü darbe pencereyi kırdı.
bold	cesur	Manşette kalın harfler kullanıldı.
bombing	bombalama	Bombalama birkaç binaya zarar verdi.
booking	rezervasyon	Otel rezervasyonunu onayladım.
boost	artış	Galibiyet takımın güvenini artırdı.
bound	bağlayıcı	Paket iple bağlıydı.
brick	tuğla	Duvar tuğladan yapılmış.
briefly	kısaca	Öğle yemeğinden sonra kısaca konuştu.
broadcaster	yayıncı	Yayıncı belediye başkanıyla röportaj yaptı.
broadly	genel olarak	İki plan genel olarak benzer.
bug	böcek	Uygulama bir hata yüzünden çöktü.
cabin	kulübe	Küçük bir kulübede kaldık.
canal	kanal	Tekneler kanal boyunca yavaşça ilerledi.
candle	mum	Mum masanın üzerinde yandı.
carbon	karbon	Ağaçlar havadaki karbonu emer.
casual	rahat	İşe günlük kıyafetler giydi.
cave	mağara	Yürüyüşçüler mağaraya girdi.
certainty	kesinlik	Kesinlikle bilemeyiz.
certificate	sertifika	Bir eğitim sertifikası aldı.
challenging	zorlu	Kurs zorlu ama faydalıydı.
championship	şampiyona	Takımımız şampiyona finaline ulaştı.
charming	büyüleyici	Eski sokak büyüleyici görünüyordu.
chase	takip	Köpek topu kovaladı.
cheek	yanak	Yanağından bir damla yaş süzüldü.
cheer	tezahürat	Kalabalık yüksek sesle tezahürat yapmaya başladı.
choir	koro	Koro güzelce şarkı söyledi.
chop	kesmek	Soğanları küçük parçalara doğrayın.
circuit	devre	Koşucu turu tamamladı.
civilization	medeniyet	Antik medeniyet bu bölgeyi şekillendirdi.
clarify	açıklığa kavuşturmak	Lütfen son noktayı açıklığa kavuşturun.
classify	sınıflandırmak	Bilim insanları hayvanları türlerine göre sınıflandırır.
clerk	memur	Memur makbuzu yazdırdı.
cliff	uçurum	Patika bir uçurumun yakınında bitiyor.
clinic	klinik	Klinik sekizde açılır.
clip	klips	Klipsi kağıda taktı.
coincidence	tesadüf	Onunla orada karşılaşmak bir tesadüftü.
collector	koleksiyoncu	Koleksiyoncu nadir paralar satın aldı.
colony	koloni	Karıncalar büyük bir koloni kurdu.
colourful	renkli	Pazar parlak ve renkliydi.
comic	komik	Komik sahne bizi güldürdü.
commander	komutan	Komutan net emirler verdi.
