source_headword	CS	example_CS
incur	přinést	Zpoždění mohou přinést další náklady.
indicator	ukazatel	Nezaměstnanost je jedním z ekonomických ukazatelů.
indictment	obžaloba	Obžaloba obsahovala tři obvinění.
indigenous	původní	Původním rostlinám se zde daří.
induce	vyvolat	Lék může vyvolat spánek.
indulge	dopřávat si	Nedopřává si drahé zvyky.
inequality	nerovnost	Příjmová nerovnost zůstává hlavním problémem.
infamous	neblaze proslulý	Věznice se stala celosvětově neblaze proslulou.
infant	kojenec	Kojenec spal v postýlce.
infect	infikovat	Virus může infikovat zdravé buňky.
inflict	způsobit	Nezpůsobujte zvířatům bolest.
influential	vlivný	Je vlivnou právní vědkyní.
inherent	neodmyslitelný	Tento design má svá inherentní rizika.
inhibit	bránit	Strach může bránit upřímné diskusi.
initiate	zahájit	Manažer zahájí kontrolu.
inject	vstříknout	Zdravotní sestra vstříkne vakcínu.
injection	injekce	Injekce zmírnila bolest.
injustice	nespravedlnost	Rozhodnutí odhalilo jasnou nespravedlnost.
inmate	vězeň	Vězeň požádal o právní radu.
insertion	vložení	Formulář vyžaduje jedno vložení textu.
insider	zasvěcenec	Zasvěcenec unikl zprávu.
inspect	kontrolovat	Úředníci most každoročně kontrolují.
inspection	kontrola	Inspekce zjistila vážná poškození.
inspiration	inspirace	Její projev mi dal inspiraci.
instinct	instinkt	Jeho prvním instinktem bylo pomoci.
institutional	institucionální	Institucionální pravidla formovala rozhodnutí.
instruct	instruovat	Příručka poučí nové zaměstnance.
instrumental	nápomocný	Její rada byla při jednáních klíčová.
insufficient	nedostatečný	Důkazy byly pro obvinění nedostatečné.
insult	urážka	Jeho urážka ukončila konverzaci.
intact	neporušený	Starověká zeď zůstala neporušená.
intake	příjem	Příjem cukru by měl zůstat mírný.
integral	nedílný	Důvěra je nedílnou součástí týmu.
integrated	integrovaný	Škola nabízí integrovanou podporu.
integration	integrace	Integrace zlepšila celý systém.
integrity	bezúhonnost	Soudce prokázal velkou bezúhonnost.
intensify	zesílit	Bouře může přes noc zesílit.
intensity	intenzita	Intenzita tréninku se zvýšila.
intensive	intenzivní	Absolvovali intenzivní jazykový trénink.
intent	úmysl	Jeho úmysl bylo těžké dokázat.
interactive	interaktivní	Muzeum má interaktivní expozice.
interface	rozhraní	Rozhraní se snadno ovládá.
interfere	zasahovat	Nezasahujte do vyšetřování.
interference	rušení	Rušení signálu přerušilo hovor.
interim	prozatímní	Prozatímní zpráva dorazí zítra.
interior	vnitřní	Vnitřní stěny potřebují vymalovat.
intermediate	středně pokročilý	Připojila se ke třídě pro středně pokročilé.
intervene	zasáhnout	Policie musela rychle zasáhnout.
intervention	zásah	Včasný zásah pacientovi pomohl.
intimate	intimní	Uspořádali intimní rodinný obřad.
intriguing	fascinující	Data odhalila fascinující vzorec.
investigator	vyšetřovatel	Vyšetřovatel vyslechl každého svědka.
invisible	neviditelný	Plyn je neviditelný a nebezpečný.
invoke	odvolávat se	Právník se pokusil odvolat na precedens.
involvement	zapojení	Jeho zapojení zůstalo nejasné.
ironic	ironický	Ten ironický komentář všechny rozesmál.
ironically	ironicky	Ironicky trvala cesta déle.
irony	ironie	Ta ironie byla všem zřejmá.
irrelevant	irelevantní	Tento detail je zde irelevantní.
isolation	izolace	Izolace může poškodit duševní zdraví.
judicial	soudní	Soudní přezkum začíná v pondělí.
junction	křižovatka	Na křižovatce zahněte doleva.
jurisdiction	jurisdikce	Soud má omezenou pravomoc.
just	spravedlivý	Soudce učinil spravedlivé rozhodnutí.
justification	odůvodnění	Potřebujeme jasné odůvodnění výdajů.
kidnap	unést	Zločinci se pokusili unést diplomata.
kidney	ledvina	Funkce jejích ledvin se zlepšila.
kingdom	království	Království se pod jeho vládou rozšířilo.
lad	chlapec	Mladý chlapec nesl tašky.
landlord	pan domácí	Pronajímatel opravil topení.
landmark	orientační bod	Věž se stala dominantou města.
lap	klín	Dítě jí sedělo na klíně.
large-scale	rozsáhlý	Město plánovalo rozsáhlé opravy.
laser	laser	Laser změřil vzdálenost.
latter	druhý	Ta druhá možnost se zdá být bezpečnější.
lawn	trávník	Děti si hrály na trávníku.
lawsuit	soudní spor	Společnost urovnala soudní spor.
layout	rozvržení	Rozvržení stránky vypadá jasněji.
leak	únik	Únik z potrubí zaplavil kuchyň.
leap	skok	Prodeje zaznamenaly náhlý skok.
legacy	odkaz	Její odkaz formoval univerzitu.
legendary	legendární	Legendární zpěvák se vrátil na scénu.
legislation	legislativa	Nová legislativa chrání nájemníky.
legislative	legislativní	Legislativní výbor se dnes sešel.
legislature	zákonodárný sbor	Zákonodárný sbor schválil rozpočet.
