source_headword	HR	example_HR
institute	institut	Institut je otvorio novi istraživački program.
institution	institucija	Institucija je promijenila svoja pravila o prijemu.
insurance	osiguranje	Njezino osiguranje pokrilo je bolničke troškove.
intended	namijenjen	Poruka je stigla do svoje namijenjene publike.
intense	intenzivan	Rasprava je vrlo brzo postala intenzivna.
internal	unutarnji	Tvrtka je započela internu reviziju.
interpret	protumačiti	Molimo pažljivo protumačite rezultate.
interrupt	prekinuti	Nemojte sada prekidati govornika.
investigation	istraga	Istraga je otkrila ozbiljne pogreške.
investment	ulaganje	Ulaganje je stvorilo mnoga lokalna radna mjesta.
joy	radost	Njihov uspjeh donio je veliku radost.
judgement	prosudba	Njegova se prosudba poboljšala s iskustvom.
junior	mlađi	Pridružila se timu kao mlađa analitičarka.
justice	pravda	Obitelj je tražila pravdu nakon suđenja.
justify	opravdati	Morate jasno opravdati tu odluku.
labour	radna snaga	Projekt zahtijeva kvalificiranu radnu snagu.
landscape	krajolik	Krajolik se promijenio nakon oluje.
largely	uglavnom	Plan je uglavnom bio uspješan.
launch	lansirati	Sutra će lansirati proizvod.
leadership	vodstvo	Snažno vodstvo pomoglo je timu da se oporavi.
league	liga	Naš klub pridružio se regionalnoj ligi.
lean	nasloniti se	Nemojte se naslanjati na mokar zid.
licence	dozvola	Dozvola istječe sljedeći mjesec.
limited	ograničen	Danas imamo ograničeno vrijeme.
lively	živahan	Sastanak je postao živahan nakon ručka.
load	teret	Kamion je nosio težak teret.
loan	zajam	Banka je odobrila zajam.
logical	logičan	Njezin je argument bio jasan i logičan.
long-term	dugoročan	Ovo je dugoročno rješenje.
loose	labav	Ručka je labava.
lord	gospodar	Gospodar je posjedovao nekoliko sela.
lower	sniziti	Oni snizuju cijene tijekom zime.
lung	pluća	Pušenje može oštetiti pluća.
maintain	održavati	Održavamo redoviti kontakt.
majority	većina	Većina je podržala prijedlog.
mass	masa	Masa oblaka prekrila je nebo.
massive	golem	Potres je uzrokovao golemu štetu.
master	majstor	Postala je majstorica pregovaranja.
matching	usklađen	Nosio je usklađene cipele i remen.
maximum	maksimalan	Soba je dosegla maksimalan kapacitet.
means	sredstvo	E-pošta je naše glavno sredstvo kontakta.
measurement	mjerenje	Mjerenje je bilo pomalo pogrešno.
melt	otopiti se	Snijeg će se otopiti do podneva.
military	vojni	Vojna baza zatvorena je prošle godine.
mineral	mineral	Željezo je važan mineral.
minimum	minimalan	Minimalna dob je osamnaest godina.
minister	ministar	Ministar je odgovorio na teška pitanja.
minor	manji	Nesreća je uzrokovala manju štetu.
minority	manjina	Manjina se usprotivila novom pravilu.
mission	misija	Njihova je misija sigurno završila.
mixed	mješovit	Vijest je naišla na mješovite reakcije.
modify	izmijeniti	Kasnije možemo izmijeniti dizajn.
monitor	pratiti	Medicinska sestra će pratiti njegovo stanje.
moral	moralni	Priča ima moralnu pouku.
motor	motor	Motor se zaustavio bez upozorenja.
mount	postaviti	Postavljaju kamere blizu ulaza.
multiple	višestruk	Višestruki čimbenici uzrokovali su kašnjenje.
multiply	pomnožiti	Pomnožite broj s deset.
mysterious	tajanstven	Vani se pojavilo tajanstveno svjetlo.
neat	uredan	Njezin je stol uvijek uredan.
nerve	živac	Ozljeda je oštetila živac.
nevertheless	ipak	Zadatak je bio težak; ipak, završili smo.
nightmare	noćna mora	Putovanje je postalo noćna mora.
notion	predodžba	Odbacite predodžbu da je promjena nemoguća.
numerous	brojan	Brojne studije podupiru ovu ideju.
obey	poštovati	Vozači moraju poštovati znakove.
objective	cilj	Naš je cilj smanjiti otpad.
obligation	obveza	Roditelji imaju obvezu zaštititi djecu.
observation	zapažanje	Njegovo zapažanje promijenilo je raspravu.
observe	promatrati	Znanstvenici promatraju ptice svakog proljeća.
obtain	pribaviti	Morate pribaviti pismeno dopuštenje.
occasionally	povremeno	Ona povremeno radi od kuće.
offence	uvreda	Komentar je izazvao ozbiljnu uvredu.
offend	uvrijediti	Nisam namjeravao nikoga uvrijediti.
offensive	uvredljiv	Plakat je sadržavao uvredljiv jezik.
opening	slobodno radno mjesto	Slobodno radno mjesto privuklo je mnogo kandidata.
operate	raditi	Stroj može raditi automatski.
opponent	protivnik	Njezin je protivnik kritizirao politiku.
oppose	protiviti se	Mnogi stanovnici protive se planu.
opposed	suprotstavljen	Skupine su imale suprotstavljene stavove.
opposition	protivljenje	Prijedlog je naišao na snažno protivljenje.
organ	organ	Srce je vitalan organ.
origin	podrijetlo	Podrijetlo požara je nepoznato.
otherwise	inače	Krenite sada; inače ćete zakasniti.
outcome	ishod	Ishod je sve iznenadio.
outer	vanjski	Vanjski zid treba popraviti.
outline	izložiti	Molim vas, izložite svoj glavni argument.
overall	ukupan	Ukupan rezultat bio je pozitivan.
owe	dugovati	Dugujem ti ispriku.
pace	tempo	Hodajte ujednačenim tempom.
panel	odbor	Odbor je raspravljao o klimatskoj politici.
parliament	parlament	Parlament je odobrio novi zakon.
participant	sudionik	Svaki je sudionik potpisao obrazac.
partly	djelomično	Kašnjenje je djelomično bila naša greška.
passage	odlomak	Pročitajte odlomak prije odgovaranja.
pension1	mirovina	Njegova ga mirovina uzdržava nakon umirovljenja.
permanent	trajan	Trebaju trajno rješenje.
permit	dopustiti	Pravila dopuštaju kratke posjete.
perspective	perspektiva	Pokušajte vidjeti njezinu perspektivu.
phase	faza	Projekt je ušao u svoju završnu fazu.
phenomenon	fenomen	Taj fenomen se pojavljuje u mnogim kulturama.
philosophy	filozofija	Njezina filozofija cijeni praktično djelovanje.
pile	hrpa	Hrpa papira prekrila je stol.
pitch	teren	Momčad je pažljivo pripremila teren.
plain	jasan	Upute su bile jasne i izravne.
pointed	oštar	Dao je oštru primjedbu.
popularity	popularnost	Pjevač je stekao popularnost na internetu.
pose	predstavljati	Pitanje bi moglo predstavljati problem.
possess	posjedovati	Malo učenika posjeduje tu vještinu.
potential	potencijal	Ideja ima pravi potencijal.
praise	pohvala	Učitelj je izrekao iskrenu pohvalu.
pregnant	trudna	Ona je u šestom mjesecu trudnoće.
preparation	priprema	Dobra priprema smanjuje stres.
presence	prisutnost	Njegova prisutnost promijenila je raspoloženje.
preserve	očuvati	Moramo očuvati ovu povijesnu zgradu.
prime	glavni	Glavni uzrok bilo je loše planiranje.
principle	princip	Odluka je slijedila jasan princip.
priority	prioritet	Sigurnost nam je prvi prioritet.
privacy	privatnost	Kupci očekuju privatnost na internetu.
procedure	postupak	Postupak traje trideset minuta.
