source_headword	SI	example_SI
rock (music)	රොක් සංගීතය	මම රොක් සංගීතයට කැමතියි.
role	භූමිකාව	ඇගේ භූමිකාව වැදගත්ය.
roof	වහලය	වහලයට අලුත්වැඩියාවක් අවශ්‍යයි.
round	වටකුරු	මේසය වටකුරුය.
route	මාර්ගය	මෙම මාර්ගය කෙටි වේ.
rubbish	කුණු	කුණු පිටත තබන්න.
rude	අශිෂ්ට	ඒ අදහස අශිෂ්ට විය.
runner	ධාවකයා	ධාවකයා වෙහෙසට පත්ව ඇති බව පෙනේ.
running	දිවීම	දිවීම මාව සෞඛ්‍යවත් කරයි.
sadly	කනගාටුවෙන්	කනගාටුවෙන්, අපට දුම්රිය මඟ හැරුණි.
safe	ආරක්ෂිත	මෙම වීදිය ආරක්ෂිත බව දැනේ.
sail	යාත්‍රා කරන්න	අපි සෙනසුරාදා යාත්‍රා කරමු.
sailing	යාත්‍රා කිරීම	යාත්‍රා කිරීම මෙහි ජනප්‍රියයි.
salary	වැටුප	ඔහුගේ වැටුප දැන් වැඩිය.
sale	වට්ටම් විකිණීම	වට්ටම් විකිණීම හෙට ආරම්භ වේ.
sauce	සෝස්	බත්ට සෝස් එකතු කරන්න.
save	සුරකින්න	ඔබේ වැඩ දැන් සුරකින්න.
scared	බියට පත්	ළමයා බියට පත් වී සිටී.
scary	භයානක	මෙම කතාව භයානකය.
scene	දර්ශනය	අවසාන දර්ශනය විහිළු සහිත විය.
schedule	කාලසටහන	අද කාලසටහන බලන්න.
score	ලකුණු	ලකුණු කීයද?
screen	තිරය	තිරය සැලකිල්ලෙන් පිරිසිදු කරන්න.
search	සොයන්න	ඡායාරූප සඳහා වෙබ් එක සොයන්න.
season	කාලය	ගිම්හානය කාර්යබහුල කාලයකි.
seat	ආසනය	කරුණාකර මෙම ආසනය ගන්න.
second1 (next after the first)	දෙවනුව	දෙවනුව, ඔබේ අත් සෝදන්න.
secondly	දෙවනුව	දෙවනුව, ඔබේ පිළිතුර පරීක්ෂා කරන්න.
secret	රහස්	මෙම රහස ආරක්ෂිතව තබන්න.
secretary	ලේකම්	ලේකම් අද ඇමතුවාය.
seem	පෙනෙන්න	ඔබට වෙහෙසට පත් වී ඇති බව පෙනේ.
sense	තේරුම	මෙම සැලැස්මට තේරුමක් ඇත.
separate	වෙන් වූ	කඩදාසි වෙන්ව තබන්න.
series	මාලාව	මෙම මාලාව ජනප්‍රියයි.
serious	බරපතළ	මෙම ගැටලුව බරපතළය.
serve	පිළිගන්වන්න	ඔවුන් දවල්ට ආහාර පිළිගන්වති.
service	සේවාව	සේවාව ඉක්මන් විය.
several	කිහිපයක්	සිසුන් කිහිපයක් කලින් පැමිණියහ.
shake	සොලවන්න	බෝතලය මුලින් සොලවන්න.
shall modal	කරමුද	අපි දැන් ආරම්භ කරමුද?
shape	හැඩය	හතරැස් හැඩයක් අඳින්න.
sheet	ඇඳ ඇතිරිල්ල	ඇඳ මත ඇඳ ඇතිරිල්ල දමන්න.
ship	නැව	නැව අද පිටත් විය.
shoulder	උරහිස	මගේ උරහිස වේදනා කරයි.
shout	කෑගසන්න	පන්තියේ කෑගසන්න එපා.
shut	වසන්න	කරුණාකර ජනේලය වසන්න.
side	පැත්ත	මෙම පැත්තේ ඉඳගන්න.
sign	සලකුණ	සලකුණ සැලකිල්ලෙන් කියවන්න.
silver	රිදී	රිදී දීප්තිමත් ලෝහයකි.
simple	සරල	මෙම අභ්‍යාසය සරලය.
since	සිට	මම දවල් සිට බලා සිටියෙමි.
singing	ගායනය	ගායනය මට විවේකයක් ලබා දෙයි.
single	තනි	මම තනි ටිකට් පතක් මිලදී ගත්තෙමි.
sir	මහත්මයා	මහත්මයා, ඔබේ බෑගය සූදානම්ය.
site	අඩවිය	මෙම අඩවිය ආරක්ෂිතයි.
size	ප්‍රමාණය	ඔබට කුමන ප්‍රමාණයක් අවශ්‍යද?
ski	ස්කී කරන්න	අපි ශීත කාලයේ ස්කී කරමු.
skiing	ස්කී කිරීම	ශීත කාලයේ ස්කී කිරීම විනෝදජනකය.
skin	සම	ඇගේ සම වියළි බව දැනේ.
sky	අහස	අහස පැහැදිලිය.
slowly	සෙමින්	අයිස් මත සෙමින් ඇවිදින්න.
smartphone	ස්මාර්ට් දුරකථනය	මගේ ස්මාර්ට් දුරකථනය නවය.
smell	සුවඳ දැනෙන්න	සුප් එක හොඳ සුවඳක් දැනේ.
smile	සිනාසෙන්න	කැමරාවට සිනාසෙන්න.
smoke	දුම	දුම කාමරය පුරා ගියේය.
smoking	දුම්පානය	දුම්පානයට අවසර නැත.
soap	සබන්	සබන් සහ ජලය භාවිත කරන්න.
soccer	පාපන්දු	පාපන්දු මෙහි ජනප්‍රියයි.
social	සමාජීය	මෙය සමාජීය උත්සවයකි.
society	සමාජය	සමාජය කාලයත් සමඟ වෙනස් වේ.
sock	මේස් එක	එක් මේස් එකක් නැතිවී ඇත.
soft	මෘදු	මෙම බ්ලැන්කට්ටුව මෘදුය.
soldier	සොල්දාදුවා	සොල්දාදුවා ගෙදර ආවේය.
solution	විසඳුම	අපි විසඳුමක් සොයා ගත්තෙමු.
solve	විසඳන්න	මෙම ප්‍රහේළිකාව විසඳන්න.
somewhere	කොහේ හෝ	එය කොහේ හෝ ආරක්ෂිත තැනක තබන්න.
sort	වර්ගය	ඔබට කුමන වර්ගයක් අවශ්‍යද?
source	මූලාශ්‍රය	මුලින් මූලාශ්‍රය පරීක්ෂා කරන්න.
speaker	කථිකයා	කථිකයාගේ හඬ ඉතා ඉහළ විය.
specific	නිශ්චිත	මට නිශ්චිත පිළිතුරක් අවශ්‍යයි.
speech	කථාව	ඇගේ කථාව කෙටි විය.
speed	වේගය	මෙහි ඔබේ වේගය අඩු කරන්න.
spider	මකුළුවා	බිත්තියේ මකුළුවෙකු සිටී.
spoon	හැන්ද	සුප් සඳහා හැන්දක් භාවිත කරන්න.
square	හතරැස්	හතරැස් පෙට්ටියක් අඳින්න.
stage	වේදිකාව	සංගීත කණ්ඩායම වේදිකාවේ සිටී.
stair	පඩිය	පඩිය කැඩී ඇත.
stamp	මුද්දරය	ලිපිය මත මුද්දරයක් අලවන්න.
state	ප්‍රකාශ කරන්න	ඔබේ නම පැහැදිලිව ප්‍රකාශ කරන්න.
steal	සොරකම් කරන්න	මුදල් සොරකම් කරන්න එපා.
step	පියවර	එක් පියවරක් ඉදිරියට යන්න.
stomach	උදරය	මගේ උදරය වේදනා කරයි.
stone	ගල	ගල බරය.
store	වෙළඳසැල	වෙළඳසැල කලින් වසා දමයි.
storm	කුණාටුව	කුණාටුවක් එමින් පවතී.
straight	කෙළින්	කෙළින් ගෙදර යන්න.
strange	අමුතු	ඒ ශබ්දය අමුතුය.
strategy	උපාය මාර්ගය	අපට උපාය මාර්ගයක් අවශ්‍යයි.
stress	ආතතිය	වැඩ ආතතිය ඇති කළ හැක.
structure	ව්‍යුහය	මෙම ව්‍යුහය ශක්තිමත්ය.
stupid	මෝඩ	එය මෝඩ වැරැද්දක් විය.
succeed	සාර්ථක වන්න	ඔබට මෙහි සාර්ථක විය හැක.
successful	සාර්ථක	ඇය සාර්ථක වූවාය.
such	එවැනි	එවැනි උදව් ප්‍රයෝජනවත්ය.
suddenly	හදිසියේ	හදිසියේ, බල්ලා පලා ගියේය.
suggest	යෝජනා කරන්න	මම කෙටි විවේකයක් යෝජනා කරමි.
suggestion	යෝජනාව	ඔබේ යෝජනාව උදව්කාරීය.
suit	සූට් ඇඳුම	මෙම සූට් ඇඳුම මිල අධිකය.
support	සහාය දෙන්න	අපි අපගේ කණ්ඩායමට සහාය දෙමු.
