source_headword	IS	example_IS
clothes	föt	Fötin mín eru hrein.
club	klúbbur	Hún fer í tónlistarklúbb.
coat	kápa; frakki	Kápan mín er hlý.
coffee	kaffi	Ég drekk kaffi á morgnana.
cold	kaldur; kvef	Vatnið er kalt.
college	háskóli; framhaldsskóli	Systir mín er í háskóla.
colour	litur	Uppáhaldsliturinn minn er blár.
come	koma	Komdu hingað, vinsamlegast.
common	algengur; venjulegur	Þetta nafn er algengt.
company	fyrirtæki	Mamma mín vinnur hjá fyrirtæki.
compare	bera saman	Berðu saman þessar tvær myndir.
complete	heill; klára	Eyðublaðið er útfyllt.
computer	tölva	Þessi tölva er ný.
concert	tónleikar	Í kvöld förum við á tónleika.
conversation	samtal	Við áttum stutt samtal.
cook	elda; kokkur	Ég elda kvöldmat heima.
cooking	eldamennska	Mér finnst gaman að elda með pabba.
cool	svalur; flottur	Herbergið er svalt.
correct	réttur; leiðrétta	Svarið þitt er rétt.
cost	kostnaður; kosta	Hvað kostar þetta?
could modal	geta; gæti	Ég gæti hjálpað þér.
country	land	Kanada er stórt land.
course	námskeið	Ég fer á enskunámskeið.
cousin	frændi; frænka	Frændi minn býr nálægt.
cow	kýr	Kýrin étur gras.
cream	rjómi; krem	Ég set rjóma í kaffið.
create	búa til	Þau búa til nýjan leik.
culture	menning	Við lærum um staðarmenningu.
cup	bolli	Þessi bolli er tómur.
customer	viðskiptavinur; kaupandi	Viðskiptavinurinn spyr spurningar.
cut	skera	Skerðu eplið í tvennt.
dad	pabbi	Pabbi er í vinnunni.
dance	dansa; dans	Við dönsum eftir kvöldmat.
dancer	dansari	Dansarinn hreyfir sig hratt.
dancing	dans	Það er gaman að dansa.
dangerous	hættulegur	Þessi vegur er hættulegur.
dark	dimmur; dökkur	Herbergið er dimmt.
date	dagsetning; stefnumót	Hver er dagsetningin í dag?
daughter	dóttir	Dóttir hennar er sex ára.
day	dagur	Ég óska þér góðs dags.
dear	kær; dýr	Kæri vinur, takk.
December	desember	Afmælið mitt er í desember.
decide	ákveða	Ákveddu núna, vinsamlegast.
delicious	ljúffengur	Súpan er ljúffeng.
describe	lýsa	Lýstu herberginu þínu.
description	lýsing	Lestu stuttu lýsinguna.
design	hönnun; hanna	Ég hanna einfalt kort.
desk	skrifborð	Bókin er á skrifborðinu mínu.
detail	smáatriði	Eitt smáatriði vantar.
dialogue	samtal	Lestu samtalið núna.
dictionary	orðabók	Notaðu orðabók í tímanum.
die	deyja	Blóm deyja án vatns.
diet	mataræði; megrun	Mataræðið mitt inniheldur ávexti.
difference	munur	Það er einn munur.
different	ólíkur; mismunandi	Nöfnin okkar eru ólík.
difficult	erfiður	Þessi spurning er erfið.
dinner	kvöldmatur	Kvöldmaturinn er tilbúinn.
dirty	óhreinn	Skórnir mínir eru óhreinir.
discuss	ræða	Við ræðum áætlunina.
dish	diskur; réttur	Þessi diskur er heitur.
do1	gera	Hvað ertu að gera?
doctor	læknir	Læknirinn er upptekinn.
dog	hundur	Hundurinn hleypur úti.
dollar	dalur	Þetta kostar einn dollar.
door	hurð	Lokaðu hurðinni, vinsamlegast.
down	niður; niðri	Sestu hér niðri.
downstairs	niðri; á neðri hæð	Eldhúsið er niðri.
draw	teikna	Teiknaðu lítið hús.
dress	kjóll; klæða sig	Hún er í rauðum kjól.
drink	drykkur; drekka	Ég drekk vatn.
