source_headword	LT	example_LT
heal	gyti	Poilsis padeda kūnui gyti.
healthcare	sveikatos apsauga	Sveikatos apsaugos išlaidos šiemet išaugo.
helmet	šalmas	Važiuojant dviračiu dėvėk šalmą.
hence	todėl	Todėl pakeitėme tvarkaraštį.
herb	žolė	Bazilikas yra naudinga žolė.
hidden	paslėptas	Raktas buvo paslėptas po kilimėliu.
highway	greitkelis	Greitkelis buvo uždarytas po sniego.
hilarious	juokingas	Filmas buvo labai juokingas.
hip	klubas	Per treniruotę ji susižeidė klubą.
historian	istorikas	Istorikas tyrinėjo senus laiškus.
homeless	benamis	Prieglauda padeda benamių šeimoms.
honesty	sąžiningumas	Sąžiningumas kuria pasitikėjimą.
hook	kablys	Pakabink paltą ant kablio.
hopefully	tikėkimės	Tikėkimės, traukinys greitai atvyks.
hunger	alkis	Alkis gali paveikti koncentraciją.
hypothesis	hipotezė	Eksperimentas patikrino hipotezę.
icon	ikona	Programėlės ikona šiandien pasikeitė.
ID	asmens dokumentas	Parodykite savo asmens dokumentą registratūroje.
identical	identiškas	Dvyniai vilkėjo identiškas striukes.
illusion	iliuzija	Veidrodis sukuria iliuziją.
immigration	imigracija	Imigracijos politika pasikeitė praėjusiais metais.
immune	imuninis	Vakcinacija gali padaryti žmones imuniniais.
implement	įgyvendinti	Mokykla įgyvendins politiką.
implication	pasekmė	Pasekmė buvo aiški.
incentive	paskata	Premija suteikė darbuotojams paskatą.
incorporate	įtraukti	Įtraukite daugiau daržovių į patiekalus.
incorrect	neteisingas	Atsakymas buvo neteisingas.
independence	nepriklausomybė	Šalis šventė nepriklausomybę.
index	rodyklė	Patikrinkite rodyklę dėl temos.
indication	požymis	Šypsena buvo palengvėjimo požymis.
inevitable	neišvengiamas	Vėlavimas buvo neišvengiamas.
inevitably	neišvengiamai	Neišvengiamai, po trūkumo kainos pakilo.
infer	daryti išvadą	Galime padaryti išvadą iš konteksto.
inflation	infliacija	Infliacija padidino maisto kainas.
info	informacija	Svetainėje pateikiama naudinga informacija.
infrastructure	infrastruktūra	Audra sugadino vietinę infrastruktūrą.
inhabitant	gyventojas	Kiekvienas gyventojas gavo švaraus vandens.
inherit	paveldėti	Ji paveldės šeimos namą.
ink	rašalas	Spausdintuvui reikia juodo rašalo.
innovation	inovacija	Inovacija varo pramonę į priekį.
innovative	inovatyvus	Įmonė išleido inovatyvų produktą.
input	indėlis	Vadovas paprašė indėlio.
insert	įdėti	Įdėkite kortelę į aparatą.
inspector	inspektorius	Inspektorius patikrino pastatą.
installation	įdiegimas	Įdiegimas truko dvi valandas.
instant	momentinis	Programėlė išsiuntė momentinį atsakymą.
instantly	akimirksniu	Ekranas įsijungė akimirksniu.
integrate	integruoti	Programinė įranga gali integruoti naujus įrankius.
intellectual	intelektualus	Diskusija buvo intelektuali, bet draugiška.
interact	bendrauti	Mokiniai bendrauja per grupinį darbą.
interaction	bendravimas	Bendravimas buvo mandagus.
interpretation	interpretacija	Jos eilėraščio interpretacija buvo originali.
interval	intervalas	Tarp veiksmų buvo trumpas intervalas.
invade	įsiveržti	Armija bandė įsiveržti į salą.
invasion	invazija	Invazija sugriovė daug miestų.
investor	investuotojas	Investuotojas finansavo naują startuolį.
isolate	izoliuoti	Gydytojai izoliuoja pacientus su rimtomis infekcijomis.
isolated	izoliuotas	Kaimas buvo izoliuotas sniego.
jail	kalėjimas	Vagis sėdo į kalėjimą.
jet	reaktyvinis lėktuvas	Reaktyvinis lėktuvas nusileido vidurdienį.
joint	bendras	Jie paskelbė apie bendrą projektą.
journalism	žurnalistika	Žurnalistika reikalauja tikslių faktų.
jury	žiuri	Žiuri priėmė sprendimą.
kit	rinkinys	Remonto rinkinį sudaro varžtai.
ladder	kopėčios	Kopėčios buvo atremtos į sieną.
landing	nusileidimas	Lėktuvas atliko sklandų nusileidimą.
lane	juosta	Pasilikite dešinėje juostoje.
lately	pastaruoju metu	Pastaruoju metu prastai miegu.
leaflet	lankstinukas	Lankstinukas paaiškina paslaugą.
legend	legenda	Legenda pasakoja apie paslėptą miestą.
lens	objektyvas	Atsargiai nuvalykite kameros objektyvą.
lifetime	visas gyvenimas	Jis taupė pinigus visą gyvenimą.
lighting	apšvietimas	Geras apšvietimas pagerina kambarį.
likewise	taip pat	Ji nusišypsojo; jis taip pat.
limitation	apribojimas	Planas turi vieną apribojimą.
literally	tiesiogine to žodžio prasme	Ji tiesiogine to žodžio prasme bėgo į autobusą.
literary	literatūrinis	Festivalis pagerbia literatūros kūrinius.
litre	litras	Nupirk litrą pieno.
litter	šiukšlės	Nemeskite šiukšlių.
logo	logotipas	Logotipas rodomas kiekviename puslapyje.
lottery	loterija	Jis laimėjo nedidelį loterijos prizą.
loyal	ištikimas	Šuo buvo ištikimas savo šeimininkui.
lyric	dainos tekstas	Dainos tekstas kartojo pagrindinę mintį.
magnificent	didingas	Rūmai atrodė didingai.
make-up	makiažas	Ji buvo su paprastu makiažu.
making	kūrimas	Filmo kūrimas buvo sunkus.
manufacture	gaminti	Gamykla gamins telefonus.
manufacturing	gamyba	Gamybos darbo vietų vietinėje rinkoje padaugėjo.
marathon	maratonas	Ji baigė maratoną.
margin	paraštė	Parašykite pastabas paraštėje.
marker	žymeklis	Etiketei naudokite žymeklį.
martial	kovos	Jis mokosi kovos menų.
mate	draugas	Mano senas mokyklos draugas vakar paskambino.
mayor	meras	Meras atidarė biblioteką.
mechanic	mechanikas	Mechanikas suremontavo autobusą.
mechanical	mechaninis	Laikrodis turi mechaninį gedimą.
mechanism	mechanizmas	Spynos mechanizmas yra paprastas.
medal	medalis	Ji laimėjo aukso medalį.
medication	vaistas	Gerkite vaistus su vandeniu.
