source_headword	DE	example_DE
stranger	der Fremde	Ein Fremder fragte nach dem Weg.
strength	die Stärke	Ihre Stärke half dem Team.
string	die Schnur	Binde die Kiste mit einer Schnur zu.
strongly	stark	Ich widerspreche dieser Idee entschieden.
studio	das Studio	Der Künstler arbeitet in einem kleinen Atelier.
stuff	das Zeug	Leg dein Zeug ins Regal.
substance	die Substanz	Die Polizei fand eine seltsame Substanz.
successfully	erfolgreich	Sie haben das Projekt erfolgreich abgeschlossen.
sudden	plötzlich	Ein plötzliches Geräusch weckte uns.
suffer	leiden	Viele Pflanzen leiden bei trockenem Wetter.
suitable	geeignet	Diese Jacke ist für die Schule geeignet.
summarize	zusammenfassen	Kannst du den Artikel zusammenfassen?
summary	die Zusammenfassung	Schreibe heute Abend eine kurze Zusammenfassung.
supply	die Versorgung	Die Stadt braucht eine saubere Wasserversorgung.
supporter	der Anhänger	Jeder Anhänger jubelte laut.
surely	sicherlich	Sicherlich können wir das lösen.
surface	die Oberfläche	Die Oberfläche fühlte sich kalt und glatt an.
survive	überleben	Diese Tiere überleben kalte Winter.
switch	schalten	Schalte das Küchenlicht aus.
symptom	das Symptom	Ein Husten kann ein Symptom sein.
tail	der Schwanz	Der Hund hat einen langen Schwanz.
talent	das Talent	Sie hat ein Talent für Musik.
talented	talentiert	Er ist ein talentierter junger Schauspieler.
tape	das Klebeband	Verwende Klebeband, um die Kiste zu schließen.
tax	die Steuer	Jeder muss diese Steuer bezahlen.
technical	technisch	Wir hatten ein technisches Problem.
technique	die Technik	Diese Technik spart Zeit.
tend	dazu neigen	Kinder neigen dazu, schnell zu lernen.
tent	das Zelt	Wir haben in einem kleinen Zelt geschlafen.
theirs	ihre	Die blauen Fahrräder sind ihre.
theme	das Thema	Die Party hatte ein Strandmotto.
theory	die Theorie	Seine Theorie erklärt das Problem.
therefore	daher	Es hat geregnet, deshalb sind wir drinnen geblieben.
though	obwohl	Obwohl sie müde war, arbeitete sie weiter.
throat	der Hals	Mein Hals tut heute Morgen weh.
throughout	während der gesamten	Die Leute tanzten den ganzen Abend hindurch.
tight	eng	Diese Schuhe fühlen sich zu eng an.
till	bis	Warte hier, bis ich zurückkomme.
tin	die Dose	Öffne eine Dose Bohnen.
tiny	winzig	Ein winziger Vogel landete in der Nähe.
toe	der Zeh	Ich habe mir gestern am Zeh wehgetan.
tongue	die Zunge	Sie hat sich an Tee die Zunge verbrannt.
total	gesamt	Die Gesamtkosten waren niedrig.
totally	völlig	Ich verstehe deine Sorge völlig.
trade	der Handel	Internationaler Handel schafft Arbeitsplätze.
translate	übersetzen	Bitte übersetze diesen Satz.
translation	die Übersetzung	Die Übersetzung klingt natürlich.
treat	behandeln	Behandle jeden mit Respekt.
treatment	die Behandlung	Der Patient braucht heute eine Behandlung.
trend	der Trend	Dieser Trend wächst weltweit.
trick	der Trick	Dieser Kartentrick hat mich überrascht.
truth	die Wahrheit	Bitte sag die Wahrheit.
tube	die Tube	Drücke die Tube vorsichtig aus.
typically	typischerweise	Studenten kommen typischerweise vor neun Uhr an.
tyre	der Reifen	Das Auto braucht einen neuen Reifen.
ugly	hässlich	Diese Wandfarbe sieht hässlich aus.
unable	unfähig	Er war nicht in der Lage zu antworten.
uncomfortable	unbequem	Dieser Stuhl ist unbequem.
underwear	die Unterwäsche	Pack saubere Unterwäsche für die Reise ein.
unemployed	arbeitslos	Sie war zwei Monate lang arbeitslos.
unemployment	die Arbeitslosigkeit	Die Arbeitslosigkeit stieg während des Winters.
unfair	ungerecht	Die Entscheidung erschien ungerecht.
union	die Gewerkschaft	Die Gewerkschaft forderte sicherere Arbeit.
unless	es sei denn	Geh nicht, es sei denn, ich rufe an.
unlike	im Gegensatz zu	Im Gegensatz zu Tom liebt Ana den Winter.
unlikely	unwahrscheinlich	Schnee ist diese Woche unwahrscheinlich.
unnecessary	unnötig	Zusätzliche Taschen sind unnötig.
unpleasant	unangenehm	Das Zimmer hatte einen unangenehmen Geruch.
update	aktualisieren	Ich muss mein Telefon aktualisieren.
upon	auf	Es war einmal ein König.
upset	aufgebracht	Sie war nach dem Anruf verärgert.
used1	genutzt	Dieser Raum wird für Besprechungen genutzt.
used2	gewohnt	Ich bin an frühe Morgen gewohnt.
valuable	wertvoll	Diese Uhr ist wertvoll.
value	der Wert	Das Haus hat letztes Jahr an Wert verloren.
various	verschiedene	Wir haben verschiedene lokale Gerichte probiert.
version	die Version	Diese Version funktioniert besser.
victim	das Opfer	Das Opfer rief die Polizei.
viewer	der Zuschauer	Ein Zuschauer stellte eine Frage.
violent	gewalttätig	Der Film war zu gewalttätig.
volunteer	der Freiwillige	Ich arbeite ehrenamtlich in der Bibliothek.
vote	wählen	Denk daran, morgen zu wählen.
warn	warnen	Ich habe versucht, ihn zu warnen.
warning	die Warnung	Die Warnung erschien auf dem Bildschirm.
waste	verschwenden	Verschwende kein sauberes Wasser.
weapon	die Waffe	Das Messer wurde zur Waffe.
weigh	wiegen	Wiege das Mehl sorgfältig ab.
western	westlich	Sie haben einen Westernfilm geschaut.
whatever	was auch immer	Wähle, was auch immer du magst.
whenever	wann immer	Ruf an, wann immer du Hilfe brauchst.
whether	ob	Ich weiß nicht, ob sie zustimmt.
wing	der Flügel	Der Vogel hat sich an einem Flügel verletzt.
within	innerhalb	Bitte antworte innerhalb von zwei Tagen.
wonder	sich fragen	Ich frage mich, was passiert ist.
wool	die Wolle	Dieser Mantel ist aus Wolle.
worldwide	weltweit	Das Lied wurde weltweit beliebt.
worth	wert	Dieses Buch ist es wert, gelesen zu werden.
written	schriftlich	Bitte senden Sie schriftliche Anweisungen.
yard	der Hof	Die Kinder spielten im Hof.
youth	die Jugend	Jugendclubs unterstützen lokale Teenager.
