source_headword	KN	example_KN
prey	ಬೇಟೆ	ಗೂಬೆಗಳು ರಾತ್ರಿಯಲ್ಲಿ ಬೇಟೆಯಾಡುತ್ತವೆ.
privatization	ಖಾಸಗೀಕರಣ	ಖಾಸಗೀಕರಣವು ರೈಲ್ವೆ ವ್ಯವಸ್ಥೆಯನ್ನು ಬದಲಾಯಿಸಿತು.
privilege	ಸವಲತ್ತು / ವಿಶೇಷ ಹಕ್ಕು	ಶಿಕ್ಷಣವು ಕೇವಲ ಸವಲತ್ತಾಗಬಾರದು.
probe	ತನಿಖೆ	ತನಿಖೆಯು ಗಂಭೀರ ದೋಷಗಳನ್ನು ಬಹಿರಂಗಪಡಿಸಿತು.
problematic	ಸಮಸ್ಯಾತ್ಮಕ	ಒಪ್ಪಂದವು ಸಮಸ್ಯಾತ್ಮಕವಾಗಿಯೇ ಉಳಿದಿದೆ.
proceedings	ನಡಾವಳಿಗಳು / ಕಲಾಪಗಳು	ಸೋಮವಾರ ನ್ಯಾಯಾಲಯದ ಕಲಾಪಗಳು ಪ್ರಾರಂಭವಾದವು.
proceeds	ಆದಾಯ / ಲಾಭಾಂಶ	ಈ ಆದಾಯವು ಸ್ಥಳೀಯ ಶಾಲೆಗಳಿಗೆ ಬೆಂಬಲ ನೀಡುತ್ತದೆ.
processing	ಪ್ರಕ್ರಿಯೆ / ಸಂಸ್ಕರಣೆ	ಚಿತ್ರ ಸಂಸ್ಕರಣೆಯು ಸಮಯ ತೆಗೆದುಕೊಳ್ಳುತ್ತದೆ.
processor	ಪ್ರೊಸೆಸರ್ / ಸಂಸ್ಕಾರಕ	ಪರೀಕ್ಷೆಯ ಸಮಯದಲ್ಲಿ ಪ್ರೊಸೆಸರ್ ವಿಫಲವಾಗಿದೆ.
proclaim	ಸಾರು / ಘೋಷಿಸು	ನಾಯಕರು ಬಹಳ ಬೇಗನೆ ವಿಜಯವನ್ನು ಘೋಷಿಸುತ್ತಾರೆ.
productive	ಉತ್ಪಾದಕ / ಫಲಪ್ರದ	ಸಭೆಯು ಫಲಪ್ರದವಾಗಿತ್ತು.
productivity	ಉತ್ಪಾದಕತೆ	ತರಬೇತಿಯ ನಂತರ ಉತ್ಪಾದಕತೆ ಸುಧಾರಿಸಿತು.
profitable	ಲಾಭದಾಯಕ	ಈ ವರ್ಷ ಅಂಗಡಿಯು ಲಾಭದಾಯಕವಾಯಿತು.
profound	ಆಳವಾದ / ಪ್ರಭಾವಶಾಲಿ	ಭಾಷಣವು ಆಳವಾದ ಪ್ರಭಾವವನ್ನು ಬೀರಿತು.
projection	ಮುನ್ಸೂಚನೆ / ಅಂದಾಜು	ಅಂದಾಜು ಸ್ಥಿರವಾದ ಬೆಳವಣಿಗೆಯನ್ನು ತೋರಿಸುತ್ತದೆ.
prominent	ಪ್ರಮುಖ	ಅವಳು ಪ್ರಮುಖ ವಿಜ್ಞಾನಿಯಾದಳು.
pronounced	ಸ್ಪಷ್ಟವಾದ / ಎದ್ದು ಕಾಣುವ	ಅವನ ಉಚ್ಚಾರಣೆಯು ಹೆಚ್ಚು ಸ್ಪಷ್ಟವಾಯಿತು.
propaganda	ಅಪಪ್ರಚಾರ / ಪ್ರಚಾರ	ಪ್ರಚಾರಾಂದೋಲನವು ಆನ್‌ಲೈನ್‌ನಲ್ಲಿ ಅಪಪ್ರಚಾರವನ್ನು ಬಳಸಿತು.
proposition	ಪ್ರಸ್ತಾಪ	ಈ ಪ್ರಸ್ತಾಪವು ಒಂದು ಅಪಾಯಕಾರಿ ವಿಷಯವಾಗಿದೆ.
prosecute	ಮೊಕದ್ದಮೆ ಹೂಡು	ಅಧಿಕಾರಿಗಳು ಗಂಭೀರ ವಂಚನೆ ಪ್ರಕರಣಗಳ ಮೇಲೆ ಮೊಕದ್ದಮೆ ಹೂಡುತ್ತಾರೆ.
prosecution	ಪ್ರಾಸಿಕ್ಯೂಷನ್ / ಫಿರ್ಯಾದಿ ಪಕ್ಷ	ಪ್ರಾಸಿಕ್ಯೂಷನ್ ಹೊಸ ಪುರಾವೆಗಳನ್ನು ಒದಗಿಸಿತು.
