source_headword	ZH	example_ZH
strengthen	加强	新政策将加强在线安全。
strictly	严格地	每人严格限购两张票。
striking	引人注目的	这幅画有引人注目的色彩。
stroke	一笔	她在纸上画了一笔。
stunning	令人惊叹的	山景令人惊叹。
subsequent	随后的	随后的会议确认了预算。
subsequently	随后	道路封闭了；随后，交通变得缓慢。
suburb	郊区	他们住在一个安静的郊区。
suffering	痛苦	药物减轻了他的痛苦。
sufficient	足够的	团队有足够的时间。
sufficiently	足够地	房间里足够暖和。
super	超级的	新平板电脑超级快。
surgeon	外科医生	外科医生修复了受损的膝盖。
survival	生存	干净的水对生存至关重要。
survivor	幸存者	幸存者描述了那场洪水。
suspend	暂停	学校可能会暂停这次旅行。
sustainable	可持续的	农场使用可持续的方法。
swallow	咽下	用水吞下药片。
sympathetic	同情的	经理对她的问题表示同情。
tackle	解决	我们需要解决住房问题。
tag	标签	包上有一个价格标签。
tap	水龙头	她关掉了水龙头。
technological	技术的	技术变革影响着每一个工作场所。
teens	青少年	许多青少年每天使用社交媒体。
temple	寺庙	寺庙矗立在河边。
temporarily	暂时地	办公室暂时关闭。
tendency	倾向	他有迟到的倾向。
tension	紧张	讨论期间气氛变得紧张。
terms	条款	合同条款很清楚。
terribly	非常	那个孩子非常难过。
terrify	使恐惧	巨大的噪音使狗感到恐惧。
territory	领土	地图显示了新领土。
terror	恐惧	袭击发生后，恐惧蔓延开来。
terrorism	恐怖主义	恐怖主义威胁公共安全。
terrorist	恐怖分子	警察昨天逮捕了那名恐怖分子。
testing	测试	产品测试将于周一开始。
textbook	教科书	她忘了带生物教科书。
theft	盗窃	该地区的盗窃案增加了。
therapist	治疗师	治疗师帮助他控制焦虑。
thesis	论文	她的论文探讨了在线学习。
thorough	彻底的	彻底的检查没有发现任何错误。
thoroughly	彻底地	彻底清洁伤口。
thumb	拇指	他竖起大拇指表示赞同。
timing	时机	这个电话的时机很完美。
tissue	纸巾	她用纸巾擦了擦玻璃。
ton	吨	卡车运载了一吨沙子。
tonne	吨	这批货物重一吨。
tournament	锦标赛	网球锦标赛明天开始。
trace	追踪	科学家可以追踪病毒来源。
trading	交易	股票交易在中午停止。
tragedy	悲剧	这场事故是一场可怕的悲剧。
tragic	悲惨的	坠机事件造成了悲惨的后果。
trait	特点	耐心是一个有用的品质。
transmit	传播	蚊子可以传播疾病。
transportation	交通	今天的公共交通很拥挤。
trap	捕捉	这个盒子可以安全地捕捉昆虫。
treasure	宝藏	旧箱子里装着宝藏。
tribe	部落	部落保护着它的传统。
trigger	触发	烟雾可以触发警报。
trillion	万亿	债务达到了一万亿美元。
troop	部队	部队向边境移动。
tsunami	海啸	海啸摧毁了沿海房屋。
ultimate	最终的	最终的目标是和平。
unacceptable	不可接受的	延误是乘客无法接受的。
uncertainty	不确定性	不确定性让投资者感到紧张。
undergo	接受	病人明天将接受手术。
undertake	进行	团队将进行一项调查。
unfold	展开	剧情开始慢慢展开。
unfortunate	不幸的	这个错误很不幸，但可以修复。
unite	团结	领导人们试图团结该党。
unity	团结	演讲呼吁民族团结。
universal	通用的	该应用程序使用了通用设计。
urgent	紧急的	医院接到一个紧急电话。
usage	用法	指南解释了正确的用法。
useless	无用的	坏掉的充电器没用了。
valid	有效的	你的护照仍然有效。
variation	差异	价格差异很大。
vertical	垂直的	图表有一个垂直轴。
viewpoint	观点	辩论后她的观点改变了。
visa	签证	他申请了学生签证。
visible	可见的	从这里可以看到标志。
voluntary	自愿的	该课程包括自愿参加的研讨会。
voting	投票	提前投票下周开始。
wander	闲逛	游客们在旧市场里闲逛。
warming	变暖	全球变暖影响海平面。
weekly	每周的	团队举行每周会议。
weird	奇怪的	这声音听起来很奇怪。
welfare	福利	该项目支持儿童福利。
wheat	小麦	农夫种植小麦。
whoever	无论谁	先到的人应该在外面等。
widespread	广泛的	风暴造成了广泛的破坏。
wisdom	智慧	她的祖母分享了实用的智慧。
withdraw	撤回	他决定撤回他的申请。
workforce	劳动力	劳动力需要新的技能。
workplace	工作场所	工作场所有明确的安全规定。
workshop	研讨会	研讨会十点开始。
worm	虫子	一条虫子爬过泥土。
wrist	手腕	她伤了手腕。
