hsk_key	source_word	simplified	HI	example_HI	BN	example_BN	TL	example_TL
5001:物体	物体	物体	वस्तु; भौतिक पिंड	यह वस्तु पानी में धीरे-धीरे डूब गई।	বস্তু; ভৌত পিণ্ড	এই বস্তুটি পানিতে ধীরে ধীরে ডুবে গেল।	bagay; pisikal na katawan	Dahan-dahang lumubog sa tubig ang bagay na ito.
5005:喜剧	喜剧	喜剧	हास्य नाटक; कॉमेडी	इस कॉमेडी ने पूरे दर्शक वर्ग को लगातार हँसाया।	কমেডি; হাস্যনাট্য	এই কমেডিটি পুরো দর্শকদলকে নিরন্তর হাসিয়েছিল।	komedya	Ang komedyang ito ay nagpatawa nang tuloy-tuloy sa buong manonood.
5006:喜事	喜事	喜事	खुशी का अवसर; शुभ समाचार	घर में खुशी का अवसर था, इसलिए रिश्तेदार बधाई देने आए।	খুশির ঘটনা; শুভ সংবাদ	বাড়িতে খুশির ঘটনা ছিল, তাই আত্মীয়রা অভিনন্দন জানাতে এসেছিল।	masayang pangyayari; magandang balita	May masayang pangyayari sa bahay, kaya dumating ang mga kamag-anak upang bumati.
5007:洗漱	洗漱	洗漱	मुँह-हाथ धोना; तैयार होना	वह रोज़ सुबह छह बजे उठकर मुँह-हाथ धोती है।	মুখ-হাত ধোয়া; পরিষ্কার হওয়া	সে প্রতিদিন সকাল ছয়টায় উঠে মুখ-হাত ধোয়।	maghilamos; mag-ayos	Gumigising siya tuwing alas sais ng umaga at naghihilamos.
5011:戏曲	戏曲	戏曲	पारंपरिक ओपेरा; लोकनाट्य	दादाजी को स्थानीय पारंपरिक ओपेरा सुनना बहुत पसंद है।	ঐতিহ্যবাহী অপেরা; লোকনাট্য	দাদু স্থানীয় ঐতিহ্যবাহী অপেরা শুনতে খুব ভালোবাসেন।	tradisyonal na opera	Gustong-gusto ni lolo na makinig sa lokal na tradisyonal na opera.
5014:下功夫	下功夫	下功夫	मेहनत करना; परिश्रम लगाना	वह चीनी अक्षर सुंदर लिखने के लिए मेहनत करने को तैयार है।	পরিশ্রম করা; মন দিয়ে চেষ্টা করা	চীনা অক্ষর সুন্দরভাবে লিখতে সে পরিশ্রম করতে রাজি।	magsikap; pag-ukulan ng tiyaga	Handa siyang magsikap upang maisulat nang maayos ang mga karakter na Tsino.
5015:下单	下单	下单	ऑर्डर देना	मैंने इंटरनेट पर पाठ्यपुस्तक का ऑर्डर दे दिया है।	অর্ডার দেওয়া	আমি ইতিমধ্যে অনলাইনে পাঠ্যবই অর্ডার করেছি।	mag-order	Nakapag-order na ako ng aklat-aralin online.
5017:下线	下线	下线	सेवा से हटाना; बंद करना	यह पुराना फ़ीचर कल आधिकारिक रूप से बंद कर दिया जाएगा।	বন্ধ করা; অফলাইন করা	এই পুরোনো ফিচারটি কাল আনুষ্ঠানিকভাবে বন্ধ হয়ে যাবে।	alisin sa serbisyo; ihinto	Opisyal na aalisin sa serbisyo bukas ang lumang feature na ito.
5018:下旬	下旬	下旬	महीने के अंतिम दस दिन	प्रदर्शनी अगस्त के अंतिम दस दिनों में खुलेगी।	মাসের শেষ দশ দিন	প্রদর্শনী আগস্টের শেষ দশ দিনে খুলবে।	huling sampung araw ng buwan	Magbubukas ang eksibisyon sa huling sampung araw ng Agosto.
5023:显	显	显	दिखना; दिखाना	यह कपड़ा उसे बहुत तरोताजा दिखाता है।	দেখানো; ফুটিয়ে তোলা	এই পোশাকটি তাকে খুব সতেজ দেখায়।	magmukha; ipakita	Pinagmumukha siyang masigla ng damit na ito.
5024:险	险	险	खतरनाक; जोखिम भरा	पहाड़ी रास्ता बहुत खतरनाक है, इसलिए गाड़ी धीरे चलानी चाहिए।	বিপজ্জনক; ঝুঁকিপূর্ণ	পাহাড়ি রাস্তা খুব বিপজ্জনক, তাই ধীরে গাড়ি চালাতে হবে।	mapanganib; delikado	Mapanganib ang daang bundok, kaya kailangang magmaneho nang mas mabagal.
5026:限	限	限	सीमित करना; सीमा	प्रत्येक व्यक्ति अधिकतम दो टिकट खरीद सकता है।	সীমিত করা; সীমা	প্রতি ব্যক্তি সর্বোচ্চ দুইটি টিকিট কিনতে পারবে।	limitahan; hangganan	Limitado sa dalawang tiket ang mabibili ng bawat tao.
5027:线	线	线	रेखा; धागा	कृपया इस रेखा के साथ काटें।	রেখা; সুতো	অনুগ্রহ করে এই রেখা ধরে কাটুন।	linya; sinulid	Pakigupit ayon sa linyang ito.
5028:现存	现存	现存	मौजूदा; संरक्षित	मौजूदा सामग्री इस निष्कर्ष को साबित करने के लिए पर्याप्त नहीं है।	বিদ্যমান; সংরক্ষিত	বিদ্যমান তথ্য এই সিদ্ধান্ত প্রমাণ করার জন্য যথেষ্ট নয়।	umiiral; natitira	Hindi sapat ang umiiral na datos upang patunayan ang konklusyong ito.
