source_headword	TH	example_TH
heal	รักษา	การพักผ่อนช่วยให้ร่างกายรักษาตัว.
healthcare	การดูแลสุขภาพ	ค่าการดูแลสุขภาพเพิ่มขึ้นในปีนี้.
helmet	หมวกกันน็อค	สวมหมวกกันน็อคเมื่อขี่จักรยาน.
hence	ดังนั้น	ดังนั้นเราจึงเปลี่ยนกำหนดการ.
herb	สมุนไพร	โหระพาเป็นสมุนไพรที่มีประโยชน์.
hidden	ที่ซ่อนอยู่	กุญแจที่ซ่อนอยู่ใต้พรม.
highway	ทางหลวง	ทางหลวงถูกปิดหลังจากหิมะตก.
hilarious	ตลกมาก	ภาพยนตร์เรื่องนี้ตลกมาก.
hip	สะโพก	เธอเจ็บสะโพกระหว่างการฝึกซ้อม.
historian	นักประวัติศาสตร์	นักประวัติศาสตร์ศึกษาจดหมายเก่า.
homeless	ไร้บ้าน	ที่พักพิงช่วยครอบครัวที่ไร้บ้าน.
honesty	ความซื่อสัตย์	ความซื่อสัตย์สร้างความไว้วางใจ.
hook	ตะขอ	แขวนเสื้อโค้ทไว้บนตะขอ.
hopefully	หวังว่า	หวังว่ารถไฟจะมาถึงเร็วๆนี้.
hunger	ความหิว	ความหิวสามารถส่งผลต่อสมาธิได้.
hypothesis	สมมติฐาน	การทดลองได้ทดสอบสมมติฐาน.
icon	ไอคอน	ไอคอนแอปพลิเคชันเปลี่ยนไปในวันนี้.
ID	บัตรประจำตัว	แสดงบัตรประจำตัวของคุณที่แผนกต้อนรับ.
identical	เหมือนกัน	ฝาแฝดสวมเสื้อแจ็คเก็ตเหมือนกัน.
illusion	ภาพลวงตา	กระจกสร้างภาพลวงตา.
immigration	การย้ายถิ่นฐาน	นโยบายการย้ายถิ่นฐานเปลี่ยนไปเมื่อปีที่แล้ว.
immune	มีภูมิคุ้มกัน	การฉีดวัคซีนสามารถทำให้คนมีภูมิคุ้มกันได้.
implement	ดำเนินการ	โรงเรียนจะดำเนินการตามนโยบาย.
implication	ความหมายแฝง	ความหมายแฝงนั้นชัดเจน.
incentive	แรงจูงใจ	โบนัสให้แรงจูงใจแก่คนงาน.
