hsk_key	source_word	simplified	ML	example_ML	KK	example_KK
5001:物体	物体	物体	വസ്തു; ഭൗതിക ശരീരം	ഈ വസ്തു വെള്ളത്തിൽ പതുക്കെ മുങ്ങി.	зат; физикалық дене	Бұл зат суда баяу батып кетті.
5005:喜剧	喜剧	喜剧	ഹാസ്യനാടകം; കോമഡി	ഈ കോമഡി മുഴുവൻ പ്രേക്ഷകരെയും ഇടവിടാതെ ചിരിപ്പിച്ചു.	комедия; күлкілі қойылым	Бұл комедия бүкіл көрерменді тоқтаусыз күлдірді.
5006:喜事	喜事	喜事	ശുഭസംഭവം; സന്തോഷകരമായ ചടങ്ങ്	വീട്ടിൽ ശുഭസംഭവം ഉണ്ടായതിനാൽ ബന്ധുക്കൾ എല്ലാവരും ആശംസിക്കാൻ വന്നു.	қуанышты оқиға; той	Үйде қуанышты оқиға болып, туыстардың бәрі құттықтауға келді.
5007:洗漱	洗漱	洗漱	കഴുകി വൃത്തിയാകുക; മുഖം കഴുകുക	അവൾ ദിവസവും രാവിലെ ആറിന് എഴുന്നേറ്റ് കഴുകി വൃത്തിയാകും.	жуынып-шайыну	Ол күн сайын таңғы алтыда тұрып жуынып-шайынады.
5011:戏曲	戏曲	戏曲	പരമ്പരാഗത ചൈനീസ് ഓപ്പറ	അപ്പൂപ്പന് പ്രാദേശിക പരമ്പരാഗത ഓപ്പറ കേൾക്കുന്നത് വളരെ ഇഷ്ടമാണ്.	дәстүрлі қытай операсы	Атасы жергілікті дәстүрлі опера тыңдағанды қатты ұнатады.
5014:下功夫	下功夫	下功夫	ശ്രമം ചെലുത്തുക; കഠിനമായി പരിശ്രമിക്കുക	ചൈനീസ് അക്ഷരങ്ങൾ നന്നായി എഴുതാൻ അവൾ ശ്രമം ചെലുത്താൻ തയ്യാറാണ്.	еңбек сіңіру; көп күш салу	Ол қытай иероглифтерін жақсы жазу үшін көп күш салуға дайын.
5015:下单	下单	下单	ഓർഡർ നൽകുക	ഞാൻ പാഠപുസ്തകം ഇതിനകം ഓൺലൈനിൽ ഓർഡർ ചെയ്തു.	тапсырыс беру	Мен оқулықты онлайн тапсырыспен сатып алып қойдым.
5017:下线	下线	下线	ഓഫ്‌ലൈനാകുക; നിർത്തലാക്കുക	ഈ പഴയ സൗകര്യം നാളെ ഔദ്യോഗികമായി നിർത്തലാക്കും.	желіден шығару; тоқтату	Бұл ескі функция ертең ресми түрде тоқтатылады.
5018:下旬	下旬	下旬	മാസത്തിന്റെ അവസാന പത്ത് ദിവസം	പ്രദർശനം ഓഗസ്റ്റ് അവസാന പത്തു ദിവസങ്ങളിൽ തുറക്കും.	айдың соңғы он күні	Көрме тамыздың соңғы он күнінде ашылады.
5023:显	显	显	കാണിക്കുക; തോന്നുക	ഈ വസ്ത്രം അവനെ ഉത്സാഹമുള്ളവനായി കാണിക്കുന്നു.	көрсету; көріну	Бұл киім оны сергек етіп көрсетеді.
5024:险	险	险	അപായകരമായ; അപകടമുള്ള	മലവഴി വളരെ അപകടകരമാണ്, അതിനാൽ കാർ കുറച്ച് മന്ദഗതിയിൽ ഓടിക്കുക.	қауіпті; қатерлі	Тау жолы өте қауіпті, сондықтан көлікті баяуырақ жүргізіңіз.
5026:限	限	限	പരിമിതപ്പെടുത്തുക; നിയന്ത്രിക്കുക	ഓരോരുത്തർക്കും രണ്ട് ടിക്കറ്റുകൾ മാത്രം വാങ്ങാൻ പരിമിതി ഉണ്ട്.	шектеу; шектелу	Әр адамға екі билеттен артық сатып алуға болмайды.
5027:线	线	线	രേഖ; നൂൽ	ദയവായി ഈ രേഖയോടൊപ്പം മുറിക്കുക.	сызық; жіп	Мына сызық бойымен қиыңыз.
5028:现存	现存	现存	നിലവിലുള്ള; ഇപ്പോൾ സംരക്ഷിക്കപ്പെട്ട	നിലവിലുള്ള വിവരങ്ങൾ ഈ നിഗമനം തെളിയിക്കാൻ മതിയാകില്ല.	қазіргі бар; сақталған	Қазіргі бар материалдар бұл қорытындыны дәлелдеуге жеткіліксіз.
5029:限度	限度	限度	പരിധി; അളവ്	അവന്റെ ക്ഷമ ഇതിനകം പരിധിയിലെത്തി.	шек; деңгей	Оның шыдамы шегіне жетті.
5030:现货	现货	现货	സ്റ്റോക്കിലുള്ള സാധനം	ഈ ഫോൺ സ്റ്റോക്കിലുണ്ട്, ഇന്ന് തന്നെ അയക്കാം.	қолда бар тауар	Бұл телефон қолда бар, бүгін-ақ жіберуге болады.
5033:限于	限于	限于	പരിമിതമായിരിക്കുക	രജിസ്ട്രേഷൻ മുപ്പത് ആളുകൾക്ക് മാത്രമായി പരിമിതമാണ്.	шектелу; шектеулі болу	Тіркелу отыз адаммен шектеледі.
5036:相传	相传	相传	പരമ്പരാഗതമായി പറയപ്പെടുന്നു; ഐതിഹ്യം പ്രകാരം	ഈ പാലത്തിന് മൂന്നു നൂറ് വർഷത്തെ ചരിത്രമുണ്ടെന്ന് പറയപ്പെടുന്നു.	аңыз бойынша; ел айтуынша	Аңыз бойынша, бұл көпірдің үш жүз жылдық тарихы бар.
5038:相连	相连	相连	ബന്ധിപ്പിക്കപ്പെട്ടിരിക്കുക; ചേർന്നിരിക്കുക	രണ്ട് നഗരങ്ങളും അതിവേഗ റെയിൽ വഴി ബന്ധിപ്പിച്ചിരിക്കുന്നു.	байланысқан; қосылған	Екі қала жоғары жылдамдықты теміржолмен байланысқан.
5039:香水	香水	香水	സുഗന്ധദ്രവ്യം	വാസന വളരെ കടുത്ത സുഗന്ധദ്രവ്യം അവൾക്ക് ഇഷ്ടമല്ല.	әтір; иіссу	Ол иісі тым күшті әтірді ұнатпайды.
5052:小偷儿	小偷儿	小偷儿	കള്ളൻ	ആ കള്ളനെ പോലീസ് വേഗത്തിൽ പിടിച്ചു.	ұры	Ол ұрыны полиция тез ұстап алды.
