source_headword	LO	example_LO
toss	ໂຍນ	ນາງໄດ້ໂຍນກະແຈໃສ່ເທິງໂຕະ.
total	ລວມ	ການສ້ອມແປງລວມມີມູນຄ່າຫຼາຍກວ່າທີ່ຄາດໄວ້.
toxic	ເປັນພິດ	ຄວັນທີ່ເປັນພິດເຮັດໃຫ້ທຸກຄົນຕ້ອງອອກໄປຂ້າງນອກ.
trademark	ເຄື່ອງໝາຍການຄ້າ	ໂລໂກ້ກາຍເປັນເຄື່ອງໝາຍການຄ້າຂອງບໍລິສັດ.
trail	ເສັ້ນທາງ	ເສັ້ນທາງນຳໄປສູ່ປ່າ.
trailer	ຕົວຢ່າງຮູບເງົາ	ຕົວຢ່າງຮູບເງົາສະແດງໃຫ້ເຫັນຕອນຈົບຂອງເລື່ອງ.
transaction	ທຸລະກຳ	ທຸລະກຳປາກົດຢູ່ໃນໃບແຈ້ງຍອດທະນາຄານຂອງຂ້ອຍ.
transcript	ໃບຄະແນນ	ນັກຮຽນຮ້ອງຂໍໃບຄະແນນຢ່າງເປັນທາງການ.
transformation	ການປ່ຽນແປງ	ເມືອງນີ້ໄດ້ເຫັນການປ່ຽນແປງຄັ້ງໃຫຍ່.
transit	ການຂົນສົ່ງ	ເຄື່ອງຖືກເສຍຫາຍໃນລະຫວ່າງການຂົນສົ່ງ.
transmission	ການສົ່ງສັນຍານ	ການສົ່ງຂໍ້ມູນມີຄວາມປອດໄພ.
transparency	ຄວາມໂປ່ງໃສ	ບົດລາຍງານຮຽກຮ້ອງໃຫ້ມີຄວາມໂປ່ງໃສຫຼາຍຂຶ້ນ.
transparent	ໂປ່ງໃສ	ຂະບວນການຄວນຈະໂປ່ງໃສສຳລັບທຸກຄົນ.
trauma	ບາດແຜທາງຈິດໃຈ	ອຸບັດຕິເຫດໄດ້ປະຖິ້ມບາດແຜທາງຈິດໃຈຢ່າງເລິກເຊິ່ງ.
treaty	ສົນທິສັນຍາ	ບັນດາປະເທດໄດ້ລົງນາມໃນສົນທິສັນຍາສັນຕິພາບ.
tremendous	ໃຫຍ່ຫຼວງ	ທີມງານມີຄວາມຄືບໜ້າຢ່າງໃຫຍ່ຫຼວງ.
tribal	ຊົນເຜົ່າ	ຫໍພິພິທະພັນໄດ້ຈັດສະແດງສິລະປະຊົນເຜົ່າ.
tribunal	ສານ	ສານໄດ້ຟັງຫຼັກຖານໝົດອາທິດ.
tribute	ການຍົກຍ້ອງ	ຄອນເສີດແມ່ນການຍົກຍ້ອງແກ່ນາງ.
trio	ກຸ່ມສາມຄົນ	ກຸ່ມສາມຄົນໄດ້ສະແດງໃນງານເທດສະການ.
triumph	ໄຊຊະນະ	ໄຊຊະນະແມ່ນຄວາມສຳເລັດສ່ວນຕົວ.
