source_headword	SV	example_SV
ability	en förmåga; en skicklighet	Hennes förmåga att simma är tydlig.
able	kunna; i stånd	Han kan komma i dag.
abroad	utomlands	Hon vill studera utomlands.
accept	acceptera; ta emot	Acceptera den här lilla presenten.
accident	en olycka	Olyckan hände nära skolan.
according to	enligt	Enligt rapporten kommer regn.
achieve	uppnå; nå	Du kan nå ditt mål.
act	agera; spela teater	Han spelar i en pjäs.
active	aktiv	Hon är aktiv varje dag.
actually	faktiskt; egentligen	Egentligen behöver jag mer tid.
advantage	en fördel	Den här planen har en fördel.
adventure	ett äventyr	Deras resa var ett äventyr.
advertise	annonsera; göra reklam	De annonserar om ett nytt jobb.
advertisement	en annons; reklam	Jag såg annonsen.
advertising	reklam; annonsering	Reklam hjälper till att sälja mat.
affect	påverka	Sömn kan påverka hälsan.
against	mot; emot	Luta dig inte mot väggen.
ah	ah; aha	Aha, nu förstår jag.
airline	ett flygbolag	Flygbolaget är upptaget.
alive	levande; vid liv	Den lilla fisken lever.
all right	okej; i ordning	Allt är i ordning nu.
allow	tillåta	Hundar är tillåtna här.
almost	nästan	Vi är nästan klara.
alone	ensam; själv	Hon bor ensam.
along	längs; med	Gå längs den här vägen.
already	redan	Jag vet redan svaret.
alternative	ett alternativ	Det här tåget är ett alternativ.
although	även om; fastän	Även om det är sent kan vi stanna.
among	bland; mellan	Han stod bland träden.
amount	en mängd; ett belopp	Mängden är för liten.
ancient	forntida; gammal	Den gamla muren är berömd.
ankle	en fotled	Min fotled gör ont i dag.
anybody	någon; vem som helst	Kan någon svara på detta?
any more	längre; mer	Jag behöver inte mer.
anyway	hur som helst	Hur som helst kan vi börja nu.
anywhere	var som helst; någonstans	Sitt var du vill.
app	en app	Den här appen är användbar.
appear	synas; dyka upp	Hennes namn dyker upp här.
appearance	ett utseende; en framtoning	Hans utseende är annorlunda.
apply	ansöka; tillämpa	Ansök om jobbet i dag.
architect	en arkitekt	Arkitekten har en plan.
architecture	arkitektur	Jag gillar modern arkitektur.
argue	bråka; argumentera	Bråka inte med din syster.
argument	ett argument; ett gräl	Grälet var kort.
army	en armé; militären	Armén är stor.
arrange	ordna; arrangera	Ordna mötet, tack.
arrangement	en överenskommelse; ett arrangemang	Den här överenskommelsen fungerar bra.
asleep	sovande; somnat	Barnet sover.
assistant	en assistent; en hjälpare	Assistenten hjälpte mig.
athlete	en idrottare	Idrottaren springer snabbt.
attack	en attack; anfalla	Hunden kan attackera.
attend	delta i; närvara vid	Jag deltar i lektionen i dag.
attention	uppmärksamhet	Var uppmärksam nu.
attractive	attraktiv; tilltalande	Trädgården är attraktiv.
audience	en publik	Publiken var tyst.
author	en författare	Författaren skrev den här boken.
available	tillgänglig	Maten är tillgänglig nu.
average	genomsnittlig; ett genomsnitt	Genomsnittet var bra.
avoid	undvika	Undvik den trafikerade vägen.
award	ett pris; belöna	Hon vann ett pris.
awful	hemsk; fruktansvärd	Vädret var hemskt.
background	en bakgrund	Bilden har en mörk bakgrund.
badly	dåligt	Han spelade dåligt i dag.
bar	en bar; en stång	Vi träffades i hotellbaren.
baseball	baseboll	Baseboll är populärt här.
based	baserad på	Filmen är baserad på en bok.
basketball	basket	Vi spelar basket efter skolan.
bean	en böna	Bönan är grön.
bear (animal)	en björn	Björnen lever i skogen.
beat	slå; besegra	Vårt lag kan besegra dem.
beef	nötkött	Jag åt nötkött till middag.
behave	uppföra sig	Uppför dig väl i klassen.
behaviour	ett beteende	Hans beteende var artigt.
belong	tillhöra	De här skorna tillhör mig.
belt	ett bälte	Hans bälte är svart.
benefit	en fördel; en nytta	Motion har en verklig nytta.
billion	en miljard	En miljard är ett enormt tal.
bin	en soptunna; en behållare	Lägg papperet i soptunnan.
biology	biologi	Biologi är mitt bästa ämne.
birth	en födelse	Hennes födelse var i maj.
biscuit	ett kex	Hon äter ett kex.
bit	en bit; lite	Jag behöver lite mer tid.
blank	tom; ett tomrum	Skriv ditt namn i tomrummet.
blood	blod	Blod är rött.
blow	blåsa	Vinden kan blåsa hårt.
board	en tavla; en bräda	Skriv det på tavlan.
boil	koka	Koka vattnet först.
bone	ett ben	Hunden har ett ben.
borrow	låna	Får jag låna din penna?
boss	en chef	Chefen är vänlig.
bottom	botten; längst ner	Skriv under längst ner.
bowl	en skål	Skålen är full.
brain	en hjärna	Hjärnan behöver vila.
bridge	en bro	Bron är gammal.
bright	ljus; smart	Rummet är ljust.
brilliant	strålande; briljant	Den här idén är strålande.
broken	trasig; bruten	Stolen är trasig.
brush	en borste; borsta	Borsta tänderna nu.
burn	bränna; brinna	Bränn inte brödet.
businessman	en affärsman	Affärsmannen kom tidigt.
button	en knapp	Tryck på den röda knappen.
camp	ett läger; campa	Vi campar nära sjön.
camping	camping; att campa	Camping är roligt på sommaren.
can2	en burk	Öppna burken försiktigt.
care	omsorg; ta hand om	Ta hand om din hälsa.
careful	försiktig; noggrann	Var försiktig i trappan.
carefully	försiktigt; noggrant	Läs frågan noggrant.
carpet	en matta	Mattan är mjuk.
cartoon	en tecknad film; en serie	Den tecknade filmen är rolig.
case	ett fodral; ett fall	Lägg det i fodralet.
cash	kontanter	Jag betalade med kontanter.
castle	ett slott	Slottet är mycket gammalt.
catch	fånga	Fånga bollen nu.
cause	en orsak; orsaka	Regn kan orsaka problem.
celebrate	fira	Vi firar min födelsedag.
celebrity	en kändis	Kändisen var mycket vänlig.
certain	säker; viss	Jag är säker på det.
certainly	absolut; säkert	Jag hjälper dig säkert.
chance	en chans	Du har en chans.
character	en karaktär; en person	Den här karaktären är modig.
charity	en välgörenhet; ett välgörande ändamål	Välgörenheten hjälper barn.
chat	prata; en chatt	Vi pratar efter lektionen.
chef	en kock	Kocken gjorde soppa.
chemistry	kemi	Kemi är svårt för mig.
chip	ett chips; en bit	Chipsen är salta.
choice	ett val	Det här valet är viktigt.
church	en kyrka	Kyrkan ligger nära.
cigarette	en cigarett	En cigarett skadar hälsan.
circle	en cirkel	Rita en cirkel här.
classical	klassisk	Jag gillar klassisk musik.
clear	klar; tydlig	Svaret är tydligt.
clearly	tydligt	Tala tydligt, tack.
clever	smart	Hon är ett smart barn.
climate	ett klimat	Klimatet förändras.
close2	nära; tät	Min skola ligger nära hemmet.
closed	stängd	Butiken är stängd.
clothing	kläder	Varma kläder är användbara.
cloud	ett moln	Molnet täcker solen.
coach	en tränare; en buss	Tränaren hjälpte laget.
coast	en kust	Vi körde längs kusten.
code	en kod	Skriv in koden här.
colleague	en kollega	Min kollega ringde mig.
collect	samla	Jag samlar gamla kort.
column	en kolumn	Läs den första kolumnen.
comedy	en komedi	Den här komedin är rolig.
comfortable	bekväm; skön	Stolen är bekväm.
comment	en kommentar; kommentera	Lämna en kommentar nedan.
communicate	kommunicera	Vi kommunicerar via e-post.
community	en gemenskap; ett samhälle	Vår gemenskap är vänlig.
compete	tävla	De tävlar varje år.
competition	en tävling	Tävlingen börjar i morgon.
complain	klaga	Klaga inte igen.
completely	helt; fullständigt	Jag håller helt med dig.
condition	ett skick; ett villkor	Bilen är i gott skick.
conference	en konferens	Konferensen börjar klockan nio.
connect	ansluta; koppla	Koppla telefonen till datorn.
connected	ansluten; kopplad	De två idéerna är kopplade.
consider	överväga	Överväg min idé, tack.
contain	innehålla	Lådan innehåller böcker.
context	en kontext; ett sammanhang	Sammanhanget hjälper förståelsen.
continent	en kontinent	Kontinenten är mycket stor.
continue	fortsätta	Fortsätt läsa, tack.
control	kontroll; kontrollera	Kontrollera hastigheten noggrant.
cooker	en spis	Spisen är ren.
copy	en kopia; kopiera	Gör en kopia åt mig.
corner	ett hörn	Sätt dig i hörnet.
correctly	rätt; korrekt	Skriv svaret korrekt.
count	räkna; ett antal	Räkna böckerna.
couple	ett par	Paret kom tidigt.
cover	täcka; ett omslag	Täck skålen.
crazy	galen; tokig	Den här idén låter galen.
creative	kreativ	Hon har en kreativ idé.
credit	kredit; beröm	Jag betalade med kreditkort.
crime	ett brott; brottslighet	Brottslighet är ett allvarligt problem.
criminal	en brottsling; kriminell	Brottslingen gick snabbt.
cross	korsa; ett kors	Korsa gatan försiktigt.
crowd	en folkmassa	Folkmassan väntade utanför.
crowded	trång; full	Tåget var trångt.
cry	gråta	Gråt inte nu.
cupboard	ett skåp	Kopparna står i skåpet.
curly	lockig	Hon har lockigt hår.
cycle	cykla; en cykel	Jag cyklar till skolan.
daily	daglig; dagligen	Jag läser nyheterna dagligen.
danger	en fara	Skylten visar fara.
data	data; uppgifter	Dessa uppgifter är användbara.
dead	död	Växten är död.
deal	en affär; en överenskommelse	Det är en bra affär.
death	död	Döden är ett svårt ämne.
decision	ett beslut	Fatta ett beslut i dag.
deep	djup	Vattnet är djupt.
definitely	absolut; definitivt	Jag vill absolut ha te.
degree	en grad; en examen	Min examen är i historia.
dentist	en tandläkare	Tandläkaren kontrollerade mina tänder.
department	en avdelning	Skonavdelningen ligger på övervåningen.
depend	bero på	Det beror på vädret.
desert	en öken; överge	Öknen är mycket torr.
designer	en designer; en formgivare	Designern gjorde den här klänningen.
destroy	förstöra	Förstör inte filen.
detective	en detektiv	Detektiven hittade nyckeln.
develop	utveckla	De utvecklar en ny app.
device	en enhet; en apparat	Den här enheten är användbar.
diary	en dagbok	Hon skriver i sin dagbok.
differently	annorlunda	Vi gör det annorlunda.
digital	digital	Det här är en digital kamera.
direct	direkt	Ta det direkta tåget.
direction	en riktning	Gå i den här riktningen.
director	en regissör; en direktör	Regissören gillade filmen.
disagree	inte hålla med	Jag håller inte med om idén.
disappear	försvinna	Solen försvinner snart.
disaster	en katastrof	Stormen var en katastrof.
discover	upptäcka	De upptäckte en ny ö.
discovery	en upptäckt	Upptäckten förändrade vetenskapen.
discussion	en diskussion	Diskussionen slutade tidigt.
disease	en sjukdom	Sjukdomen är allvarlig.
distance	ett avstånd	Avståndet är kort.
divorced	skild	Hennes föräldrar är skilda.
document	ett dokument	Spara dokumentet nu.
double	dubbel; två gånger	Jag behöver ett dubbelrum.
download	ladda ner; en nedladdning	Ladda ner appen i dag.
drama	ett drama; dramatik	Dramat började sent.
drawing	en teckning	Teckningen hänger på väggen.
dream	en dröm; drömma	Jag hade en konstig dröm.
driving	bilkörning	Bilkörning i regn är svårt.
drop	tappa; en droppe	Tappa inte glaset.
drug	ett läkemedel; en drog	Läkemedlet hjälper mig.
dry	torr; torka	Torka din jacka.
earn	tjäna	Hon tjänar pengar på sitt arbete.
earth	jorden	Jorden är rund.
easily	lätt	Jag kan göra det lätt.
