source_headword	KM	example_KM
strengthen	ពង្រឹង	គោលការណ៍ថ្មីនេះនឹងពង្រឹងសុវត្ថិភាពតាមអ៊ីនធឺណិត។
strictly	យ៉ាងតឹងរ៉ឹង	សំបុត្រត្រូវបានកំណត់យ៉ាងតឹងរ៉ឹងត្រឹមពីរនាក់ក្នុងម្នាក់។
striking	គួរឱ្យកត់សម្គាល់	គំនូរនេះមានពណ៌គួរឱ្យកត់សម្គាល់។
stroke	គំនូស	នាងបានគូរគំនូសមួយនៅលើក្រដាស។
stunning	ស្រស់ស្អាតខ្លាំង	ទេសភាពភ្នំគឺស្រស់ស្អាតខ្លាំង។
subsequent	បន្ទាប់	ការប្រជុំបន្ទាប់បានបញ្ជាក់ពីថវិកា។
subsequently	ក្រោយមក	ផ្លូវត្រូវបានបិទ។ក្រោយមកចរាចរណ៍បានធ្វើដំណើរយ៉ាងយឺត។
suburb	ជាយក្រុង	ពួកគេរស់នៅក្នុងតំបន់ជាយក្រុងដ៏ស្ងប់ស្ងាត់មួយ។
suffering	ការឈឺចាប់	ថ្នាំនេះបានកាត់បន្ថយការឈឺចាប់របស់គាត់។
sufficient	គ្រប់គ្រាន់	ក្រុមនេះមានពេលគ្រប់គ្រាន់។
sufficiently	យ៉ាងគ្រប់គ្រាន់	បន្ទប់នេះមានភាពកក់ក្តៅយ៉ាងគ្រប់គ្រាន់។
super	ខ្លាំងណាស់	ថេប្លេតថ្មីនេះគឺលឿនខ្លាំងណាស់។
surgeon	គ្រូពេទ្យវះកាត់	គ្រូពេទ្យវះកាត់បានជួសជុលជង្គង់ដែលខូច។
survival	ការរស់រានមានជីវិត	ទឹកស្អាតគឺចាំបាច់សម្រាប់ការរស់រានមានជីវិត។
survivor	អ្នកនៅរស់រានមានជីវិត	អ្នកនៅរស់រានមានជីវិតបានរៀបរាប់ពីទឹកជំនន់។
suspend	ផ្អាក	សាលាអាចនឹងផ្អាកដំណើរកម្សាន្តនេះ។
sustainable	ប្រកបដោយនិរន្តរភាព	កសិដ្ឋាននេះប្រើប្រាស់វិធីសាស្រ្តប្រកបដោយនិរន្តរភាព។
swallow	លេប	លេបថ្នាំគ្រាប់ជាមួយទឹក។
sympathetic	ដែលមានចិត្តអាណិតអាសូរ	អ្នកគ្រប់គ្រងមានចិត្តអាណិតអាសូរចំពោះបញ្ហារបស់នាង។
tackle	ដោះស្រាយ	យើងត្រូវដោះស្រាយបញ្ហាលំនៅដ្ឋាន។
tag	ស្លាក	កាបូបនោះមានស្លាកតម្លៃ។
tap	ក្បាលរ៉ូប៊ីណេ	នាងបានបិទក្បាលរ៉ូប៊ីណេ។
technological	ផ្នែកបច្ចេកវិទ្យា	ការផ្លាស់ប្តូរផ្នែកបច្ចេកវិទ្យាប៉ះពាល់ដល់គ្រប់កន្លែងធ្វើការ។
teens	ក្មេងជំទង់	ក្មេងជំទង់ជាច្រើនប្រើប្រាស់បណ្តាញសង្គមជារៀងរាល់ថ្ងៃ។
temple	ប្រាសាទ	ប្រាសាទនោះឈរនៅក្បែរទន្លេ។
temporarily	ជាបណ្តោះអាសន្ន	ការិយាល័យនេះត្រូវបានបិទជាបណ្តោះអាសន្ន។
tendency	ទំនោរ	គាត់មានទំនោរមកដល់យឺត។
tension	ភាពតានតឹង	ភាពតានតឹងបានកើនឡើងក្នុងអំឡុងពេលពិភាក្សា។
terms	លក្ខខណ្ឌ	លក្ខខណ្ឌនៃកិច្ចសន្យាគឺច្បាស់លាស់។
terribly	យ៉ាងខ្លាំង	ក្មេងនោះមានការខកចិត្តយ៉ាងខ្លាំង។
terrify	ធ្វើឱ្យភ័យខ្លាច	សំឡេងខ្លាំងៗធ្វើឱ្យឆ្កែភ័យខ្លាច។
territory	ទឹកដី	ផែនទីបង្ហាញពីទឹកដីថ្មី។
terror	ភាពភ័យរន្ធត់	ភាពភ័យរន្ធត់បានរីករាលដាលបន្ទាប់ពីការវាយប្រហារ។
terrorism	អំពើភេរវកម្ម	អំពើភេរវកម្មគំរាមកំហែងដល់សុវត្ថិភាពសាធារណៈ។
terrorist	ភេរវករ	ប៉ូលីសបានចាប់ខ្លួនភេរវករកាលពីម្សិលមិញ។
testing	ការធ្វើតេស្ត	ការធ្វើតេស្តផលិតផលចាប់ផ្តើមនៅថ្ងៃច័ន្ទ។
