source_headword	SL	example_SL
ability	sposobnost; zmožnost	Njena sposobnost plavanja je jasna.
able	sposoben; zmožen	Lahko pride danes.
abroad	v tujini	Želi študirati v tujini.
accept	sprejeti	Prosim, sprejmi to majhno darilo.
accident	nesreča	Nesreča se je zgodila blizu šole.
according to	glede na; po	Glede na poročilo prihaja dež.
achieve	doseči	Lahko dosežeš svoj cilj.
act	delovati; igrati	Lahko igra v predstavi.
active	aktiven	Ona je aktivna vsak dan.
actually	pravzaprav	Pravzaprav potrebujem več časa.
advantage	prednost	Ta načrt ima prednost.
adventure	pustolovščina	Njihovo potovanje je bilo pustolovščina.
advertise	oglaševati	Oglašujejo novo službo.
advertisement	oglas; reklama	Videl sem oglas.
advertising	oglaševanje	Oglaševanje pomaga prodajati hrano.
affect	vplivati na	Spanec lahko vpliva na tvoje zdravje.
against	proti; ob	Ne naslanjaj se na zid.
ah	ah	Ah, zdaj razumem.
airline	letalska družba	Letalska družba je zelo zasedena.
alive	živ	Majhna riba je živa.
all right	v redu; dobro	Zdaj je vse v redu.
allow	dovoliti; omogočiti	Tukaj dovolijo pse.
almost	skoraj	Skoraj smo pripravljeni.
alone	sam; sama	Ona živi sama.
along	vzdolž; ob	Hodi ob tej cesti.
already	že	Odgovor že poznam.
alternative	alternativa	Ta vlak je alternativa.
although	čeprav	Čeprav je pozno, lahko ostanemo.
among	med	Stal je med drevesi.
amount	količina; znesek	Količina je premajhna.
ancient	starodaven; antičen	Ta starodavni zid je znan.
ankle	gleženj	Danes me boli gleženj.
anybody	kdorkoli; kdo	Lahko kdo odgovori?
any more	več	Tega ne potrebujem več.
anyway	vseeno; kakorkoli	Vseeno lahko začnemo zdaj.
anywhere	kjerkoli	Sedi, kjerkoli želiš.
app	aplikacija	Ta aplikacija je koristna.
appear	pojaviti se	Njeno ime se bo pojavilo tukaj.
appearance	videz; pojava	Njegov videz je drugačen.
apply	prijaviti se; uporabiti	Danes se prijavi za službo.
architect	arhitekt	Arhitekt ima načrt.
architecture	arhitektura	Všeč mi je moderna arhitektura.
argue	prepirati se; razpravljati	Ne prepiraj se s sestro.
argument	prepir; argument	Prepir je bil kratek.
army	vojska	Vojska je velika.
arrange	organizirati; urediti	Prosim, organiziraj sestanek.
arrangement	dogovor; ureditev	Dogovor dobro deluje.
asleep	zaspal; zaspana	Dojenček je zaspal.
assistant	asistent; pomočnik	Asistent mi je pomagal.
athlete	športnik; atlet	Športnik hitro teče.
attack	napad; napasti	Pes lahko napade.
attend	udeležiti se; obiskovati	Danes se udeležim ure.
attention	pozornost	Prosim, bodi zdaj pozoren.
attractive	privlačen	Vrt je privlačen.
audience	občinstvo	Občinstvo je bilo tiho.
author	avtor	Avtor je napisal to knjigo.
available	na voljo; dostopen	Hrana je zdaj na voljo.
average	povprečen; povprečje	Povprečen rezultat je bil dober.
avoid	izogibati se	Izogibaj se prometni cesti.
award	nagrada	Ona je osvojila nagrado.
awful	grozen	Vreme je bilo grozno.
background	ozadje; poreklo	Slika ima temno ozadje.
badly	slabo	Danes je igral slabo.
bar	bar	Srečala sva se v hotelskem baru.
baseball	bejzbol	Bejzbol je tukaj priljubljen.
based	zasnovan	Film je zasnovan na knjigi.
basketball	košarka	Po šoli igramo košarko.
bean	fižol; zrno	To fižolovo zrno je zeleno.
bear (animal)	medved	Medved živi v gozdu.
beat	premagati; tepsti	Naša ekipa jih lahko premaga.
beef	govedina	Za večerjo sem jedel govedino.
behave	vesti se	Prosim, lepo se vedi pri pouku.
behaviour	vedenje	Njegovo vedenje je bilo vljudno.
belong	pripadati	Ti čevlji pripadajo meni.
belt	pas	Njegov pas je črn.
benefit	korist; prednost	Vadba ima pravo korist.
billion	milijarda	Milijarda je ogromno število.
bin	koš; kanta	Daj papir v koš.
biology	biologija	Biologija je moj najboljši predmet.
birth	rojstvo	Njeno rojstvo je bilo maja.
biscuit	keks; piškot	Ona je piškot.
bit	malo; košček	Potrebujem še malo časa.
blank	prazen; praznina	Napiši ime v prazno mesto.
blood	kri	Kri je rdeča.
blow	pihati	Veter lahko močno piha.
board	deska; tabla	Napiši to na tablo.
boil	vreti; zavreti	Najprej zavri vodo.
bone	kost	Pes ima kost.
borrow	sposoditi si	Si lahko sposodim tvoje pisalo?
boss	šef	Moj šef je prijazen.
bottom	dno; spodnji del	Podpiši se na dnu.
bowl	skleda	Skleda je polna.
brain	možgani	Tvoji možgani potrebujejo počitek.
bridge	most	Most je star.
bright	svetel; bister	Soba je svetla.
brilliant	odličen; sijajen	Ta ideja je odlična.
broken	zlomljen; pokvarjen	Stol je zlomljen.
brush	krtača; ščetkati	Zdaj si umij zobe.
burn	goreti; zažgati	Ne zažgi kruha.
businessman	poslovnež	Poslovnež je prišel zgodaj.
button	gumb	Pritisni rdeči gumb.
camp	tabor; kampirati	Kampiramo blizu jezera.
camping	kampiranje	Kampiranje je poleti zabavno.
can2	pločevinka	Previdno odpri pločevinko.
care	skrb; nega	Skrbi za svoje zdravje.
careful	previden	Bodi previden na stopnicah.
carefully	previdno	Previdno preberi vprašanje.
carpet	preproga	Preproga je mehka.
cartoon	risanka	Ta risanka je smešna.
case	primer; škatla	Daj to v škatlo.
cash	gotovina	Plačal sem z gotovino.
castle	grad	Grad je zelo star.
catch	ujeti	Zdaj ujemi žogo.
cause	vzrok; povzročiti	Dež lahko povzroči težave.
celebrate	praznovati	Praznujemo moj rojstni dan.
celebrity	znana oseba	Znana oseba je bila zelo prijazna.
certain	gotov; določen	V to sem gotov.
certainly	zagotovo; seveda	Zagotovo bom pomagal.
chance	priložnost; možnost	Imaš priložnost.
character	lik; značaj	Ta lik je pogumen.
charity	dobrodelna organizacija; dobrodelnost	Organizacija pomaga otrokom.
chat	klepetati; klepet	Klepetava po pouku.
chef	kuhar	Kuhar je pripravil juho.
chemistry	kemija	Kemija je zame težka.
chip	čips; košček	Ta čips je slan.
choice	izbira	Ta izbira je pomembna.
church	cerkev	Cerkev je blizu.
cigarette	cigareta	Cigareta je slaba za zdravje.
circle	krog	Tukaj nariši krog.
classical	klasičen	Rad imam klasično glasbo.
clear	jasen	Odgovor je jasen.
clearly	jasno	Prosim, govori jasno.
clever	pameten	Ona je pameten otrok.
climate	podnebje	Podnebje se spreminja.
close2	blizu; tesen	Moja šola je blizu doma.
closed	zaprt	Trgovina je zaprta.
clothing	oblačila	Topla oblačila so koristna.
cloud	oblak	Oblak pokriva sonce.
coach	trener; avtobus	Trener je pomagal ekipi.
coast	obala	Peljali smo se ob obali.
code	koda; šifra	Tukaj vnesi kodo.
colleague	sodelavec	Moj sodelavec me je poklical.
collect	zbirati	Zbiram stare kartice.
column	stolpec	Preberi prvi stolpec.
comedy	komedija	Ta komedija je smešna.
comfortable	udoben	Ta stol je udoben.
comment	komentar	Spodaj pusti komentar.
communicate	komunicirati	Komuniciramo po e-pošti.
community	skupnost	Naša skupnost je prijazna.
compete	tekmovati	Tekmujejo vsako leto.
competition	tekmovanje	Tekmovanje se začne jutri.
complain	pritoževati se	Ne pritožuj se spet.
completely	popolnoma	Popolnoma se strinjam s tabo.
condition	stanje; pogoj	Avto je v dobrem stanju.
conference	konferenca	Konferenca se začne ob devetih.
connect	povezati	Poveži telefon z računalnikom.
connected	povezan	Ti dve ideji sta povezani.
consider	razmisliti	Prosim, razmisli o moji ideji.
contain	vsebovati	Ta škatla vsebuje knjige.
context	kontekst	Kontekst ti pomaga razumeti.
continent	celina	Celina je zelo velika.
continue	nadaljevati	Prosim, nadaljuj z branjem.
control	nadzor; nadzorovati	Previdno nadzoruj hitrost.
cooker	štedilnik	Štedilnik je čist.
copy	kopija; kopirati	Naredi kopijo zame.
corner	kot	Sedi v kot.
correctly	pravilno	Pravilno napiši odgovor.
count	šteti	Preštej knjige.
couple	par; nekaj	Par je prišel zgodaj.
cover	pokriti; naslovnica	Pokrij skledo.
crazy	nor	Ta ideja zveni noro.
creative	ustvarjalen	Ona ima ustvarjalno idejo.
credit	kredit; kreditna kartica	Plačal sem s kreditno kartico.
crime	zločin; kriminal	Kriminal je resen problem.
criminal	kriminalec; zločinec	Kriminalec je hitro odšel.
cross	prečkati; križ	Previdno prečkaj cesto.
crowd	množica	Množica je čakala zunaj.
crowded	natrpan	Vlak je bil natrpan.
cry	jokati	Ne jokaj zdaj.
cupboard	omara	Skodelice so v omari.
curly	kodrast	Ona ima kodraste lase.
cycle	kolesariti; cikel	V šolo kolesarim.
daily	dneven; vsak dan	Vsak dan berem novice.
danger	nevarnost	Znak kaže nevarnost.
data	podatki	Podatki so koristni.
dead	mrtev; ovenel	Rastlina je mrtva.
deal	dogovor; ponudba	To je dobra ponudba.
death	smrt	Smrt je težka tema.
decision	odločitev	Danes sprejmi odločitev.
deep	globok	Voda je globoka.
definitely	zagotovo; vsekakor	Vsekakor želim čaj.
degree	stopnja; diploma	Moja diploma je iz zgodovine.
dentist	zobozdravnik	Zobozdravnik mi je pregledal zobe.
department	oddelek	Oddelek za čevlje je zgoraj.
depend	biti odvisen	To je odvisno od vremena.
desert	puščava	Puščava je zelo suha.
designer	oblikovalec	Oblikovalec je naredil to obleko.
destroy	uničiti	Ne uniči datoteke.
detective	detektiv	Detektiv je našel ključ.
develop	razvijati	Razvijajo novo aplikacijo.
device	naprava	Ta naprava je koristna.
diary	dnevnik	Ona piše v svoj dnevnik.
differently	drugače	To delamo drugače.
digital	digitalen	To je digitalni fotoaparat.
direct	neposreden; direkten	Vzemi neposreden vlak.
direction	smer	Hodi v tej smeri.
director	direktor; režiser	Režiserju je bil film všeč.
disagree	ne strinjati se	Ne strinjam se s to idejo.
disappear	izginiti	Sonce bo kmalu izginilo.
disaster	katastrofa	Nevihta je bila katastrofa.
discover	odkriti	Odkrivajo nov otok.
discovery	odkritje	Odkritje je spremenilo znanost.
discussion	razprava	Razprava se je končala zgodaj.
disease	bolezen	Ta bolezen je resna.
distance	razdalja	Razdalja je kratka.
divorced	ločen; ločena	Njeni starši so ločeni.
document	dokument	Zdaj shrani ta dokument.
double	dvojen	Potrebujem dvoposteljno sobo.
