source_headword	SR	example_SR
ability	sposobnost; veština	Njena sposobnost plivanja je jasna.
able	sposoban; u stanju	On može da dođe danas.
abroad	u inostranstvu	Ona želi da studira u inostranstvu.
accept	prihvatiti	Molim te, prihvati ovaj mali poklon.
accident	nesreća	Nesreća se dogodila blizu škole.
according to	prema	Prema izveštaju, dolazi kiša.
achieve	postignuti	Možeš da postigneš svoj cilj.
act	delovati; glumiti	On može da glumi u predstavi.
active	aktivan	Ona je aktivna svaki dan.
actually	zapravo	Zapravo mi treba više vremena.
advantage	prednost	Ovaj plan ima prednost.
adventure	avantura	Njihovo putovanje je bilo avantura.
advertise	oglašavati	Oni oglašavaju novi posao.
advertisement	oglas; reklama	Video sam oglas.
advertising	oglašavanje	Oglašavanje pomaže prodaji hrane.
affect	uticati na	San može da utiče na tvoje zdravlje.
against	protiv; uz	Ne naslanjaj se na zid.
ah	ah	Ah, sada razumem.
airline	avio-kompanija	Avio-kompanija je veoma zauzeta.
alive	živ	Mala riba je živa.
all right	u redu; dobro	Sada je sve u redu.
allow	dozvoliti; omogućiti	Ovde dozvoljavaju pse.
almost	skoro; gotovo	Skoro smo spremni.
alone	sam; sama	Ona živi sama.
along	duž; uz	Hodaj uz ovaj put.
already	već	Već znam odgovor.
alternative	alternativa	Ovaj voz je alternativa.
although	iako; mada	Iako je kasno, možemo ostati.
among	među	On je stajao među drvećem.
amount	količina; iznos	Količina je premala.
ancient	drevni; antički	Ovaj drevni zid je poznat.
ankle	članak	Danas me boli članak.
anybody	iko; bilo ko	Može li iko da odgovori?
any more	više	Više mi ne treba.
anyway	svejedno; u svakom slučaju	Svejedno možemo početi sada.
anywhere	bilo gde	Sedi bilo gde želiš.
app	aplikacija	Ova aplikacija je korisna.
appear	pojaviti se	Njeno ime će se pojaviti ovde.
appearance	izgled; pojava	Njegov izgled je drugačiji.
apply	prijaviti se; primeniti	Prijavi se za posao danas.
architect	arhitekta	Arhitekta ima plan.
architecture	arhitektura	Volim modernu arhitekturu.
argue	svađati se; raspravljati	Nemoj se svađati sa sestrom.
argument	svađa; argument	Svađa je bila kratka.
army	vojska	Vojska je velika.
arrange	organizovati; urediti	Molim te, organizuj sastanak.
arrangement	dogovor; aranžman	Dogovor dobro funkcioniše.
asleep	zaspao; zaspala	Beba je zaspala.
assistant	asistent; pomoćnik	Asistent mi je pomogao.
athlete	sportista; atletičar	Sportista brzo trči.
attack	napad; napasti	Pas može da napadne.
attend	pohađati; prisustvovati	Danas pohađam čas.
attention	pažnja	Molim te, obrati pažnju sada.
attractive	privlačan	Bašta je privlačna.
audience	publika	Publika je bila tiha.
