source_headword	KM	example_KM
abolish	លុបបំបាត់	ច្បាប់នេះនឹងលុបបំបាត់កម្រៃចាស់ចោល។
abortion	ការរំលូតកូន	ការរំលូតកូននៅតែជាបញ្ហាវេជ្ជសាស្ត្រដ៏រសើបមួយ។
absence	អវត្តមាន	អវត្តមានរបស់នាងបានពន្យារពេលការសម្រេចចិត្តចុងក្រោយ។
absent	អវត្តមាន	សមាជិកពីរនាក់បានអវត្តមានពីថ្នាក់រៀន។
absurd	មិនសមហេតុផល	ការអះអាងនេះស្តាប់ទៅមិនសមហេតុផលសម្រាប់អ្នកគ្រប់គ្នា។
abundance	ភាពសំបូរបែប	ជ្រលងភ្នំនេះមានទឹកយ៉ាងសំបូរបែប។
abuse	ការរំលោភបំពាន	របាយការណ៍បានពិពណ៌នាអំពីការរំលោភបំពាននៅកន្លែងធ្វើការ។
academy	បណ្ឌិតសភា	បណ្ឌិតសភានេះបណ្តុះបណ្តាលតន្ត្រីករវ័យក្មេង។
accelerate	ពន្លឿន	មូលនិធិថ្មីនឹងពន្លឿនការស្រាវជ្រាវនេះ។
acceptance	ការទទួលយក	ការទទួលយកការរិះគន់របស់គាត់បានធ្វើឱ្យខ្ញុំចាប់អារម្មណ៍។
accessible	អាចចូលដំណើរការបាន	សារមន្ទីរនេះអាចចូលបានសម្រាប់អ្នកប្រើប្រាស់រទេះរុញ។
accomplishment	សមិទ្ធផល	ការបញ្ចប់សៀវភៅនេះគឺជាសមិទ្ធផលពិតប្រាកដមួយ។
accordance	ស្របតាម	ការងារនេះត្រូវបានធ្វើឡើងស្របតាមគោលការណ៍។
accordingly	ទៅតាមនោះ	ភស្តុតាងបានផ្លាស់ប្តូរហើយយើងបានអនុវត្តទៅតាមនោះ។
accountability	គណនេយ្យភាព	គោលការណ៍នេះបង្កើនគណនេយ្យភាពសម្រាប់អ្នកគ្រប់គ្រង។
accountable	មានការទទួលខុសត្រូវ	អ្នកគ្រប់គ្រងមានការទទួលខុសត្រូវចំពោះសុវត្ថិភាព។
accumulate	ប្រមូលផ្តុំ	ធូលីអាចកកកុញនៅខាងក្រោយអេក្រង់។
accumulation	ការប្រមូលផ្តុំ	ការប្រមូលផ្តុំទិន្នន័យចំណាយពេលជាច្រើនខែ។
accusation	ការចោទប្រកាន់	ការចោទប្រកាន់នេះបានធ្វើឱ្យគណៈកម្មាធិការភ្ញាក់ផ្អើល។
accused	ជនជាប់ចោទ	ជនជាប់ចោទបានបង្ហាញខ្លួននៅតុលាការ។
acquisition	ការទិញយក	ការទិញយកនេះបានពង្រីកក្រុមហ៊ុនយ៉ាងឆាប់រហ័ស។
acre	អេកឺ	កសិដ្ឋាននេះគ្របដណ្តប់លើផ្ទៃដីមួយអេកឺ។
activation	ការធ្វើឱ្យសកម្ម	ការធ្វើឱ្យកាតសកម្មចំណាយពេលប៉ុន្មាននាទី។
activist	សកម្មជន	សកម្មជនបាននិយាយនៅក្នុងការប្រមូលផ្តុំ។
acute	ធ្ងន់ធ្ងរ	នាងមានអារម្មណ៍ឈឺចាប់យ៉ាងខ្លាំងបន្ទាប់ពីរត់រួច។
adaptation	ការសម្របតាម	ការសម្របសម្រួលបានផ្លាស់ប្តូរបញ្ចប់រឿងប្រលោមលោកនេះ។
adhere	ប្រកាន់ខ្ជាប់	បុគ្គលិកត្រូវតែអនុវត្តតាមវិធានការសុវត្ថិភាព។
adjacent	នៅជាប់	សណ្ឋាគារគឺនៅជាប់នឹងស្ថានីយ៍។
adjustment	ការកែតម្រូវ	ការកែតម្រូវបន្តិចបន្តួចបានដោះស្រាយបញ្ហានេះ។
administer	គ្រប់គ្រង	គិលានុបដ្ឋាយិកាផ្តល់វ៉ាក់សាំងដោយប្រុងប្រយ័ត្ន។
administrative	រដ្ឋបាល	បុគ្គលិករដ្ឋបាលចាត់ចែងទម្រង់បែបបទ។
administrator	អ្នកគ្រប់គ្រង	អ្នកគ្រប់គ្រងបានកំណត់ពាក្យសម្ងាត់របស់ខ្ញុំឡើងវិញ។
admission	ការអនុញ្ញាតឲ្យចូល	ការចូលទស្សនាសារមន្ទីរគឺមិនគិតថ្លៃទេ។
adolescent	វ័យជំទង់	យុវជនវ័យជំទង់ត្រូវការការគាំទ្របន្ថែម។
adoption	ការស្មុំកូន	ការស្មុំកូនបានផ្តល់ឱ្យក្មេងនូវផ្ទះដ៏មានស្ថេរភាពមួយ។
adverse	អាក្រក់	ថ្នាំនេះបានបណ្តាលឱ្យមានផលប៉ះពាល់អាក្រក់។
advocate	អ្នកតស៊ូមតិ	អ្នកតស៊ូមតិបានការពារសិទ្ធិអ្នកជួល។
aesthetic	សោភ័ណភាព	បន្ទប់នេះមានរចនាបថសោភ័ណភាពដ៏ស្ងប់ស្ងាត់។
affection	ក្តីស្រឡាញ់	នាងបានបង្ហាញក្តីស្រឡាញ់ចំពោះគ្រួសាររបស់នាង។
aftermath	ផលវិបាក	ផលវិបាកក្រោយព្យុះគឺលំបាកណាស់។
aggression	ភាពឆេវឆាវ	គ្រូបានកត់សម្គាល់ឃើញភាពឆេវឆាវអំឡុងពេលសម្រាក។
agricultural	កសិកម្ម	ការនាំចេញកសិកម្មបានកើនឡើងនៅឆ្នាំនេះ។
aide	ជំនួយការ	ជំនួយការបានរៀបចំកាលវិភាគរបស់រដ្ឋមន្ត្រី។
albeit	ទោះបីជា	ផែនការបានដំណើរការ ទោះបីជាយឺតបន្តិចក៏ដោយ។
alert	ដាស់តឿន	សូមជូនដំណឹងដល់បុគ្គលិកជាបន្ទាន់។
align	តម្រឹម	ព្រួញតម្រឹមជាមួយផ្លូវ។
alignment	ការតម្រឹម	ការតម្រឹមកង់បានធ្វើឱ្យការបើកបររថយន្តប្រសើរឡើង។
alike	ដូចគ្នា	កូនភ្លោះស្លៀកពាក់ដូចគ្នានៅចុងសប្តាហ៍។
allegation	ការចោទប្រកាន់	ការចោទប្រកាន់នេះបានលេចឡើងនៅលើកាសែត។
allege	ចោទប្រកាន់	ពួកគេអះអាងថាមូលនិធិត្រូវបានបាត់បង់។
allegedly	តាមការចោទប្រកាន់	អ្នកបើកបរត្រូវបានគេចោទប្រកាន់ថាបានមិនអើពើនឹងការព្រមាន។
alliance	សម្ព័ន្ធភាព	គណបក្សទាំងនោះបានបង្កើតសម្ព័ន្ធភាពបណ្តោះអាសន្ន។
allocate	បែងចែក	ទីក្រុងនឹងបែងចែកប្រាក់សម្រាប់សាលារៀន។
allocation	ការបែងចែក	ការបែងចែកកន្លែងអង្គុយគឺមិនយុត្តិធម៌ទេ។
allowance	ប្រាក់ឧបត្ថម្ភ	ប្រាក់ឧបត្ថម្ភរបស់នាងគ្របដណ្តប់លើអាហារថ្ងៃត្រង់ និងការធ្វើដំណើរ។
ally	សម្ព័ន្ធមិត្ត	ប្រទេសកាណាដាបានក្លាយជាសម្ព័ន្ធមិត្តជិតស្និទ្ធ។
aluminium	អាលុយមីញ៉ូម	ស៊ុមនេះធ្វើពីអាលុយមីញ៉ូម។
amateur	អ្នកស្ម័គ្រចិត្ត	អ្នកថតរូបមិនមែនអាជីពម្នាក់បានថតរូបនេះ។
ambassador	ឯកអគ្គរដ្ឋទូត	ឯកអគ្គរដ្ឋទូតបានជួបជាមួយសិស្សក្នុងតំបន់។
amend	កែប្រែ	សភាបានបោះឆ្នោតដើម្បីកែប្រែច្បាប់។
amendment	វិសោធនកម្ម	វិសោធនកម្មនេះបានផ្លាស់ប្តូរកថាខណ្ឌមួយ។
amid	ក្នុងចំណោម	សុន្ទរកថានេះបានធ្វើឡើងចំពេលដែលមានភាពតានតឹងកើនឡើង។
analogy	ការប្រៀបធៀប	គ្រូបានប្រើការប្រៀបធៀបដ៏សាមញ្ញមួយ។
anchor	យុថ្កា	ទូកបានទម្លាក់យុថ្កានៅជិតកោះ។
angel	ទេវតា	ក្មេងនោះស្លៀកសម្លៀកបំពាក់ទេវតា។
anonymous	អនាមិក	ពាក្យបណ្តឹងនេះគឺជាអនាមិក។
apparatus	ឧបករណ៍	ឧបករណ៍មន្ទីរពិសោធន៍ត្រូវការការសម្អាត។
appealing	ទាក់ទាញ	ការផ្តល់ជូននេះមើលទៅគួរឱ្យទាក់ទាញសម្រាប់សិស្ស។
appetite	ចំណង់អាហារ	ការហាត់ប្រាណបានបង្កើនចំណង់អាហាររបស់គាត់។
applaud	ទះដៃ	ទស្សនិកជនចាប់ផ្តើមទះដៃយ៉ាងខ្លាំង។
applicable	អាចអនុវត្តបាន	ការបញ្ចុះតម្លៃនេះអាចអនុវត្តបាននៅថ្ងៃនេះ។
appoint	តែងតាំង	ក្រុមប្រឹក្សាភិបាលនឹងតែងតាំងនាយកម្នាក់។
appreciation	ការកោតសរសើរ	នាងបានសម្តែងការដឹងគុណចំពោះជំនួយរបស់ពួកគេ។
arbitrary	តាមអំពើចិត្ត	ថ្ងៃកំណត់ហាក់ដូចជាធ្វើឡើងតាមអំពើចិត្តសម្រាប់បុគ្គលិក។
architectural	ស្ថាបត្យកម្ម	ទីក្រុងនេះការពារបេតិកភណ្ឌស្ថាបត្យកម្មរបស់ខ្លួន។
archive	ប័ណ្ណសារ	ប័ណ្ណសាររក្សាទុកនូវរូបថតចាស់ៗ។
arena	សង្វៀន	ការពិភាក្សាបានឈានចូលដល់ឆាកសាធារណៈ។
arguably	អាចប្រកែកបានថា	នេះប្រហែលជាប្រលោមលោកដ៏ល្អបំផុតរបស់គាត់។
arm	បំពាក់អាវុធ	អ្នកយាមនឹងបំពាក់អាវុធដល់ក្បួនរថយន្ត។
array	ការរៀបចំ	ហាងនេះផ្តល់ជូននូវឧបករណ៍ជាច្រើនប្រភេទ។
articulate	និយាយយ៉ាងច្បាស់	នាងអាចនិយាយបញ្ចេញមតិយោបល់ស្មុគស្មាញយ៉ាងច្បាស់។
ash	ផេះ	ផេះបានគ្របដណ្តប់លើរថយន្តបន្ទាប់ពីអគ្គីភ័យ។
aspiration	បំណងប្រាថ្នា	បំណងប្រាថ្នារបស់នាងគឺចង់ក្លាយជាគ្រូពេទ្យវះកាត់។
aspire	ប្រាថ្នាចង់បាន	សិស្សជាច្រើនប្រាថ្នាចង់ទៅសិក្សានៅបរទេស។
assassination	ការធ្វើឃាត	ការធ្វើឃាតបានផ្លាស់ប្តូរនយោបាយរបស់ប្រទេស។
assault	ការវាយប្រហារ	ការវាយប្រហារបានកើតឡើងនៅជិតស្ថានីយ៍។
assemble	ដំឡើង	កម្មករដំឡើងគ្រឿងសង្ហារឹមដោយផ្ទាល់ដៃ។
assembly	ការជួបជុំ	ការជួបជុំសាលារៀនចាប់ផ្តើមនៅម៉ោងប្រាំបួន។
assert	អះអាង	គាត់បានព្យាយាមអះអាងពីអំណាចរបស់គាត់។
assertion	ការអះអាង	ការអះអាងរបស់នាងបានធ្វើឱ្យគណៈកម្មការភ្ញាក់ផ្អើល។
assurance	ការធានា	អ្នកគ្រប់គ្រងបានផ្តល់ការធានាលើការគាំទ្រ។
asylum	សិទ្ធិជ្រកកោន	គ្រួសារនេះបានស្នើសុំសិទ្ធិជ្រកកោននៅព្រំដែន។
atrocity	ភាពឃោរឃៅ	ខ្សែភាពយន្តនេះបានរៀបរាប់ពីភាពឃោរឃៅក្នុងសម័យសង្គ្រាម។
attain	សម្រេចបាន	មានអ្នករត់ប្រណាំងតិចតួចណាស់ដែលសម្រេចបានល្បឿននោះ។
attendance	វត្តមាន	វត្តមានបានកើនឡើងបន្ទាប់ពីការប្រកាស។
attorney	មេធាវី	មេធាវីបានសាកសួរសាក្សី។
attribute	សន្មត	អ្នកវិទ្យាសាស្ត្រសន្មតថាការកើនឡើងនេះគឺដោយសារការបំពុល។
audit	សវនកម្ម	សវនកម្មបានរកឃើញកំហុសជាច្រើន។
authentic	ពិតប្រាកដ	ភោជនីយដ្ឋាននេះបម្រើអាហារក្នុងតំបន់ពិតប្រាកដ។
authorize	ផ្តល់សិទ្ធិ	មានតែអ្នកគ្រប់គ្រងប៉ុណ្ណោះដែលអាចអនុញ្ញាតការបង្វិលសងប្រាក់បាន។
auto	រថយន្ត	ឧស្សាហកម្មរថយន្តបានផ្លាស់ប្តូរយ៉ាងឆាប់រហ័ស។
autonomy	ស្វ័យភាព	តំបន់នេះចង់បានស្វ័យភាពកាន់តែច្រើន។
availability	ភាពអាចរកបាន	ភាពអាចរកបាននៃកៅអីមានកំណត់។
await	រង់ចាំ	សារជាច្រើនកំពុងរង់ចាំការឆ្លើយតបរបស់អ្នក។
backdrop	ផ្ទៃខាងក្រោយ	ភ្នំបង្កើតបានជាផ្ទៃខាងក្រោយដ៏អស្ចារ្យ។
backing	ការគាំទ្រ	សំណើនេះទទួលបានការគាំទ្រពីអ្នកបោះឆ្នោត។
backup	ការបម្រុងទុក	ប្រព័ន្ធបង្កើតការបម្រុងទុកជារៀងរាល់ថ្ងៃ។
bail	ប្រាក់ធានា	ចៅក្រមបានកំណត់ប្រាក់ធានានៅពេលថ្ងៃត្រង់។
ballot	សន្លឹកឆ្នោត	អ្នកបោះឆ្នោតម្នាក់ៗទទួលបានសន្លឹកឆ្នោតមួយ។
banner	បដា	បដាត្រូវបានព្យួរនៅពីលើច្រកចូល។
