source_headword	HU	example_HU
prey	zsákmány	A baglyok éjszaka vadásznak zsákmányra.
privatization	privatizáció	A privatizáció megváltoztatta a vasúti rendszert.
privilege	kiváltság	Az oktatás nem lehetne kiváltság.
probe	vizsgálat	A vizsgálat súlyos hibákat tárt fel.
problematic	problematikus	A megállapodás továbbra is problematikus.
proceedings	eljárás	A bírósági eljárás hétfőn kezdődött.
proceeds	bevétel	A bevétel a helyi iskolákat fogja támogatni.
processing	feldolgozás	A képfeldolgozás időbe telik.
processor	processzor	A processzor meghibásodott a tesztelés során.
proclaim	kihirdet	A vezetők túl korán hirdetnek győzelmet.
productive	produktív	A megbeszélés produktív volt.
productivity	termelékenység	A termelékenység javult a képzés után.
profitable	nyereséges	A bolt idén nyereségessé vált.
profound	mély	A beszéd mély hatást gyakorolt.
projection	előrejelzés	Az előrejelzés egyenletes növekedést mutat.
prominent	kiemelkedő	Kiemelkedő tudós lett belőle.
pronounced	kifejezett	A kiejtése kifejezettebbé vált.
propaganda	propaganda	A kampány online propagandát használt.
proposition	javaslat	Az indítvány kockázatos javaslat.
prosecute	vádat emel	A tisztviselők súlyos csalási ügyekben emelnek vádat.
prosecution	vád	A vád új bizonyítékokat mutatott be.
prosecutor	ügyész	Az ügyész kihallgatta a tanút.
prospective	leendő	A leendő diákok bejárták a kampuszt.
prosperity	jólét	A kereskedelem jólétet hozott a régiónak.
protective	védő	Védőkesztyűt viselt.
protocol	protokoll	A protokoll írásbeli jóváhagyást igényel.
province	tartomány	A tartomány a közlekedésbe fektetett be.
provincial	tartományi	A tartományi tisztviselők bejelentették a tervet.
provision	rendelkezés	A szerződés tartalmaz egy biztonsági rendelkezést.
provoke	kivált	A beszéd heves reakciókat válthat ki.
psychiatric	pszichiátriai	A kórház megnyitott egy pszichiátriai osztályt.
pulse	pulzus	A nővér ellenőrizte a pulzusát.
pump	szivattyú	A szivattyú felfelé mozgatja a vizet.
punch	ütés	Dühében ütött egyet.
query	kérdés	Küldje el kérdését az ügyfélszolgálatnak.
quest	keresés	Az igazság keresése folytatódott.
quota	kvóta	A csapat teljesítette az értékesítési kvótáját.
radar	radar	A vihar megjelent a radaron.
radical	radikális	A csoport radikális reformokat javasolt.
rage	düh	A dühe gyorsan alábbhagyott.
raid	rajtaütés	A rendőrség hajnali rajtaütést hajtott végre.
rally	gyűlés	A támogatók csatlakoztak a belvárosi nagygyűléshez.
ranking	rangsor	Az egyetem javított a rangsorolásán.
rape	nemi erőszak	A nemi erőszak esetei alapos vizsgálatot igényelnek.
ratio	arány	Az osztályban alacsony a tanárok aránya.
rational	racionális	A döntése racionális volt.
ray	sugár	Egy napsugár szűrődött be.
readily	készségesen	Készségesen elfogadta az ajánlatot.
realization	felismerés	A felismerés megváltoztatta a terveit.
realm	terület	Ez a kérdés más területhez tartozik.
rear	hátsó	Ma a hátsó bejáratot használja.
reasoning	érvelés	Az érvelése világos volt.
reassure	megnyugtat	Az orvos megpróbálta megnyugtatni.
rebel	lázadó	A lázadók vezére elmenekült a fogság elől.
rebellion	lázadás	A lázadás a tárgyalások után véget ért.
recipient	címzett	A címzett aláírta az űrlapot.
reconstruction	újjáépítés	Az árvíz után megkezdődött az újjáépítés.
recount1	elbeszél	Világosan el tudja beszélni az eseményeket.
referendum	népszavazás	A népszavazás megosztotta az országot.
reflection	reflexió	A fogalmazás mélyebb reflexiót igényelt.
reform	reform	A reform javította a közszolgáltatásokat.
refuge	menedék	A család külföldön keresett menedéket.
refusal	visszautasítás	Visszautasítása meglepte a bizottságot.
regain	visszanyer	Keményen dolgozott, hogy visszanyerje a bizalmat.
regardless	függetlenül	A kritikától függetlenül folytatták.
regime	rezsim	A rezsim korlátozta a szólásszabadságot.
regulator	szabályozó	A szabályozó hatóság megbírságolta a céget.
regulatory	szabályozói	A szabályozói jóváhagyás hónapokig tartott.
rehabilitation	rehabilitáció	A rehabilitáció segített neki újra járni.
reign	uralkodás	A király uralkodása évtizedekig tartott.
rejection	elutasítás	Az elutasítás sértette az önbizalmát.
relevance	relevancia	Az adatok relevanciája korlátozott.
reliability	megbízhatóság	A megbízhatóság fontos a vészhelyzeti rendszerekben.
reluctant	vonakodó	Vonakodott beszélni.
remainder	maradék	A maradék jótékonysági célra ment.
remains	maradványok	A maradványokat gondosan megvizsgálták.
remedy	jogorvoslat	A törvény jogorvoslatot biztosít.
reminder	emlékeztető	Az e-mail hasznos emlékeztető volt.
removal	eltávolítás	Az akadályok eltávolítása segítette a kereskedelmet.
render	tesz	A hiba érvénytelenné tette a szerződést.
renew	megújít	Hamarosan újítsa meg az útlevelét.
renowned	híres	Híres a kutatásairól.
rental	bérlet	A bérlés tartalmazza a biztosítást.
replacement	csere	A cserealkatrész ma megérkezett.
reportedly	állítólag	A miniszter állítólag tegnap lemondott.
representation	képviselet	A tisztességes képviselet továbbra is fontos.
reproduce	szaporodik	Ezek a növények gyorsan szaporodnak.
reproduction	reprodukció	A digitális reprodukció javította a hozzáférést.
republic	köztársaság	A köztársaság választásokat tartott.
resemble	hasonlít	A két terv nagyon hasonlít egymásra.
reside	lakik	A határ közelében laknak.
residence	rezidencia	Hivatalos rezidenciáját őrzik.
residential	lakó	A terület nagyrészt lakóövezet.
residue	maradvány	A tisztítószer ragacsos maradványt hagyott.
resignation	lemondás	Lemondása megdöbbentette az igazgatóságot.
resistance	ellenállás	Az ellenállás erős volt a változásokkal szemben.
respective	saját	Visszatértek a saját irodájukba.
respectively	illetve	Az eredmények 80, illetve 90 voltak.
restoration	helyreállítás	Az épület helyreállítása évekig tartott.
restraint	önuralom	A rendőrség önuralmat tanúsított.
resume	folytatódik	A tanítás jövő héten folytatódik.
retreat	visszavonulás	A hadsereg megkezdte a visszavonulást.
retrieve	visszaszerez	Visszaszerezte a fájlt.
revelation	leleplezés	A leleplezés rontotta a hírnevét.
revenge	bosszú	Bosszút akart állni a sértésért.
reverse	megváltoztat	A bíróság megváltoztatta a döntést.
revival	fellendülés	A város gazdasági fellendülést élt meg.
revive	újjáéleszt	A fesztivál segített újjáéleszteni a helyi hagyományokat.
revolutionary	forradalmi	A találmány forradalmi volt.
rhetoric	retorika	Retorikája agresszívnak hangzott.
rifle	puska	A puskát biztonságosan tárolták.
riot	zavargás	A zavargás több órán át tartott.
rip	eltép	Óvatosan tépje el a papírt.
ritual	rituálé	A rituálé az aratást jelöli.
robust	robusztus	A rendszer robusztus.
rock	megráz	A robbanás megrázta a falut.
rod	rúd	A függöny egy rúdon lóg.
rotate	forgat	Lassan forgassa el a fogantyút.
rotation	vetésforgó	A vetésforgó védi a talajt.
ruling	határozat	A bíróság határozatot hozott.
rumour	pletyka	A pletyka gyorsan terjedt.
