simplified	ES	example_ES
哎	oye; vaya	Ey, ¿qué te trae por aquí?
唉	ay; suspirar	Ay, otra vez llegué tarde.
爱护	cuidar; proteger	Debemos cuidar el medio ambiente.
爱惜	valorar; apreciar	Por favor, valora tu propio tiempo.
爱心	el cariño; la compasión	Ella tiene mucho corazón.
安慰	consolar; reconfortar	Un amigo me consoló.
安装	instalar	El trabajador está instalando el aire acondicionado.
岸	la orilla; la costa	El barco se acerca lentamente a la orilla.
暗	oscuro; sombrío	La habitación está muy oscura.
熬夜	trasnochar	Trasnochar es malo para la salud.
把握	la seguridad; dominar	No estoy seguro de poder hacer bien este asunto.
摆	colocar; ordenar	Por favor, coloca las sillas ordenadamente.
办理	tramitar; gestionar	Voy al banco a hacer un trámite.
傍晚	al atardecer; al caer la tarde	Al atardecer iremos a caminar.
包裹	el paquete; envolver	Recibí un paquete.
包含	incluir; contener	El precio incluye el desayuno.
包括	incluir	El costo incluye el almuerzo.
薄	delgado; fino	Este libro es muy delgado.
保持	mantener; conservar	Por favor, mantén silencio.
保存	guardar; conservar	Por favor, guarda este archivo.
保留	reservar; conservar	Por favor, resérvame un asiento.
保险	el seguro; asegurar	Compré un seguro de viaje.
宝贝	el tesoro; cariño	Este es mi tesoro.
宝贵	valioso; precioso	El tiempo es muy valioso.
报到	registrarse; presentarse	Los estudiantes nuevos vienen hoy a registrarse en la escuela.
报道	informar; el reportaje	Las noticias informaron sobre este asunto.
报告	el informe; informar	Él está dando un informe.
报社	la redacción de un periódico; el periódico	Ella trabaja en un periódico.
抱怨	quejarse	Él siempre se queja de que hay demasiado trabajo.
悲观	pesimista	No seas tan pesimista.
背	la espalda; dar la espalda	Él está sentado de espaldas a la puerta.
背景	el contexto; los antecedentes	Por favor, presenta brevemente tus antecedentes.
被子	la colcha; el edredón	El edredón abriga mucho.
本科	la licenciatura; de grado	Él es estudiante de licenciatura.
本领	la habilidad; la capacidad	Aprendió una habilidad nueva.
本质	la esencia; la naturaleza	La esencia del problema es muy sencilla.
彼此	entre sí; mutuamente	Debemos respetarnos mutuamente.
比例	la proporción; la relación	La proporción de hombres y mujeres es casi igual.
必然	inevitable; necesariamente	El esfuerzo inevitablemente dará resultados.
必要	necesario	No hace falta preocuparse.
毕竟	al fin y al cabo; después de todo	Al fin y al cabo, todavía es un niño.
避免	evitar	Por favor, evita llegar tarde.
编辑	editar; el editor	Él se encarga de editar este artículo.
鞭炮	los petardos; los fuegos artificiales	Durante la Fiesta de la Primavera algunas personas lanzan petardos.
便	entonces; conveniente	Después de comer, fue a clase.
辩论	debatir; el debate	Ellos están debatiendo este tema.
标点	la puntuación; los signos de puntuación	Por favor, presta atención a la puntuación.
标志	la señal; el símbolo	La luz roja es una señal de detenerse.
表达	expresar	Él expresó su propia opinión.
表面	la superficie	La superficie de la mesa está muy limpia.
表明	mostrar; indicar	El resultado muestra que él tenía razón.
表情	la expresión facial	La expresión de ella es muy seria.
表现	el desempeño; comportarse	Hoy él tuvo un muy buen desempeño.
冰激凌	el helado	A los niños les gusta comer helado.
病毒	el virus	Este tipo de virus se propaga muy rápido.
播放	reproducir; emitir	Por favor, reproduce esta canción.
玻璃	el vidrio; el cristal	El vaso de vidrio se rompió.
博物馆	el museo	Iremos al museo este fin de semana.
脖子	el cuello	Me duele un poco el cuello.
不断	constante; sin cesar	Los precios siguen subiendo.
不见得	no necesariamente	Esto no necesariamente es algo malo.
不耐烦	impaciente; la impaciencia	Después de esperar mucho tiempo, se puso un poco impaciente.
不要紧	no importa; no es grave	Está bien, no pasa nada.
补充	añadir; complementar	Quisiera añadir un comentario.
不安	inquieto; intranquilo	Al oír esta noticia, ella se sintió inquieta.
不得了	muy grave; tremendo	Este asunto sí que es grave.
不然	si no; de lo contrario	Vámonos rápido, si no llegaremos tarde.
不如	ser mejor que; no ser tan bueno como	En vez de ir en vehículo, es mejor caminar.
不足	insuficiente; la falta	Aquí no hay suficiente agua.
布	la tela	Esta tela es muy suave.
步骤	el paso; el procedimiento	Por favor, hazlo siguiendo los pasos.
部门	el departamento	Trabajo en el departamento de ventas.
财产	la propiedad; los bienes	Esta casa es de su propiedad.
彩虹	el arcoíris	Después de la lluvia apareció un arcoíris.
踩	pisar	No pises el césped.
采访	entrevistar	El periodista está entrevistando al médico.
采取	adoptar; tomar	Adoptamos un método nuevo.
参考	consultar; la referencia	Por favor, consulta este libro.
参与	participar	Él participa activamente en las actividades.
惭愧	avergonzado; sentir vergüenza	Me siento avergonzado por mi propio error.
操场	el campo deportivo; el patio	Los estudiantes corren en el campo deportivo.
操心	preocuparse	No te preocupes por mí.
册	el tomo; el volumen	Compré un libro.
测验	la prueba; el examen corto	Mañana hay una pequeña prueba.
曾经	una vez; anteriormente	Una vez viví en Pekín.
叉子	el tenedor	Como ensalada con un tenedor.
差距	la brecha; la diferencia	Hay una brecha entre la ciudad y el campo.
插	insertar; poner	Por favor, pon las flores en el florero.
拆	desmontar; demoler	Los trabajadores están demoliendo la casa vieja.
产品	el producto	Este producto es de muy buena calidad.
产生	producir; surgir	Este problema produjo un nuevo efecto.
常识	el sentido común; los conocimientos básicos	Esto es sentido común básico.
长途	de larga distancia	Los viajes de larga distancia cansan mucho.
抄	copiar; plagiar	Por favor, no copies la tarea de otras personas.
超级	super; de gran escala	Esto es un supermercado.
朝	la dinastía	La dinastía Tang es muy famosa.
潮湿	húmedo	El verano en el sur es muy húmedo.
吵	ruidoso; hacer ruido	Afuera hay mucho ruido.
吵架	discutir; pelear	Ellos volvieron a discutir.
炒	saltear; freír	Mamá está salteando la comida.
车库	el garaje	El coche está estacionado en el garaje.
车厢	el vagón	Este vagón de tren está muy tranquilo.
彻底	completo; a fondo	Él lo entendió por completo.
沉默	el silencio; silencioso	Él permaneció en silencio todo el tiempo.
趁	aprovechar; mientras	Aprovechemos que todavía no oscurece y vámonos.
称	pesar; llamar	Por favor, pesa este paquete.
称呼	llamar; dirigirse a	No sé cómo dirigirme a él.
称赞	elogiar	El profesor elogió su progreso.
成分	el ingrediente; la composición	Los ingredientes de esta medicina son sencillos.
成果	el resultado; el logro	Este proyecto obtuvo resultados.
成就	el logro; el éxito	Él ha logrado mucho en su carrera.
成立	fundar; establecer	La empresa se fundó el año pasado.
成人	el adulto	Los boletos de adulto son más caros que los de niño.
成熟	maduro	Las manzanas ya están maduras.
成语	el modismo chino; la expresión fija	Este modismo chino se usa mucho.
成长	crecer; el crecimiento	El niño está creciendo poco a poco.
承担	asumir; encargarse de	Él está dispuesto a asumir la responsabilidad.
承认	admitir; reconocer	Él admitió que se había equivocado.
承受	soportar; aguantar	No puedo soportar tanta presión.
程度	el nivel; el grado	Su nivel de chino es muy alto.
程序	el procedimiento; el orden	Por favor, tramítalo según el procedimiento.
诚恳	sincero; honesto	Su actitud es muy sincera.
吃亏	salir perdiendo; sufrir una pérdida	Mira bien antes de comprar para no salir perdiendo.
持续	continuar; durar	La lluvia duró tres días.
池塘	el estanque	En el estanque hay muchos peces.
迟早	tarde o temprano	Tarde o temprano lo entenderás.
尺子	la regla	Por favor, mídelo con una regla.
翅膀	el ala	El ala del pájaro está herida.
充电器	el cargador	Mi cargador está roto.
充分	suficiente; pleno	Hicimos preparativos suficientes.
充满	estar lleno de	La habitación estaba llena de risas.
冲	enjuagar; aclarar	Por favor, enjuaga un poco el vaso con agua.
重复	repetir	Por favor, no repitas el mismo error.
宠物	la mascota	Ella tiene un perro como mascota.
抽屉	el cajón	La llave está en el cajón.
抽象	abstracto	Este concepto es demasiado abstracto.
丑	feo	Esta foto es un poco fea.
臭	maloliente; oler mal	La basura huele muy mal.
出版	publicar	Este libro se publicó el año pasado.
出口	la salida; exportar	La salida está adelante.
出色	excelente; destacado	Su desempeño es excelente.
出示	mostrar; presentar	Por favor, muestra tu pasaporte.
出席	asistir; estar presente	Él asistirá a la reunión.
初级	inicial; básico	Estudio chino en el grupo inicial.
除非	a menos que	A menos que llueva, mañana iremos a hacer senderismo.
除夕	la víspera de Año Nuevo	En la víspera de Año Nuevo toda nuestra familia come junta.
处理	manejar; resolver	Yo resolveré este problema.
传播	difundir; propagarse	Esta noticia se difundió muy rápido.
传染	contagiar; contagioso	Los resfriados se contagian fácilmente.
传说	la leyenda	Esta es una leyenda antigua.
传统	la tradición; tradicional	La Fiesta de la Primavera es una fiesta tradicional china.
窗帘	la cortina	Por favor, abre las cortinas.
闯	irrumpir; saltarse	Él se saltó el semáforo en rojo sin querer.
创造	crear	La gente creó herramientas nuevas.
吹	soplar	El viento sopla fuerte.
词汇	el vocabulario	Esta palabra se usa mucho.
辞职	renunciar; dimitir	Él decidió renunciar.
此外	además	Además, tengo otra pregunta.
刺激	emocionante; estimular	Este juego es muy emocionante.
次要	secundario	Este problema es secundario.
匆忙	apresurado; con prisa	Él salió de casa con prisa.
从此	desde entonces	Desde entonces, hace ejercicio todos los días.
从而	de este modo; así	Estudió mucho y así aprobó el examen.
从前	antes; antiguamente	Antes aquí no había metro.
从事	dedicarse a	Ella trabaja en educación.
粗糙	áspero; tosco	Esta hoja de papel es muy áspera.
促进	promover; fomentar	El ejercicio favorece la salud.
促使	impulsar; llevar a	Este asunto lo llevó a cambiar el plan.
醋	el vinagre	Le pusieron vinagre al plato.
催	apurar; insistir	Mamá me apuró para que saliera rápido.
存在	existir	Este problema todavía existe.
措施	la medida	La escuela tomó medidas de seguridad.
答应	aceptar; prometer	Él aceptó ayudarme.
达到	alcanzar; lograr	Sus notas alcanzaron el estándar.
打工	trabajar a tiempo parcial	En las vacaciones de verano trabaja a tiempo parcial en un restaurante.
打交道	tratar con; relacionarse con	A menudo trato con clientes.
打喷嚏	estornudar	Está resfriado y no deja de estornudar.
打听	preguntar; informarse	Quisiera preguntar por los boletos de tren.
大方	generoso	Es muy generosa al gastar dinero.
大厦	el edificio grande; la torre	Ese edificio es muy alto.
大象	el elefante	Los niños están viendo elefantes en el zoológico.
大型	de gran tamaño; a gran escala	Aquí se construirá un gran centro comercial.
呆	quedarse; atontado	Él se queda en casa leyendo.
代表	representar; el representante	Esta flor representa la amistad.
代替	sustituir; en lugar de	Hoy asistiré a la reunión en su lugar.
待遇	el trato; las prestaciones	Las prestaciones de esta empresa son buenas.
贷款	el préstamo	Solicitaron un préstamo hipotecario.
单纯	simple; puro	Su idea es muy simple.
单调	monótono	Este trabajo es un poco monótono.
单独	a solas; solo	Quiero hablar contigo a solas.
单位	la unidad; la institución	Él trabaja en una institución pública.
单元	la unidad	Hoy estudiamos la unidad tres.
担任	desempeñar; asumir	Ella es la responsable de este evento.
耽误	retrasar; hacer perder tiempo	No hagas perder el tiempo a todos.
胆小鬼	el cobarde	No lo llames cobarde.
淡	soso; ligero	Esta sopa está un poco sosa.
当地	local	La gente local aprecia mucho este mercado.
当心	tener cuidado	La carretera está resbaladiza, ten cuidado.
挡	bloquear; obstruir	Este coche está bloqueando la entrada.
倒霉	tener mala suerte	Hoy tuve muy mala suerte: perdí el teléfono.
导演	el director; dirigir	Este director es muy famoso.
导致	causar; provocar	La lluvia fuerte causó un atasco de tráfico.
岛屿	la isla	Este país tiene muchas islas.
到达	llegar	El tren llegó a Shanghái a tiempo.
道德	la moral; la ética	Una persona debe tener principios morales.
道理	la razón; el sentido	Lo que dijo tiene mucho sentido.
登记	registrarse	Por favor, regístrate primero en la recepción.
等待	esperar	Estamos esperando el resultado.
等于	equivaler; ser igual a	Cinco más cinco es igual a diez.
滴	la gota; gotear	Una gota de agua cayó sobre la mesa.
敌人	el enemigo	Ellos no son enemigos.
的确	en efecto; realmente	Este asunto es realmente muy importante.
地道	auténtico; genuino	Él habla un dialecto pekinés auténtico.
地理	la geografía	Me interesa mucho la geografía de China.
地区	la región; la zona	Esta región es muy fría en invierno.
地毯	la alfombra	Hay una alfombra en la sala.
地位	la posición; el estatus	La educación ocupa una posición importante en la sociedad.
地震	el terremoto	Anoche hubo un terremoto aquí.
递	entregar; pasar	Por favor, entrega esta carta al profesor.
点心	el tentempié; el bocadillo	Por la tarde comimos unos tentempiés.
电池	la batería; la pila	Este juguete necesita dos pilas.
电台	la emisora de radio	Él presenta un programa en una emisora de radio.
钓	pescar con caña	Al abuelo le gusta ir a pescar al río.
顶	parte superior; clasificador para sombreros	Él lleva un sombrero negro.
冻	congelarse; tener mucho frío	Afuera hace tanto frío que el agua se congeló.
动画片	los dibujos animados; la animación	Los niños están viendo dibujos animados.
洞	el agujero; la cueva	Hay un pequeño agujero en la pared.
豆腐	el tofu	Este plato de tofu está muy rico.
逗	bromear; hacer reír	Sus palabras hicieron reír a todos.
独立	independiente; la independencia	Ella quiere vivir de forma independiente.
独特	único; particular	Esta ciudad tiene una cultura única.
度过	pasar; atravesar	Pasamos las vacaciones junto al mar.
断	romperse; cortar	Esta cuerda se rompió.
堆	apilar; el montón	Hay muchos documentos apilados sobre la mesa.
兑换	cambiar; canjear	Quisiera cambiar algunos yuanes.
对比	comparar; el contraste	Por favor, compara estos dos planes.
对待	tratar	Deberíamos tratar a todos de manera justa.
对方	la otra parte; la otra persona	Por favor, escucha primero la opinión de la otra parte.
对手	el rival; el oponente	Su rival es muy fuerte.
对象	el objeto; el sujeto	Los sujetos de la investigación son estudiantes universitarios.
吨	la tonelada	Este camión puede cargar tres toneladas de mercancías.
蹲	agacharse; ponerse en cuclillas	Él está en cuclillas en el suelo buscando las llaves.
