source_headword	TL	example_TL
prey	biktima	Nanghuhuli ng biktima ang mga kuwago sa gabi.
privatization	pribatisasyon	Binago ng pribatisasyon ang sistema ng riles.
privilege	pribilehiyo	Hindi dapat maging pribilehiyo ang edukasyon.
probe	imbestigasyon	Ibinunyag ng imbestigasyon ang mga seryosong pagkakamali.
problematic	problematiko	Nananatiling problematiko ang kasunduan.
proceedings	paglilitis	Nagsimula ang paglilitis ng korte noong Lunes.
proceeds	kinita	Susuportahan ng kinita ang mga lokal na paaralan.
processing	pagpoproseso	Tumatagal ang pagpoproseso ng larawan.
processor	processor	Bumigay ang processor habang sinusuri.
proclaim	ipahayag	Ipinahayag ng mga pinuno ang tagumpay nang masyadong maaga.
productive	produktibo	Naging produktibo ang pagpupulong.
productivity	pagiging produktibo	Tumaas ang pagiging produktibo pagkatapos ng pagsasanay.
profitable	kumikita	Naging kumikita ang tindahan ngayong taon.
profound	matindi	Nagkaroon ng matinding epekto ang talumpati.
projection	pagtatantya	Ipinapakita ng pagtatantya ang tuluy-tuloy na paglago.
prominent	kilala	Naging kilalang siyentipiko siya.
pronounced	kapansin-pansin	Naging mas kapansin-pansin ang kanyang punto.
propaganda	propaganda	Gumamit ng propaganda online ang kampanya.
proposition	mungkahi	Isang mapanganib na proposisyon ang mungkahi.
prosecute	litisin	Lilitisin ng mga opisyal ang mga seryosong kaso ng panloloko.
prosecution	prosekusyon	Naglahad ng bagong ebidensya ang prosekusyon.
prosecutor	tagausig	Tinanong ng tagausig ang testigo.
prospective	potensyal	Umikot sa kampus ang mga potensyal na estudyante.
prosperity	kasaganaan	Nagdala ng kasaganaan sa rehiyon ang kalakalan.
protective	pamprotekta	Nagsuot siya ng pamprotektang guwantes.
protocol	protocol	Nangangailangan ang protocol ng nakasulat na pag-apruba.
province	probinsya	Namuhunan ang probinsya sa transportasyon.
provincial	probinsyal	Inihayag ng mga probinsyal na opisyal ang plano.
provision	probisyon	Kasama sa kontrata ang isang probisyon sa kaligtasan.
provoke	mang-udyok	Maaaring mang-udyok ng matinding reaksyon ang talumpati.
psychiatric	saykayatriko	Nagbukas ng saykayatrikong yunit ang ospital.
pulse	pulso	Sinuri ng nars ang kanyang pulso.
pump	bomba	Itinutulak pataas ng bomba ang tubig.
punch	suntok	Nagbitiw siya ng suntok sa galit.
query	katanungan	Ipadala ang iyong katanungan sa suporta.
quest	paghahanap	Nagpatuloy ang kanilang paghahanap sa hustisya.
quota	kota	Naabot ng koponan ang kanilang kota sa benta.
radar	radar	Lumitaw ang bagyo sa radar.
radical	radikal	Nagmungkahi ng radikal na reporma ang grupo.
rage	matinding galit	Mabilis na nawala ang kanyang matinding galit.
raid	pagsalakay	Nagsagawa ng pagsalakay sa madaling araw ang mga pulis.
rally	rali	Sumali ang mga tagasuporta sa rali sa bayan.
ranking	ranggo	Pinabuti ng unibersidad ang ranggo nito.
rape	panggagahasa	Nangangailangan ng maingat na imbestigasyon ang mga kaso ng panggagahasa.
ratio	proporsyon	May mababang proporsyon ng guro ang klase.
rational	makatwiran	Makatwiran ang desisyon niya.
ray	sinag	Pumasok ang isang sinag ng araw.
readily	agad-agad	Agad-agad niyang tinanggap ang alok.
realization	reyalisasyon	Binago ng reyalisasyon ang kanyang mga plano.
realm	larangan	Nabibilang sa ibang larangan ang tanong na ito.
rear	likuran	Gamitin ang pasukan sa likuran ngayon.
reasoning	pangangatwiran	Malinaw ang kanyang pangangatwiran.
reassure	palubagin ang loob	Sinubukan ng doktor na palubagin ang loob niya.
rebel	rebelde	Nakatakas sa pagka-aresto ang pinuno ng mga rebelde.
rebellion	rebelyon	Nagtapos ang rebelyon pagkatapos ng mga negosasyon.
recipient	tatanggap	Pinirmahan ng tatanggap ang form.
