simplified	TA	example_TA
爱	நேசித்தல்; விரும்புதல்	நான் என் அம்மாவை நேசிக்கிறேன்.
八	எட்டு	என்னிடம் எட்டு புத்தகங்கள் உள்ளன.
爸爸	அப்பா; தந்தை	அப்பா வீட்டில் இருக்கிறார்.
杯子	கோப்பை; குவளை	இந்த கோப்பை பெரியது.
北京	பெய்ஜிங்	நான் பெய்ஜிங்கில் வேலை செய்கிறேன்.
本	புத்தகங்களுக்கான அளவுச்சொல்; தொகுதி	என்னிடம் ஒரு புத்தகம் உள்ளது.
不	இல்லை; அல்ல	நான் சாதம் சாப்பிட மாட்டேன்.
不客气	பரவாயில்லை; நன்றி சொல்லத் தேவையில்லை	நன்றி. பரவாயில்லை.
菜	உணவு வகை; காய்கறி; உணவு	இந்த உணவு ருசியாக இருக்கிறது.
茶	தேநீர்	நான் தேநீர் குடிக்கிறேன்.
吃	சாப்பிடுதல்	நான் ஒரு ஆப்பிள் சாப்பிடுகிறேன்.
出租车	டாக்ஸி	நான் டாக்ஸியில் பள்ளிக்குச் செல்கிறேன்.
打电话	தொலைபேசியில் அழைத்தல்	நான் தொலைபேசியில் அழைக்கிறேன்.
大	பெரிய; மிகுந்த	இந்தப் பள்ளி பெரியது.
的	உடைய; இன்; உடைமைத் துகள்	இது என் புத்தகம்.
点	மணி; புள்ளி; சிறிது	இப்போது எட்டு மணி.
电脑	கணினி	என் கணினி மேசையின் மேல் இருக்கிறது.
电视	தொலைக்காட்சி	நான் தொலைக்காட்சி பார்க்கிறேன்.
电影	திரைப்படம்	எனக்கு திரைப்படங்கள் பிடிக்கும்.
东西	பொருள்; சாமான்	இது என்ன பொருள்?
都	எல்லோரும்; எல்லாம்; இரண்டும்	நாங்கள் எல்லோரும் மாணவர்கள்.
读	படித்தல்; வாசித்தல்	நான் புத்தகம் படிக்கிறேன்.
对不起	மன்னிக்கவும்; மன்னிப்பு	மன்னிக்கவும், எனக்கு உங்களைத் தெரியாது.
多	நிறைய; அதிகம்	எனக்கு நிறைய நண்பர்கள் இருக்கிறார்கள்.
多少	எவ்வளவு; எத்தனை	இந்த கோப்பையின் விலை எவ்வளவு?
儿子	மகன்	என் மகன் ஒரு மாணவன்.
二	இரண்டு	பிப்ரவரியில் குளிராக இருக்கும்.
饭馆	உணவகம்	உணவகம் பள்ளியின் முன்னால் இருக்கிறது.
飞机	விமானம்	நான் விமானத்தில் பெய்ஜிங்குக்குச் செல்கிறேன்.
分钟	நிமிடம்	நான் ஐந்து நிமிடங்கள் படிக்கிறேன்.
高兴	மகிழ்ச்சி; சந்தோஷம்	இன்று நான் மிகவும் மகிழ்ச்சியாக இருக்கிறேன்.
个	பொது அளவுச்சொல்	எனக்கு ஒரு நண்பர் இருக்கிறார்.
工作	வேலை செய்தல்; வேலை	நான் பெய்ஜிங்கில் வேலை செய்கிறேன்.
狗	நாய்	எனக்கு நாய்கள் பிடிக்கும்.
汉语	சீன மொழி	நான் சீன மொழி கற்கிறேன்.
好	நல்ல; சரி	இன்று வானிலை நன்றாக இருக்கிறது.
喝	குடித்தல்	நான் தண்ணீர் குடிக்கிறேன்.
和	மற்றும்; உடன்	நான் ஒரு நண்பருடன் பள்ளிக்குச் செல்கிறேன்.
很	மிகவும்	அவள் மிகவும் அழகாக இருக்கிறாள்.
后面	பின்னால்	பள்ளி உணவகத்தின் பின்னால் இருக்கிறது.
回	திரும்புதல்; திரும்பிச் செல்லுதல்	நான் வீட்டிற்குத் திரும்பிச் செல்கிறேன்.
会	முடியும்; தெரியும்	எனக்கு சீன மொழி பேச முடியும்.
火车站	ரயில் நிலையம்	ரயில் நிலையம் பெரியது.
几	எத்தனை; சில	உனக்கு எத்தனை நண்பர்கள் இருக்கிறார்கள்?
家	வீடு; குடும்பம்	என் வீடு பெய்ஜிங்கில் இருக்கிறது.
叫	என்று அழைக்கப்படுதல்; அழைத்தல்	உன் பெயர் என்ன?
今天	இன்று	இன்று வெப்பமாக இருக்கிறது.
九	ஒன்பது	இப்போது ஒன்பது மணி.
开	திறத்தல்; இயக்குதல்	நான் கணினியை இயக்குகிறேன்.
看	பார்த்தல்; படித்தல்	நான் புத்தகம் படிக்கிறேன்.
看见	பார்த்தல்; காணுதல்	நான் ஆசிரியரைப் பார்க்கிறேன்.
块	துண்டு; யுவான்	இந்தப் புத்தகம் பத்து யுவான்.
来	வருதல்	அவர் பள்ளிக்கு வருகிறார்.
老师	ஆசிரியர்; ஆசிரியை	ஆசிரியர் பள்ளியில் இருக்கிறார்.
了	நிறைவு குறிக்கும் துகள்	நான் சாதம் சாப்பிட்டேன்.
冷	குளிர்; குளிரான	இன்று குளிராக இருக்கிறது.
里	உள்ளே; இல்	கோப்பையில் தண்ணீர் இருக்கிறது.
零	பூஜ்யம்	பூஜ்யம் ஒன்று அல்ல.
六	ஆறு	இப்போது ஆறு மணி.
妈妈	அம்மா; தாய்	அம்மா தேநீர் குடிக்கிறார்.
吗	ஆம்-இல்லை கேள்வித் துகள்	நீ மாணவரா?
买	வாங்குதல்	நான் ஆப்பிள்கள் வாங்குகிறேன்.
猫	பூனை	பூனை நாற்காலியின் மேல் இருக்கிறது.
没	இல்லை; செய்யவில்லை	என்னிடம் பணம் இல்லை.
没关系	பரவாயில்லை; பிரச்சினை இல்லை	பரவாயில்லை.
米饭	சாதம்; சோறு	நான் சாதம் சாப்பிடுகிறேன்.
名字	பெயர்	உன் பெயர் என்ன?
明天	நாளை	நாளை நான் பெய்ஜிங்குக்குச் செல்கிறேன்.
哪	எது; எங்கே	நீ எங்கே செல்கிறாய்?
那	அது; அவை; அந்த	அவர்தான் என் ஆசிரியர்.
呢	கேள்வித் துகள்; அப்படியென்றால்	அப்படியென்றால் நீ?
能	முடிதல்	நான் செல்லலாமா?
你	நீ; நீங்கள்	நீ எப்படி இருக்கிறாய்?
年	ஆண்டு; வருடம்	ஒரு ஆண்டில் பன்னிரண்டு மாதங்கள் உள்ளன.
女儿	மகள்	அவளுடைய மகள் மிகவும் அழகாக இருக்கிறாள்.
朋友	நண்பர்; தோழி	அவர் என் நண்பர்.
漂亮	அழகான	அவள் மிகவும் அழகாக இருக்கிறாள்.
苹果	ஆப்பிள்	எனக்கு ஆப்பிள்கள் பிடிக்கும்.
七	ஏழு	இப்போது ஏழு மணி.
前面	முன்னால்	உணவகம் கடையின் முன்னால் இருக்கிறது.
钱	பணம்	என்னிடம் பணம் இல்லை.
请	தயவு செய்து; அழைத்தல்; கேட்குதல்	தயவு செய்து தேநீர் குடியுங்கள்.
去	செல்லுதல்; போகுதல்	நான் பள்ளிக்குச் செல்கிறேன்.
热	வெப்பமான; சூடான	இன்று சூடாக இருக்கிறது.
人	மனிதர்; மக்கள்	பள்ளியில் நிறைய பேர் இருக்கிறார்கள்.
认识	அறிதல்; தெரிந்திருத்தல்	எனக்கு அவரைத் தெரியும்.
日	நாள்; தேதி	இன்று மார்ச் முதல் தேதி.
三	மூன்று	என்னிடம் மூன்று கோப்பைகள் உள்ளன.
商店	கடை	கடை பள்ளியின் முன்னால் இருக்கிறது.
上	மேல்; மீது	புத்தகம் மேசையின் மேல் இருக்கிறது.
上午	காலை; முற்பகல்	காலையில் நான் சீன மொழி கற்கிறேன்.
少	குறைவு; கொஞ்சம்	மாணவர்கள் குறைவாக இருக்கிறார்கள்.
什么	என்ன	இது என்ன?
十	பத்து	என்னிடம் பத்து புத்தகங்கள் உள்ளன.
时候	நேரம்; போது	நீ எப்போது வருகிறாய்?
是	ஆகும்; என்பது	நான் ஒரு மாணவர்.
书	புத்தகம்	நான் புத்தகம் படிக்கிறேன்.
谁	யார்	அவர் யார்?
水	தண்ணீர்; நீர்	நான் தண்ணீர் குடிக்கிறேன்.
水果	பழம்; பழங்கள்	நான் பழங்கள் வாங்குகிறேன்.
睡觉	தூங்குதல்	நான் தூங்கப் போகிறேன்.
说话	பேசுதல்	ஆசிரியர் பேசிக்கொண்டிருக்கிறார்.
四	நான்கு	எனக்கு நான்கு நண்பர்கள் இருக்கிறார்கள்.
岁	வயது	எனக்கு பத்து வயது.
他	அவன்; அவர்	அவர் ஒரு ஆசிரியர்.
她	அவள்; அவர்	அவள் ஒரு மாணவி.
太	மிகவும்; அளவுக்கு மீறி	இந்த கோப்பை தேவைக்கு அதிகமாகப் பெரியது.
天气	வானிலை	இன்று வானிலை நன்றாக இருக்கிறது.
听	கேட்குதல்; செவிமடுத்தல்	ஆசிரியர் பேசுவதை நான் கேட்கிறேன்.
同学	வகுப்பு நண்பர்; பள்ளித் தோழர்	அவர் என் வகுப்பு நண்பர்.
喂	ஹலோ	ஹலோ?
我	நான்; என்னை; என்	நான் ஒரு மருத்துவர்.
我们	நாம்; நாங்கள்	நாங்கள் பள்ளிக்குச் செல்கிறோம்.
五	ஐந்து	என்னிடம் ஐந்து ஆப்பிள்கள் உள்ளன.
喜欢	விரும்புதல்; பிடித்தல்	எனக்கு தேநீர் குடிக்கப் பிடிக்கும்.
下	கீழ்; அடுத்த	புத்தகம் மேசையின் கீழ் இருக்கிறது.
下午	பிற்பகல்	பிற்பகலில் நான் கடைக்குச் செல்கிறேன்.
下雨	மழை பெய்தல்	இன்று மழை பெய்கிறது.
先生	ஐயா; திரு.; கணவர்	வணக்கம், ஐயா.
现在	இப்போது	இப்போது நான் பள்ளியில் இருக்கிறேன்.
想	விரும்புதல்; நினைத்தல்	எனக்கு தண்ணீர் குடிக்க வேண்டும்.
小	சிறிய; சின்ன	இந்த கோப்பை சிறியது.
小姐	செல்வி; இளம்பெண்	வணக்கம், செல்வி.
些	சில; கொஞ்சம்	என்னிடம் சில புத்தகங்கள் உள்ளன.
写	எழுதுதல்	நான் எழுத்துகளை எழுதுகிறேன்.
谢谢	நன்றி	நன்றி.
星期	வாரம்; வார நாள்	இன்று திங்கள்கிழமை.
学生	மாணவர்; மாணவி	நான் ஒரு மாணவர்.
学习	படித்தல்; கற்றல்	நான் சீன மொழி கற்கிறேன்.
学校	பள்ளி	பள்ளி பெரியது.
一	ஒன்று; ஒரு	என்னிடம் ஒரு கோப்பை உள்ளது.
衣服	உடைகள்	நான் உடைகள் வாங்குகிறேன்.
医生	மருத்துவர்	அவள் ஒரு மருத்துவர்.
医院	மருத்துவமனை	மருத்துவமனை பள்ளியின் முன்னால் இருக்கிறது.
椅子	நாற்காலி	நாற்காலி மேசையின் பின்னால் இருக்கிறது.
有	இருத்தல்; வைத்திருத்தல்	எனக்கு நண்பர்கள் இருக்கிறார்கள்.
月	மாதம்; நிலா	இன்று மே நான்காம் தேதி.
再见	பிரியாவிடை; மீண்டும் சந்திப்போம்	போய் வருகிறேன், ஆசிரியரே.
在	இல்; இருக்கிறது	நான் வீட்டில் இருக்கிறேன்.
怎么	எப்படி	இந்த எழுத்தை எப்படி படிப்பது?
怎么样	எப்படி; எப்படி இருக்கிறது	இன்று நீ எப்படி இருக்கிறாய்?
这	இது; இவை; இந்த	இது என் புத்தகம்.
中国	சீனா	நான் சீனாவுக்குச் செல்கிறேன்.
中午	நண்பகல்	நண்பகலில் நான் சாதம் சாப்பிடுகிறேன்.
住	வாழ்தல்; தங்குதல்	நான் பெய்ஜிங்கில் வசிக்கிறேன்.
桌子	மேசை	புத்தகம் மேசையின் மேல் இருக்கிறது.
字	எழுத்து; குறி	இந்த எழுத்து சிறியது.
昨天	நேற்று	நேற்று நான் ஒரு திரைப்படம் பார்த்தேன்.
坐	உட்காருதல்; வாகனத்தில் செல்லுதல்	நான் விமானத்தில் பெய்ஜிங்குக்குச் செல்கிறேன்.
做	செய்தல்; தயாரித்தல்	நான் சமைக்கிறேன்.
