source_headword	NL	example_NL
absolutely	absoluut	Ik ben het absoluut met je eens.
academic	academisch	Het academische jaar begint in september.
access	de toegang	Studenten hebben toegang tot de bibliotheek nodig.
accommodation	de accommodatie	We boekten accommodatie bij het station.
account	de rekening	Zij opende een nieuwe bankrekening.
achievement	de prestatie	De cursus afronden was een grote prestatie.
ad	de advertentie	De advertentie toonde een nieuwe telefoon.
addition	de toevoeging	Het zwembad is een nuttige toevoeging.
admire	bewonderen	Ik bewonder haar rustige houding.
admit	toegeven	Hij gaf zijn fout toe.
advanced	gevorderd	Dit is een gevorderde Engelse les.
advise	adviseren	Artsen adviseren regelmatige beweging.
afford	zich veroorloven	We kunnen ons geen taxi veroorloven.
aged	van jaar	De cursus is voor kinderen van tien jaar.
agent	de reisagent	De reisagent veranderde onze tickets.
agreement	de overeenkomst	Zij bereikten vandaag een overeenkomst.
ahead	vooruit	De weg vooruit is vrij.
aim	streven	We streven ernaar snel klaar te zijn.
alarm	het alarm	Het alarm ging om zes uur af.
album	het album	Dit album heeft tien liedjes.
alcohol	de alcohol	Het hotel serveert geen alcohol.
alcoholic	alcoholisch	Dit drankje is niet alcoholisch.
amazed	verbaasd	Zij was verbaasd over het resultaat.
ambition	de ambitie	Zijn ambitie is piloot worden.
ambitious	ambitieus	Zij heeft een ambitieus plan.
analyse	analyseren	We moeten de resultaten analyseren.
analysis	de analyse	Haar analyse was duidelijk en zorgvuldig.
announce	aankondigen	Zij kondigen morgen de winnaar aan.
announcement	de aankondiging	De aankondiging verraste iedereen.
annoy	irriteren	Harde muziek kan buren irriteren.
annoyed	geirriteerd	Hij keek geirriteerd na de vertraging.
annoying	vervelend	Dat geluid is echt vervelend.
apart	uit elkaar	De huizen staan twee meter uit elkaar.
apologize	zich verontschuldigen	Ik verontschuldig me dat ik laat ben.
application	de aanvraag	Vul de aanvraag online in.
appointment	de afspraak	Ik heb morgen een tandartsafspraak.
appreciate	waarderen	Ik waardeer je hulp.
approximately	ongeveer	De wandeling duurt ongeveer twintig minuten.
arrest	arresteren	De politie arresteerde de bestuurder.
arrival	de aankomst	Onze aankomst was later dan verwacht.
assignment	de opdracht	De opdracht moet vrijdag klaar zijn.
assist	assisteren	Verpleegkundigen assisteren de arts.
atmosphere	de sfeer	Het cafe heeft een ontspannen sfeer.
attach	bijvoegen	Voeg het bestand bij je e-mail.
attitude	de houding	Haar houding veranderde na de vergadering.
attract	aantrekken	Felle bloemen trekken bijen aan.
attraction	de attractie	Het kasteel is een populaire attractie.
authority	de overheid	De lokale overheid repareerde de weg.
aware	zich bewust	Zij is zich bewust van het risico.
backwards	achteruit	Hij liep voorzichtig achteruit.
bake	bakken	Ik bak elke zondag brood.
balance	het evenwicht	Goede schoenen helpen je evenwicht.
ban	verbieden	De stad zal auto's verbieden.
bank (river)	de oever	We zaten aan de oever van de rivier.
base	de basis	Het team keerde terug naar de basis.
basic	basis	Iedereen heeft basiscomputervaardigheden nodig.
basis	de basis	Vertrouwen is de basis van vriendschap.
battery	de batterij	De batterij van mijn telefoon is bijna leeg.
battle	de strijd	De strijd duurde de hele nacht.
