source_headword	HI	example_HI
strengthen	मजबूत करना	नई नीति ऑनलाइन सुरक्षा को मजबूत करेगी।
strictly	सख्ती से	टिकट प्रति व्यक्ति सख्ती से दो तक सीमित हैं।
striking	आकर्षक	पेंटिंग में आकर्षक रंग हैं।
stroke	रेखा	उसने कागज पर एक रेखा खींची।
stunning	शानदार	पहाड़ का दृश्य शानदार था।
subsequent	बाद का	बाद की बैठक ने बजट की पुष्टि की।
subsequently	बाद में	सड़क बंद हो गई; बाद में, यातायात धीमी गति से चला।
suburb	उपनगर	वे एक शांत उपनगर में रहते हैं।
suffering	पीड़ा	दवा ने उसकी पीड़ा को कम कर दिया।
sufficient	पर्याप्त	टीम के पास पर्याप्त समय है।
sufficiently	पर्याप्त रूप से	कमरा पर्याप्त रूप से गर्म है।
super	सुपर	नया टैबलेट सुपर फास्ट है।
surgeon	सर्जन	सर्जन ने क्षतिग्रस्त घुटने की मरम्मत की।
survival	उत्तरजीविता	साफ पानी उत्तरजीविता के लिए आवश्यक है।
survivor	जीवित बचा व्यक्ति	जीवित बचे व्यक्ति ने बाढ़ का वर्णन किया।
suspend	निलंबित करना	स्कूल यात्रा को निलंबित कर सकता है।
sustainable	टिकाऊ	खेत टिकाऊ तरीकों का उपयोग करता है।
swallow	निगलना	गोली को पानी के साथ निगल लें।
sympathetic	सहानुभूतिपूर्ण	प्रबंधक उसकी समस्या के प्रति सहानुभूतिपूर्ण था।
tackle	निपटना	हमें आवास की समस्या से निपटने की जरूरत है।
tag	टैग	बैग पर एक प्राइस टैग था।
tap	नल	उसने नल बंद कर दिया।
technological	तकनीकी	तकनीकी परिवर्तन हर कार्यस्थल को प्रभावित करता है।
teens	किशोर	कई किशोर प्रतिदिन सोशल मीडिया का उपयोग करते हैं।
temple	मंदिर	मंदिर नदी के पास खड़ा था।
temporarily	अस्थायी रूप से	कार्यालय अस्थायी रूप से बंद है।
tendency	प्रवृत्ति	उसके देर से आने की प्रवृत्ति है।
tension	तनाव	चर्चा के दौरान तनाव बढ़ गया।
