source_headword	PT-BR	example_PT-BR
absorb	absorver	A toalha absorve a água rapidamente.
abstract	abstrato	A palestra discutiu ideias abstratas.
accent	o sotaque	O sotaque dela é fácil de entender.
accidentally	acidentalmente	Eu apaguei o arquivo acidentalmente.
accommodate	acomodar	O hotel pode acomodar famílias grandes.
accomplish	realizar	Ela alcançou seu objetivo antes de junho.
accountant	o contador	O contador verificou a fatura.
accuracy	a precisão	O teste mede a precisão da leitura.
accurately	com precisão	O mapa mostra a rota com precisão.
acid	o ácido	O ácido danificou a superfície de metal.
activate	ativar	Pressione o botão para ativar o alarme.
addiction	o vício	Seu vício afetou seu trabalho.
additionally	adicionalmente	Além disso, precisamos de mais cadeiras.
adequate	adequado	O quarto tem luz adequada.
adequately	adequadamente	O relatório explicou o problema adequadamente.
adjust	ajustar	Ajuste o banco antes de dirigir.
affordable	acessível	O apartamento é acessível para estudantes.
agriculture	a agricultura	A agricultura sustenta muitas famílias rurais.
AIDS	a AIDS	Os médicos tratam a AIDS com medicina moderna.
alien	o alienígena	O filme mostra um planeta extraterrestre.
alongside	ao lado de	A ciclovia corre ao lado do rio.
altogether	totalmente	Ao todo, o projeto durou seis semanas.
ambulance	a ambulância	A ambulância chegou em poucos minutos.
amusing	divertido	A história era divertida e leve.
analyst	o analista	O analista revisou os dados de vendas.
ancestor	o ancestral	Meu antepassado viveu perto desta aldeia.
animation	a animação	A animação tornou a lição mais clara.
annually	anualmente	O festival é realizado anualmente.
anticipate	antecipar	Prevemos trânsito intenso amanhã.
anxiety	a ansiedade	A ansiedade pode dificultar o sono.
apology	o pedido de desculpas	Ela ofereceu um pedido de desculpas sincero.
applicant	o candidato	O candidato enviou um novo currículo.
appropriately	apropriadamente	Por favor, vista-se adequadamente para a entrevista.
arrow	a flecha	A seta aponta para a saída.
artwork	a obra de arte	O museu exibiu obras de arte locais.
aside	à parte	Ela deu um passo para o lado para deixá-lo passar.
asset	o ativo	A experiência é um ativo valioso.
assign	atribuir	O professor passou dever de casa hoje.
assistance	a assistência	Por favor, peça ajuda aos funcionários.
assumption	a suposição	Essa suposição pode estar errada.
assure	assegurar	Eu garanto que a porta está trancada.
astonishing	surpreendente	A vista do penhasco era surpreendente.
attachment	o anexo	O e-mail inclui um anexo.
auction	o leilão	A pintura foi vendida em um leilão.
audio	de áudio	A gravação de áudio soa clara.
automatic	automático	A porta tem uma fechadura automática.
automatically	automaticamente	As luzes acendem automaticamente.
awareness	a conscientização	A campanha aumentou a conscientização do público.
awkward	constrangedor	O silêncio pareceu constrangedor.
badge	o crachá	Os visitantes devem usar um crachá.
balanced	equilibrado	Uma dieta equilibrada inclui vegetais.
ballet	o balé	Ela estuda balé depois da escola.
balloon	o balão	O balão flutuou sobre a mesa.
barely	mal	Ele quase não ouviu o anúncio.
bargain	a pechincha	Aquela jaqueta foi uma verdadeira pechincha.
basement	o porão	As caixas estão no porão.
basket	a cesta	Ela colocou as maçãs na cesta.
bat	o taco	O morcego voou para fora da caverna.
beneficial	benéfico	O exercício regular é benéfico para a saúde.
beside	ao lado de	A lâmpada fica ao lado do sofá.
besides	além disso	Além de matemática, ele estuda química.
bias	o viés	O artigo mostrou um viés claro.
bid	a oferta	A empresa fez uma oferta mais alta.
biological	biológico	O teste biológico confirmou o resultado.
blanket	o cobertor	A criança dormiu sob um cobertor.
blow	o golpe	O forte golpe quebrou a janela.
bold	ousado	A manchete usava letras em negrito.
bombing	o bombardeio	O bombardeio danificou vários edifícios.
booking	a reserva	Eu confirmei a reserva do hotel.
boost	o impulso	A vitória impulsionou a confiança do time.
bound	obrigatório	O pacote estava amarrado com barbante.
brick	o tijolo	A parede é feita de tijolo.
briefly	brevemente	Ela falou brevemente após o almoço.
broadcaster	o locutor	O locutor entrevistou o prefeito.
broadly	amplamente	Os dois planos são amplamente semelhantes.
bug	o inseto	O aplicativo travou por causa de um bug.
cabin	a cabine	Ficamos em uma pequena cabana.
canal	o canal	Os barcos se moviam lentamente pelo canal.
candle	a vela	A vela queimou na mesa.
carbon	o carbono	As árvores absorvem carbono do ar.
casual	casual	Ele vestiu roupas casuais para o trabalho.
cave	a caverna	Os caminhantes entraram na caverna.
certainty	a certeza	Não podemos saber com certeza.
certificate	o certificado	Ela recebeu um certificado de treinamento.
challenging	desafiador	O curso foi desafiador, mas útil.
championship	o campeonato	Nosso time chegou à final do campeonato.
charming	encantador	A velha rua parecia encantadora.
chase	a perseguição	O cachorro perseguiu a bola.
cheek	a bochecha	Uma lágrima escorreu por sua bochecha.
cheer	a comemoração	A multidão começou a aplaudir alto.
choir	o coral	O coral cantou lindamente.
chop	cortar	Pique as cebolas em pedaços pequenos.
circuit	o circuito	O corredor completou o circuito.
civilization	a civilização	A civilização antiga moldou esta região.
clarify	esclarecer	Por favor, esclareça o último ponto.
classify	classificar	Os cientistas classificam os animais por espécies.
clerk	o balconista	O atendente imprimiu o recibo.
cliff	o penhasco	O caminho termina perto de um penhasco.
clinic	a clínica	A clínica abre às oito.
clip	o clipe	Ela prendeu o clipe no papel.
coincidence	a coincidência	Encontrá-lo lá foi uma coincidência.
collector	o colecionador	O colecionador comprou moedas raras.
colony	a colônia	As formigas construíram uma grande colônia.
colourful	colorido	O mercado era brilhante e colorido.
comic	cômico	A cena cômica nos fez rir.
commander	o comandante	O comandante deu ordens claras.
comparative	comparativo	O ensaio usa dados comparativos.
completion	a conclusão	A ponte está quase concluída.
compose	compor	Ele vai compor a música para o filme.
composer	o compositor	O compositor escreveu uma nova música.
compound	o composto	O composto contém dois produtos químicos.
comprehensive	abrangente	O guia dá instruções abrangentes.
comprise	compreender	A equipe é composta por cinco membros.
compulsory	obrigatório	A presença é obrigatória para esta aula.
concrete	concreto	O chão é feito de concreto.
confess	confessar	Ele confessou o erro ao professor.
confusion	a confusão	O atraso causou confusão.
consequently	consequentemente	Choveu; consequentemente, a partida parou.
conservation	a conservação	A conservação protege animais raros.
considerable	considerável	O conserto levou um tempo considerável.
considerably	consideravelmente	Os preços subiram consideravelmente este ano.
consistently	consistentemente	Ela atua consistentemente bem.
conspiracy	a conspiração	A polícia investigou a conspiração.
consult	consultar	Consulte seu médico antes de tomar remédio.
consultant	o consultor	O consultor sugeriu uma nova estratégia.
consumption	o consumo	O consumo de energia caiu no mês passado.
controversial	controverso	A política continua controversa.
controversy	a controvérsia	A decisão causou controvérsia.
convenience	a conveniência	A loja oferece grande conveniência.
convention	a convenção	A convenção anual começa segunda-feira.
conventional	convencional	Ele escolheu um design convencional.
convey	transmitir	A mensagem transmitiu compaixão.
convincing	convincente	A explicação dela foi convincente.
cope	lidar	Ela aprendeu a lidar com o estresse.
corporation	a corporação	A corporação abriu um novo escritório.
corridor	o corredor	O corredor era estreito e silencioso.
counter (long flat surface)	o balcão	As chaves estão no balcão da cozinha.
coverage	a cobertura	A cobertura de notícias durou a noite toda.
crack	rachar	Uma rachadura apareceu na parede.
craft	o ofício	Ela vende artesanato feito à mão online.
creativity	a criatividade	A criatividade ajuda a resolver problemas.
critically	criticamente	O artigo era criticamente importante.
cruise	o cruzeiro	Eles reservaram um cruzeiro para a Grécia.
cue	a deixa	O ator perdeu sua deixa.
curious	curioso	A criança estava curiosa sobre o espaço.
curriculum	o currículo	A escola atualizou seu currículo.
cute	fofo	O cachorrinho parecia fofo.
dairy	o laticínio	A fazenda produz laticínios.
dare	ousar	Eu te desafio a tentar.
darkness	a escuridão	A sala se encheu de escuridão.
database	o banco de dados	O banco de dados armazena os registros dos clientes.
deadline	o prazo	O prazo é sexta-feira.
deadly	mortal	A cobra tem um veneno mortal.
dealer	o revendedor	O vendedor de carros ofereceu um desconto.
deck	o convés	As cadeiras estão no deque.
defender	o defensor	O zagueiro bloqueou o chute.
delete	deletar	Exclua a mensagem antiga.
democracy	a democracia	A democracia depende de eleições livres.
democratic	democrático	A votação seguiu regras democráticas.
demonstration	a demonstração	Os alunos se juntaram a uma manifestação.
depart	partir	O trem partirá ao meio-dia.
dependent	dependente	A criança é dependente de adultos.
deposit	o depósito	Ela pagou um depósito pelo apartamento.
depression	a depressão	A depressão exige apoio profissional.
derive	derivar	Muitas palavras derivam do latim.
desperately	desesperadamente	Ele precisava desesperadamente de água.
destruction	a destruição	A tempestade causou destruição generalizada.
determination	a determinação	A determinação dela impressionou o treinador.
devote	dedicar	Ela dedica os fins de semana aos estudos.
differ	diferir	As opiniões deles diferem drasticamente.
disability	a deficiência	O prédio tem acesso para pessoas com deficiência.
disabled	desativado	O atleta com deficiência ganhou uma medalha.
disagreement	a discordância	A reunião terminou em desacordo.
disappoint	decepcionar	O resultado pode decepcionar os fãs.
disappointment	a decepção	Ele sentiu uma profunda decepção.
discourage	desencorajar	Não desencoraje os jovens alunos.
disorder	o distúrbio	O médico diagnosticou um distúrbio do sono.
distant	distante	As montanhas pareciam distantes.
distinct	distinto	Os dois sons são distintos.
distinguish	distinguir	Você consegue distinguir essas cores?
distract	distrair	O barulho pode distrair os alunos.
disturb	perturbar	Por favor, não perturbe o paciente.
dive	o mergulho	Eles vão mergulhar perto do recife.
diverse	diverso	A cidade tem culturas diversas.
diversity	a diversidade	Nós celebramos a diversidade cultural.
divorce	o divórcio	O divórcio foi difícil para todos.
dominant	dominante	O time dominante controlou o jogo.
donation	a doação	A instituição de caridade recebeu uma doação.
dot	o ponto	Coloque um ponto depois do número.
downtown	o centro da cidade	Nós nos encontramos no centro da cidade depois do trabalho.
dramatically	drasticamente	O preço caiu drasticamente.
drought	a seca	A seca danificou as plantações.
dull	monótono	A palestra foi monótona.
dump	descartar	Não despeje lixo aqui.
duration	a duração	A duração do voo é de três horas.
dynamic	a dinâmica	A sala de aula parecia dinâmica.
economics	a economia	Ela estuda economia na universidade.
economist	o economista	O economista previu um crescimento mais lento.
editorial	editorial	O editorial criticou a lei.
efficiently	eficientemente	A equipe trabalhou eficientemente.
elbow	o cotovelo	Ele machucou o cotovelo.
electronics	os eletrônicos	A loja vende eletrônicos.
elegant	elegante	O vestido parecia elegante.
elementary	elementar	O livro explica a gramática elementar.
eliminate	eliminar	A equipe eliminou vários erros.
embrace	abraçar	Ela abraçou a nova ideia.
emission	a emissão	Os níveis de emissão de carros caíram.
emotionally	emocionalmente	Ele falou emocionalmente sobre sua família.
empire	o império	O império durou séculos.
enjoyable	agradável	A viagem foi agradável.
entertaining	divertido	O show foi divertido.
entrepreneur	o empreendedor	O empreendedor abriu um café.
envelope	o envelope	Coloque a carta em um envelope.
equip	equipar	A escola vai equipar o laboratório.
equivalent	o equivalente	Um dólar não é equivalente aqui.
era	a era	A descoberta começou uma nova era.
erupt	explodir	O vulcão pode entrar em erupção em breve.
essentially	essencialmente	Os dois métodos são essencialmente idênticos.
ethic	a ética	Sua ética de trabalho é forte.
ethnic	étnico	O festival celebra tradições étnicas.
evaluation	a avaliação	O curso inclui uma avaliação final.
evident	evidente	O nervosismo dele era evidente.
evolution	a evolução	A evolução explica muitas mudanças biológicas.
evolve	evoluir	Os idiomas evoluem com o tempo.
exceed	exceder	A demanda pode exceder a oferta.
exception	a exceção	Há uma exceção.
excessive	excessivo	O ruído excessivo incomoda os vizinhos.
exclude	excluir	A lista exclui trabalhadores temporários.
exhibit	a exibição	O museu exibirá fotografias raras.
exit	a saída	A saída fica atrás do palco.
exotic	exótico	A loja vende frutas exóticas.
expansion	a expansão	A empresa planejou uma expansão.
expertise	a especialidade	A especialidade dela melhorou o projeto.
exploit	explorar	Criminosos exploram senhas fracas.
exposure	a exposição	A exposição ao sol pode danificar a pele.
extension	a extensão	A prorrogação do prazo ajudou a todos.
extensive	extenso	A biblioteca possui recursos extensos.
extensively	extensivamente	O tópico foi estudado extensivamente.
extract	o extrato	O extrato de baunilha dá sabor.
fabric	o tecido	O tecido parece macio.
fabulous	fabuloso	A refeição foi fabulosa.
failed	fracassado	A tentativa fracassada nos ensinou algo.
fake	falso	O site vendeu ingressos falsos.
fame	a fama	A fama mudou sua vida privada.
fantasy	a fantasia	O romance é uma fantasia.
fare	a tarifa	A tarifa de ônibus aumentou.
federal	federal	O governo federal anunciou financiamento.
fever	a febre	A criança está com febre.
firefighter	o bombeiro	O bombeiro resgatou o cachorro.
firework	o fogo de artifício	Um fogo de artifício explodiu sobre o parque.
firm	firme	O colchão é firme.
firmly	firmemente	Ela fechou a porta firmemente.
flavour	o sabor	A sopa tem um sabor rico.
fond	afetuoso	Ele é afeiçoado a jazz.
fool	o tolo	Não aja como um tolo.
forbid	proibir	A lei proíbe fumar aqui.
forecast	a previsão	A previsão indica chuva.
format	o formato	Use o formato de arquivo correto.
formation	a formação	A formação de nuvens muda rapidamente.
formerly	antigamente	O prédio era anteriormente uma escola.
fortunate	afortunado	Fomos afortunados por chegar cedo.
forum	o fórum	O fórum discutiu a política climática.
fossil	o fóssil	O fóssil foi encontrado na pedra.
foundation	a fundação	A casa tem uma fundação forte.
founder	o fundador	O fundador deu as boas-vindas aos convidados.
fraction	a fração	Apenas uma fração dos alunos veio.
fragment	o fragmento	Um fragmento de vidro estava no chão.
framework	a estrutura	A lei cria uma estrutura clara.
fraud	a fraude	O banco detectou fraude.
freely	livremente	As crianças brincavam livremente lá fora.
frequent	frequente	Pausas frequentes melhoram o foco.
fulfil	cumprir	Espero cumprir minha promessa.
full-time	em tempo integral	Ela tem um emprego em tempo integral.
fundamentally	fundamentalmente	O plano é fundamentalmente diferente.
furious	furioso	Ele ficou furioso com o atraso.
gaming	os jogos	Os jogos eletrônicos podem melhorar a velocidade de reação.
gay	gay	Ele apoia os direitos dos gays.
gender	o gênero	A pesquisa perguntou sobre o gênero.
gene	o gene	O gene afeta a cor dos olhos.
genetic	genético	A doença tem causas genéticas.
genius	o gênio	O jovem pianista é um gênio.
genuine	genuíno	O sorriso dela parecia genuíno.
genuinely	genuinamente	Ele genuinamente queria ajudar.
gesture	o gesto	Ela fez um gesto amigável.
gig	o show	A banda fez um show no centro.
globalization	a globalização	A globalização afeta os negócios locais.
globe	o globo	O globo mostra todos os continentes.
golden	dourado	O pôr do sol ficou dourado.
goodness	a bondade	Ela acredita na bondade humana.
gorgeous	deslumbrante	O jardim estava deslumbrante.
governor	o governador	O governador assinou o projeto de lei.
graphic	gráfico	A imagem gráfica chocou os espectadores.
graphics	os gráficos	O jogo tem gráficos simples.
greatly	grandemente	Seu conselho ajudou muito.
greenhouse	a estufa	Os tomates crescem dentro da estufa.
grocery	a mercearia	Ela comprou mantimentos depois do trabalho.
guideline	a diretriz	A diretriz explica a prática segura.
habitat	o habitat	A floresta é um habitat de pássaros.
harbour	o porto	O barco entrou no porto.
headquarters	a sede	A sede da empresa se mudou para o centro.
