simplified	KO	example_KO
哎	저기; 어이	저기요, 왜 여기 오셨어요?
唉	아; 한숨	아, 또 늦었어요.
爱护	아끼다; 보호하다	우리는 환경을 아끼고 보호해야 합니다.
爱惜	아끼다; 소중히 여기다	자신의 시간을 소중히 여기세요.
爱心	사랑; 자상한 마음	그녀는 정말 자상한 사람이에요.
安慰	위로하다	친구가 나를 위로해 주었어요.
安装	설치하다	작업자가 에어컨을 설치하고 있어요.
岸	해안; 강가	배가 천천히 강가로 다가가고 있어요.
暗	어둡다	방 안이 매우 어두워요.
熬夜	밤을 새우다; 늦게까지 자지 않다	밤을 새우는 것은 건강에 좋지 않아요.
把握	자신; 파악하다	나는 이 일을 잘할 자신이 없어요.
摆	놓다; 정리하다	의자를 가지런히 놓아 주세요.
办理	처리하다; 수속하다	나는 업무를 처리하러 은행에 갈 거예요.
傍晚	저녁 무렵	우리는 저녁 무렵에 산책하러 갈 거예요.
包裹	소포; 포장하다	나는 소포를 하나 받았어요.
包含	포함하다	이 가격에는 아침 식사가 포함되어 있어요.
包括	포함하다	비용에는 점심 식사가 포함되어 있어요.
薄	얇다	이 책은 매우 얇아요.
保持	유지하다	조용히 해 주세요.
保存	저장하다; 보존하다	이 파일을 저장해 주세요.
保留	예약하다; 보류하다	저를 위해 자리를 하나 예약해 주세요.
保险	보험; 안전하다	나는 여행 보험을 샀어요.
宝贝	보물; 소중한 것	이것은 나의 보물이에요.
宝贵	귀중하다	시간은 매우 귀중해요.
报到	등록하다; 출석을 알리다	신입생들이 오늘 학교에 등록하러 와요.
报道	보도하다; 보도	뉴스에서 이 일을 보도했어요.
报告	보고하다; 보고서	그는 보고를 하고 있어요.
报社	신문사	그녀는 신문사에서 일해요.
抱怨	불평하다	그는 일이 너무 많다고 늘 불평해요.
悲观	비관적이다	너무 비관적으로 생각하지 마세요.
背	등; 등을 돌리다	그는 문을 등지고 앉아 있어요.
背景	배경	당신의 배경을 간단히 소개해 주세요.
被子	이불	이 이불은 매우 따뜻해요.
本科	학부; 대학 학부 과정	그는 학부생이에요.
本领	능력; 재주	그는 새로운 기술을 배웠어요.
本质	본질	문제의 본질은 아주 간단해요.
彼此	서로	우리는 서로 존중해야 해요.
比例	비율	남녀 비율이 거의 같아요.
必然	필연적이다	노력하면 반드시 결과가 따릅니다.
必要	필요하다	걱정할 필요가 없어요.
毕竟	결국; 아무래도	결국 그는 아직 아이예요.
避免	피하다	늦지 않도록 해 주세요.
编辑	편집하다; 편집자	그는 이 글을 편집하는 일을 맡고 있어요.
鞭炮	폭죽	춘절에는 어떤 사람들이 폭죽을 터뜨려요.
便	곧; 편리하다	그는 밥을 먹고 바로 수업에 갔어요.
辩论	토론하다; 논쟁	그들은 이 문제를 두고 토론하고 있어요.
标点	문장 부호	문장 부호에 주의해 주세요.
标志	표지; 상징	빨간불은 멈추라는 표지예요.
表达	표현하다	그는 자신의 생각을 표현했어요.
表面	표면	탁자 표면이 매우 깨끗해요.
表明	나타내다; 분명히 밝히다	결과는 그가 옳다는 것을 보여 줍니다.
表情	표정	그녀의 표정은 매우 진지해요.
表现	보이다; 표현하다	그는 오늘 아주 잘했어요.
冰激凌	아이스크림	아이들은 아이스크림 먹는 것을 좋아해요.
病毒	바이러스	이런 바이러스는 매우 빠르게 퍼져요.
播放	재생하다; 방송하다	이 노래를 틀어 주세요.
玻璃	유리	유리컵이 깨졌어요.
博物馆	박물관	우리는 이번 주말에 박물관에 갈 거예요.
脖子	목	목이 조금 아파요.
不断	끊임없이	물가가 계속 오르고 있어요.
不见得	반드시 그렇지는 않다	이것이 반드시 나쁜 일은 아니에요.
不耐烦	짜증나다; 참을성이 없다	오래 기다리자 그는 조금 짜증이 났어요.
不要紧	괜찮다; 상관없다	괜찮아요, 문제없어요.
补充	보충하다; 덧붙이다	의견을 하나 덧붙이고 싶어요.
不安	불안하다	이 소식을 듣고 그녀는 불안해졌어요.
不得了	큰일이다; 대단하다	이 일은 정말 큰일이에요.
不然	그렇지 않으면	빨리 떠나세요. 그렇지 않으면 늦을 거예요.
不如	보다 못하다; 차라리	차를 타는 것보다 걷는 편이 나아요.
不足	부족하다	여기에는 물이 부족해요.
布	천; 베	이 천은 매우 부드러워요.
步骤	단계; 절차	절차에 따라 조작해 주세요.
部门	부서	나는 영업 부서에서 일해요.
财产	재산	이 집은 그의 재산이에요.
彩虹	무지개	비가 온 뒤 무지개가 나타났어요.
踩	밟다	잔디를 밟지 마세요.
采访	인터뷰하다; 취재하다	기자가 의사를 인터뷰하고 있어요.
采取	채택하다; 취하다	우리는 새로운 방법을 채택했어요.
参考	참고하다	이 책을 참고해 주세요.
参与	참여하다	그는 활동에 적극적으로 참여해요.
惭愧	부끄럽다	나는 내 실수가 부끄러워요.
操场	운동장	학생들이 운동장에서 뛰고 있어요.
操心	걱정하다	저를 걱정하지 마세요.
册	권; 책	나는 책 한 권을 샀어요.
测验	시험; 테스트	내일 작은 시험이 있어요.
曾经	일찍이; 전에	나는 전에 베이징에 산 적이 있어요.
叉子	포크	나는 포크로 샐러드를 먹어요.
差距	격차; 차이	도시와 농촌 사이에는 격차가 있어요.
插	꽂다; 끼우다	꽃을 꽃병에 꽂아 주세요.
拆	뜯다; 철거하다	인부들이 낡은 집을 철거하고 있어요.
产品	제품	이 제품은 품질이 아주 좋아요.
产生	생기다; 발생하다	이 문제는 새로운 영향을 낳았어요.
常识	상식	이것은 기본적인 상식이에요.
长途	장거리	장거리 여행은 피곤해요.
抄	베끼다; 표절하다	다른 사람의 숙제를 베끼지 마세요.
超级	초; 슈퍼	여기는 슈퍼마켓이에요.
朝	왕조; 조정	당나라는 매우 유명해요.
潮湿	습하다	남쪽의 여름은 매우 습해요.
吵	시끄럽다	밖이 매우 시끄러워요.
吵架	싸우다; 말다툼하다	그들은 또 싸웠어요.
炒	볶다	엄마가 음식을 볶고 있어요.
车库	차고	차가 차고에 세워져 있어요.
车厢	객차	이 열차 객차는 매우 조용해요.
彻底	철저하다	그는 완전히 이해했어요.
沉默	침묵하다; 말이 없다	그는 내내 침묵을 지켰어요.
趁	틈타다	아직 어둡지 않을 때 떠납시다.
称	무게를 달다; 부르다	이 소포의 무게를 달아 주세요.
称呼	부르다; 호칭	그를 어떻게 불러야 할지 모르겠어요.
称赞	칭찬하다	선생님이 그의 발전을 칭찬했어요.
成分	성분	이 약의 성분은 간단해요.
成果	성과	이 프로젝트는 성과를 거두었어요.
成就	성취; 업적	그는 자기 분야에서 많은 성취를 이루었어요.
成立	설립하다; 성립하다	그 회사는 작년에 설립되었어요.
成人	성인	성인 표는 어린이 표보다 비싸요.
成熟	성숙하다; 익다	사과가 이미 익었어요.
成语	성어; 사자성어	이 성어는 자주 쓰여요.
成长	성장하다	그 아이는 천천히 자라고 있어요.
承担	떠맡다; 부담하다	그는 책임을 지려고 해요.
承认	인정하다	그는 자신이 틀렸다는 것을 인정했어요.
承受	견디다	나는 이렇게 큰 압박을 견딜 수 없어요.
程度	정도; 수준	그의 중국어 수준은 매우 높아요.
程序	절차; 순서	절차에 따라 처리해 주세요.
诚恳	성실하다; 진심이다	그의 태도는 매우 진심이에요.
吃亏	손해를 보다	물건을 살 때 잘 보고 사야 손해를 보지 않아요.
持续	지속되다	비가 사흘 동안 계속 내렸어요.
池塘	연못	연못에는 물고기가 많아요.
迟早	조만간	당신은 조만간 이해하게 될 거예요.
尺子	자	자로 재 주세요.
翅膀	날개	새의 날개가 다쳤어요.
充电器	충전기	내 충전기가 고장 났어요.
充分	충분하다	우리는 충분히 준비했어요.
充满	가득하다	방 안은 웃음소리로 가득했어요.
冲	헹구다; 씻어 내리다	물로 컵을 헹궈 주세요.
重复	반복하다	같은 실수를 반복하지 마세요.
宠物	반려동물	그녀는 반려견을 키워요.
抽屉	서랍	열쇠는 서랍 안에 있어요.
抽象	추상적이다	이 개념은 너무 추상적이에요.
丑	못생기다; 추하다	이 사진은 조금 못생기게 나왔어요.
臭	냄새나다; 악취가 나다	쓰레기에서 냄새가 나요.
出版	출판하다	이 책은 작년에 출판되었어요.
出口	출구; 수출하다	출구는 앞쪽에 있어요.
出色	뛰어나다	그녀의 공연은 뛰어났어요.
出示	제시하다	여권을 제시해 주세요.
出席	참석하다	그는 회의에 참석할 거예요.
初级	초급	나는 초급반에서 중국어를 배워요.
除非	하지 않는 한	비가 오지 않는 한 우리는 내일 등산하러 갈 거예요.
除夕	섣달그믐	섣달그믐에는 온 가족이 함께 밥을 먹어요.
处理	처리하다	내가 이 문제를 처리할게요.
传播	퍼뜨리다; 전파하다	이 소식은 매우 빨리 퍼졌어요.
传染	전염되다	감기는 쉽게 전염돼요.
传说	전설	이것은 오래된 전설이에요.
传统	전통	춘절은 중국의 전통 명절이에요.
窗帘	커튼	커튼을 열어 주세요.
闯	무작정 뛰어들다; 위반하다	그는 실수로 신호를 위반했어요.
创造	창조하다; 만들다	사람들은 새로운 도구를 만들었어요.
吹	불다	바람이 세게 불고 있어요.
词汇	어휘	이 어휘는 자주 쓰여요.
辞职	사직하다	그는 사직하기로 결정했어요.
此外	그 밖에; 또한	그 밖에 질문이 하나 더 있어요.
刺激	자극적이다; 신나다	이 게임은 매우 신나요.
次要	부차적이다	이 문제는 부차적이에요.
匆忙	황급하다; 바쁘다	그는 황급히 집을 나섰어요.
从此	그때부터; 이제부터	그때부터 그는 매일 운동했어요.
从而	그리하여; 따라서	그는 열심히 공부해서 시험에 합격했어요.
从前	예전; 옛날	예전에는 여기에 지하철이 없었어요.
从事	종사하다	그녀는 교육 분야에 종사해요.
粗糙	거칠다	이 종이는 매우 거칠어요.
促进	촉진하다	운동은 건강을 증진할 수 있어요.
促使	촉구하다; 유도하다	이 일이 그에게 계획을 바꾸게 했어요.
醋	식초	음식에 식초를 넣었어요.
催	재촉하다	엄마가 빨리 나가라고 나를 재촉했어요.
存在	존재하다	이 문제는 아직 존재해요.
措施	조치	학교가 안전 조치를 취했어요.
答应	동의하다; 승낙하다	그는 나를 도와주겠다고 승낙했어요.
达到	도달하다; 달성하다	그의 성적은 기준에 도달했어요.
打工	아르바이트하다	그는 여름 방학에 식당에서 아르바이트해요.
打交道	상대하다; 거래하다	나는 고객들과 자주 상대해요.
打喷嚏	재채기하다	그는 감기에 걸려 계속 재채기를 해요.
打听	알아보다; 묻다	기차표에 대해 알아보고 싶어요.
大方	관대하다; 시원스럽다	그녀는 돈 쓰는 데 매우 관대해요.
大厦	큰 건물; 빌딩	저 큰 건물은 매우 높아요.
