source_headword	SI	example_SI
toss	විසි කරනවා	ඇය යතුරු මේසය මතට විසි කළාය.
total	එකතුව	අලුත්වැඩියා කිරීමේ එකතුව බලාපොරොත්තු වූවාට වඩා වැඩිය.
toxic	විෂ සහිත	විෂ සහිත දුමාරය නිසා සැමට පිටතට යාමට සිදුවිය.
trademark	වෙළඳ ලකුණ	ලාංඡනය සමාගමේ වෙළඳ ලකුණ බවට පත් විය.
trail	අඩිපාර	අඩිපාර වනාන්තරය හරහා වැටී තිබුණි.
trailer	පූර්ව ප්‍රචාරක පටය	පූර්ව ප්‍රචාරක පටය මගින් චිත්‍රපටයේ අවසානය පෙන්වීය.
transaction	ගනුදෙනුව	ගනුදෙනුව මගේ බැංකු ප්‍රකාශනයේ දිස් විය.
transcript	අධ්‍යයන වාර්තාව	ශිෂ්‍යයා නිල අධ්‍යයන වාර්තාවක් ඉල්ලා සිටියේය.
transformation	පරිවර්තනය	නගරය විශාල පරිවර්තනයක් දුටුවේය.
transit	ප්‍රවාහනය	ප්‍රවාහනයේදී පාර්සලයට හානි සිදුවී ඇත.
transmission	සම්ප්‍රේෂණය	දත්ත සම්ප්‍රේෂණය ආරක්ෂිත විය.
transparency	විනිවිදභාවය	වාර්තාව මගින් වැඩි විනිවිදභාවයක් ඉල්ලා සිටියේය.
transparent	විනිවිද පෙනෙන	ක්‍රියාවලිය සෑම කෙනෙකුටම විනිවිද පෙනෙන විය යුතුය.
trauma	කම්පනය	අනතුරින් දැඩි කම්පනයක් ඉතිරි විය.
treaty	ගිවිසුම	රටවල් සාම ගිවිසුමකට අත්සන් තැබීය.
tremendous	අතිමහත්	කණ්ඩායම අතිමහත් ප්‍රගතියක් ලබා ගත්තේය.
tribal	ගෝත්‍රික	කෞතුකාගාරය ගෝත්‍රික කලාව ප්‍රදර්ශනය කළේය.
tribunal	විනිශ්චය සභාව	විනිශ්චය සභාව සතිය පුරාම සාක්ෂි විභාග කළේය.
tribute	උපහාරය	ප්‍රසංගය ඇයට කළ උපහාරයකි.
trio	ත්‍රිත්වය	ත්‍රිත්වය උත්සවයේදී ප්‍රසංගයක් පැවැත්වීය.
triumph	ජයග්‍රහණය	එම ජයග්‍රහණය පුද්ගලික ජයග්‍රහණයක් විය.
trophy	කුසලානය	නායකයා ආඩම්බරයෙන් කුසලානය එසවීය.
troubled	ගැටලු සහගත	ගැටලු සහගත සමාගමට නව නායකත්වයක් අවශ්‍ය විය.
trustee	භාරකරු	භාරකරු ශිෂ්‍යත්ව අරමුදල කළමනාකරණය කරයි.
tuition	අධ්‍යාපන ගාස්තු	මේ වසරේ ඇගේ අධ්‍යාපන ගාස්තු වැඩි විය.
turnout	සහභාගීත්වය	ඡන්ද දායකයින්ගේ සහභාගීත්වය අපේක්ෂා කළාට වඩා වැඩි විය.
turnover	සේවක ඉවත්වීම	වෙනස්කම් වලින් පසුව සේවක ඉවත්වීම අඩු විය.
twist	කරකවනවා	ඇය පියන කරකවා විවෘත කළාය.
undergraduate	උපාධි අපේක්ෂකයා	උපාධි අපේක්ෂකයා පර්යේෂණ ව්‍යාපෘතියකට සම්බන්ධ විය.
underlying	යටින් පවතින	වාර්තාව යටින් පවතින හේතු පැහැදිලි කළේය.
undermine	දුර්වල කරනවා	අපකීර්තිය ජනතා විශ්වාසය දුර්වල කළේය.
undoubtedly	නිසැකවම	ඇය නිසැකවම හොඳම අපේක්ෂිකාවයි.
unify	ඒකාබද්ධ කරනවා	සැලැස්මේ අරමුණ කණ්ඩායම් ඒකාබද්ධ කිරීමයි.
unprecedented	පෙර නොවූ විරූ	කුණාටුවෙන් පෙර නොවූ විරූ හානියක් සිදුවිය.
unveil	එළිදක්වනවා	සමාගම හෙට නිර්මාණය එළිදක්වනු ඇත.
upcoming	ඉදිරි	ඉදිරි මැතිවරණය මහජන අවධානය දිනා ගත්තේය.
upgrade	උසස් කරනවා	අපි ඊයේ රාත්‍රියේ මෘදුකාංගය උසස් කළෙමු.
uphold	තහවුරු කරනවා	අපි මුල් තීරණය තහවුරු කරමු.
utility	උපයෝගිතා	මහල් නිවාසයට සියලුම උපයෝගිතා පිරිවැය ඇතුළත් වේ.
utilize	ප්‍රයෝජනයට ගන්නවා	කණ්ඩායම ලබා ගත හැකි දත්ත ප්‍රයෝජනයට ගත්තේය.
utterly	සම්පූර්ණයෙන්ම	පැහැදිලි කිරීම සම්පූර්ණයෙන්ම ව්‍යාකූල විය.
vacuum	හිඩැස	නායකත්වයේ හිඩැස ආතතියක් ඇති කළේය.
vague	අපැහැදිලි	ඔහුගේ පිළිතුර අපැහැදිලි සහ දුර්වල විය.
validity	වලංගුභාවය	අධ්‍යයනය පරීක්ෂණයේ වලංගුභාවය ප්‍රශ්න කළේය.
vanish	අතුරුදහන් වෙනවා	ගොනුව ෆෝල්ඩරයෙන් අතුරුදහන් විය.
variable	විචල්‍යය	මිල යනු එක් වැදගත් විචල්‍යයකි.
varied	විවිධ	පාඨමාලාව විවිධ පැවරුම් ලබා දෙයි.
vein	නහරය	හෙදිය ඉක්මනින් නහරයක් සොයා ගත්තාය.
venture	ව්‍යාපාරය	නව ව්‍යාපාරය ආයෝජකයින් ආකර්ෂණය කළේය.
verbal	වාචික	ඔවුන් වාචික එකඟතාවකට පැමිණියා.
verdict	තීන්දුව	ජූරි සභාව සිය තීන්දුව ලබා දුන්නේය.
verify	සත්‍යාපනය කරනවා	කරුණාකර ඔබගේ විද්‍යුත් තැපැල් ලිපිනය සත්‍යාපනය කරන්න.
verse	පදය	ඇය කවියකින් පදයක් උපුටා දැක්වූවාය.
versus	එදිරිව	විවාදය වූයේ පෞද්ගලිකත්වය එදිරිව ආරක්ෂාවයි.
vessel	නෞකාව	නෞකාව මුහුද හරහා ධාන්‍ය ප්‍රවාහනය කළේය.
veteran	ප්‍රවීණයා	ප්‍රවීණයා නව කාර්ය මණ්ඩලය පුහුණු කළේය.
viable	ශක්‍ය	යෝජනාව මූල්‍යමය වශයෙන් ශක්‍ය වේ.
vibrant	සජීවී	නගරය සජීවී කලා දර්ශනයක් ඇත.
