source_headword	KA	example_KA
hunt	ნადირობა	ისინი შემოდგომაზე სოკოს ეძებენ.
hurricane	ქარიშხალი	ქარიშხალმა ბევრ სახლს ზიანი მიაყენა.
hurry	ჩქარობა	დღეს ჩქარობა არ არის.
identity	იდენტობა	მისი იდენტობა საიდუმლოდ დარჩა.
ignore	უგულებელყოფა	ეს გაფრთხილება არ უგულებელყო.
illegal	უკანონო	აქ მანქანის გაჩერება უკანონოა.
imaginary	წარმოსახვითი	მოთხრობაში წარმოსახვითი კუნძულია.
immediate	დაუყოვნებელი	ჩვენ დაუყოვნებელი პასუხი გვჭირდება.
immigrant	იმიგრანტი	იმიგრანტმა ინგლისური სწრაფად ისწავლა.
impact	გავლენა	ახალ ამბავს ძლიერი გავლენა ჰქონდა.
import	იმპორტი	ქვეყანა მეტ ბრინჯს იმპორტზე შემოიტანს.
importance	მნიშვნელობა	მან ძილის მნიშვნელობა გაიგო.
impression	შთაბეჭდილება	მისი პირველი შთაბეჭდილება დადებითი იყო.
impressive	შთამბეჭდავი	მუზეუმს შთამბეჭდავი შესასვლელი აქვს.
improvement	გაუმჯობესება	ამ თვეში აშკარა გაუმჯობესება იყო.
incredibly	წარმოუდგენლად	ტესტი წარმოუდგენლად რთული იყო.
indeed	ნამდვილად	ეს ნამდვილად უცნაური დღე იყო.
indicate	მითითება	ნიშანი გასასვლელს მიუთითებს.
indirect	არაპირდაპირი	მან არაპირდაპირი პასუხი მისცა.
indoor	შიდა	სასტუმროს შიდა აუზი აქვს.
indoors	შიგნით	ქარიშხლის დროს ჩვენ შიგნით დავრჩით.
influence	გავლენა	მის მასწავლებელს ძლიერი გავლენა ჰქონდა.
ingredient	ინგრედიენტი	ფქვილი მთავარი ინგრედიენტია.
injure	დაზიანება	ზურგი არ დაიზიანო.
injured	დაშავებული	დაშავებულმა მოთამაშემ მოედანი დატოვა.
innocent	უდანაშაულო	ბავშვი სრულიად უდანაშაულო ჩანდა.
intelligence	გონიერება	მან კლასში დიდი გონიერება აჩვენა.
intend	განზრახვა	მე საზღვარგარეთ სწავლას ვაპირებ.
intention	განზრახვა	მისი განზრახვა დახმარება იყო.
invest	ინვესტირება	ისინი განათლებაში ფულს ინვესტირებენ.
investigate	გამოძიება	პოლიცია ავარიას გამოიძიებს.
involved	ჩართული	რამდენიმე სტუდენტი ჩართული იყო.
iron	რკინა	ჭიშკარი რკინისგან არის გაკეთებული.
issue	საკითხი	ეს სერიოზული საკითხია.
IT	ინფორმაციული ტექნოლოგიები	ის ინფორმაციულ ტექნოლოგიებში მუშაობს.
journal	დღიური	ის დღიურში წერს.
judge	მოსამართლე	მოსამართლემ ყურადღებით მოუსმინა.
keen	მონდომებული	ის სწავლაში მონდომებულია.
keyboard	კლავიატურა	ჩემი კლავიატურა აღარ მუშაობს.
kick	დარტყმა	ბურთს ნაზად დაარტყი.
killing	მკვლელობა	მკვლელობამ სოფელი შეძრა.
kind (caring)	კეთილი	ეს კეთილი საქმე იყო.
kiss	კოცნა	მან ჩვილს კოცნა მისცა.
label	ეტიკეტი	გამოყენებამდე ეტიკეტი წაიკითხე.
laboratory	ლაბორატორია	ლაბორატორია დღეს დაკეტილია.
lack	ნაკლებობა	ძილის ნაკლებობა მეხსიერებას აზიანებს.
latest	უახლესი	უახლესი ანგარიში წაიკითხე?
lay	დადება	წიგნი მაგიდაზე დადე.
layer	ფენა	საღებავის კიდევ ერთი ფენა დაამატე.
leading	წამყვანი	ის წამყვანი მეცნიერი არის.
leaf	ფოთოლი	ერთი ფოთოლი ჩემს პალტოზე დაეცა.
leather	ტყავი	მისი ჩანთა ტყავისგან არის გაკეთებული.
legal	იურიდიული	ჩვენ იურიდიული რჩევა გვჭირდება.
