source_headword	FI	example_FI
absorb	omaksua	Pyyhe imee vettä nopeasti.
abstract	abstrakti	Luennolla käsiteltiin abstrakteja ideoita.
accent	aksentti	Hänen aksenttiaan on helppo ymmärtää.
accidentally	vahingossa	Poistin tiedoston vahingossa.
accommodate	ottaa huomioon	Hotelli voi majoittaa suuria perheitä.
accomplish	saavuttaa	Hän saavutti tavoitteensa ennen kesäkuuta.
accountant	kirjanpitäjä	Kirjanpitäjä tarkisti laskun.
accuracy	tarkkuus	Koe mittaa lukemisen tarkkuutta.
accurately	tarkasti	Kartta näyttää reitin tarkasti.
acid	happo	Happo vahingoitti metallipintaa.
activate	aktivoida	Aktivoi hälytys painamalla painiketta.
addiction	riippuvuus	Hänen riippuvuutensa vaikutti hänen työhönsä.
additionally	lisäksi	Lisäksi tarvitsemme lisää tuoleja.
adequate	riittävä	Huoneessa on riittävä valaistus.
adequately	riittävästi	Raportti selitti ongelman riittävästi.
adjust	säätää	Säädä istuin ennen ajamista.
affordable	edullinen	Asunto on opiskelijoille edullinen.
agriculture	maatalous	Maatalous elättää monia maaseudun perheitä.
AIDS	AIDS	Lääkärit hoitavat aidsia nykyaikaisella lääketieteellä.
alien	muukalainen	Elokuva näyttää vieraan planeetan.
alongside	vieressä	Pyörätie kulkee joen vierellä.
altogether	kokonaan	Kaiken kaikkiaan projekti kesti kuusi viikkoa.
ambulance	ambulanssi	Ambulanssi saapui muutamassa minuutissa.
amusing	huvittava	Tarina oli huvittava ja kevyt.
analyst	analyytikko	Analyytikko tarkisti myyntitiedot.
ancestor	esi-isä	Esi-isäni asui tämän kylän lähellä.
animation	animaatio	Animaatio teki oppitunnista selkeämmän.
annually	vuosittain	Festivaali järjestetään vuosittain.
anticipate	ennakoida	Ennakoimme huomiselle vilkasta liikennettä.
anxiety	ahdistus	Ahdistus voi vaikeuttaa nukkumista.
apology	anteeksipyyntö	Hän esitti vilpittömän anteeksipyynnön.
applicant	hakija	Hakija lähetti uuden ansioluettelon.
appropriately	asianmukaisesti	Pukeudu haastatteluun asianmukaisesti.
arrow	nuoli	Nuoli osoittaa uloskäyntiä.
artwork	taideteos	Museo asetti näytteille paikallisia taideteoksia.
aside	syrjään	Hän astui sivuun antaakseen hänen mennä ohi.
asset	voimavara	Kokemus on arvokas voimavara.
assign	määrätä	Opettaja antoi tänään läksyjä.
assistance	apu	Pyydä henkilökunnalta apua.
assumption	oletus	Tuo oletus saattaa olla väärä.
assure	vakuuttaa	Vakuutan sinulle, että ovi on lukossa.
astonishing	hämmästyttävä	Näkymä kalliolta oli hämmästyttävä.
attachment	liite	Sähköposti sisältää liitteen.
auction	huutokauppa	Maalaus myytiin huutokaupassa.
audio	ääni	Äänite kuulostaa selkeältä.
automatic	automaattinen	Ovessa on automaattinen lukko.
automatically	automaattisesti	Valot syttyvät automaattisesti.
awareness	tietoisuus	Kampanja lisäsi yleisön tietoisuutta.
awkward	kiusallinen	Hiljaisuus tuntui kiusalliselta.
badge	rintamerkki	Vierailijoiden on käytettävä nimikylttiä.
balanced	tasapainoinen	Tasapainoinen ruokavalio sisältää vihanneksia.
ballet	baletti	Hän opiskelee balettia koulun jälkeen.
balloon	ilmapallo	Ilmapallo leijui pöydän yläpuolella.
barely	tuskin	Hän tuskin kuuli kuulutusta.
bargain	löytö	Se takki oli todellinen löytö.
basement	kellari	Laatikot ovat kellarissa.
basket	kori	Hän laittoi omenat koriin.
bat	maila	Lepakko lensi ulos luolasta.
beneficial	hyödyllinen	Säännöllinen liikunta on hyödyllistä terveydelle.
beside	vieressä	Lamppu on sohvan vieressä.
besides	lisäksi	Matematiikan lisäksi hän opiskelee kemiaa.
bias	ennakkoasenne	Artikkeli osoitti selkeää puolueellisuutta.
bid	tarjous	Yritys teki korkeamman tarjouksen.
biological	biologinen	Biologinen testi vahvisti tuloksen.
blanket	peitto	Lapsi nukkui peiton alla.
blow	isku	Voimakas isku rikkoi ikkunan.
bold	rohkea	Otsikossa käytettiin lihavoituja kirjaimia.
bombing	pommitus	Pommitus vaurioitti useita rakennuksia.
booking	varaus	Vahvistin hotellivarauksen.
boost	piristys	Voitto lisäsi joukkueen itseluottamusta.
bound	sidottu	Paketti oli sidottu narulla.
brick	tiili	Seinä on tehty tiilestä.
briefly	lyhyesti	Hän puhui lyhyesti lounaan jälkeen.
broadcaster	televisioyhtiö	Toimittaja haastatteli pormestaria.
broadly	laajasti	Nämä kaksi suunnitelmaa ovat pitkälti samanlaisia.
bug	virhe	Sovellus kaatui ohjelmistovirheen takia.
cabin	mökki	Yövyimme pienessä mökissä.
canal	kanava	Veneet liikkuivat hitaasti pitkin kanavaa.
candle	kynttilä	Kynttilä paloi pöydällä.
carbon	hiili	Puut imevät hiiltä ilmasta.
casual	rento	Hän pukeutui töihin rentoihin vaatteisiin.
