simplified	HI	example_HI
挨	सहना	उसने पूरी रात सहा और आखिर सुबह होने का इंतज़ार किया।
癌症	कैंसर	कैंसर का जल्दी पता लगना बहुत ज़रूरी है।
暧昧	अस्पष्ट	उसका जवाब बहुत अस्पष्ट था।
爱不释手	छोड़ने का मन न होना	उसे यह किताब इतनी पसंद आई कि छोड़ने का मन ही नहीं हुआ।
爱戴	प्यार और सम्मान करना	यह शिक्षक छात्रों से बहुत प्यार और सम्मान पाता है।
安宁	शांत	यहाँ की रातें बहुत शांत होती हैं।
安详	शांतिमय	बुज़ुर्ग के चेहरे का भाव बहुत शांतिमय था।
安置	बसाना	सरकार ने आपदा पीड़ित लोगों को बसाया।
按摩	मालिश	मैंने एक मालिश के लिए समय लिया।
暗示	संकेत देना	उसने संकेत दिया कि मैं और न पूछूँ।
案件	मामला	पुलिस इस मामले की जाँच कर रही है।
案例	उदाहरण मामला	यह उदाहरण मामला बहुत प्रतिनिधि है।
昂贵	महँगा	यह उपकरण बहुत महँगा है।
凹凸	ऊबड़-खाबड़	इस सड़क की सतह ऊबड़-खाबड़ है।
熬	कठिनाई से गुज़रना	उसने तीन दिन कठिनाई से गुज़ारकर रिपोर्ट पूरी की।
奥秘	रहस्य	वैज्ञानिक इस रहस्य को खोलना चाहते हैं।
巴不得	बेचैन होना	मैं तुरंत निकलने के लिए बेचैन हूँ।
巴结	खुशामद करना	वह अधिकारियों की खुशामद नहीं करना चाहता।
扒	चिपककर पकड़ना	बच्चा दरवाज़े से चिपककर बाहर देख रहा था।
疤	निशान	उसकी बाँह पर एक निशान है।
拔苗助长	जल्दबाज़ी में बिगाड़ना	बच्चे को ऐसे पढ़ाई के लिए मजबूर करना सिर्फ़ बात बिगाड़ेगा।
把关	जाँच करना	इस अनुबंध की जाँच वकील को करनी है।
把手	हैंडल	दरवाज़े का हैंडल टूट गया है।
罢工	हड़ताल	मज़दूरों ने कल हड़ताल करने का फैसला किया।
霸道	दबंग	उसके बोलने का ढंग बहुत दबंग है।
掰	तोड़ना	उसने रोटी को दो हिस्सों में तोड़ दिया।
摆脱	छुटकारा पाना	आखिर उसने बुरी आदत से छुटकारा पा लिया।
拜访	मुलाक़ात करना	हम सप्ताहांत में शिक्षक से मुलाक़ात करने जाएँगे।
拜年	नववर्ष की शुभकामना देने जाना	वसंत त्योहार पर हम दादा-दादी को शुभकामना देने जाते हैं।
