source_headword	KK	example_KK
hunt	аң аулау	Олар күзде саңырауқұлақ іздейді.
hurricane	дауыл	Дауыл көп үйге зиян келтірді.
hurry	асығыс	Бүгін асығыс жоқ.
identity	жеке бас	Оның жеке басы құпия болып қалды.
ignore	елемеу	Бұл ескертуді елеме.
illegal	заңсыз	Мұнда көлік қою заңсыз.
imaginary	қиялдағы	Әңгімеде қиялдағы арал бар.
immediate	дереу	Бізге дереу жауап керек.
immigrant	көшіп келуші	Көшіп келуші ағылшын тілін тез үйренді.
impact	әсер	Жаңалық күшті әсер етті.
import	импорттау	Ел көбірек күріш импорттайды.
importance	маңыз	Ол ұйқының маңызын түсінді.
impression	әсер	Оның алғашқы әсері жағымды болды.
impressive	әсерлі	Мұражайдың кіреберісі әсерлі.
improvement	жақсару	Бұл айда анық жақсару болды.
incredibly	өте	Сынақ өте қиын болды.
indeed	шынында	Бұл шынында біртүрлі күн болды.
indicate	көрсету	Белгі шығуды көрсетеді.
indirect	жанама	Ол жанама жауап берді.
indoor	ішкі	Қонақүйде ішкі бассейн бар.
indoors	іште	Дауыл кезінде біз іште қалдық.
influence	ықпал	Оның мұғалімі күшті ықпал етті.
ingredient	құрам	Ұн негізгі құрам.
injure	жарақаттау	Арқаңды жарақаттап алма.
injured	жарақаттанған	Жарақаттанған ойыншы алаңнан шықты.
innocent	кінәсіз	Бала толық кінәсіз болып көрінді.
intelligence	ақыл	Ол сыныпта үлкен ақыл көрсетті.
intend	ниеттену	Мен шетелде оқуға ниеттенемін.
intention	ниет	Оның ниеті көмектесу болды.
invest	инвестиция салу	Олар білімге ақша инвестиция салады.
investigate	тергеу	Полиция апатты тергейді.
involved	қатысқан	Бірнеше студент қатысқан еді.
iron	темір	Қақпа темірден жасалған.
issue	мәселе	Бұл маңызды мәселе.
IT	ақпараттық технологиялар	Ол ақпараттық технологияларда жұмыс істейді.
journal	күнделік	Ол күнделікке жазады.
judge	судья	Судья мұқият тыңдады.
keen	ынталы	Ол үйренуге ынталы.
keyboard	пернетақта	Менің пернетақтам жұмысын тоқтатты.
kick	тебу	Допты жайлап тебу керек.
killing	өлтіру	Өлтіру ауылды дүр сілкіндірді.
kind (caring)	мейірімді	Бұл мейірімді іс болды.
kiss	сүю	Ол нәрестені сүйді.
label	заттаңба	Қолданар алдында заттаңбаны оқы.
laboratory	зертхана	Зертхана бүгін жабық.
lack	жетіспеушілік	Ұйқы жетіспеушілігі жадқа зиян келтіреді.
latest	ең соңғы	Ең соңғы есепті оқыдың ба.
lay	қою	Кітапты үстелге қой.
layer	қабат	Тағы бір бояу қабатын қос.
leading	жетекші	Ол жетекші ғалым.
leaf	жапырақ	Бір жапырақ пальтома түсті.
leather	былғары	Оның сөмкесі былғарыдан жасалған.
legal	заңды	Бізге заңды кеңес керек.
leisure	бос уақыт	Оқу менің сүйікті бос уақыт ісім.
length	ұзындық	Бөлменің ұзындығын өлше.
lie2 (tell a lie)	өтірік айту	Ата-анаңа өтірік айтпа.
limit	шектеу	Жылдамдық шектеуі елу.
lip	ерін	Ол ернін тістеді.
liquid	сұйықтық	Су мөлдір сұйықтық.
literature	әдебиет	Ол француз әдебиетін оқиды.
live2	тікелей	Топ кеше түнде тікелей ойнады.
living	тірі	Тірі өсімдіктерге жарық керек.
locate	табу	Файлды таба аласың ба.
located	орналасқан	Кеңсе қала ортасында орналасқан.
location	орын	Бұл жақсы орын.
lonely	жалғыз	Көшкеннен кейін ол өзін жалғыз сезінді.
loss	жоғалту	Жоғалту бәріне ауыр болды.
luxury	сән-салтанат	Қонақүй шынайы сән-салтанат ұсынады.
mad	ашулы	Кешігуге ол ашуланды.
magic	сиқыр	Көрсетілім сиқырға толы болды.
mainly	негізінен	Топ негізінен студенттерден тұрады.
mall	сауда орталығы	Біз сауда орталығында кездестік.
management	басқару	Жақсы басқару уақытты үнемдейді.
marketing	маркетинг	Маркетинг өнімді сатуға көмектеседі.
marriage	неке	Олардың некесі отыз жылға созылды.
meanwhile	сол уақытта	Сол уақытта мен кешкі ас пісірдім.
measure	өлшеу	Үстелді мұқият өлше.
medium	орташа	Мен орташа пиццаға тапсырыс бердім.
mental	психикалық	Күйзеліс психикалық денсаулыққа әсер етеді.
mess	ретсіздік	Бұл ретсіздікті жина.
mild	жұмсақ	Сорпаның дәмі жұмсақ.
mine (hole in the ground)	шахта	Шахта өткен жылы жабылды.
mix	араластыру	Жұмыртқаны сүтпен араластыр.
mixture	қоспа	Қоспа қоюланды.
mood	көңіл күй	Музыка оның көңіл күйін өзгертті.
mud	балшық	Оның аяқ киімі балшыққа батты.
murder	кісі өлтіру	Кісі өлтіру түнде болды.
muscle	бұлшық ет	Жаттығу бұлшық етті дамытады.
mystery	құпия	Ескі үй бір құпия.
nail	тырнақ	Мен тырнағымды сындырдым.
narrative	баяндау	Романда анық баяндау бар.
nation	ұлт	Бүкіл ұлт тойлады.
native	ана тілі	Испан тілі оның ана тілі.
naturally	табиғи түрде	Балалар ойын арқылы табиғи түрде үйренеді.
necessarily	міндетті түрде	Қымбат тамақ міндетті түрде жақсырақ емес.
needle	ине	Ине өте өткір.
neighbourhood	маңай	Олар тыныш маңайда тұрады.
net	тор	Балықшы торын жөндеді.
nor	да емес	Ол күлмеді де, сөйлемеді де.
northern	солтүстік	Олар солтүстік жағалауға барды.
nuclear	ядролық	Пікірталас ядролық қуат туралы болды.
obvious	анық	Жауап анық болды.
obviously	анық	Анық, бізге көбірек уақыт керек.
occasion	оқиға	Бұл ерекше оқиға.
occur	болу	Апаттар кез келген жерде болуы мүмкін.
odd	оғаш	Бұл оғаш сұрақ болды.
official	ресми	Ресми нәтиже бүгін келді.
old-fashioned	ескіше	Оның телефоны ескіше көрінеді.
operation	операция	Операция екі сағатқа созылды.
organized	ретті	Оның үстелі өте ретті.
organizer	ұйымдастырушы	Ұйымдастырушы қонақтарды қарсы алды.
originally	бастапқыда	Ол бастапқыда Канададан келген.
ought modal	керек	Сен демалуың керек.
ours	біздікі	Бұл үстел біздікі.
outdoor	сыртқы	Біз сыртқы жиһаз сатып алдық.
outdoors	сыртта	Балалар сыртта ойнауы керек.
package	пакет	Пакет бүгін таңертең келді.
painful	ауыртатын	Кесік ауыртатын болды.
pale	бозғылт	Оның жүзі бозғылт көрінді.
pan	таба	Алдымен табаны қыздыр.
participate	қатысу	Әркім қатыса алады.
particularly	әсіресе	Маған әсіресе бұл ән ұнайды.
passion	құштарлық	Музыка оның құштарлығы.
path	жол	Саябақ арқылы жолмен жүр.
payment	төлем	Төлем ертең төленуі керек.
peaceful	тыныш	Бақ тыныш.
percentage	пайыз	Кішкентай пайыз келісті.
perfectly	мінсіз	Жоспар мінсіз жұмыс істеді.
performance	орындау	Оның орындауы тамаша болды.
personally	жеке өзім	Жеке өзім шайды ұнатамын.
persuade	көндіру	Оны қосылуға көндіре аласың ба.
photographer	фотограф	Фотограф көп сурет түсірді.
photography	фотография	Фотография оның сүйікті әуестігі.
pin	түйреуіш	Картаға түйреуіш қой.
pipe	құбыр	Құбыр су тасиды.
planning	жоспарлау	Жоспарлау уақыт алады.
pleasant	жағымды	Біз жағымды кеш өткіздік.
pleasure	қуаныш	Сізбен танысу қуаныш болды.
plenty	көп	Бізде көп уақыт бар.
