source_headword	TA	example_TA
absolutely	முழுமையாக	நான் உன்னுடன் முழுமையாக ஒப்புக்கொள்கிறேன்.
academic	கல்விசார்	கல்விசார் ஆண்டு செப்டம்பரில் தொடங்குகிறது.
access	அணுகல்	மாணவர்களுக்கு நூலக அணுகல் தேவை.
accommodation	தங்குமிடம்	நாங்கள் இடத்திற்கு அருகில் தங்குமிடம் முன்பதிவு செய்தோம்.
account	கணக்கு	அவள் புதிய வங்கி கணக்கை திறந்தாள்.
achievement	சாதனை	பாடநெறியை முடித்தது பெரிய சாதனை.
ad	விளம்பரம்	விளம்பரம் புதிய தொலைபேசியை காட்டியது.
addition	சேர்க்கை	நீச்சல் குளம் பயனுள்ள சேர்க்கை.
admire	பாராட்டுதல்	அவளின் அமைதியான நடத்தை நான் பாராட்டுகிறேன்.
admit	ஒப்புக்கொள்	அவன் தனது தவறை ஒப்புக்கொண்டான்.
advanced	மேம்பட்ட	இது மேம்பட்ட ஆங்கில வகுப்பு.
advise	ஆலோசனை கூறு	மருத்துவர்கள் வழக்கமான உடற்பயிற்சியை ஆலோசனை கூறுகிறார்கள்.
afford	செலவு ஏற்க முடி	நமக்கு வாடகை வண்டி செலவு ஏற்க முடியாது.
aged	வயதுடைய	இந்த பாடநெறி பத்து வயதுடைய குழந்தைகளுக்கானது.
agent	முகவர்	பயண முகவர் எங்கள் சீட்டுகளை மாற்றினார்.
agreement	ஒப்பந்தம்	அவர்கள் இன்று ஒப்பந்தத்தை அடைந்தனர்.
ahead	முன்னால்	முன்னால் உள்ள சாலை தெளிவாக உள்ளது.
aim	இலக்கு	நாங்கள் விரைவாக முடிப்பதை இலக்காகக் கொள்கிறோம்.
alarm	எச்சரிக்கை மணி	எச்சரிக்கை மணி ஆறு மணிக்கு ஒலித்தது.
album	பாடல் தொகுப்பு	இந்த பாடல் தொகுப்பில் பத்து பாடல்கள் உள்ளன.
alcohol	மதுபானம்	விடுதி மதுபானம் வழங்கவில்லை.
alcoholic	மதுபானம் கொண்ட	இந்த பானம் மதுபானம் கொண்டதல்ல.
amazed	மிகவும் ஆச்சரியப்பட்ட	அவள் முடிவால் மிகவும் ஆச்சரியப்பட்டாள்.
ambition	ஆசை	அவனின் ஆசை விமானியாக ஆகுவது.
ambitious	ஆசைமிக்க	அவளிடம் ஆசைமிக்க திட்டம் உள்ளது.
analyse	பகுப்பாய்வு செய்	நாம் முடிவுகளை பகுப்பாய்வு செய்ய வேண்டும்.
analysis	பகுப்பாய்வு	அவளின் பகுப்பாய்வு தெளிவாகவும் கவனமாகவும் இருந்தது.
announce	அறிவி	அவர்கள் நாளை வெற்றியாளரை அறிவிப்பார்கள்.
announcement	அறிவிப்பு	அறிவிப்பு அனைவரையும் ஆச்சரியப்படுத்தியது.
