source_headword	ML	example_ML
strengthen	ശക്തിപ്പെടുത്തുക	പുതിയ നയം ഓൺലൈൻ സുരക്ഷയെ ശക്തിപ്പെടുത്തും.
strictly	കർശനമായി	ടിക്കറ്റുകൾ ഒരാൾക്ക് രണ്ട് മാത്രമായി കർശനമായി പരിമിതപ്പെടുത്തിയിരിക്കുന്നു.
striking	ആകർഷകമായ	ഈ പെയിന്റിംഗിൽ ആകർഷകമായ നിറങ്ങളുണ്ട്.
stroke	വര	അവൾ കടലാസിൽ ഒരു വര വരച്ചു.
stunning	അതിമനോഹരമായ	പർവ്വത കാഴ്ച അതിമനോഹരമായിരുന്നു.
subsequent	തുടർന്നുള്ള	തുടർന്നുള്ള യോഗം ബഡ്ജറ്റ് സ്ഥിരീകരിച്ചു.
subsequently	പിന്നീട്	റോഡ് അടച്ചു; പിന്നീട്, ട്രാഫിക് സാവധാനം നീങ്ങി.
suburb	പ്രാന്തപ്രദേശം	അവർ ശാന്തമായ ഒരു പ്രാന്തപ്രദേശത്താണ് താമസിക്കുന്നത്.
suffering	വേദന	മരുന്ന് അവന്റെ വേദന കുറച്ചു.
sufficient	മതിയായ	ടീമിന് മതിയായ സമയമുണ്ട്.
sufficiently	ആവശ്യത്തിന്	മുറിയിൽ ആവശ്യത്തിന് ചൂടുണ്ട്.
super	വളരെ	പുതിയ ടാബ്‌ലെറ്റ് വളരെ വേഗതയുള്ളതാണ്.
surgeon	ശസ്ത്രക്രിയാവിദഗ്ധൻ	ശസ്ത്രക്രിയാവിദഗ്ധൻ തകർന്ന കാൽമുട്ട് ശരിയാക്കി.
survival	അതിജീവനം	അതിജീവനത്തിന് ശുദ്ധജലം അത്യന്താപേക്ഷിതമാണ്.
survivor	അതിജീവിച്ചയാൾ	അതിജീവിച്ചയാൾ വെള്ളപ്പൊക്കത്തെക്കുറിച്ച് വിശദീകരിച്ചു.
