source_headword	SK	example_SK
institute	inštitút	Inštitút otvoril nový výskumný program.
institution	inštitúcia	Inštitúcia zmenila pravidlá prijímania.
insurance	poistenie	Jej poistenie pokrylo náklady na nemocnicu.
intended	zamýšľaný	Správa sa dostala k zamýšľanému publiku.
intense	intenzívny	Debata sa veľmi rýchlo stala intenzívnou.
internal	interný	Spoločnosť začala internú kontrolu.
interpret	interpretovať	Interpretujte výsledky opatrne.
interrupt	prerušiť	Teraz rečníka neprerušujte.
investigation	vyšetrovanie	Vyšetrovanie odhalilo vážne chyby.
investment	investícia	Investícia vytvorila mnoho miestnych pracovných miest.
joy	radosť	Ich úspech priniesol veľkú radosť.
judgement	úsudok	Jeho úsudok sa so skúsenosťami zlepšil.
junior	mladší	Do tímu nastúpila ako mladšia analytička.
justice	spravodlivosť	Rodina po súde požadovala spravodlivosť.
justify	odôvodniť	Toto rozhodnutie musíte jasne odôvodniť.
labour	pracovná sila	Projekt si vyžaduje kvalifikovanú pracovnú silu.
landscape	krajina	Krajina sa po búrke zmenila.
largely	z veľkej časti	Plán bol z veľkej časti úspešný.
launch	uviesť na trh	Zajtra uvedú produkt na trh.
leadership	vedenie	Silné vedenie pomohlo tímu spamätať sa.
league	liga	Náš klub vstúpil do regionálnej ligy.
lean	opierať sa	Neopierajte sa o mokrú stenu.
licence	licencia	Licencia vyprší budúci mesiac.
limited	obmedzený	Dnes máme obmedzený čas.
lively	živý	Stretnutie začalo byť po obede živé.
load	náklad	Nákladné auto viezlo ťažký náklad.
loan	pôžička	Banka schválila pôžičku.
logical	logický	Jej argument bol jasný a logický.
long-term	dlhodobý	Toto je dlhodobé riešenie.
loose	voľný	Rukoväť je uvoľnená.
lord	pán	Pán vlastnil niekoľko dedín.
lower	znížiť	Počas zimy znižujú ceny.
lung	pľúca	Fajčenie môže poškodiť pľúca.
maintain	udržiavať	Udržiavame pravidelný kontakt.
majority	väčšina	Väčšina návrh podporila.
mass	masa	Masa oblakov pokryla oblohu.
massive	masívny	Zemetrasenie spôsobilo masívne škody.
master	majster	Stala sa majsterkou vo vyjednávaní.
matching	ladiaci	Mal na sebe ladiace topánky a opasok.
maximum	maximálny	Miestnosť dosiahla maximálnu kapacitu.
means	prostriedok	E-mail je náš hlavný komunikačný prostriedok.
measurement	meranie	Meranie bolo mierne nepresné.
melt	topiť sa	Sneh sa do poludnia roztopí.
military	vojenský	Vojenská základňa bola vlani zatvorená.
mineral	minerál	Železo je dôležitý minerál.
minimum	minimálny	Minimálny vek je osemnásť rokov.
minister	minister	Minister zodpovedal ťažké otázky.
minor	menší	Nehoda spôsobila menšie škody.
minority	menšina	Menšina bola proti novému pravidlu.
mission	misia	Ich misia sa skončila bezpečne.
mixed	zmiešaný	Správa vyvolala zmiešané reakcie.
modify	upraviť	Návrh môžeme upraviť neskôr.
monitor	sledovať	Zdravotná sestra bude sledovať jeho stav.
moral	morálny	Príbeh má morálne ponaučenie.
motor	motor	Motor sa bez varovania zastavil.
mount	namontovať	Kamery namontujú blízko vchodu.
multiple	viacero	Meškanie spôsobilo viacero faktorov.
multiply	vynásobiť	Vynásobte to číslo desiatimi.
mysterious	záhadný	Vonku sa objavilo záhadné svetlo.
neat	úhľadný	Jej stôl je vždy úhľadný.
nerve	nerv	Zranenie poškodilo nerv.
nevertheless	napriek tomu	Úloha bola ťažká, napriek tomu sme ju dokončili.
nightmare	nočná mora	Cesta sa stala nočnou morou.
notion	predstava	Odmietnite predstavu, že zmena je nemožná.
numerous	početný	Túto myšlienku podporujú početné štúdie.
obey	dodržiavať	Vodiči musia dodržiavať značky.
objective	cieľ	Naším cieľom je znížiť množstvo odpadu.
obligation	povinnosť	Rodičia majú povinnosť chrániť deti.
observation	postreh	Jeho postreh zmenil diskusiu.
