source_headword	HR	example_HR
ability	sposobnost; vještina	Njezina sposobnost plivanja je jasna.
able	sposoban; u stanju	On može doći danas.
abroad	u inozemstvu	Ona želi studirati u inozemstvu.
accept	prihvatiti	Molim te, prihvati ovaj mali poklon.
accident	nesreća	Nesreća se dogodila blizu škole.
according to	prema; po	Prema izvješću, dolazi kiša.
achieve	postignuti	Možeš postići svoj cilj.
act	djelovati; glumiti	On može glumiti u predstavi.
active	aktivan	Ona je aktivna svaki dan.
actually	zapravo	Zapravo trebam više vremena.
advantage	prednost	Ovaj plan ima prednost.
adventure	pustolovina	Njihovo putovanje bilo je pustolovina.
advertise	oglašavati	Oni oglašavaju novi posao.
advertisement	oglas; reklama	Vidio sam oglas.
advertising	oglašavanje	Oglašavanje pomaže prodavati hranu.
affect	utjecati na	San može utjecati na tvoje zdravlje.
against	protiv; uz	Ne naslanjaj se na zid.
ah	ah	Ah, sada razumijem.
airline	zrakoplovna tvrtka	Zrakoplovna tvrtka je vrlo zauzeta.
alive	živ	Mala riba je živa.
all right	u redu; dobro	Sada je sve u redu.
allow	dopustiti; omogućiti	Ovdje dopuštaju pse.
almost	gotovo; skoro	Gotovo smo spremni.
alone	sam; sama	Ona živi sama.
along	duž; uz	Hodaj uz ovu cestu.
already	već	Već znam odgovor.
alternative	alternativa	Ovaj vlak je alternativa.
although	iako; premda	Iako je kasno, možemo ostati.
among	među	On je stajao među drvećem.
amount	količina; iznos	Količina je premala.
ancient	drevan; antički	Ovaj drevni zid je poznat.
ankle	gležanj	Danas me boli gležanj.
anybody	itko; bilo tko	Može li itko odgovoriti?
any more	više	Više mi ne treba.
anyway	svejedno; ionako	Svejedno možemo početi sada.
anywhere	bilo gdje	Sjedni bilo gdje želiš.
app	aplikacija	Ova aplikacija je korisna.
appear	pojaviti se	Njezino ime će se pojaviti ovdje.
appearance	izgled; pojava	Njegov izgled je drukčiji.
apply	prijaviti se; primijeniti	Prijavi se za posao danas.
architect	arhitekt	Arhitekt ima plan.
architecture	arhitektura	Volim modernu arhitekturu.
argue	svađati se; raspravljati	Nemoj se svađati sa sestrom.
argument	svađa; argument	Svađa je bila kratka.
army	vojska	Vojska je velika.
arrange	organizirati; urediti	Molim te, organiziraj sastanak.
arrangement	dogovor; aranžman	Dogovor dobro funkcionira.
asleep	zaspao; zaspala	Beba je zaspala.
assistant	asistent; pomoćnik	Asistent mi je pomogao.
athlete	sportaš; atletičar	Sportaš brzo trči.
attack	napad; napasti	Pas može napasti.
attend	pohađati; prisustvovati	Danas pohađam nastavu.
attention	pažnja	Molim te, obrati pažnju sada.
attractive	privlačan	Vrt je privlačan.
audience	publika	Publika je bila tiha.
author	autor	Autor je napisao ovu knjigu.
available	dostupan; raspoloživ	Hrana je sada dostupna.
average	prosječan; prosjek	Prosječan rezultat bio je dobar.
avoid	izbjegavati	Izbjegavaj prometnu cestu.
award	nagrada	Ona je osvojila nagradu.
awful	grozan	Vrijeme je bilo grozno.
background	pozadina; podrijetlo	Slika ima tamnu pozadinu.
badly	loše	On je danas igrao loše.
bar	bar	Sreli smo se u hotelskom baru.
baseball	bejzbol	Bejzbol je ovdje popularan.
based	temeljen	Film je temeljen na knjizi.
basketball	košarka	Igramo košarku poslije škole.
bean	grah; zrno	Ovo zrno graha je zeleno.
bear (animal)	medvjed	Medvjed živi u šumi.
beat	pobijediti; tući	Naša ekipa ih može pobijediti.
beef	govedina	Jeo sam govedinu za večeru.
behave	ponašati se	Molim te, ponašaj se u razredu.
behaviour	ponašanje	Njegovo ponašanje bilo je pristojno.
belong	pripadati	Ove cipele pripadaju meni.
belt	remen	Njegov remen je crn.
benefit	korist; dobrobit	Vježbanje ima pravu korist.
billion	milijarda	Milijarda je ogroman broj.
bin	kanta; koš	Stavi papir u koš.
biology	biologija	Biologija je moj najbolji predmet.
birth	rođenje	Njezino rođenje bilo je u svibnju.
biscuit	keks	Ona jede keks.
bit	malo; komadić	Trebam još malo vremena.
blank	prazan; praznina	Napiši ime u prazno mjesto.
blood	krv	Krv je crvena.
blow	puhati	Vjetar može jako puhati.
board	ploča; daska	Napiši to na ploču.
boil	kuhati; prokuhati	Prvo prokuhaj vodu.
bone	kost	Pas ima kost.
borrow	posuditi	Mogu li posuditi tvoju olovku?
boss	šef	Moj šef je prijateljski raspoložen.
bottom	dno; donji dio	Potpiši se na dnu.
bowl	zdjela	Zdjela je puna.
brain	mozak	Tvoj mozak treba odmor.
bridge	most	Most je star.
bright	svijetao; bistar	Soba je svijetla.
brilliant	sjajan; izvrstan	Ta ideja je sjajna.
broken	slomljen; pokvaren	Stolica je slomljena.
brush	četka; četkati	Operi zube sada.
burn	gorjeti; izgorjeti	Nemoj spaliti kruh.
businessman	poslovni čovjek	Poslovni čovjek stigao je rano.
button	gumb	Pritisni crveni gumb.
camp	kamp; kampirati	Kampiramo blizu jezera.
camping	kampiranje	Kampiranje je zabavno ljeti.
can2	limenka	Pažljivo otvori limenku.
care	briga; skrb	Brini se za svoje zdravlje.
careful	pažljiv	Budi pažljiv na stepenicama.
carefully	pažljivo	Pažljivo pročitaj pitanje.
carpet	tepih	Tepih je mekan.
cartoon	crtić	Ovaj crtić je smiješan.
case	slučaj; kutija	Stavi to u kutiju.
cash	gotovina	Platio sam gotovinom.
castle	dvorac	Dvorac je vrlo star.
catch	uhvatiti	Uhvati loptu sada.
cause	uzrok; uzrokovati	Kiša može uzrokovati probleme.
celebrate	slaviti; proslaviti	Slavimo moj rođendan.
celebrity	slavna osoba	Slavna osoba bila je vrlo ljubazna.
certain	siguran; određen	Siguran sam u ovo.
certainly	sigurno; svakako	Sigurno ću pomoći.
chance	prilika; šansa	Imaš priliku.
character	lik; karakter	Ovaj lik je hrabar.
charity	dobrotvorna organizacija; dobrotvornost	Organizacija pomaže djeci.
chat	razgovarati; razgovor	Razgovaramo poslije nastave.
chef	kuhar	Kuhar je napravio juhu.
chemistry	kemija	Kemija mi je teška.
chip	čips; komadić	Ovaj čips je slan.
choice	izbor	Ovaj izbor je važan.
church	crkva	Crkva je blizu ovdje.
cigarette	cigareta	Cigareta je loša za zdravlje.
circle	krug	Nacrtaj krug ovdje.
classical	klasičan	Volim klasičnu glazbu.
clear	jasan	Odgovor je jasan.
clearly	jasno	Govori jasno, molim te.
clever	pametan	Ona je pametno dijete.
climate	klima	Klima se mijenja.
close2	blizu; blizak	Moja škola je blizu doma.
closed	zatvoren	Trgovina je zatvorena.
clothing	odjeća	Topla odjeća je korisna.
cloud	oblak	Oblak pokriva sunce.
coach	trener; autobus	Trener je pomogao ekipi.
coast	obala	Vozili smo uz obalu.
code	kod; šifra	Unesi kod ovdje.
colleague	kolega	Moj kolega me nazvao.
collect	skupljati; kolekcionirati	Skupljam stare kartice.
column	stupac	Pročitaj prvi stupac.
comedy	komedija	Ova komedija je smiješna.
comfortable	udoban	Ova stolica je udobna.
comment	komentar	Ostavi komentar ispod.
communicate	komunicirati	Komuniciramo e-poštom.
community	zajednica	Naša zajednica je prijateljska.
compete	natjecati se	Natječu se svake godine.
competition	natjecanje	Natjecanje počinje sutra.
complain	žaliti se	Nemoj se opet žaliti.
completely	potpuno	Potpuno se slažem s tobom.
condition	stanje; uvjet	Auto je u dobrom stanju.
conference	konferencija	Konferencija počinje u devet.
connect	povezati	Poveži telefon s računalom.
connected	povezan	Te dvije ideje su povezane.
consider	razmotriti	Molim te, razmotri moju ideju.
contain	sadržavati	Ova kutija sadrži knjige.
context	kontekst	Kontekst ti pomaže razumjeti.
continent	kontinent	Kontinent je vrlo velik.
continue	nastaviti	Nastavi čitati, molim te.
control	kontrola; kontrolirati	Pažljivo kontroliraj brzinu.
cooker	štednjak	Štednjak je čist.
copy	kopija; kopirati	Napravi kopiju za mene.
corner	kut	Sjedni u kut.
correctly	točno; ispravno	Napiši odgovor točno.
count	brojati	Prebroji knjige.
couple	par; nekoliko	Par je stigao rano.
cover	pokriti; naslovnica	Pokrij zdjelu.
crazy	lud	Ova ideja zvuči ludo.
creative	kreativan	Ona ima kreativnu ideju.
credit	kredit; kreditna kartica	Platio sam kreditnom karticom.
crime	zločin; kriminal	Kriminal je ozbiljan problem.
criminal	kriminalac; zločinac	Kriminalac je brzo otišao.
cross	prijeći; križ	Pažljivo prijeđi ulicu.
crowd	gomila; mnoštvo	Gomila je čekala vani.
crowded	prepun	Vlak je bio prepun.
cry	plakati	Nemoj plakati sada.
cupboard	ormar	Šalice su u ormaru.
curly	kovrčav	Ona ima kovrčavu kosu.
cycle	voziti bicikl; ciklus	Vozim bicikl do škole.
daily	dnevni; svakodnevno	Svakodnevno čitam vijesti.
danger	opasnost	Znak pokazuje opasnost.
data	podaci	Podaci su korisni.
dead	mrtav; uvenuo	Biljka je mrtva.
deal	dogovor; ponuda	Ovo je dobra ponuda.
death	smrt	Smrt je teška tema.
decision	odluka	Donesi odluku danas.
deep	dubok	Voda je duboka.
definitely	definitivno; svakako	Svakako želim čaj.
degree	stupanj; diploma	Moja diploma je iz povijesti.
dentist	zubar	Zubar mi je pregledao zube.
department	odjel	Odjel s cipelama je gore.
depend	ovisiti	To ovisi o vremenu.
desert	pustinja	Pustinja je vrlo suha.
designer	dizajner	Dizajner je napravio ovu haljinu.
destroy	uništiti	Nemoj uništiti datoteku.
detective	detektiv	Detektiv je pronašao ključ.
develop	razvijati	Oni razvijaju novu aplikaciju.
device	uređaj	Ovaj uređaj je koristan.
diary	dnevnik	Ona piše u svoj dnevnik.
differently	drugačije	Radimo to drugačije.
digital	digitalan	Ovo je digitalni fotoaparat.
direct	izravan; direktan	Uzmi izravan vlak.
direction	smjer	Hodaj u ovom smjeru.
director	direktor; redatelj	Redatelju se svidio film.
disagree	ne slagati se	Ne slažem se s tom idejom.
disappear	nestati	Sunce će uskoro nestati.
disaster	katastrofa	Oluja je bila katastrofa.
discover	otkriti	Oni otkrivaju novi otok.
discovery	otkriće	Otkriće je promijenilo znanost.
discussion	rasprava	Rasprava je završila rano.
disease	bolest	Ova bolest je ozbiljna.
distance	udaljenost	Udaljenost je kratka.
divorced	razveden	Njezini roditelji su razvedeni.
document	dokument	Spremi ovaj dokument sada.
double	dvostruk	Trebam dvokrevetnu sobu.
download	preuzeti; preuzimanje	Preuzmi aplikaciju danas.
drama	drama	Drama počinje večeras.
drawing	crtež	Njezin crtež je lijep.
dream	san; sanjati	Imao sam čudan san.
driving	vožnja	Vožnja noću je teška.
drop	ispustiti; kap	Nemoj ispustiti čašu.
drug	lijek; droga	Lijek mu je pomogao.
dry	suh	Ručnik je suh.
earn	zaraditi	Zarađujem novac na poslu.
earth	Zemlja; zemlja	Zemlja je okrugla.
easily	lako	Ona lako uči.
education	obrazovanje	Obrazovanje je važno.
effect	učinak	Učinak je bio jasan.
either	bilo koji; ili	Bilo koji odgovor je dobar.
electric	električan	Ovaj automobil je električan.
electrical	električni	Električni sustav je siguran.
electricity	struja; električna energija	Struja je ovdje skupa.
electronic	elektronički	Ova elektronička karta radi.
employ	zaposliti	Oni zapošljavaju pet ljudi.
employee	zaposlenik	Zaposlenik puno radi.
employer	poslodavac	Moj poslodavac je pravedan.
empty	prazan	Soba je prazna.
ending	završetak	Završetak je bio iznenađujući.
energy	energija	Danas nemam energije.
engine	motor	Motor je glasan.
engineer	inženjer	Inženjer je popravio most.
enormous	ogroman	Zgrada je ogromna.
enter	ući; unijeti	Uđi u sobu tiho.
environment	okoliš	Štiti okoliš.
equipment	oprema	Ova oprema je skupa.
error	pogreška	Pronašao sam pogrešku.
especially	posebno	Posebno volim ovu pjesmu.
essay	esej	Napiši esej večeras.
everyday	svakodnevni	Ovo je svakodnevni engleski.
everywhere	svugdje	Cvijeće raste svugdje.
evidence	dokaz	Dokaz je jasan.
exact	točan	Daj točan broj.
exactly	točno	To je točno.
excellent	izvrstan	Tvoj rad je izvrstan.
except	osim	Svi su došli osim mene.
exist	postojati	Postoji li ova adresa?
expect	očekivati	Očekujem kišu sutra.
experience	iskustvo	Imam iskustva s djecom.
experiment	eksperiment	Eksperiment je dobro uspio.
expert	stručnjak	Pitaj stručnjaka za pomoć.
explanation	objašnjenje	Njezino objašnjenje bilo je jasno.
express	izraziti	Molim te, izrazi svoje mišljenje.
expression	izraz	Ovaj izraz je čest.
extreme	ekstreman	Vrućina je bila ekstremna.
extremely	izuzetno	Izuzetno je hladno.
factor	faktor; čimbenik	Cijena je jedan čimbenik.
factory	tvornica	Tvornica se zatvara u pet.
fail	ne uspjeti; pasti	Nisam pao.
fair	pošten; pravedan	Cijena je pravedna.
fan	ventilator; obožavatelj	Uključi ventilator.
farming	poljoprivreda	Poljoprivreda je težak posao.
fashion	moda	Moda se mijenja svake godine.
fear	strah	Strah može zaustaviti ljude.
feature	značajka	Ovaj telefon ima korisnu značajku.
feed	hraniti	Nahrani mačku sada.
female	ženski; žena	Sportašica je pobijedila.
fiction	fikcija; beletristika	Ona čita beletristiku navečer.
field	polje; područje	Polje je zeleno.
fight	boriti se; svađa	Previše se svađaju.
figure	figura; brojka	Pogledaj figuru.
finally	napokon	Napokon smo stigli kući.
finger	prst	Boli me prst.
firstly	prvo	Prvo pročitaj pitanje.
fishing	ribolov	Ribolov je ovdje popularan.
fit	odgovarati; pristajati	Ove cipele mi dobro pristaju.
fix	popraviti	Popravi slomljenu stolicu.
flu	gripa	Imam gripu.
flying	letenje	Letenje je brzo.
focus	usredotočiti se; fokus	Usredotoči se na ovaj zadatak.
following	sljedeći	Pročitaj sljedeću rečenicu.
foreign	strani	Ona govori strani jezik.
