simplified	PT	example_PT
哎	eh; olha	Eh, o que te traz aqui?
唉	ai; suspiro	Ai, cheguei atrasado outra vez.
爱护	cuidar de; proteger	Devemos cuidar do ambiente.
爱惜	valorizar; estimar	Por favor, valoriza o teu tempo.
爱心	o carinho; a compaixão	Ela é muito carinhosa.
安慰	consolar; confortar	O meu amigo consolou-me.
安装	instalar	O trabalhador está a instalar o ar condicionado.
岸	a margem; a costa	O barco aproxima-se lentamente da margem.
暗	escuro; sombrio	O quarto está muito escuro.
熬夜	ficar acordado até tarde	Ficar acordado até tarde faz mal à saúde.
把握	a certeza; agarrar	Não tenho a certeza de conseguir fazer bem isto.
摆	dispor; arrumar	Por favor, arruma as cadeiras de forma ordenada.
办理	tratar de; processar	Vou ao banco tratar de uns assuntos.
傍晚	ao fim da tarde	Ao fim da tarde vamos dar um passeio.
包裹	a encomenda; o pacote	Recebi uma encomenda.
包含	conter; incluir	O preço inclui o pequeno-almoço.
包括	incluir	A taxa inclui o almoço.
薄	fino; delgado	Este livro é muito fino.
保持	manter	Por favor, mantém o silêncio.
保存	guardar; conservar	Por favor, guarda este ficheiro.
保留	reservar; conservar	Por favor, reserva um lugar para mim.
保险	o seguro	Comprei um seguro de viagem.
宝贝	o tesouro; o querido	Este é o meu tesouro.
宝贵	valioso; precioso	O tempo é muito valioso.
报到	registar-se; apresentar-se	Os novos alunos vêm hoje à escola registar-se.
报道	a notícia; noticiar	As notícias noticiaram este assunto.
报告	o relatório; fazer uma apresentação	Ele está a fazer uma apresentação.
报社	o jornal; a redação	Ela trabalha num jornal.
抱怨	queixar-se	Ele está sempre a queixar-se de ter trabalho a mais.
悲观	pessimista	Não sejas demasiado pessimista.
背	as costas	Ele está sentado de costas para a porta.
背景	o contexto; os antecedentes	Por favor, apresenta brevemente o teu contexto.
被子	o edredão	O edredão é muito quente.
本科	a licenciatura; de licenciatura	Ele é estudante de licenciatura.
本领	a competência; a habilidade	Ele aprendeu uma nova competência.
本质	a essência; a natureza	A essência do problema é muito simples.
彼此	um ao outro; mutuamente	Devemos respeitar-nos mutuamente.
比例	a proporção	A proporção entre homens e mulheres é quase igual.
必然	inevitável; certamente	O esforço trará inevitavelmente resultados.
必要	necessário; essencial	Não há necessidade de te preocupares.
毕竟	afinal	Afinal, ele ainda é uma criança.
避免	evitar	Por favor, evita chegar atrasado.
编辑	editar; o editor	Ele é responsável por editar este artigo.
鞭炮	os foguetes; os petardos	Durante a Festa da Primavera, algumas pessoas lançam foguetes.
便	então; logo	Depois de comer, foi para a aula.
辩论	debater; o debate	Eles estão a debater esta questão.
标点	a pontuação	Por favor, presta atenção à pontuação.
标志	o sinal; o símbolo	A luz vermelha é um sinal para parar.
表达	expressar	Ele expressou a própria opinião.
表面	a superfície	A superfície da mesa está muito limpa.
表明	mostrar; indicar	O resultado mostra que ele tem razão.
表情	a expressão	A expressão dela é muito séria.
表现	o desempenho; comportar-se	Hoje ele teve um desempenho muito bom.
冰激凌	o gelado	As crianças gostam de comer gelado.
病毒	o vírus	Este tipo de vírus espalha-se muito rapidamente.
播放	tocar; reproduzir	Por favor, toca esta canção.
玻璃	o vidro	O copo de vidro partiu-se.
博物馆	o museu	Vamos ao museu no fim de semana.
脖子	o pescoço	O meu pescoço dói um pouco.
不断	continuamente; sem parar	Os preços continuam a subir.
不见得	não necessariamente; não é certo	Isto não é necessariamente uma coisa má.
不耐烦	impaciente; a impaciência	Depois de esperar muito tempo, ele ficou um pouco impaciente.
不要紧	não faz mal; não é grave	Está tudo bem, não faz mal.
补充	acrescentar; complementar	Quero acrescentar uma opinião.
不安	inquieto; instável; a inquietação	Ao ouvir esta notícia, ela ficou inquieta.
不得了	muito grave; extraordinário	Este assunto é mesmo grave.
不然	caso contrário; senão	Vai depressa, senão vais chegar atrasado.
不如	ser melhor; não ser tão bom como	Em vez de ir de carro, é melhor ir a pé.
不足	insuficiente; a falta	A água aqui não é suficiente.
布	o tecido; o pano	Este tecido é muito macio.
步骤	o passo; a etapa	Por favor, segue os passos.
部门	o departamento; a secção	Trabalho no departamento de vendas.
财产	a propriedade; os bens	Esta casa é propriedade dele.
彩虹	o arco-íris	Depois da chuva apareceu um arco-íris.
踩	pisar	Não pises a relva.
采访	entrevistar; a entrevista	O jornalista está a entrevistar o médico.
采取	adotar; tomar	Adotámos um novo método.
参考	consultar; a referência	Por favor, consulta este livro.
参与	participar	Ele participa ativamente nas atividades.
惭愧	envergonhado; sentir vergonha	Tenho vergonha do meu erro.
操场	o campo de jogos; o recreio	Os alunos estão a correr no campo de jogos.
操心	preocupar-se	Não te preocupes comigo.
册	o volume; o tomo	Comprei um volume de um livro.
测验	o teste; testar	Amanhã há um pequeno teste.
曾经	uma vez; outrora; já	Eu já morei em Pequim.
叉子	o garfo	Como salada com um garfo.
差距	a diferença; a disparidade	Há uma diferença entre a cidade e o campo.
插	inserir; pôr	Por favor, põe as flores na jarra.
拆	desmontar; demolir	Os trabalhadores estão a demolir a casa antiga.
产品	o produto	Este produto tem muito boa qualidade.
产生	surgir; produzir	Este problema produziu um novo efeito.
常识	o senso comum; os conhecimentos gerais	Isto é senso comum básico.
长途	de longa distância	Uma viagem de longa distância é cansativa.
抄	copiar; plagiar	Por favor, não copies os trabalhos dos outros.
超级	super; de nível superior	Isto é um supermercado.
朝	a dinastia; a corte	A dinastia Tang é muito famosa.
潮湿	húmido	O verão no sul é muito húmido.
吵	barulhento; fazer barulho	Lá fora está muito barulho.
吵架	discutir; a discussão	Eles voltaram a discutir.
炒	saltear; frito	A mãe está a saltear legumes.
车库	a garagem	O carro está estacionado na garagem.
车厢	a carruagem	Esta carruagem está muito silenciosa.
彻底	completo; completamente	Ele compreendeu completamente.
沉默	silencioso; o silêncio	Ele manteve-se em silêncio o tempo todo.
趁	aproveitar	Aproveitemos enquanto ainda não escureceu.
称	pesar; chamar; declarar	Por favor, pesa esta encomenda.
称呼	tratar por; a forma de tratamento	Não sei como o devo tratar.
称赞	elogiar	O professor elogiou o progresso dele.
成分	o ingrediente; a composição	Os ingredientes deste medicamento são simples.
成果	o resultado; a conquista	Este projeto obteve resultados.
成就	a realização; a conquista	Ele tem muitas conquistas na carreira.
成立	fundar; estabelecer	A empresa foi fundada no ano passado.
成人	o adulto	O bilhete de adulto é mais caro do que o de criança.
成熟	maduro	As maçãs já estão maduras.
成语	o chengyu; a expressão idiomática chinesa	Este chengyu é muito usado.
成长	crescer; o crescimento	A criança está a crescer devagar.
承担	assumir; encarregar-se	Ele está disposto a assumir a responsabilidade.
承认	admitir; reconhecer	Ele admitiu que estava errado.
承受	suportar; aguentar	Não consigo aguentar tanta pressão.
程度	o nível; o grau	O nível de chinês dele é muito alto.
程序	o procedimento; a sequência	Por favor, trata disto de acordo com o procedimento.
诚恳	sincero; honesto	A atitude dele é muito sincera.
吃亏	ficar prejudicado; sair a perder	Olha bem antes de comprar, para não saíres a perder.
持续	continuar; durar	A chuva durou três dias.
池塘	o lago; o charco	Há muitos peixes no lago.
迟早	mais cedo ou mais tarde	Mais cedo ou mais tarde vais compreender.
尺子	a régua	Por favor, mede isto com uma régua.
翅膀	a asa	A asa da ave ficou ferida.
充电器	o carregador	O meu carregador avariou-se.
充分	suficiente; pleno	Fizemos uma preparação suficiente.
充满	estar cheio de; encher-se de	A sala encheu-se de risos.
冲	enxaguar; chocar contra	Por favor, enxagua o copo com água.
重复	repetir; duplicar	Por favor, não repitas o mesmo erro.
宠物	o animal de estimação	Ela tem um cão de estimação.
抽屉	a gaveta	A chave está na gaveta.
抽象	abstrato	Este conceito é demasiado abstrato.
丑	feio	Esta fotografia está um pouco feia.
臭	malcheiroso; cheirar mal	O lixo cheira mal.
出版	publicar	Este livro foi publicado no ano passado.
出口	a saída; exportar	A saída fica à frente.
出色	excelente; notável	O desempenho dela é excelente.
