simplified	MY	example_MY
挨	သည်းခံသည်; ခက်ခဲသောကာလကို ကျော်ဖြတ်သည်	သူသည် တစ်ညလုံး သည်းခံပြီး နောက်ဆုံးတွင် မိုးလင်းချိန်အထိ စောင့်နိုင်ခဲ့သည်။
癌症	ကင်ဆာရောဂါ	ကင်ဆာရောဂါကို စောစောတွေ့ရှိခြင်းသည် အလွန်အရေးကြီးသည်။
暧昧	မရှင်းလင်းသော; အဓိပ္ပာယ်နှစ်ခွရှိသော	သူ၏အဖြေက အလွန်မရှင်းလင်းပါ။
爱不释手	အလွန်နှစ်သက်၍ လက်မလွှတ်ချင်သော	သူမသည် ဒီစာအုပ်ကို အလွန်နှစ်သက်၍ လက်မလွှတ်ချင်တော့ပါ။
爱戴	ချစ်ခင်လေးစားသည်	ဤဆရာကို ကျောင်းသားများက အလွန်ချစ်ခင်လေးစားကြသည်။
安宁	ငြိမ်းချမ်းသော; တိတ်ဆိတ်အေးချမ်းသော	ဤနေရာ၏ ညအချိန်သည် အလွန်ငြိမ်းချမ်းသည်။
安详	အေးချမ်းတည်ငြိမ်သော	အဘိုး၏ မျက်နှာအမူအရာသည် အလွန်အေးချမ်းတည်ငြိမ်သည်။
安置	နေရာချထားသည်; ပြန်လည်နေရာချထားသည်	အစိုးရသည် ဘေးဒဏ်ခံရသူများကို ပြန်လည်နေရာချထားခဲ့သည်။
按摩	နှိပ်နယ်ခြင်း; နှိပ်နယ်သည်	ကျွန်တော် နှိပ်နယ်ခြင်းတစ်ခု ကြိုတင်မှာယူထားသည်။
暗示	အရိပ်အမြွက်ပြသည်; အရိပ်အမြွက်	သူမက ကျွန်တော် မေးခြင်းကို ရပ်ရန် အရိပ်အမြွက်ပြခဲ့သည်။
案件	အမှု; တရားရေးအမှု	ရဲများသည် ဤအမှုကို စုံစမ်းနေကြသည်။
案例	ဖြစ်ရပ်နမူနာ; အမှုနမူနာ	ဤဖြစ်ရပ်နမူနာသည် ကိုယ်စားပြုမှု အလွန်ရှိသည်။
昂贵	စျေးကြီးသော; ကုန်ကျစရိတ်မြင့်သော	ဤစက်ပစ္စည်းသည် အလွန်စျေးကြီးသည်။
凹凸	မညီညာသော; အဖုအထစ်ရှိသော	ဤလမ်းမျက်နှာပြင်သည် မညီညာပါ။
熬	ကြာကြာပြုတ်သည်; သည်းခံသည်	သူသည် သုံးရက်ကြာ သည်းခံကြိုးစားပြီးမှ အစီရင်ခံစာကို ပြီးစီးခဲ့သည်။
奥秘	နက်နဲသော လျှို့ဝှက်ချက်	သိပ္ပံပညာရှင်သည် ဤနက်နဲသော လျှို့ဝှက်ချက်ကို ဖော်ထုတ်ချင်သည်။
巴不得	အလွန်လိုလားသည်; မစောင့်နိုင်လောက်အောင် ဖြစ်သည်	ကျွန်တော် အခုချက်ချင်း ထွက်ခွာချင်လွန်းသည်။
巴结	မျက်နှာလုပ်သည်; မျက်နှာသာရရန် ကြိုးစားသည်	သူသည် ခေါင်းဆောင်များကို မျက်နှာလုပ်လိုခြင်း မရှိပါ။
扒	ကပ်ကိုင်သည်; ဖယ်ရှားသည်; တူးထုတ်သည်	ကလေးသည် တံခါးကို ကပ်ကိုင်ပြီး အပြင်ကို ကြည့်နေသည်။
疤	အမာရွတ်	သူ၏လက်မောင်းပေါ်တွင် အမာရွတ်တစ်ခု ရှိသည်။
拔苗助长	အလောတကြီးလုပ်၍ အကျိုးပျက်စေသည်	ကလေးကို ဤသို့ အတင်းစာကျက်ခိုင်းခြင်းသည် အလောတကြီးလုပ်၍ အကျိုးပျက်စေခြင်းသာ ဖြစ်သည်။
把关	စစ်ဆေးထိန်းချုပ်သည်; ကြပ်မတ်သည်	ဤစာချုပ်ကို ရှေ့နေက စစ်ဆေးထိန်းချုပ်ရန် လိုသည်။
把手	လက်ကိုင်; ကိုင်စရာ	တံခါး၏ လက်ကိုင် ပျက်နေသည်။
罢工	သပိတ်မှောက်သည်; အလုပ်ရပ်နားသပိတ်	အလုပ်သမားများသည် မနက်ဖြန် သပိတ်မှောက်ရန် ဆုံးဖြတ်ခဲ့ကြသည်။
霸道	အာဏာဆန်သော; မတရားကြမ်းတမ်းသော	သူ၏ပြောပုံက အလွန်အာဏာဆန်သည်။
掰	လက်နှစ်ဖက်ဖြင့် ချိုးသည်; ခွဲသည်	သူမသည် ပေါင်မုန့်ကို နှစ်ခြမ်း ချိုးလိုက်သည်။
摆脱	လွတ်မြောက်သည်; ဖယ်ရှားပစ်သည်	သူသည် နောက်ဆုံးတွင် မကောင်းသောအကျင့်ကို ဖယ်ရှားနိုင်ခဲ့သည်။
拜访	သွားရောက်လည်ပတ်သည်	ကျွန်ုပ်တို့သည် စနေ၊ တနင်္ဂနွေတွင် ဆရာကို သွားရောက်လည်ပတ်မည်။
拜年	နှစ်သစ်ကူးနှုတ်ဆက်သည်	နွေဦးပွဲတော်တွင် ကျွန်ုပ်တို့သည် အဘိုးအဘွားများကို နှစ်သစ်ကူးနှုတ်ဆက်ရန် သွားကြသည်။
拜托	အပ်နှံတောင်းဆိုသည်; ကျေးဇူးပြု၍ ကူညီပါ	ဤကိစ္စကို သင့်အား အပ်နှံတောင်းဆိုပါသည်။
败坏	ပျက်စီးစေသည်; ဂုဏ်သိက္ခာကျစေသည်	ဤအပြုအမူမျိုးသည် ကုမ္ပဏီ၏ နာမည်ကို ပျက်စီးစေမည်။
斑	အကွက်; အစက်အပြောက်	ကြောင်၏ကိုယ်ပေါ်တွင် အနက်ရောင် အကွက်တစ်ခု ရှိသည်။
颁布	ထုတ်ပြန်သည်; ကြေညာပြဋ္ဌာန်းသည်	စည်းမျဉ်းသစ်ကို နောက်အပတ်တွင် ထုတ်ပြန်မည်။
