simplified	BN	example_BN
挨	সহ্য করে থাকা	সে সারা রাত সহ্য করে থেকে অবশেষে ভোরের অপেক্ষা পেল।
癌症	ক্যানসার	প্রাথমিক পর্যায়ে ক্যানসার ধরা পড়া খুব গুরুত্বপূর্ণ।
暧昧	অস্পষ্ট	তার উত্তর খুব অস্পষ্ট ছিল।
爱不释手	হাতছাড়া করতে না চাওয়া	সে বইটি এত পছন্দ করেছে যে হাতছাড়া করতে চাইছে না।
爱戴	শ্রদ্ধা ও ভালোবাসা	এই শিক্ষক ছাত্রদের গভীর শ্রদ্ধা ও ভালোবাসা পান।
安宁	শান্তি	এখানকার রাত খুব শান্ত।
安详	প্রশান্ত	বৃদ্ধের মুখভঙ্গি খুব প্রশান্ত ছিল।
安置	পুনর্বাসন করা	সরকার দুর্যোগে ক্ষতিগ্রস্ত মানুষদের পুনর্বাসন করেছে।
按摩	মালিশ	আমি একটি মালিশের সময় বুক করেছি।
暗示	ইঙ্গিত করা	সে আমাকে আর জিজ্ঞেস না করতে ইঙ্গিত করল।
案件	মামলা	পুলিশ এই মামলাটি তদন্ত করছে।
案例	উদাহরণমূলক ঘটনা	এই ঘটনাটি খুব প্রতিনিধিত্বশীল উদাহরণ।
昂贵	দামি	এই যন্ত্রটি খুব দামি।
凹凸	উঁচু-নিচু	এই রাস্তার পৃষ্ঠ উঁচু-নিচু।
熬	কষ্ট করে টিকে থাকা	সে তিন দিন কষ্ট করে টিকে থেকে রিপোর্ট শেষ করেছে।
奥秘	রহস্য	বিজ্ঞানীরা এই রহস্য উন্মোচন করতে চান।
巴不得	অধীর হয়ে চাওয়া	আমি এখনই রওনা হতে অধীর হয়ে আছি।
巴结	তোষামোদ করা	সে নেতার তোষামোদ করতে চায় না।
扒	আকড়ে ধরা	শিশুটি দরজা আকড়ে বাইরে তাকাচ্ছিল।
疤	দাগ	তার বাহুতে একটি দাগ আছে।
拔苗助长	জোর করে দ্রুত বাড়াতে চাওয়া	এভাবে শিশুকে পড়তে বাধ্য করা জোর করে দ্রুত বাড়াতে চাওয়ার মতো।
把关	শেষ যাচাই করা	এই চুক্তিটি আইনজীবীর শেষ যাচাই দরকার।
把手	হাতল	দরজার হাতল ভেঙে গেছে।
罢工	ধর্মঘট	শ্রমিকেরা কাল ধর্মঘটের সিদ্ধান্ত নিয়েছে।
霸道	আধিপত্যবাদী	তার কথা বলার ভঙ্গি খুব আধিপত্যবাদী।
掰	ভেঙে আলাদা করা	সে রুটিটি দু ভাগে ভেঙে আলাদা করল।
摆脱	মুক্তি পাওয়া	সে অবশেষে খারাপ অভ্যাস থেকে মুক্তি পেল।
拜访	সাক্ষাৎ করতে যাওয়া	আমরা সপ্তাহান্তে শিক্ষকের সঙ্গে সাক্ষাৎ করতে যাব।
拜年	নববর্ষের শুভেচ্ছা জানানো	বসন্ত উৎসবে আমরা দাদা-দাদিকে নববর্ষের শুভেচ্ছা জানাতে যাই।
拜托	অনুরোধ করে দায়িত্ব দেওয়া	এই কাজটি তোমাকে অনুরোধ করে দিলাম।
败坏	ক্ষতি করা	এ ধরনের আচরণ কোম্পানির সুনাম ক্ষতি করবে।
斑	দাগ	বিড়ালের গায়ে একটি কালো দাগ আছে।
