source_headword	JA	example_JA
fridge	冷蔵庫	牛乳は冷蔵庫にあります。
frog	カエル	カエルが池に飛び込みました。
furniture	家具	この家具は古いですが丈夫です。
further	さらに;もっと	さらに情報が必要です。
gallery	ギャラリー;美術館	ギャラリーは今日開いています。
gap	隙間;差	壁に隙間があります。
gas	ガソリン;ガス	その車にはガソリンが必要です。
gate	門	門を閉めてください。
general	一般的な	これは一般的な規則です。
gift	贈り物	彼女は贈り物を買いました。
goal	目標	私たちの目標は簡単です。
god	神	多くの人が神に祈ります。
gold	金;金色	その指輪は金です。
golf	ゴルフ	彼は今日ゴルフをします。
government	政府	政府は法律を変えました。
grass	草;芝生	草はぬれています。
greet	挨拶する	各客に丁寧に挨拶してください。
ground	地面;土地	地面に座ってください。
guest	客	私たちの客は早く着きました。
guide	案内人;案内する	ガイドが博物館を見せてくれました。
gun	銃	警察は銃を見つけました。
guy	男の人;やつ	あの男の人は私の兄です。
habit	習慣	毎日読むことは良い習慣です。
hall	廊下;ホール	廊下で待ってください。
happily	幸せに	彼らは一緒に幸せに暮らしました。
headache	頭痛	私は頭痛がします。
heart	心臓;心	彼女の心臓は速く打っています。
heat	温める;熱	スープをゆっくり温めてください。
heavy	重い	このかばんは重いです。
height	高さ;身長	テーブルの高さを測ってください。
helpful	役に立つ	あなたの助言は役に立ちました。
hero	英雄	彼は私の英雄です。
hers	彼女のもの	青いコートは彼女のものです。
herself	彼女自身	彼女は自分で夕食を作りました。
hide	隠す	鍵を箱の下に隠してください。
hill	丘	私たちは丘に登りました。
himself	彼自身	彼は自分でそれを直しました。
hit	打つ;ぶつかる	ドアをたたかないでください。
hockey	ホッケー	私たちは昨夜ホッケーを見ました。
hold	持つ;握る	私の手を握ってください。
hole	穴	私の靴下に穴があります。
huge	巨大な	その部屋はとても大きいです。
human	人間;人間の	すべての人間には水が必要です。
hurt	痛む;傷つける	私の膝が痛みます。
ideal	理想的な	この部屋は勉強に理想的です。
identify	識別する;確認する	この鳥を識別できますか。
ill	病気の	彼女は今日具合が悪いです。
illness	病気	その病気は一週間続きました。
image	画像;イメージ	その画像ははっきりしています。
immediately	すぐに	すぐにここへ来てください。
impossible	不可能な	このパズルは不可能に見えます。
included	含まれている	朝食は含まれています。
including	含めて	私を含めて十人が来ました。
increase	増える;増やす	夏には値段が上がります。
incredible	信じられない;すばらしい	その眺めはすばらしかったです。
independent	独立した	私の姉は独立しています。
individual	個人;個々の	各個人には番号があります。
industry	産業;業界	地元の産業は成長しています。
informal	非公式の	このメールは非公式です。
injury	けが	彼のけがは深刻ではありません。
insect	昆虫	昆虫がカップに止まりました。
inside	中に;内側	家の中で待ってください。
instead	その代わりに	その代わりに水を飲んでください。
instruction	指示;説明	各指示を注意深く読んでください。
instructor	指導者;インストラクター	インストラクターが運動を説明しました。
instrument	楽器;器具	彼女は楽器を演奏します。
intelligent	知的な;頭のよい	彼は頭のよい学生です。
international	国際的な	これは国際空港です。
introduction	紹介;導入	紹介は短かったです。
invent	発明する	子どもたちは新しいゲームを発明できます。
invention	発明	その発明は時間を節約しました。
invitation	招待;招待状	私は招待状を受け取りました。
invite	招待する	あなたの友達も招待してください。
involve	含む;関係する	その仕事には旅行が含まれます。
item	品物;項目	一つの品物を選んでください。
itself	それ自体	機械は自分で止まります。
jam	ジャム	パンにジャムを塗ってください。
jazz	ジャズ	今夜のジャズはすばらしく聞こえます。
jewellery	宝石;アクセサリー	彼女は宝石を箱に入れています。
joke	冗談	私に冗談を言ってください。
journalist	記者	記者は質問しました。
jump	跳ぶ	線を飛び越えてください。
kid	子ども	その子どもは笑っています。
kill	殺す	その昆虫を殺さないでください。
king	王	王は宮殿に住んでいました。
knee	膝	私の膝が痛みます。
knife	ナイフ	鋭いナイフを使ってください。
knock	ノックする;たたく	入る前にノックしてください。
knowledge	知識	知識は練習で増えます。
lab	実験室	実験室は閉まっています。
lady	女性;婦人	その女性は私たちに微笑みました。
lake	湖	湖は静かです。
lamp	ランプ	ランプをつけてください。
laptop	ノートパソコン	私のノートパソコンは新しいです。
last1 (taking time)	続く	その映画は二時間続きます。
laughter	笑い声	外で笑い声が聞こえました。
law	法律	法律は昨日変わりました。
lawyer	弁護士	弁護士が私に電話しました。
lazy	怠けた	怠けないでください。
lead1	導く;率いる	良いリーダーは手本で導きます。
leader	指導者;リーダー	彼女はチームのリーダーです。
learning	学習	学習には時間がかかります。
least	最も少ない;最も低い	最も安いものを選んでください。
lecture	講義	講義は十時に始まります。
lemon	レモン	お茶にレモンを加えてください。
lend	貸す	五ドル貸してくれますか。
less	より少ない	砂糖を少なく食べてください。
level	レベル;水準	このレベルは簡単です。
lifestyle	生活様式	彼は健康的な生活様式を持っています。
lift	持ち上げる	箱を注意して持ち上げてください。
light	火をつける	ろうそくに注意して火をつけてください。
light (not heavy)	軽い	このかばんは軽いです。
likely	ありそうな	明日は雨が降りそうです。
link	リンク	リンクを送ってください。
listener	聞き手	良い聞き手になってください。
lock	鍵をかける	ドアに鍵をかけてください。
lorry	トラック	トラックは箱を運びました。
lost	迷った;失くした	私たちは道に迷いました。
loud	大きな音の	音楽は大きいです。
loudly	大きな声で	大きな声で話さないでください。
lovely	すてきな;かわいい	なんてすてきな庭でしょう。
low	低い	その椅子は低いです。
luck	運	試験の幸運を祈ります。
lucky	運がよい	あなたは今日運がよいです。
mail	郵便;メール	今朝郵便を受け取りました。
major	主要な;大きな	これは大きな問題です。
male	雄の;男性の	雄の鳥は明るい色です。
manage	管理する;何とかする	この仕事を何とかできますか。
manager	管理者;マネージャー	マネージャーは忙しいです。
manner	方法;態度	礼儀正しい態度で話してください。
mark	印をつける;点	答えにはっきり印をつけてください。
marry	結婚する	彼らは六月に結婚します。
material	材料;素材	この素材は柔らかいです。
mathematics	数学	数学は私の好きな科目です。
maths	数学	数学は私には難しいです。
matter	重要である	それは重要ではありません。
may modal	してもよい;かもしれない	あなたは今出てもよいです。
media	メディア	メディアはその話を報道しました。
medical	医療の	彼女には医療の助けが必要です。
medicine	薬;医学	昼食後にこの薬を飲んでください。
memory	記憶;記憶力	私の記憶力は良いです。
mention	言及する	私の名前を言わないでください。
metal	金属	門は金属です。
method	方法	この方法はうまくいきます。
middle	中央;真ん中	真ん中に立ってください。
might modal	かもしれない	後で雨が降るかもしれません。
mind	心;考え	私は考えを変えました。
mine (belongs to me)	私のもの	この本は私のものです。
mirror	鏡	鏡を見てください。
missing	行方不明の;足りない	私の鍵が見つかりません。
mobile	携帯電話	私の携帯電話はテーブルの上です。
monkey	猿	猿は木に登りました。
moon	月	月は明るいです。
mostly	ほとんど;主に	クラスはほとんど静かです。
motorcycle	オートバイ	彼はオートバイに乗ります。
movement	動き	木の中に動きが見えました。
musical	音楽の;ミュージカル	これは音楽映画です。
musician	音楽家	音楽家はギターを弾きました。
myself	私自身	私はこれを自分で作りました。
narrow	狭い	道は狭いです。
national	国の;全国の	今日は国の祝日です。
nature	自然	私は自然が好きです。
nearly	ほとんど;もう少しで	私たちはもう少しで着きます。
necessary	必要な	これは必要ですか。
neck	首	首が痛いです。
neither	どちらもない	どちらの答えも正しくありません。
nervous	緊張した	彼女は緊張しています。
network	ネットワーク	ネットワークが止まっています。
noise	音;騒音	大きな音が聞こえました。
noisy	騒がしい	その通りは騒がしいです。
none	誰もない;一つもない	彼らは誰も来ませんでした。
normal	普通の	これは普通です。
normally	普通は;通常	私は普通早く起きます。
notice	気づく;通知	その標識に気づきましたか。
novel	小説	彼女は小説を書きました。
nowhere	どこにもない	座る場所がどこにもありません。
nut	木の実;ナット	その木の実は硬いです。
ocean	海洋;大洋	海は深いです。
offer	申し出;提供	私はその申し出を受け入れました。
officer	係官;警官	係官が私の切符を確認しました。
oil	油	鍋に油を加えてください。
onto	の上へ	それを棚の上に置いてください。
opportunity	機会	これは良い機会です。
option	選択肢	一番よい選択肢を選んでください。
ordinary	普通の	それは普通の日でした。
organization	組織	その組織は学生を助けます。
organize	整理する;組織する	ファイルを整理してください。
original	元の;原本の	元の領収書を保管してください。
ourselves	私たち自身	私たちは自分たちで夕食を作りました。
oven	オーブン	オーブンは熱いです。
owner	所有者;店主	店主が店を開けました。
pack	詰める;荷造りする	今かばんを詰めてください。
pain	痛み	背中に痛みを感じます。
painter	画家;塗装工	塗装工が壁を仕上げました。
palace	宮殿	宮殿は古いです。
pants	ズボン	このズボンは長すぎます。
parking	駐車	ここでは駐車が難しいです。
particular	特定の;特別な	特定の本が必要です。
